A	so what's this game we're playing?
B	it's a world conquest game Risk it's called
A	mm
B	what do you want to drink?
A	oh it looks quite good I'll have a beer
B	no not after last time you both stunk the house out with those cigars
A	do you have a bit of trouble getting
B	no well not after me kind of threatening that he won't go to his party
A	another party tomorrow?
B	yeah two o'clock tomorrow
A	full of parties aren't they?
B	yeah another one the following weekend they've all come all of a sudden
A	no god no I'll just drink out of the can
B	right are you playing?
C	yeah
B	come on then I think I might just have a little top-up are you sure you don't want some more wine?
A	no no it's
B	does it?
A	I don't like it much anymore I like a bit like a half a glass or something
B	do you want some water as well?
A	yeah if you don't
B	what?
A	Dad's Army
B	yeah
A	cool
B	hold on
A	how many times have you played this game?
B	I've only played it once
A	how old is this map? is this before
A	the world was truly mapped?
B	how old is this game?
C	I dunno
A	is this before they got maps right?
C	it's as old as you
A	yeah probably the map's kind of wrong
A	just looks really strange China's tiny
C	I thought China was big I thought
A	yeah
C	Japan was quite small
C	I thought it just had Japan was big
A	but here Japan's as big as Australia
C	oh I see what you're saying yeah
A	China's tiny China's about the same size as India in this
B	where's oh
A	this is an old map I mean they're calling it Siam where's the rest of the countries? this should be Taiwan's
B	is there a year on it?
A	pretty retro isn't it?
C	well no it's supposed to be from the Crimean War or something
B	oh
A	oh is it set? oh okay it's set
B	that yeah
A	in a different time that makes sense doesn't it?
C	mm
A	I never played this before so you're gonna have to teach me
B	it took you a while you were looking at it wondering
C	I wondered what he was going on about
C	what's he going on about?
A	you and
A	yeah
A	is that the style now?
B	yeah
A	I've seen a few people with those kind of haircuts
B	yeah
A	shaved er er around and then a bit longer on top
A	oh you did it?
B	yeah
A	no wonder it looks so good
C	do you want pink?
B	oh what cos I'm a girl?
C	yeah
B	okay
C	I'm gonna have blue what colour do you want?
A	red if there's a red
C	it's very easy
A	right okay
B	right what shall we do then? have it kind of like
C	it's all about global domination
B	have it like that?
A	yeah that sounds good
C	erm I dunno how many
B	you'll have to explain to me again what we're doing
A	how long does it take to play?
C	can't remember how many how many erm
B	it's supposed to take hours but the way I play it it'll be finished
C	no it won't take long
A	alright for hours every hour we record
B	mm
A	I'll get those pieces out don't know if it's necessary
C	right there's
B	yeah
C	different sorts of pieces
A	otherwise I'm gonna have to actually get a job
B	that'll be hard after what you're doing at the moment
A	yeah oh you've got a bubble in your throat
B	oh I did did you hear it?
A	oh right they're all slightly different shapes are they? there's like a
B	what do you do with these thing?
A	three three-prong four-prong five-prong
B	oh have we worked
C	yeah there's five-prong ones there's four-prong ones and there's three-prong ones
A	yeah and is that it? so it's do we just separate them into those piles?
B	what do they mean then what's the difference to these?
C	er the five-prong ones are worth ten armies
A	are there single ones?
C	well the three-prong ones
A	oh the singles yeah okay
C	are the single one armies
A	cool this is gonna take a little while to do this isn't it?
B	I must say I didn't get the hang of it really last time
A	yeah what happened there?
B	well I just put them all in one country
A	are you not allowed to do that?
B	well it worked and I won but
A	thought your friends won't notice
B	no he just told me that that wasn't the way to play it and I said why? I've won
A	you were doing it wrong
B	and that was that
A	did you actually win though? or did you
B	yeah
A	just play it wrong and procedures
B	no
A	if you win
B	I won didn't I?
A	did she win?
C	I think I think you did yeah
B	it was kind of like
A	oh you get a quite a few more of these ones than you do of these ones don't you?
C	I think don't you have to? it's thirty-five I think so you have to get thirty-five
A	so we've gotta make
C	of singles
A	five
C	and that's what
B	thirty-five singles?
C	that's what you start with yeah
A	ten
B	oh my god
A	fifteen
C	I mean it'll be the singles out
A	twenty
B	well I realise now I've got room for my singles in there
A	twenty-five
C	no you just start with thirty-five
A	oh
C	you should have some left over
A	ten twenty
B	two four
A	oh I'm counting them wrong
B	six eight
A	five ten fifteen twenty
B	ten
A	thirty-five and how many of the other ones are you meant to have?
B	twelve
C	no it doesn't matter don't know it doesn't matter
A	well do we put these ones in there
B	forty
A	do we?
C	yeah you just start off with thirty-five cos you need to put these on the the countries
B	sixteen eighteen
A	arbitrarily?
C	er?
A	are
C	no no you have the cards
B	twenty
A	oh it tells you where to do it
B	twenty-two
A	I've heard about this game a lot but I've never played it
B	twenty-four
A	oh lovely
B	it was the door
A	cos it's being recorded?
A	that was
C	you are an animal you know that?
B	sorry
A	it's heard worse
B	two four
A	are these mine?
C	yeah
B	ten twelve
A	can I look at them?
B	fourteen
C	yeah
B	sixteen
A	can I reorder them?
B	eighteen
C	you don't need to
B	twenty twenty-two twenty-four
C	cos you you're just gonna put one army on
B	twenty-six
C	a country
B	twenty-eight
C	and then when all the
A	oh
B	thirty
C	when you've all the
B	thirty-two
A	yeah you're gonna have to explain this now I don't understand the so I'll just
B	wait a minute I haven't even got these thirty-two thirty-four
C	no it's thirty-five you want
B	what?
C	you only want thirty-five
A	no he didn't
B	oh well I've got thirty-six
A	it's recorded there's proof
C	we'll rewind it
B	yeah can you rewind? there's
A	no
B	hang on
A	double
B	here you are I've got thirty-five now
C	that's it
C	and you just erm
B	right now what?
C	you put one of your armies on
B	where?
A	I don't understand so do I choose any card?
B	on the country?
C	yeah they've all gotta be filled up
A	oh okay so I just
A	unless I just have no idea about geography but
A	this is
B	but you probably have a better idea than I do
A	completely changed
A	look how big Ontario is
B	remember it's the Korean War no what is it?
A	Crimean
B	Crimea
C	well I think it I think it's based on the Crimean War
B	right so what? so I've got Western Australia
A	there's a Western Australia here
B	where's that then?
A	oh I've got New Guinea that's pretty
C	where's Australia?
A	surely you know where Australia is
C	over there
B	I don't I'm rubbish with geography
A	are you
B	yeah I am
A	really you don't know where Australia is?
B	oh Alberta what's that?
A	it's a state in America
B	well I don't know that either see this'll help
B	Brazil
A	Middle East
C	it's all spread out here
A	is that a bad thing? should we be like together?
B	where's Brazil?
A	come on mum
B	I'm rubbish
B	Scandinavia
A	Central America
B	thank you
A	Liguria
B	places
A	yeah
B	Ukraine
A	oh what Ukraine that big is it? oh great one
B	Madagascar
C	it might well have been
A	you know where the lemurs are from?
B	yeah
A	yeah it may well have been you're right
B	Western United States
A	but regardless of what it may or may not have been
B	Quebec
A	Japan hasn't changed size
C	no
B	Ontario
A	I mean there's Korea right? Japan it should be about like that next to Korea
B	oh America's gonna be mine
A	it only just slightly comes down past Korea so it's gonna be like that
B	Egypt
A	it's freaking huge look at that where is Mongolia? I mean
B	what's Ural?
A	just just makes no sense
B	what is it?
A	it's just an area
B	Siam
A	in Russia
B	now what happens?
B	oh
C	well throw the dice and see who goes first
A	so what do I do with the spare that weren't thirty-five? are they just
C	right at
A	out of the game?
C	at the beginning of every go well now we need to allocate these now to to the countries that you want to defend and or attack from
A	okay but
C	and the object of the game is to take over the
A	the whole thing
C	the whole world yeah
A	but do you remember you said we need thirty-five of these and there were a bunch of spares?
C	yeah well you
A	are the spares in the game or?
C	well you you lose them but you can also win them back at the beginning of your go and by collecting these cards
A	okay so I keep two separate piles of these there's the spares and then there's my
C	well the thirty-five will go well the rest of the thirty-five will go on the board in a second
A	and what about the spare ones? is what I'm asking
C	well
A	cos there were like forty-five or something
C	yeah well you
A	you can take some out
C	yeah
A	so let's separate I'll do what you guys are doing with these things
C	someone didn't put Iceland down
A	is that cos no one's got it or
C	well
A	is there a card missing?
C	there should have been an Iceland
A	mm
C	you got Iceland missing?
B	oh no you'll have to make a card up
A	yeah so we only get one of each people in each place
B	was this your game?
C	yeah
B	so it wasn't your grandad's?
C	no I bought it
A	it's not that old
A	Risk armies
B	it's about twenty-eight years old did you say about
C	it's gotta be older than that
A	is this the limit of how many armies you can have in each place?
C	if you hold the whole of the continent that's how many armies you get at the beginning of your go there is an Iceland but
A	oh
C	so someone didn't put a thing on
A	so we need to count who's missing one
B	how many? okay I've got one two three four five six seven eight nine ten eleven twelve
A	I've got thirteen
A	how many have you got
C	hold on I thought I counted fourteen then one two three four five six seven eight nine ten eleven twelve thirteen fourteen I've got
A	what? one two
C	how many have you got?
A	three four five six nine ten eleven twelve thirteen I've only got thirteen
C	and how many have you got?
B	I've got one two three four five six seven eight nine ten eleven twelve
C	must be yours then
A	thirteen
B	thirteen fourteen
A	fourteen the same as me
B	is that right? hold on one two three four
A	five
B	five six seven eight nine
C	you've counted that twice
A	I know just
C	three four five six seven eight nine ten eleven twelve thirteen fourteen it's yours then
A	so it's me? but did I just not get dealt it over there?
C	no you'd have been the you just must have missed it or it got stuck together or something
A	oh sorry
B	probably got stuck together
A	so I got Iceland
A	it might be me wasn't it?
A	we've got enough dice there?
C	yeah
C	hold on well you if you're attacking you have three if you're defending you have two
A	I really don't understand what's happening
C	you will you will
B	no me neither
C	and then to go from
A	oh by boat?
C	North North Africa can attack Western Europe or whatever
A	oh okay so this counts as one and this counts as
C	that's an army yeah
A	two armies
C	that counts as five
A	five armies?
C	and the other one counts as ten
