A	so is
B	as far as I know erm yeah it's just er money-wise for us and we worked it out last night and it's gonna be about a thousand pounds for both of us so
A	well if it's too much I mean you know don't we won't but you've definitely got to
B	yeah yeah no we'll er we'll definitely try and save for it
A	does she wanna go out?
B	maybe shall I go and see? let's go
A	okay
B	no there's no issue
A	the company
B	oh god no
A	oh good that's alright then
B	she's been on a walk this morning
A	mm
B	I'm probably just going to stand by the door
A	well the accommodation they came up with did they say how much that was gonna be then per person?
B	I think it was about a
A	so that's quite pricey isn't it? I mean the other thing is we go back to the hotel idea
B	yeah
A	cos
B	yeah yeah that that I think that's the that's the big one there and if they wanna do the Blue Lagoon I mean that's another forty or fifty quid each isn't it?
A	is it?
B	yeah cos they said that was quite expensive so we haven't even factored the food into that
A	no
B	thousand pounds
A	it's gonna be a lot
B	yeah
A	mm oh well we'll see what they come up with
B	yeah
A	nice flowers what were they for?
B	Mother's Day
A	oh they've lasted well
B	yeah I got them
A	yes
B	they're wilting somewhat now
A	well your dad's gone off to his meeting obviously his hour meetings when I expect to see him at five o'clock tonight
B	oh yes well those meetings
A	well he went at half past ten yeah
B	half past ten to six o'clock
A	he said he was gonna be back by lunchtime
B	oh okay
A	and had done some shopping
B	oh
A	there's a few things on the list
B	me and
A	oh yeah it's a bit depressing I've got to
B	indeed
A	stop eating now this is ridiculous
B	stop eating just stop altogether
A	well I haven't it's been good I haven't been to the shops to look at clothes for ages I didn't
B	no
B	mm a fortnight
B	well I bought a jacket
A	oh did you?
B	from New Look the other week and a couple of tops
A	yeah
B	the tops one of them fits me the other one doesn't and the jacket doesn't fit me yet over my arms that's why I need to
A	well why have you bought them then?
B	because I'm gonna get into them
A	oh I never do that
B	that's the incentive
A	oh I would never do that
B	well I know I'm gonna lose weight anyway so eh?
A	I take it they were cheap?
B	they weren't that expensive I think the jacket was only about well
A	what colour?
B	twenty-five it's nice it's like a erm it's not I don't know how to describe it erm it's not like a solid colour is kind of a it's not a pattern either I'll show you what
A	what to wear with jeans or?
B	yeah
A	oh nice
B	I wore
A	lovely
B	so I tried it on in the shop with this jumper and I thought oh it'll just be the jumper it's fine
A	yeah
B	but then I got back and I tried it on
A	oh and it was still a bit tight?
B	and it was like you know when you can't move your arms?
A	yeah
B	and you think this isn't comfortable
A	New Look always do that for me though I think they do very small
B	small
A	I I think they do because I can never get my arms into
B	they do it differently with every piece of clothing cos that coat out there's a ten from New Look and that still fits me
A	oh yeah mm
B	and it's tight when I do it up
B	but the arms are fine
A	well like I said seeing that that dress online I'll have to find it the one I quite fancied from Wallis
B	mm
A	and then looking at the picture I'm not sure if it's a bit short
B	oh okay
A	it's a high neck
B	yeah
A	erm and
B	yeah yeah yeah
A	so it mightn't be quite that long but quite well short but I don't know
B	is this for the christening?
A	yeah but whether I get myself any I have got plenty
B	yes mm
A	and I've got the blue one
B	yeah it's nice
A	as well and it's also like that shift dress in the lace with the white underneath
B	and you've got the patterned one haven't you?
A	then I've got that patterned one that's in the photo
B	all green and white and black
A	yeah and I've got all the all the colours in there they're all nice with heels and a jacket
B	yes
A	I have got quite a lot
B	yeah
A	I don't know if the shift ones will fit at the moment the coral and the navy
B	mm
A	that other one is stretchier
B	stretchy
A	and I've got a nice one from Phase Eight I've not worn yet it's it's
B	oh oh really?
A	blue and white I bought it
B	you've got a few choices
A	did I buy it last year or did I buy it the year before? I think I've had it two years
B	I don't know
A	every time I put it on I think oh I just look a bit fat in it
B	well how long have we got a month?
A	five weeks come on let's
B	five weeks
A	oh we've got Easter in the middle of that though
B	yeah Easter is in the middle of it and it's gonna fall apart isn't it?
A	well Easter is just gonna have to be one day
B	I'm gonna allow myself yeah one day fit
A	one day so do you want an Easter egg?
B	no let's not add to the
A	let's not add to the trauma
B	to the feast
A	does
B	no don't bother what?
A	it's a bit mean isn't it?
B	what do you mean it's a bit mean?
A	well not buying
B	well okay buy him a mint Aero one then because I don't like mint Aero
A	oh okay alright then
B	I think he only likes yeah he likes mint Aero I bought him a
A	what he does or you think he does?
B	I've bought him a peanut M and M one
A	egg?
B	yeah
A	oh you've bought them already?
B	I've got I saw it in Sainsbury's the other day
A	oh
B	it's hidden in the boot of my car but then he went to get the pram out and could see it was in there
A	do you like Snickers?
B	he likes Snickers
A	do you?
B	yes
A	oh
B	it'll be alright buy me it and I'll just tell him to the problem is he doesn't eat them quickly
A	I know
B	like he just kind of has a bit and then puts it back
A	I know how do they do that?
B	and I'm like why don't you just eat the whole egg?
A	well it's nice yeah if we're going to eat it we're going to eat it aren't we?
B	well yeah
A	properly or you'd have to sort of
A	and he'll have to eat them all on Easter Sunday
B	well yeah that's what I was saying to him and I was saying we can't have any of these left on Monday
A	well I'll see mm
B	okay yeah if you see one you know but don't go out of your way to get one
A	well I've got to go and get some I'll have to get one for the boys
B	oh yeah I suppose
A	you don't need to get the boys anything
B	no no no I'm talking about you
A	I I'll take them one and then
B	I might just take some chocolate around there on Easter Sunday and I'll just get them all kind of
A	yeah
B	I'll just take a
A	I would
B	I might get just a big egg for them all or something
A	that's a good idea
B	I'm making a cake anyway aren't I? so
A	yeah you are
B	let's not go mad
A	the trouble they they could just eat and eat and eat those boys couldn't they?
B	of course they could
A	are you going to let her in?
B	I'll just go and let the dog in so yeah I'm making I planned planned to make that cake
A	how is it constructed that one how is it like that M and M cake where you've
B	mm
A	got to have some sort of pipe cleaner or something inside it to?
B	well my mother-in-law bought me a set at Christmas
A	a set of what?
B	she bought me a proper like it's a you have a base
A	yeah
B	and then attached to it is a tube that goes up like that
A	oh
B	like a plastic tube
A	especially for making these
B	especially for making those types of cakes
A	cos that that one
B	so I'll use that and it'll be easier
A	that one had a chocolate egg didn't it and then it had little eggs coming out of it?
B	yeah yeah so I'll just I'll royal ice it to it or something so it'll stick the eggs around the tube
A	right
B	and then the and it had like chocolate cake around the bottom with flakes around the outside
A	yeah yeah
B	to look like a nest
A	flakes look good a nest yeah that'll look good
B	yeah and I'll make that
A	but then you've got to transport it
B	yeah I know I never think about that bit
A	that's I know it's great when you make it and put it on the work surface it's carrying them isn't it?
B	well none of them have fallen apart yet touch wood
A	no no they haven't no I don't know how you do it?
B	and to be honest they are quite sturdy once you've
A	you couldn't' assemble it and put the egg on at the other end maybe?
