A	all the biscuits
B	yes
A	fine
B	and yeah and er I saw a black one a navy one
A	yeah
B	and I  and I  couldn't see this one
A	yeah
B	there was one
A	ah
B	and now it's mine
A	huh
B	yeah
A	that's fine though
B	wedding time I'll be an inch smaller
A	that looks really good
B	just
A	you don't need to worry about not buttoning it
B	yeah
A	breathing in and out
B	after all the dinner
A	well
B	yeah
A	but um after all the dinner and all the dancing
B	mm
A	oh mate
B	it's shoe time tomorrow
B	shoe time  shoe time  So how did the meeting go?
A	er actually it was really good
B	nip it in the bud now
A	but is was a er a big learning curve for everybody
B	oh that's good
A	so it was really useful
B	sounded like everyone wanted the meeting
A	everyone wanted the meeting
B	mm
A	I think even though no one had actually responded to me so I didn't know if anyone actually would come with anything to say
B	ah
A	I'm just  I'm just  knackered
B	I'm very knackered
A	really tired
B	very knackered in the world
A	in the worm
B	um and I found a really nice bra
A	in Tesco's?
B	er no in in Jasper Conran today
A	yeah
B	tut
A	oh
B	then I went all the way to Marks and Spencers after finding a this colour orange one online
A	mm
B	turns out they only go up to a double D
A	tut
B	yep
A	what's with that shit?
B	I've no idea
A	has that always been the case?
B	well the only bra that I have from Marks and Spencers is the one I've got on
A	yeah
B	but it's too  it's too  big round the back
A	right
B	but I mean it looks very nice
A	yeah
B	which is fine under my work dress
A	yeah
B	um
B	I mean you can't see it too bad but er I just I can just see like you see the bumps?
A	yeah
B	I just don't want the bumps
A	well you're gonna have to get a T-shirt bra then
B	no they're not
A	so if you're gonna go for pretty that's what's gonna happen
B	yeah
A	it's gonna have detail in it
B	huh
A	so these are
B	so
A	but those are your choices I think
B	it's either this as it is now
A	mm
B	or if I find another one
A	or or you don't have the straps
B	tut
A	you know
B	tried this
A	mm
B	but then because they go on your hips and kind of stick forward a bit don't they
A	mm
B	then you can see a line around the bottom of the dress
A	tut
B	Cos they're not none of them are you know like my
A	mm
A	yeah
B	the they've all got bones in
A	right
B	which you can see
A	what about the zip up one? Is that not an option?
B	no
A	mm
B	like doesn't hold
A	mm
B	doesn't stay down
A	tut
B	so as I move it
A	tut
B	tut
B	um
A	mm
B	or there is a nice black and cream one at Jasper Conran
A	yes
B	and huh this is all kind of starting to rack up now
A	yes
B	yeah
A	and bargainous dress and jacket
B	yeah
A	that's pretty nice
B	yeah
A	bang on fifty quid
B	yeah
A	like it's pretty nice
B	so
B	and shoes
A	and shoes
B	Will be sixty-four
A	nice
B	but then I've still got jewels to buy and bag to buy
A	yeah
B	in the grand scheme of things
A	so
B	pretty awesome
A	yeah
B	but
A	what's gone before
B	yeah
A	mm
B	just a plain clutch
A	mm
B	plain black clutch
A	yeah
B	for the wedding  for the wedding for the wedding  can I get one of those hat things with the net that comes over?
A	the fascinator
B	yes
A	yeah
B	I want one of those
A	well that's what I was
B	can I have one?
A	that's what I was gonna go for
B	yes
A	um
B	yes
A	so
B	oh I've thought of the big hat with the floppy rim
A	er yeah
B	huh
A	the flopper
B	tut
A	so that would be fine
B	yeah
A	floppy
B	I think actually they might've done one this colour the black
A	yeah
B	mm
A	like that sort of um
B	the flop flop
A	that'd match really well
B	flop
A	flop
B	oh my dad got a really nice letter from my bank yesterday
A	it smells funny
B	yeah
A	why?
B	well they just thought they'd send a letter to my old address
A	but addressed to you though?
B	yeah
A	yeah
B	yeah go ahead open it
A	you let your dad open your bank statements?
B	er yeah
A	right
B	er he doesn't care
A	well I think he probably is just a bit worried now isn't he?
B	well no no no
A	right
B	um
A	yeah
B	is that what happened was I went over my overdraft ages ago by a very small amount
A	mm
B	um but it's over by say this is ten pounds
A	yeah
B	um for the month
A	no
B	charged me sixty quid
A	for ten pounds?
B	maybe it's like five pound a day
A	shit
B	that wasn't my overdraft that I signed up for
A	well then you can
B	yeah
A	sue them
B	no
A	thanks love
B	um
A	yeah
B	yeah
A	yeah
B	didn't question it
A	yeah
B	um
A	what?
B	yeah
A	A bank charge?
B	yeah and I was just like oh do you know what? Just fuck this
A	shit
B	so I thought do you know what? I'll just pay it in
A	I've never heard that
B	I can't afford
A	how is that possible?
B	after you can see on my bank account I've put a hundred in then I put two hundred in
A	but charging for what though? Cos you
B	for over your overdraft
A	but you're in your
B	limit
A	but you're in your overdraft
B	no
A	that's sending you over again
B	and then taking me over
A	Jesus
B	yeah
A	Jesus
B	it needs to leave
A	I dunno if you've seen it
B	no
A	um
B	huh
A	is that what you were going for?
B	I'll put my jamas on and remove it
A	um
B	yes
A	yeah
B	so right the way to here
A	yeah
B	which is where I was
A	mhm
B	car hire
A	yeah
B	basically the interest went on at eight pounds
