A	there we are so yeah what's happening there is happening on thatch roofs
B	oh right
A	that there are rooks pulling off all the straw off thatch roofs
B	oh dear
A	and erm
B	oh yeah
A	erm you carry on talking about that in there and I'll make coffee
C	yes I think it's some something to do with the weather and maybe the the bugs that they're looking for in the grass and have proliferated through the warm weather through the winter
B	yeah
C	perhaps you know
B	yeah
C	unfair really
B	I know
C	we've we've we've got it reasonably stable now I think that's the thing
B	yeah
C	cos you've finished the fencing I see all the fencing
B	oh yes yeah yeah
C	just paint the horizontals yet
B	yeah
C	but er and we've put a path down this side of the fence
B	right
C	so you can get into the far side of the borders without too much difficulty that makes it a bit different
B	yeah
C	so yeah it's it's reached a fairly stable situation I think
B	the grass looks pretty good as well doesn't it? I mean apart from there where the crow's doing that
C	yes we had a
A	yeah that's just so unfortunate
B	yeah
A	because we had a lot of moss and erm well between myself and
B	mm
A	and ruined the lawn however
B	mm mm
A	Alan Titchmarsh said that he'd done the same thing and he's never going to use that product again
B	oh yeah?
A	er yeah that I heard that subsequently
B	oh right
A	erm so erm
B	and what so what did do you do?
A	erm it was erm er er er you sprinkle it on it was a dry mix that you had to sprinkle on to the erm
B	yeah yeah
A	and then I thought it would just seep into the ground and the moss would die
B	yeah yeah
A	instead of that it burned the moss and made it black
B	yes yes
A	so you have ghastly black patches all over the lawn
B	yeah yeah
A	which you well obviously didn't really want so erm now I've er er now erm we got rid of those last year so that went the lawn grew back it looked wonderful and then
B	so so the grass did did grass grow back through it?
A	it grew back well we put no we no we put erm we put seed down
B	oh yes
A	because obviously we had to seed it didn't we
B	because I put the stuff down at er at at at the cottage in Cornwall
A	oh did you?
B	and it left black patches
A	yeah exactly the same thing
B	and and and you know and so it
A	you only have to rake it off seed it
B	yeah yeah
A	is that what you did?
B	well no I haven't done it yet
A	oh you haven't done it so you've got the black patches
B	I need to go
A	well don't ever do that again
B	I know no
A	Alan Titchmarsh says never do it again
B	yeah no no
A	erm
B	it's very very erm erm
A	yeah
B	I mean it's really erm very very good at doing that and the weeds
C	yeah
A	yes
C	yes
B	erm but the erm but yeah it's left some pretty bad patches so
C	yes no we had that but
B	yeah
A	shall we just go and shall we go and sit in the study?
C	yes
A	and then we can switch the computer off and everything erm and erm
B	yeah not bad at all you know it's it's I mean it's it's lovely travelling
A	exactly exactly well come and sit here
B	yeah
A	okay and erm
B	okay
A	yes erm now
B	we have ways
A	is that is that does that coffee look alright to you?
B	oh I'm sure it's fine
A	is that alright?
B	oh yeah yeah
C	do you want me to switch it off?
A	erm yeah hang on a sec I was just going to discuss something with you before you do we'll leave it there
C	oh right okay
A	can I just discuss this?
B	yeah of course
A	we're going to New York you see
B	oh yes yes yes
A	and and erm and er sorry for shouting at you
A	we're going to New York
B	yeah
A	and erm
B	oh lovely yeah
A	but they don't have any
B	oh right yeah
A	basically I've been through everything
B	well it it it's the sod's law whenever you wanna go somewhere it's gonna be when they haven't got it on
A	yeah got it on yeah exactly
C	yeah yes it's erm
B	mm mm the the only thing you can do is I found is the only way to do it in reverse is to is to go look for Gershwin concerts in New York or something
A	yeah yeah yes that's what I've just done yeah yeah
B	and go and look at it and then
A	well the only Gershwin concert's at Christmas
B	oh right
A	yeah there's a big Gershwin concert at Christmas
B	oh right yeah
A	erm whether that was last Christmas or next Christmas it doesn't really matter
B	mm
A	and then erm then I looked I I've just got to well I've just bypassed it erm but there's nothing it it's all it's not Gershwin we we want to listen to Gershwin
B	mm mm
C	I'll have a little look a moment
A	yeah you'll have to go back a screen I've gone to May the twelfth so if you go back a screen erm
B	mm
A	erm and erm
B	mm
A	if you go to the end yes there you are there we are number six so there we are that's Carnegie Hall in the middle that's New York
C	yeah we're not there until the second
A	mm no exactly there we are so
C	there's the first one then
A	yeah
C	Haydn and Brahms
A	I mean you can hear all that in England so why do you?
B	yeah exactly yeah yeah yeah
A	and and and you look at Broadway
B	mm
A	and they're all shows you can go to in Bristol so
B	yeah yeah
A	so why do you want to go to New York you know?
B	yeah I know it's it's er
A	it's crazy
B	yeah and often actually it's shows that are in London do do have a touring show
A	well they do
B	and so if you can go to Bristol or Plymouth or
A	mm
B	wherever you know and you think well why go to London you know you know yeah?
A	exactly why go to London?
B	mm
A	I tell you there is something good on at
B	oh right what is it?
A	and it's erm with Brydon the comedian and erm
B	oh yeah yeah yeah he's good
A	oh
B	er yes I know
A	erm it's called
B	he was he was being interviewed the other day
A	yeah on one
B	Brydon and erm
A	it it it's not a very erm notable name and it's but but the thing is it's called the
B	yeah
A	and he's very upset because his wife has left him for her psychiatrist and the bloke in the adjoining room is a professional erm murderer er a professional killer
A	and so they've turned it into a they've turned it into a comedy
B	oh yeah
A	I really want to go and see that that's on in London
B	oh yeah yeah that's good yeah
A	yeah
B	yeah
A	so erm
B	I'm trying to think who it is I saw them on TV they were on TV the other day
A	yeah they were very good erm
B	Brydon and
A	I've got I've actually got it written down somewhere I've actually got it written down somewhere cos I pulled it was in the paper in in the Daily Mail
B	yeah
A	don't tell me I've lost that
B	yeah yeah she had to go a day early actually erm
A	oh yeah
B	the the the
A	oh right
B	and
A	it's these ganglions ganglions?
B	no no the the it's something in the I don't know I don't know what the
A	yeah
B	but it's something in the bones or something
A	right
B	and I don't know it's it's if she didn't have it done it could cause real big problems later on I don't know
A	right sounds like ganglions
B	mm
A	that's not the word they used
B	mm no I I I I haven't she didn't I haven't asked her actually specifically what what it is it's just it's just quite complicated apparently
A	right
B	and so erm anyway her mother was looking after helping look after the children last week and she she by the end of the week she couldn't cope
A	right
B	so
A	crikey yeah
B	instead of you know er so she's up there a day earlier so erm erm so that's it she is up in
A	oh right? how old are they now?
B	they're erm they're one's coming to twelve and the other one's eight
A	right
B	so it it it's just really I mean it's not
A	well they should be quite easy to look after
B	they they should be
A	easier than below that age anyway
B	but
A	oh isn't she? is she quite big?
B	and er yeah
A	oh is she?
B	yes
A	that does cut one's mobility down I tell you
B	mm
A	I can bend over from the I can I'll show you
A	I can bend over from here right down
B	oh well done
A	and I can't well I mean I can do it I can do it anyway
B	yeah yeah
A	but there's absolutely nothing
B	that's brilliant
A	there
B	yeah yeah
A	there's absolutely nothing
B	that's great
A	it's weird I mean sometimes I do it and I think god you know? what's happened?
B	ah yeah
A	but I was never fat was I?
B	no no no you've always even quite quite slim
A	I'm a
B	eight and a half
A	I'm a whole stone underweight
B	oh wow
A	so erm I was well I was nine I was nine stone four basically before nine stone four and it fluctuated
B	yeah yeah yeah yeah
A	so I've not actually lost yeah nearly a stone in weight
B	yeah
A	but erm yeah I mean I'm not eating any sugar
B	yeah
A	I'm not eating erm any yeast erm all these things erm upset me you see
B	yeah yeah yeah yeah
A	so why have them?
