A	it's a shame because last week I came in erm and did a couple of people here and we were outside cos it was beautiful weather
B	yeah
A	and freezing
B	yeah
A	it's a bit cold in there
B	even walking to my car is too much
B	um I'm a tennis coach
A	oh yeah?
B	I think just finished since last August so I just  and all that sort of stuff and now coaching full time and doing quite well with it so
A	oh super
B	not doing too bad but it was just kind of it was something I fell into when I came back from France
A	uh huh
B	Cos I lived over there for two years
A	oh really?
B	and I knew
A	uh huh
B	so I went up to he was at
A	is there a
B	so I went over to there and then I just didn't do very well over there like
A	okay
B	in that area so I was struggling a little bit and then he ah he moved down here and asked me to come with him cos they needed a bit of a performance programme for the kids so
A	ah
B	well I mainly do performance
A	aha what's that?
B	like kids trying to make it nationally or professionally or
A	oh right
B	cos I've been in that my whole life as well
A	aha
B	just it's what I've been used to do
A	oh brilliant
B	now she's at university in America
A	to ah she got on a tennis scholarship?
B	scholarship yeah
A	brilliant
B	um Tampa Bay
A	Florida is that?
B	yeah
A	ah nice
B	because of the contacts I had over there she just sort of she asked me she said oh I can't I don't really want to play serious that much
A	uh huh
B	anymore and I'd like to go to uni and I said well you're not going in England I said if you can get it for free in America and she said ah oh ok and I went choose a place that you wanna go and I said I'll call my friends and they'll get you in over there and then she said Florida so
A	blimey who are your friends?
B	I know a lot of people
B	yeah
A	really? Why are you pretty pretty much based in England? Why not go somewhere else?
B	I dunno
A	oh really? Blimey that's good what's that?
B	um my parents well we all  we all  run a pub in
A	uh huh
B	trek here and back every single day
A	where is
B	it's ah do you know the M6 well?
A	no not that well
B	okay erm it's like in the middle from Birmingham and Wolverhampton
A	okay
B	it's up near
A	uh huh
B	so it's in the middle of nowhere so it's a big drive here and back but yeah we run a pub and um my mum imports um jewellery like freshwater pearls and beads from China and sells them
A	uh huh oh wow
B	and my dad's a stand up comic and he still does it now
B	and um I do gigs as well I play guitar and I sing so I go all over the place doing that
A	ah
B	and a just a do as much as I can to survive I suppose
B	no
A	you live by?
B	I live in
A	ah okay
B	so but um it's not great but
A	no it's fine if you can you've obviously managed to get that balance between sport and ah enjoying yourself
B	yeah but um it's alright
A	it's ah what what were you doing in France then?
B	I was coaching tennis
A	okay
B	at one of the biggest academies in the world
A	uh huh
B	it's like one of the top five in the world and I loved it over there
A	right
