A	where's your belly button?
unknown_female	hi
A	hi
C	yeah fairy lights
A	hello English hello
unknown_female	they've been here
D	you missed
A	cos I
E	and they've drawn a penis and a vagina on me
A	yeah it's on in ten minutes
B	okay I'll wait
C	in what? in what? I bet it'll kind of come off there and it's gonna be an allergic reaction mark of a dick and
A	that's a plan
B	that would be hilarious
C	oh one
A	can I just take a photo first before you delete delete it? if your skin
E	are you gonna come join in
D	nudity
A	there you go we'll take it off
B	no that's great
A	it's fine
D	is it weird if I take it off with wine?
D	oh well
C	that's actually
B	oh yeah we should light that
E	I'll wait for
G	er dare
C	oh
A	dare oh
E	you're wearing something nice and
G	please don't make me take my clothes off cos I took so many
B	I showed my bum
D	she flashed them
C	I showed my bum
E	erm okay I'm gonna do something pretty simple just to start off with I dare you to down that bottle of beer that one
A	a bottle of beer down it
B	downing beer is hard man it
A	I know that's what I'm saying that's why I'm saying it
A	no I'm like down it what?
E	I don't think it's harsh compared to
A	beer yes
B	you fucking bitch
A	fucking whore
B	I was ready to eat that
A	you're like a
B	do you remember that time
B	you're such a whore do you remember that time we went
D	yeah
B	and the teacher asked a question he was like okay whoever answers this question
A	I'll protect him I'll protect him
G	so I have to down it all in one go?
E	and now all the flavours come off
A	I licked it so it's mine
E	I hope you're happy I hope you're happy too
A	remember how
D	I'm sorry
G	okay so shall I down it all in one go?
E	do you remember in
A	I think someone should video this
B	oh can I have my phone out of my little bag please?
E	I said the question I said the answer at low voice then you took the answer and put your hand up
A	hi
C	wait I'm going to introduce my video so just a sec
B	I already started mine
C	I took a picture
B	okay
G	okay
A	go
C	this is
E	you've gotta you've gotta open the mouth properly otherwise it won't go all the way down
A	open your throat
C	deep throating
A	deep throating
C	deep throating
A	put it all the way down your throat
B	open your mouth
C	my friend can do that
unknown_female	oh oh oh oh oh
unknown_female	woo
E	well done that was like twenty seconds worth of downing well done that's like that's like a new record
A	why's that still your screensaver?
E	literally two fucking gulps a pint did that in the whole
A	why are you being a host? fuck that come on stay with the girls fuck it no one cares
C	like it's a bonfire it's not a
E	yeah and the butt was empty I was like yeah what the
E	that's what I was saying like
A	it's like licking a woman out
E	we need to have a lesbian experience
A	we do I will be good at it I know how to lick the pussy good
A	no pussy is it
E	stays in the bachelorette what a what happens iN a bachelorette party stays
A	who said you're going to be at the bachelorette party?
unknown_female	oh
E	me cos I'm fucking planning it cos I know you'll be too stressed to do it
A	yeah but you're not my maid of honour so
E	who the fuck's your maid of honour?
A	maybe
E	oh the hurt
E	oh the betrayal
E	I know I just assumed
A	I'm I'm going to like
B	have to wait to
A	we should go to Vegas I'm not gonna get married for
E	wait till I'm twenty-one
A	five or six years you're twenty-one in like what two years?
E	yeah
A	well there you go then
unknown_female	ah
C	that's a
B	gonna wait an hour it's not gonna will but
E	she's just taken her medication
B	that's why I take medication and I don't like mixing everything well I try if I if I'm ill I try and not to take something if I can get over it
A	okay
A	yeah the same
E	are you alright though? bless you I hate seeing you
A	if you're not alright then babe these paracetamols are so strong like they will knock anything out
A	erm
B	to do that
B	same here
G	that's hilarious
A	dare
C	alright if you insist
B	good
A	you forced me to say that so
C	mm you have to lick
G	I don't mind
C	I don't care she needs to lick
A	bite my tongue get ready to lick her nose
B	she was just wiping her
A	my tongue is
D	you've gotta get like all of them
E	careful careful careful
A	er
A	I licked her nose
B	careful
D	bravo
A	I've brushed my teeth twice today so
E	I saved your ass I saved your ass
A	yeah of course help yourself
G	you have a foundation
A	do you like her nose being wet?
A	I'm sorry
unknown_female	yeah
A	to pick someone?
B	you picked me twice so
A	oh
B	what again? oh bless her
A	no cos she didn't get to choose anyone though does she? she's been chosen but not
E	yeah cos I made her down the beer and then she chose someone
A	yeah and then she had her nose licked by me I mean poor girl erm
G	yeah we'll you're gonna make it worse now
A	oh yeah I'm not choosing her to pick next am I? I'm choosing her to do truth or dare
C	yeah
