A	uh yeah so your favourite film is it uh uh
B	I like a bit of Doris
A	ye ha
B	um
A	yeah you've definitely got that from from that
B	she likes
A	you mean like uh culturally speaking
B	like E
A	you've picked up the meme of watching films
B	well I mean I I don't I'm not a big film lover I don't go to the cinema
A	I don't know if you I don't know if it's genetic I don't know if you've inherited the film loving gene or if it's a culture
B	no but I mean I I don't go to the cinema very often for example and and I don't own any films
A	well I've got a few mainly just cos I I got I don't spending loads of money on it so I'd rather have sort of like recordings and yeah
B	yeah
A	yeah
B	but I do quite like them and I uh watch them if they're on the telly and stuff
A	I really love Back To The Future it's one my favourites yeah
B	my nana used to have like a little cabinet and she would like
A	oh Land Before Time
B	um
A	that was
B	uh ET
A	oh well that's a Spielberg that is isn't it?
B	little Shop Of Horrors like
A	oh yeah that that's a lot uh
B	um Ghostbusters Ghostbusters Two my personal favourite
A	A lot of eighties eighties things
B	Ghostbusters Two
A	um
B	and Ghostbusters obviously
B	bit of Igon Spengler
A	oh yeah yeah yeah that's a  that's a  good one like
B	captain Hook
A	they did  they did  them sort of bad jokes about that  about that  fat kid didn't they who used to get into like roll
B	yeah
B	and like um
A	he may oh I just like I was thinking because of his sort of size like
B	yeah but he was only a bairn then though
A	that wasn't  that wasn't  sustainable
B	um Captain Hook
A	I know it was uh that made  that made  like the truffle shuffle even like worse to sort of laugh at like
B	I know
A	you can't laugh at child
B	obesity
A	obesity can you?
B	well it's not his fault really is it it's his parents
A	that's what I'm gonna say
B	yeah and Captain Hook
A	oh that was really uh
B	yeah you know what I mean
A	that's
B	so
A	well we've got something similar I mean I've got all my videos
B	but it had like a door and she used it like much like you have
A	oh yeah like I've got I mean double play like eight hours  eight hours  like so you can get four films on one tape
B	yeah my nana did yeah yeah
A	two hours each
B	um and I used to like you know really used to like sort of The Neverending Story and
A	oh yeah I never watched that actually the um
B	land Before Time
A	never watched it but
B	watership Down and
A	there was a trip at school like to the cinema
B	yeah
A	um and I I was excited cos my parents didn't take me to the cinema and I'd never been to the cinema before
B	oh really? No mine didn't really
A	uh so I'd never been to the cinema before like not not ever and I don't think and
B	I remember
A	think that was my first ever trip uh that the school took
B	yeah
A	like got to see like like a PG rated film
B	yeah
A	um and the younger um including me went to see a U rated film which happened to be Land Before Time
B	oh that's a good one
A	I think but but I think actually that was the better of the two like the the PG one was called Mac And Me
B	oh right
A	uh this would've been like nineteen eighty-nine or nineteen ninety
B	yeah yeah
A	nineteen eighty or ninety-two or something but uh yeah I think we  I think we  did better to get
B	land Before Time was a good one
A	wait wait a minute no it was it would be younger than oh I can't remember
B	well
A	I've really really bad memory of my uh childhood to be honest uh
B	well it was a long time ago way
A	it's just black it's just blacked out like
B	no
A	uh
B	I remember my nana and granddad my nana and granddad took us to the pictures once and like me and my nana wanted to see one film and my granddad and our Tom wanted to see another film so we went to see different ones and I remember thinking that was really like really good because like usually it would just be like with my dad or with my mam so you couldn't split it up and like I'd have to sit through like
B	transformer
A	Steven Steven Seagal oh yeah yeah
B	but like me and my nana went to see Little Women and my nana was like it's amazing and I was like
A	what is that?
B	little Women? Come on
A	what is that?
B	it's a book like you've read the have you maybe you haven't it's more of a girls' book
A	it sounds to me like I think of uh big men is more up my street than little women
B	yeah
A	I think uh if if something was called Little Women I would would suspect that it might be like a romantic comedy or something
B	yeah it is a bit floppy
A	um no but I I don't romantic comedies
B	it's one of those classics though
A	I think we were talking about them a couple of days ago actually
B	yeah Bridget Jones
A	you're you you
B	no
A	is that what Little Women is? What's it about?
B	well it's a story about some
A	alright
B	uh I don't know
A	oh I think I'm gonna find myself uh slipping slipping into
B	it's like a  it's like a  Jane
B	but anyway it's um
A	I went uh I went for a bit like I got
B	I went on a like a date once to the cinema
A	ha ha
B	and I remember thinking it was the stupidest place to go because like
A	well
B	it's so bad and stupid
A	yeah yeah that's a  that's a  sort of typical
B	was quite a good film actually
A	yeah
B	but it's just like
A	but it is a bit silly actually isn't it cos you basically just sit next to each other
B	you should never go to the cinema with anyone that you like because there's no point
A	people do though don't they they always go looking for like
B	like when we watch films I'm always like hey
B	yeah
A	yeah
B	yeah in Berlin
A	there was next to it was a room called that they called the Multikulti
B	right
A	and they would put they
B	yeah
A	it not only is the best bar in the world but also has like
B	best cinema in the world
A	like a
B	yeah
A	it's about  it's about  allowing people to do
B	yeah
A	and uh and a lot of that doesn't happen in uh in bars and cinemas like you're kind of stuck in like
B	no that's true
A	yeah with a cinema you're kind of stuck there aren't you?
B	Cos like
A	yeah I mean it it's if your mates you would wanna get you and your mates uh quite a few of them and then just watch a
B	yeah
