A	what were you singing again
B	and that's all that I know
A	so yeah tell me about how you know that song?
B	the it I saw it from the Bee movie
A	did you see the Bee movie over half term with dad?
C	no
B	no he got it on DVD
A	was it a while ago that you saw it or?
B	yes
A	so I have never seen it so tell me about the story
C	it's about a bee
A	uhu
C	go outside the hive he follows them and then
A	are they meant to go outside the hive?
C	yes they are collecting pollen but not that
A	ah ah
C	and then
A	well hang on and then let
B	and then it he he like gets stuck to a tennis ball because that's been in flowers and it had a certain radiation of pollen
A	okay
B	and then he got hit and
A	uhu
B	and then like when the people were there and they said now and a little kid said hi bee and then the bee said hi and then and then the mum said right don't move
A	oh no so tried to kill it
B	and he like and he and he got knocked back out of the engine and out of the car
A	my goodness
B	he it did hurt him because he was crying
C	and then
A	but you were saying that he fell in love with a human or something?
C	yes
B	yeah
C	and then he started flying towards the hive
A	uhu
C	but then it started raining
B	yeah bees can't fly in rain
A	oh yeah
C	and he finds a flower the next morning erm he found himself inside a window and then he and
B	yeah
A	he thought the light bulb was stung
B	no
C	was the sun
A	was the sun
C	you know that bugs are attracted to light remember
A	okay
C	and he
B	yeah
C	someone was about to bite their crisps when the naughty
A	mm
B	he was the one who had the tennis ball what a coincidence
C	he erm he saw it and tried to hit it with a shoe but the girl which was basically his girlfriend she
A	oh
C	yeah and then he went into a kitchen and then they basically had a
A	but is that girl that he falls in love with?
C	yes
A	but does she fall in love with him? surely not because he's a bee
C	yeah
B	yes
A	she does
B	eventually
A	but how how does this relationship work?
C	well he like
B	they don't marry
A	okay
B	yet
C	they're like they're best friends
A	oh okay but can can they understand each other?
C	yeah because bees can talk and that
B	yeah
A	and that what human language?
C	yeah
A	so she she understands what he is saying?
C	yeah they can't even speak bee they just speak human language
A	do they now I did not know that
C	that's everything we speak
B	it's not
A	but why don't bees speak to us then?
B	well it's not a science problem
C	mum it's just a film
A	oh okay
B	it's science fiction
A	okay
B	because it does include bees which are real and Winnie the Pooh
C	and er
A	and Winnie the Pooh
C	yeah
A	in the film?
B	yes
C	in the bits there's a bit where Winnie the Pooh is eating honey and they are and they erm are and they are supposed to stop anybody from eating honey so they shouldn't
A	uhu
B	yeah even anything honey flavoured like erm something like to put in a tea that's honey
A	how weird that he's in the film
C	no it's not it's not that Winnie the Pooh it's a
A	but that's cool though
C	and then they do a poisoned dart or something in him and
B	not a poisoned dart a sleeping shot
A	oh a tranquiliser
B	yeah a tranquiliser
A	yes but what they do that to Winnie the Pooh?
B	yeah which makes him sleepy
C	yeah
A	are we still in the same film?
B	yeah
A	it's in the Bee
C	yeah he's only one
B	because he's because he's eating honey
C	yeah and they and they still wanted to stop anybody eating from honey anybody eating from honey any anybody from eating honey and then the bee has stopped working and then all the plants and flowers die and then they have to start working again
A	mm
B	yeah because flowers don't survive if bees don't work
A	well there we are I did not know about the Bee movie
C	well that took a lot of explaining
C	well
A	does he go away?
B	yeah but mum
C	yeah
A	right
C	but it didn't
A	oh but presumably a bee die
C	yeah
B	no he nearly died he had honey being sucked into him I mean pushed in him
A	ah
C	yeah
A	and did that help?
B	yeah
C	yeah but he got erm a little
B	he had a really white face he had a really pale face
C	and he had a sword on his erm thing then
A	oh
B	yeah like a fake sword they found it in a sandwich
A	oh really
B	yeah he had a sword in a sandwich
A	a sword in a sandwich
C	a sword in a sandwich
A	the sword in a sandwich
B	mm go get it
A	so do you remember how Arthur finds king Arthur find his sword?
B	yeah had a sword in a stone
A	yes so perhaps you could it would it should have been a sandwich the sword of the sandwich
B	the sword I've got the sword of the
B	I'm not sure that did happen
A	what the king Arthur thing?
C	mm I remember the story about like
B	I do
A	it's not likely no
C	I read a story about erm some
A	some what?
C	some fruit which erm to represent all the other people for king Arthur and king Arthur's erm a gherkin no not a gherkin like a er a cucumber
A	right
B	mum what's the most royal fruit? what's the most royal fruit?
A	a Victoria plum because that was named after queen Victoria
C	yeah I'm gonna get a Victoria plum as well as I was going to get a little fake sword and I'll be eating it in a sandwich I'm gonna find it in the sandwich
B	the sword in a sandwich
C	yeah it will be where they have to pull it out of a of a real big sandwich
A	a really big sandwich
C	and they go
B	mum in London is there a sword in a stone? in a stone?
A	yeah
B	did there used to be?
A	no because it's a legend
B	well if they did put one in then that would be a great way to choose a new leader but then again it would just depend on strength not niceness
A	yes exact well the sword in the stone
B	although I don't think we'd be by being royal by blood is a very good way
A	true but the sword in the stone wasn't about Arthur's strength was it? it was about him being the chosen one
B	and about Merlin helping him
A	mm
C	and about being very kind
A	yes
C	and his sister was really bad
B	and about Merlin helping her
A	but it is interesting isn't it how well his sister oh yeah Morgana but it is interesting about how people well that's why I'm a republican I don't believe in the monarchy
B	you are a republic?
A	I'm a republican I believe in a republic rather than a monarchy I don't think that there should be a king and queen
B	oh
A	is this about the Star Wars republic by any chance?
B	I also believe in the first order
B	she gets to live in a fancy house
A	well the thing is they're technically ours like we own them the people own them and yet we have to pay to go and see them that's what annoys me sure it's a good tourist thing
C	but she doesn't get but she doesn't say erm you have to pay fifty thousand pounds just say you might you can pay erm like five pounds
A	yeah but I shouldn't have to pay anything if my if my tax money goes towards supporting her and her servants and her food and her clothes and her private plane journeys I should be able to go and see
C	well I want to be well I really want to marry a prince so I could change that
A	you would like to meet and marry a prince?
C	me to marry a prince
A	you want to
B	because you'd be a queen
C	yes and I could change that
A	well you could be a
B	yeah you would have more power that way
A	you would have more power
B	although you wouldn't get paid much you'd have to have a normal job
A	no they do get paid quite a lot well yeah they get paid a
B	my job I my law is that the prime minister which is me gets paid a million pounds an hour
A	mm not quite that much but they get a good salary
B	I got a good salary I got you got to you had a good salad er a while ago
A	thanks
B	are you trying to open it?
A	this week is whizzing by don't you think?
B	a very good salad
C	what day is it today?
A	Wednesday
B	Wednesday
A	drama day
C	drama
B	I think every day is drama day with dad
C	the twenty-fourth of
A	drama day
C	no it's twenty-fourth of February
A	so so yes this memory popped up of the diving the Olympic thing but do you remember going to the Olympics
B	to see the diving? yes
A	we saw diving and we saw
B	basketball
A	was it basketball? I thought it was and something out women's something but I can't remember what another ball game it was a ball game I didn't
B	women's football?
A	no it was a ball game I didn't really know
B	women's cricket? women's hockey?
A	no because I know those don't I
B	hockey
C	volleyball
B	oh it could have been
