A	okay so we're on to erm voice recording so
B	I think they call it
C	foot doctor
B	foot care but they just clean it and check
C	yeah
B	so if it's an ingrowing toenail you just
C	it's gotta it's gotta be the only thing isn't it?
B	it's the nail
C	it can't be anything else
B	it's the nail
C	all of here is normal
B	yeah try and cut the you your nail's too long it's probably pressing on your shoe and hurting
A	definitely
C	yeah?
A	yeah
B	cos that's what I have that was wrong with mine was that I had this very long second toe
C	yeah
B	and if I if I don't cut the toenail
C	I've got a long second toe
B	it's like pressing
C	yeah
B	to the the nail's too long and it's pressing and hurting
A	mm
B	so cut it first and try and clean it out with a
C	with a scraper
B	yeah but all along the edge and never cut this off
C	yeah
B	that should be
C	so keep it square?
B	keep it square yeah
A	so do you think that'll solve your toe problem?
B	I had that before and it hurt like hell
A	and does look like you need to cut it it's a bit long
B	it's really long I think it's just
A	yeah
B	pressing on your shoe
A	and you've got all that nail polish on it what's all that there for? it's like it's falling off
C	alright it's left over from summertime
A	oh so it's
C	what do you mean? it
A	been been there since the start of summer
B	it's only nail polish
A	since January?
C	ha ha
B	are you recording now?
C	it's hardly your toes are hardly the life and soul of the
B	we're talking about her feet
C	party
B	and you're recording it
B	but we're talking about feet
A	no no they'll
B	it's
A	what's the name
B	we're er
A	of the lake?
C	we're in the
B	we're in
A	aye
B	the botanical gardens in Stockholm
A	okay
B	yeah it's twenty-fourteen
C	record
A	hey I'm not introducing anything I just wanna know where we were
C	oh
B	the year is twenty-fourteen
B	for future generations who are gonna
C	yeah
B	you know
C	put it in a time capsule
B	future
A	this is your this is your time capsule is it?
B	who are going to unearth
C	god
B	this in like two hundred years' time and
A	so
B	and listen to the
C	well it is it's exactly that
A	hey look that guy's he's out on his is he fishing? or what's he doing on his bike?
B	he he lives in Stockholm
A	oh so everybody
B	he's going from A to B probably
A	oh he's just travelling around
B	having fun
C	have you pressed the record button yet?
A	er er er do you think I'd be holding the phone like this?
C	I don't know
A	I might have I might not have
C	well just let us know if you have or if you haven't
A	I think we're
C	so I'll mind my Ps and Qs
A	you can mind your Ps and Qs all of the time love
C	no
A	I've just noticed how dirty this ground is
B	is it dirty?
A	oh you should see the side of your jeans
B	oh jesus
B	it's alright it's not dirty it's like
A	no it's just dust
B	mossy shit
A	just dirty dust
B	is his car full of Volvo parts?
A	yeah crikey
C	yeah well what's the time?
A	it's about quarter past four I think
B	beautiful
A	so we've got a while it's nice isn't it?
B	the sun is
A	it's just nice
B	shining
A	to have the sun on you
B	and it feels like late summer very romantic feeling
C	oh yes? is it romantic
B	and we're looking out on the water
A	it is
C	tell me what your definition of romantic is
B	it is
C	what the autumn
B	the nature
C	romanticism
A	being out in nature
B	yeah
A	well and you can well and you can see the guy who's painting that chair as well
C	yeah getting it
A	mm
C	ready for romantic couples
B	yeah a romantic winter
C	mm
A	so what does a ferry come along here or something? for for the botanical gardens? is that what the dock's for?
C	I don't I don't think the ferry's out here love
A	well what's the wharfy jetty thing for?
C	well maybe just for people to go on a boat
A	it's for local people to come in and kind of jump off?
C	yeah
A	I think so if I had a boat I would want to be able to stop off at the botanical gardens
B	there was a jetty on our side of the lake and the farmer took it away because people were coming there to swim
C	god that's mean
B	I know he didn't want people to come
C	god
B	shitty
A	well they're not very nice here in
B	yeah the lake
A	at the lake? at the
C	it's his land
B	lake lake
A	it's his land
B	yeah but you know who cares?
C	yeah
B	it's just a bit of forest which is
A	so did you did you have a boat before?
B	no we just
A	oh right
B	we they were we there's a local boat where you can get the key from
A	mm
B	the supermarket where we went the little shop
A	yeah
B	but now somebody's taken it
A	what they've taken the boat?
B	yeah
C	oh they've stolen it?
B	I think they just let it go free in the lake and it got
C	oh
A	oh that's no good
C	that's a real shame
B	it is
A	oh it's kinda
C	yeah going
B	yeah
C	to do a
B	he can start now
B	he has a book about how to make books with er how to make boats out of plywood
C	wow
A	has he
A	has he tried some?
B	no
A	oh well a book's not gonna help you if you don't try it out
C	well it sounds like you're gonna be Mr Motivator
B	he says he needs to do it indoors
A	have you noticed how these trees have got seeds like the Broom trees?
C	which Broom trees?
A	they're the ones that in the sunshine they go black and then when they get hot enough they all kind of burst open and they pop
C	what the Australian trees?
A	erm it's a New Zealand tree Scottish trees have them too
C	oh Broom
A	it's like a bush
C	sorry I was
A	it has yellow yellow flowers on it right?
C	but Broom's a bush isn't it?
A	yeah but this is a tree with the same kind of looking seed pods and stuff yeah?
B	I had
A	but you forget a lot don't you?
C	there needs to be a tree app
A	a
C	yeah you just put you put your mobile up to the bark or something or the leaf and then it'll tell you what it is
A	I reckon you have to look at the leaf don't you? isn't that how they the botanists work out
C	mm
A	off the leaf?
C	I suppose there might be a few give er giveaways bark and the fruits and the
A	and the seeds things
C	conkers
A	cos there's an oak tree you
C	yeah
A	it's kinda cool
B	I reckon if you cut your toenail it would be better
C	yeah it's really weird I've not had it before
B	oh right
C	toenails the other day it was strange cos they were really long before
B	how can it be longer than that? longer than that
C	oh my god you should
B	would be like a claw
C	yeah they were
B	like a chicken foot
C	I've got I've got
B	it's gross
C	it is gross
A	and
C	well you should have seen my mum's nails oh my god
B	did she
C	they
B	wear sandals?
C	oh no like
B	yeah?
C	you know like really too much
B	yeah
C	whatever
B	yeah
A	well it sounds like you wanna do something about that maybe you need that Vietnamese pedicure
C	I definitely need something to happen
A	do you think you can find them in Cambridge?
C	well of course you can
A	oh yeah
C	although I don't like the idea of the price of it though that's the thing
B	I get my money's worth
C	yeah
A	what did you get
B	I think the
A	yours done in Asia?
B	my feet are no I'd get my money's worth here because it's my feet are such hard work
C	you would
A	they have to really kinda
B	filing them and scrubbing them for one and a half hours
A	oh okay
C	oh well you
A	so what you pay
C	should have seen what happened to
A	pay a flat fee?
B	yeah
C	to the Chinese pedicure
B	yeah
C	they had to take out erm they had to take out a flame thrower
C	to burn off burn off the bottom of his
B	cos you
C	his sole
C	yeah cos it was like a
A	cos it was so dead it was all dead
B	yeah
C	they burnt it off it was the quickest way
B	burnt it off?
C	yeah they
B	where was that? did they
A	er no no they they
C	they did or they
A	no
C	and I'll tell you what they
A	they used the flame
C	did they
A	the er they used this they had like a proper chisel tool
B	where?
C	in China in Chean
B	oh yeah oh yeah that one
A	this razor sharp chisel right?
B	yeah I know it's really sharp yeah
A	and they used the the
B	yeah
A	flame thrower to to like
B	yeah
A	sterilise the chisel
B	yeah
C	and then they
A	yeah
C	just
B	I've had it in China
C	burnt burnt burnt this
A	but they basically just use this one bit knife thing
B	yeah
A	to cut everything
B	oh
C	it's scary
B	what like like peeling an orange
A	so they do your toenails
C	yeah
A	and they
C	oh
A	cos they kind of
C	it's scary
A	scrape the skin off you and
C	it's such a scary thing
B	but they do it
A	such a weird
C	they are good at it his feet were like little baby feet at the end
B	my my woman's
C	what did she do?
B	industrial
A	ah
B	to take all the
C	she put it on your
B	hard skin off
C	on off the off the bottom of your
B	yeah
C	foot?
B	yeah
C	of the sole?
B	yeah
C	oh
B	and then I had it done in Singapore and erm I was looking at it my god how much skin came off
C	really?
B	and the woman says do you wanna take it home and make soup?
C	oh my god
B	such a
C	oh
B	for you
C	oh
A	oh no
C	oh
A	oh that's horrible
C	er you never know
C	with them though
A	yeah
C	do you? whether they're laugh
B	yeah
C	into a soup
A	oh imagine what they'd do with all the bits of leftover
C	oh they're probably gonna burn it
A	well you know like what do hairdressers do with all the extra hair that they have?
C	I dunno actually
A	it must be really weird
B	if you put it around the garden it keeps cats away
C	really?
B	yeah
A	is that like leaving bottles of water so the dogs don't crap on your lawn?
B	why would that work?
A	oh it's how they do it in New Zealand they
B	really?
A	just take a clear bottle of water
B	yeah?
A	like a full bottle of water
B	yeah
A	and just lay it out on the grass
B	yeah
A	and dogs won't piss there
B	why?
A	or shit there I dunno
B	that's amazing
A	I don't know but that's how that's what happens
B	but maybe they
A	if you don't want any
A	don't want a dog to crap on your lawn that's what you should do
B	put a plastic bottle of water
A	just put a plastic bottle of water out
B	oh my god that's amazing
A	yeah
C	I don't think it's quite a tried and tested method of that though so
B	I wish it were would
A	oh it is it's well they use it everywhere
B	but how do they deal deal with cats then?
A	oh cats you just shoot
C	yeah handgun
A	well if there er if there's a cat around you've got gotta look for the witches don't you? so
C	mm
