A	something to eat dear?
B	I think I'll have a curry
A	so will I a large one cos I'm hungry
C	what are the curries like here?
D	they're not bad
C	yeah?
B	yeah they're not bad at all
D	I had one
C	I'll give it a try
D	I preferred it to the takeaway
B	that's the they're the different curries today
C	do you want this one?
D	no it's alright
A	do you get chips with it?
D	no
C	curry
B	you can have a portion
D	can have a
A	a portion a portion of chips for me as well
C	so they've got a tikka a jalfrezi sweet
D	I preferred this curry to the one from the takeout
C	is it all of these ones?
B	yeah
C	oh right that's pretty good
B	it is today
D	six fifteen and includes a drink
A	yeah that ain't bad
C	oh that is good what drinks do they include then? is that on here?
D	yeah it's all the Kronenbourgs and the juices
B	it says at the bottom of there what the things are
C	I said I wasn't gonna have a drink but
C	if it comes with it
A	well I said I wouldn't
C	yeah
D	oh whatever
B	yeah
D	dad's talking about tins on the beach already
D	oh you can get a whisky
C	yeah there's Bell's only
A	that's what I normally drink Bell's
D	got a bit of er a little bottle of er Red Label for the weekend
C	oh nice thank you very much
D	dad saved me his last drop
A	put it on the on the er tab you know what I mean?
D	put it on the tab and I've got a Blackberry as well
C	oh
D	to replace the Vodafone that doesn't work properly
C	nice yeah that one keeps
D	doing something doesn't it?
C	doing random I trying to ring her and it's it does pick up
D	yeah
C	I get a bit worried it's like half eight where is she?
A	can you you could have brought a phone in
D	yeah
B	it goes straight onto answer phone doesn't it when you try phoning it?
C	er this I rang her three times and it rang every time but she didn't hear it
D	oh yeah oh right I just did it and that was kinda my fault that time
B	ah
C	was that your fault that time? I didn't know if it was the phone
B	oh
C	yeah but
B	oh see whether whenever I try it just goes straight onto answer phone
A	yeah it does on that one
D	don't know we'll see if the other one's any better shall we?
A	could have brought it in
D	erm
B	is that new?
C	that Blackberry's pretty good isn't it?
D	yeah
B	oh
D	I just haven't it's just been in a box since it's got a bit bent actually but it's nice isn't it?
A	large curry and chips please dear
D	I thought that's why I was wearing what what curry do you go for?
A	I go for the the extra one
B	yeah but what one do you want? well you've been having the jalfrezi
A	the one with the extra bits on it
B	no
A	I don't know
D	I might have the rogan josh
B	you get extra bits in all of them
C	that's what I was thinking
B	but I can't remember which curry you actually had oh that's a new one
C	this is different it's not the same as the one in
D	is it not?
C	said it was the same no
D	oh no it doesn't look the same as the one in
C	doesn't look the same at all
D	in
C	they've got different whiskys on here as well
D	they've changed it since we were last here
C	ah
D	when I when I ordered the burger last time it was down in this section they they've updated their menu
C	it's more expensive this is two forty in
D	oh is it?
C	yeah
D	we did one
C	so it is different different versions
D	unless it's just gone up check your menu again
B	that's
C	I was only there like a few days ago
D	alright then
C	last weekend
B	that's sweet potato chickpea and spinach curry is a new one
D	oh right so they've updated their menu again
B	yeah
C	you gonna go for that one?
D	are you getting the large
B	no I don't think so
A	or maybe er
C	what what tickles your fancy? what do you normally have?
B	erm the jalfrezi I think is it?
C	yeah chicken jalfrezi
B	yeah
A	is that what I normally have?
B	I think so
C	I might go for the lamb
D	mm rogan josh
C	is it curries all round then?
A	yeah
D	yeah looks like it doesn't it?
C	sounds like a good idea are you getting a drink?
D	ah probably
C	I mean it does come with it
A	it comes with a drink anyway
C	it comes with it seems a bit silly not to get it doesn't it?
B	I might have the rogan josh actually cos we don't often have a lamb one do we?
D	I like it I'm tempted by the chicken tikka masala
A	I'll have a chicken tikka masala
B	well that's what you have normally off of that menu when that's what they do any er
D	anyway
B	anyway they always have that one you don't normally have that on not when not when it's curry day
C	that guess it's pointing not
D	oh yeah
C	the ambient sound
B	you could that's going large you can have that with all of them
A	right let's get that then
B	it doesn't matter which curry you have you can have that with it
A	alright rose petal go and get it
D	I'm still debating give me a second
C	you having chips with it
B	so you make your curry large by adding a vegetable samosa and a large onion bhaji
A	that's it that's it
D	ah
C	does it make the actual curry large? or does it just
B	no
A	no
D	no you just get a bhaji and a samosa
C	you just get more
B	yeah you just get a bhaji and
D	I dunno whether to make one of ours large how much is a large then?
C	we can make one of them large and we'll share the samosa and the bhaji
D	bhaji
A	and their portion of chips
B	I think it's an extra pound
D	and er does it not come with where did the chips come with the?
D	ah right
A	but I I don't like them wafer things
D	no yeah
C	poppadums
D	poppadums yeah they're a bit of a nonentity aren't they?
A	yeah waste of time really
D	I don't know whether to get a rogan josh or a chicken tikka masala
D	alright alright I
A	yeah you did
D	so maybe I'll get the tikka masala or a chicken balti
B	oh I think I might have had the rogan josh last time when you had it didn't I?
D	yeah
B	cos the lamb was really like
D	tender
B	tender wasn't it?
D	yeah it was tender lamb
C	was it good? I'm definitely going for that then
D	alright me too
A	so we'll get three of them and a chicken thingamajig
B	a jalfrezi
C	and is one of ours an extra pound?
D	yeah
C	we'll share it
D	yep
A	we
D	and dad wants some chips to
A	and chips
D	what beer do you want dad? Kronenbourg
A	that'll do
C	I'll have Kronenbourg as well
D	two Kronenbourgs
C	it's pretty good isn't it? six quid for a beer and a curry
D	curry yeah you can't really beat it especially I mean as you're gonna pay a load more somewhere else but then you're paying quite a lot more and is it really that much better?
C	did you see that noodle house just as you walked down?
D	yeah yeah yeah
C	it's like eight pound for a tiny little bowl of some noodle thing
D	oh is it?
C	it's terrible
D	I went I went to the menu just over there the Middle Eastern place it's about eight or nine pound a dish but I reckon it might be quite tasty
C	yeah
B	so if I get a a lager as well will somebody be able to finish mine off? cos I won't be able to drink a pint
A	yes
C	course he will
D	yeah
A	yes dear go up there get your card out
D	shall we order then? are you two gonna continue talking?
C	yeah yeah are you going up as well?
D	yeah well just
B	come up with me
D	do you need a hand? yeah
C	or I can go and
A	yeah go on then
D	alright then you go and give her a hand
A	and
D	and we'll continue talking shall we? is that better? and a portion of chips
A	yeah chips
B	chips
C	so what was it? are we both one rogan josh one of them's big
B	yeah
D	yep that's all you need to remember
B	three three rogan joshes
C	well I'll remember ours you remember yours
B	one large
D	one chicken jalfrezi and four pints of Kronenbourg
B	and a portion
A	yeah a portion of chips and two bread rolls
C	page fifty
B	table
A	and two bread rolls
D	er two bread rolls
A	can expect that of course
D	no you can see the motor from here
A	that's what I said yeah
D	that's alright isn't it?
A	nothing
D	dying for a
A	well yeah
D	yeah I know but panyard and panying
A	yeah
D	all this all this vocabulary you've enriched me with dad it doesn't mean anything to anyone else
A	yeah I mean when you when it was raining hard you say it's legging hard really
D	oh do you say legging hard as well? yeah well what did you call your dad just dad?
A	yeah
D	and your mum mum?
A	yeah or or father
D	you didn't call them
A	no no
D	not ma pa da ma
A	nah nah
D	those tinker names?
A	nah nah called him the old man or dad or father
D	yeah
A	or the old git
D	yeah we just call him the old man don't we?
A	mm
D	yeah how's
A	yeah I mean
D	yeah yeah
A	that's the trouble
D	he's still alive though so
A	oh blimey yeah and he still has his Tennent's every day
D	I mean his body must be pretty strong really to go through all that
A	well yeah yeah
D	how old's how much older is he than you?
A	only a couple of years
D	oh is he? I always think of him as being quite a bit older than you he's always got
A	well yeah
D	he doesn't always got more of a sunken face and that hasn't he?
A	yeah nice looking car that innit really?
D	I know it's nice when you come up in that
A	the the new one's even better oh
D	I don't mind the car that's in front of it it's
A	yeah
D	although I bet that boot's not very big
A	yeah nah that's the trouble
D	oh that car's still fine for a few more years
A	but you couldn't park much closer than this could you?
D	no you could bloody see your car dad
A	I mean he was there look and still see him out the window
D	yeah that's true
A	I could have still parked behind that one there even
D	you're tucked away nicely there though aren't you?
A	yeah yeah
A	plenty of room round there they come out that bit or go in there there's plenty of room
D	they've got a badge on their dashboard too
A	yeah I see it yeah
D	I bet there's some real ponies in here
A	yeah yeah they don't they don't
D	no
A	especially when you know your way around
D	mm yeah you know all the spots to park then
A	we're getting used to it now though ain't we?
D	mm mm maximising it
D	mm
A	let's get over there
D	yeah don't
A	oh
D	oh wasn't gonna do this today were we?
C	cold pint of Kronenbourg no never mind
D	oh well I won't study now till tomorrow
D	pick up from where I left off didn't get anything done today either just tidied up and
A	you see them little tables?
D	yeah nice dad
A	alright aren't they?
D	can't think where to
A	I mean you just set them up like this
D	yeah
A	you just put your laptop on them and
D	yeah
A	well sit on the settee
D	have your dinner on it and that
A	have you dinner on it or you can sit there on the
D	yeah that is
A	yeah
D	erm which is a bit annoying cos keep I have to clear it off with all my work stuff on it cos when we were sat on the sofa we were sat on a chair and the chair came down lower than the sofa and
A	yeah yeah and it's never been used
D	no
D	that's good isn't it?
A	I'll have a look at that bike when I get get back and all for you
D	mm
A	remind me
D	I'll set up my phone while you're there make sure it all works alright
A	yeah
D	erm how much did
A	doesn't matter enough
D	yeah I bet
A	well I thought of you straightaway
D	yeah
A	cos I know that one ain't that good
D	and it works I mean I don't use it for much
A	it's only one for the
D	but if this one's quite it's true if that's got free wi-fi on it
D	yeah dad's a bric-a-brac man isn't he?
C	bric-a-brac
D	can I go for a wee now?
B	yeah
D	I've been busting for ages
B	oh I need to go as well
D	started er I said to
C	oh what?
D	you know I said to you the other day what's a panyard?
A	or
C	never heard of it
D	and it means raining hard but we also say I just said it I'm going for a pany
B	pany it means a wee
D	I only use words like that when I'm in the company of family
C	stylistic variation
D	yeah yeah I definitely
C	the gypsy blood comes out
D	yeah
D	go for a pany or legging it yeah legging it's raining hard
B	legging it is running
A	is raining hard
D	yeah and running raining he says legging it
B	legging it I thought that was running if you're legging it
A	nah legging hard is raining darling
D	guess you can say anything hard can't you?
C	there's a lot of ways of saying it's raining
D	yeah
B	well I've heard legging it for running
D	mm
A	yeah if it's legging hard raining
D	used to say
C	leg it
A	if you wanna leg it you run
B	I haven't heard that before not for raining
A	ah well
B	my bag's there
C	you off as well? how was Belgium then
A	lovely
C	you enjoyed it?
A	food mm
C	what did you have?
A	oh steak burgers er biscotti thing oh that was lovely
C	yeah nice
A	and the bowl it come out in was like a spare wheel
A	oh gorgeous it was really nice
C	would you go back there do you think?
A	yeah
C	yeah
A	yeah
C	great stuff
A	the only thing is driving was fine knowing where you're going is different
C	yeah not the same
A	because if it says
C	you're on the other side of the road I mean
A	blah blah blah blah
A	when in fact you know you don't know where you're going
C	no
A	but yeah I mean driving is just staying on the right when you go round a roundabout you're not that way you're that way
C	it's just everything in reverse
A	and then you stay on the right again
C	yeah you didn't go wrong many times or?
A	no no no no
C	that's good
A	no I think I did once and then I soon corrected that was on a little road no traffic and I corrected it
C	yeah yeah my dad did that once he was going quite fast on the wrong side of the road
A	yeah ah
C	oh crap there's a car coming
A	and you've gotta be so careful but yeah we done well
C	oh that's good
A	yeah got lost a couple of times but
C	how long were you there for?
A	only three days
C	yeah three
A	two nights and a day yeah
C	but you spent a night in two different places?
A	yeah yeah yeah we went
C	oh yeah nice
A	it was like a just one big room boarded like a toilet and bathroom and kitchen all in one at the back yeah it done for the night
C	it had a kitchen in it?
A	yeah yeah
C	you make your own tea or coffee
A	yeah but there was a bistro right next door
C	yeah
A	and we ended up eating there in the end oh dear
C	was Bruges nice? where did you prefer Antwerp or Bruges?
A	for the market in Bruges yeah definitely
C	er
A	yeah there was hundreds of stalls once a year they opened it and there was just well they reckon between seventy and a hundred thousand people visited in a day
C	god
A	it was huge absolutely huge
C	it's like a massive festival isn't it?
A	yeah yeah
C	did you find were were the prices good in the market?
A	yeah weren't bad yeah
C	all in euros?
A	yeah oh yeah in euros
D	the food sounded amazing
C	it did sound nice
B	oh
D	it shits on our
C	Europe's pretty good on that front
A	oh the bread
D	you can see why Europeans come here and like British
A	I mean the bread over here's crap to that over there
C	yeah
D	yeah
A	weren't it? it was really good over there weren't it?
C	it's even worse in Korea
D	people were really friendly and treating them well
C	and it's so clean and tidy and over there
D	should be
A	yeah
D	no
B	when we went to Bruges the satnav the last roundabout you come to the satnav turns you right
D	yeah
B	so which was wrong and we went down and it wasn't there and then this little man come
C	he took you?
B	so off he goes on his little bike his little old legs going
A	road no no no he goes back back back and away
B	and then he
D	is it just cos he was little? was he was he a midget?
B	no no no
A	no no
D	oh right sorry
C	why did you think he was a midget?
D	you said a little man
B	well it's cos he wasn't very tall
D	oh right
B	you know he was just a
A	about the same size as mum
B	no he was a
D	just wondering why
B	well yeah because his little legs were going because we were in the car you know
D	ah so he was going really fast
B	yeah
C	so he was cycling really fast
D	ah
A	and he took us there
B	and he
A	ah that's nice of him
C	it's amazing how kind and helpful people can be when you need
D	they really are
A	out of the blue
C	the amount of times we've had some people just help us for no reason whatsoever
A	he could think we was lost
D	in every country in every country you realise that people aren't what the news makes it out to be
C	no they are genuinely kind and
D	the majority of people are just people
B	are just yeah are nice
C	I mean some people do wanna rob you but they're everywhere
D	yeah yeah
B	yeah
B	happen
D	I mean other than like on the underground or something which is you know
C	yeah have you seen the movie In Bruges at all?
B	no
D	it has a midget in it
B	oh has it? is that why you asked?
C	it's got Colin Farrell in it
D	it's quite er
B	oh
C	it's probably one of the only movies I like him in
D	it's quite funny
C	yeah a little bit rude in a couple of places but
D	it's a little bit rude yeah
A	oh what about that what about that what about that road we walked up?
C	oh fair
D	oh
A	yeah standing like that
C	red light district
B	yeah
A	jet black I thought there's a mannequin what are they doing selling it in there?
D	yeah
A	like
A	I said to mum let's get outta here
B	and the whole street was like it
D	oh
A	yeah
B	the red light district yeah
A	yeah well they're white black and all
B	well it wasn't far from the from the erm
D	I wonder what their if their laws are very similar to Holland in that
C	they must be
B	and then the
D	yeah to have an open shop for it they weren't on the street they were in windows?
B	they were in the windows inside
A	yeah
D	it must be like Holland then
A	yeah
D	it must be legal it must be
A	yeah
A	I think mother said just get out of here
B	and another a bit further up there was another street like it wasn't there so
A	yeah
B	so obviously
A	so we missed that
B	we wandered into the erm seedier part of Antwerp
D	yeah
D	it's weird isn't it seeing them in the window?
C	we did that in Japan didn't we?
D	we were desperately running around trying to find somewhere to call to call in New Year
C	and ended up in the red light district
B	oh
D	cos we were in a weird kind of city it was obviously in the wrong part of the city and er we were going in and out and we went down this road and there were just pictures of Japanese women's faces looking innocent enough but we knew it couldn't have been quite right but they were all like it and we were like we ended up in some golf bar or something
C	or something
D	with the four of us calling in New Year absolutely smashed
C	we were hammered
D	we had a couple of bottles of Jameson's in our bags in the evening so you know
B	who was that with?
B	oh
D	we've got some great photos of us looking horrible
A	good fun
D	yeah
C	good so you'll go again do you think?
B	yeah
A	I would yeah yeah
D	I'd love to come with you to Belgium
A	yeah
D	maybe we should try and make a trip of it before we leave the country
A	yeah
B	yeah that'd be nice
A	I really I really enjoyed it
D	even if we just go into Bruges and
A	yeah that's what
D	and maybe they
C	lovely really lovely
A	yeah the
D	from the war
A	and the chocolate
C	if you watch that movie it's all set in in
A	there's dozens of shops and all this dark
B	didn't buy any chocolate
C	no chocolate?
A	no
B	no
D	they found cheap whisky but they never brought any bottles back with them
A	no
C	oh my gosh
D	dad's been saving me his last little little bit
B	yeah well we thought we'd find it again but we didn't
A	give us that bit
D	ah
C	I don't like dark chocolate though my fault
A	oh I love it
C	do they have good white chocolate there?
A	oh yeah yeah
B	yeah yeah
A	but I like the dark best anything dark chocolate I all day long
D	dad likes I've been buying him that hundred percent stuff what is this? throwing cash around in Wetherspoons
C	a massive wodge of cash
C	bloody hell
C	you should get lunch then shouldn't you?
A	put it in Nationwide while we're here
D	well yeah
B	that's three hundred that
D	wow
A	alright
B	some
A	I bought some games fifteen years ago for fifty P each
B	for for Nintendo
A	and I put them on Ebay Nintendo games
D	you bought them for fifty P?
A	yeah
D	I didn't really I wondered how much you gave for them
A	and and we just got four hundred or something for them but they take their bit out of it
D	you shouldn't
A	you haven't
C	I wish my dad had given me three hundred quid when I see him
D	no wouldn't give me a kiss
A	well ain't the
A	it ain't
B	that's what I wanted the bank for
D	oh right that's what you wanted the bank for?
A	and I thought well Nationwide's only here innit?
D	yeah
A	if you wanna put it in there
A	that's what I said
D	our joint account
C	thank you very much
D	we share my money these days you see
C	you've still got your old account put it in there
D	well
A	that's what I said to mum
D	yeah thank you so
C	I said I wish my dad'd do that I end up paying for him every time I see him
D	he talks a lot though so you you owe money for the
D	he is talking
C	not enough
C	happy birthday by the way
D	thanks dad
A	no
D	you're as young as you feel eh dad? I keep you nice and young
C	it's a landmark
D	when your baby's twenty-seven you've got to be at least
A	thirty
D	fifty-odd haven't you?
D	thirty yeah
C	you're mid-fifties aren't you?
B	yeah I'm late fifties now
D	she's thirty she's got thirty years on me
B	yeah
A	the trouble the trouble with mum as she's getting older she's getting shorter
C	you shrinking?
B	no not yet
D	she hasn't started yet
B	I've always
C	I did think earlier when I saw you
B	I've always no I've always been short
A	when she walked in the sunlight she used to throw a shadow she don't anymore
B	I don't think I haven't got any shorter yet have I?
C	no
D	that's a good one for you
B	I know you do get shorter as you get older but I don't think I've started shrinking yet
D	no you haven't mum
C	shorter what happens? is it just like
B	well your muscles shrink
C	are they just compressed?
D	yeah yeah
B	your muscles
D	cos your bones aren't
A	oi in ten years time you'll be a dwarf
B	I mean my mum was
D	yeah you've only gotta be like under five foot
B	five foot four
B	or five foot two between five foot two and five foot four my mum's height she was four foot ten
C	that's quite a big difference isn't it?
D	er regular regular yep that'll be easier just pass it along mum to
C	let's get rid of all this let's make some space shall we?
D	yeah
B	thank you
D	we don't need these condiments either do we?
C	no
