A	yeah
B	once a week
C	once a week
A	oh it is once a week?
B	mm
A	and how does it work do they collect every
B	they
C	cardboard and plastics
B	plastics and bottles in one bag
C	bottles
A	yeah and cardboard in
B	and cardboard and paper in another
A	in another
B	and food in another
A	but they all they all go out on the same day?
A	ah okay on the same day?
B	on the same day yeah
A	okay
B	you can probably find out on the internet for yours
A	oh yeah that's true just look it up
B	yeah
A	and then put out the
B	yeah
C	yeah
A	that's how we get rid of our rubbish
B	yeah
C	yeah
A	see we feel silly because we don't it's not that we it's not just asking the bin day it's asking how we put out our rubbish because we don't you know in in Korea you have to put you're your general rubbish in a particular rubbish bag that you've bought and paid for and that's what pays for the rubbish collectors
B	oh
A	so you can't put them out in general rubbish bags it's illegal and if they find out find you're doing it although you can get away with it a lot erm but if they do find you doing it in your apartment block so they'll find erm
B	ah
A	which has happened to people we know happened to one of
B	mm
A	there are like three no I think there are four rubbish bins outside our flat so I assume one of them's for our flat
B	yeah
A	like black rubbish bag bins so
B	yeah
A	just try and see if any of them are labelled too
B	what? out the back?
A	no out the front
B	oh I never noticed them
A	yeah
B	oh
A	on the
B	will
B	yeah
A	er a friend of a friend I know
B	ah
A	I suppose
B	mm
A	it's ridiculous
B	mm
A	but there is definitely I went up the stairs to see if it had maybe number four on the upstairs one still or something and it says number five so I don't know who's in number five and it doesn't seem to be registered unless it's new or something
B	you're three aren't you?
A	yeah we're three
B	and the one next to you
A	is four
B	oh is there two downstairs then?
A	yeah there's one and two as you go through the door
B	ah
A	yeah so I dunno who gets the garden I
B	ah
A	the other two flats must be quite small I feel like
B	mm
A	that's where their kitchen is but the people next door to us don't have that extension part do they? oh do they? oh maybe they do
B	mm
A	don't really quite understand it
B	no
A	got some er
B	I know
A	you know your way there don't you more or less?
B	well not really
C	no not really no
B	I mean we know this bit
C	just turn it down a bit
A	I don't know
C	not me
A	no not much
B	no I haven't either
A	dad's never
B	wasn't this loud coming down
A	dad
B	was it?
A	yeah it was well I could hear it
C	no it wasn't because I had to tell yous two to keep quiet while I listened to it
A	yeah because I was talking over it then now it's just
C	you don't stop talking
A	this is my way
C	you're a chatterbox like a parrot
A	cheers
