A	they refused to buy furniture so
B	well no no exactly
A	our parents had give us stuff
B	bits and bobs
C	yeah bits and bobs exactly
B	trying to think is there anything you need that you don't have?
A	not really now
C	did you say is that cucumber?
D	is that a cucumber plant?
A	ah thank you house warming
C	we have access to
A	you know I see them
C	I'd be tempted to get some long secateurs or something and try and get some of these
A	this one of
B	I presume it's like sports day but yeah looks like looks like right er
C	is that
A	looks like
C	he's got bigger hasn't he?
A	but he's I mean he was only four then he's eight next this month they're getting too big
C	is that going to be your wedding dress then?
B	oh maybe I don't mind looking on the Oxfam shop
A	yeah
B	they sell them online actually
A	yeah when do you have to start making those kinds of decisions?
B	don't know? don't know?
A	not yet
D	I well I had a ban on wedding talk until we got back and obviously we're back now which is a bit unfortunate cos
B	yeah yeah
C	there's there's no avoiding it
A	well no yeah yeah how long were you in America for?
D	three weeks
B	three weeks
A	oh three weeks
C	oh brilliant
A	that's a good amount of time
C	where were you in America?
B	er we were literally just doing erm
A	oh I didn't realise did your parents go out too?
B	yeah yeah
A	ah
B	so we all we all went out and then
A	nice
B	which was expensive
C	yeah I bet
A	but a nice holiday
D	really was expensive
B	yeah
A	was it nice there?
D	it was
A	worth it?
D	see I I didn't think I thought it was very similar to anywhere else that you could have gone obviously they've got
B	on the coast
D	art deco
B	the architecture was amazing
D	the architecture was the only reason
B	the beach was really nice as well
C	is it quite a Hispanic influence around there?
B	yeah Cuban
C	yeah?
A	yeah I imagine there is in
C	I'd like to go there for that reason
B	yeah they've got an area of the city which we didn't go to which is known as
D	yeah not the safest of areas
A	there's a lot of Spanish were you spoken were people speaking to you in Spanish?
D	yeah
B	yeah there's a lot of yeah so I mean yeah we got asked a few things by people in the street looking for directions in Spanish
A	yeah
C	I heard in the airport it's like all in Spanish
A	yeah we've
B	to be fair like even in Orlando and other bits of America you get a lot of Spanish
C	yeah yeah
D	yeah like most of the American our American friends
B	Florida particularly but erm like
D	yeah she speaks but most of them speak Spanish
unknown_female	yeah
C	all Americans put
B	they do it in schools
A	yeah they do know a bit yeah
C	they're not as good as they make out they are though sometimes
A	sometimes they are
C	we've met quite a few American people who that are like yeah I can speak Spanish and then you chat to them and they can't actually speak Spanish
A	some of them can though
C	in general they all know some Spanish
A	they know more Spanish than we know French
C	yeah
B	we don't have a lot of French people that live here
A	exactly
B	it's slightly different when England is
A	if half the culture was French
B	England has kind of got a lot of
A	I mean
B	different people that speak loads of different languages but not a dominant one compared to English
D	no no not a dominant second
A	cos erm America doesn't have an official English isn't the official
C	yeah that's what I heard yeah
A	language
C	I also heard that they think the amount of Spanish speakers in America's gonna overtake the amount of amount of native English speakers
B	English speakers
A	they'll still keep English as the
C	next twenty or thirty years I think
A	been reading linguistic books
C	do you guys want a drink or anything?
A	so many books
B	erm yeah do you have like a green tea or anything?
A	yeah we do
C	we have green tea coffee some other teas wine anything else?
B	I'll have a green tea
C	yeah
D	do you have fruit teas?
C	I don't know
A	yeah we do I don't actually know if I've got I said yes to green tea but I wouldn't mind
B	if not then a normal tea
A	we do have
C	shall I open the window?
A	yeah sure
B	should probably text
D	yeah
A	super berry redbush
D	oh I'm gonna have a look then
C	yeah go ahead
D	it sounds like a
A	selection
D	what's the peppermint one? is this the peppermint?
C	good for your stomach
A	there's two types of peppermint
C	so you enjoyed America then?
B	yeah I think erm cos my little brother we took him to New York when he was like maybe eighteen months old
C	yeah
B	so that's his only time on like a big flight
C	how old is he now?
B	he just turned twelve
C	yeah
B	and
D	yeah it was really hot like it was really hot
