A	so
B	well I I it was good that I left early this morning because I erm it was a bit further than I anticipated and so I had to
A	you weren't leading it?
B	no no no I wasn't the leader erm I can't remember who was
A	and was it
B	it was
A	undecided
B	well we went to the village of
A	well there's quite a bit of it
B	mm
A	I mean we went up here years ago
B	mm
A	that may be the last time I went do you remember there was a snowy weekend?
B	mm
A	one January?
B	I don't
A	well it is kind of a bit difficult to
A	I mean it's all kind of flat and looks the same really
B	yeah
A	I don't think they had a
B	well they've got a cottage which is a
A	well did you go to the main entrance? I'd have thought there was only one
B	no we didn't no no no er somebody else said we think we're sneaking in the back door
A	mm
B	we seemed to go through lots of fields and things the one that's really nice there was okay winter it was fairly low sun but because there wasn't much cloud there was the sun behind all the
A	oh now that the funny horses we saw from a walk from the walk from
B	yeah was that with
A	yeah is that the same place?
B	yeah yeah
A	I don't really know the geography but you said you might head for
B	yeah well yeah I got there via
A	mm
B	but that quite happy on the quite coarse grazing there we saw some highland cattle as well both were quite a long way away the horses looked very suspicious they were watching us go there was about twelve of them they were
A	I wonder if you'd gone into
B	I don't know I don't know I don't
A	well did you?
B	no not at all there was no we didn't go through any barriers or gates or anything
A	and not even at the
B	no no that was at the side of the public road you know?
A	mm was that part of
B	it
A	mm
B	it seemed to be a
A	mm
B	you know but I don't know if that was actually a National Trust building at all
A	mm and you had your lunch in
B	yeah the pub was very nice the
A	does do they just have one do you think? is it that sort of place?
B	yes I think so it's not a big place but the the funny thing was just as we were about to set up another walking group arrived and they were having lunch at the pub as well so we
A	mm
B	there wasn't a spare space anywhere for food so they obviously they the food was very good so they've obviously got quite a reputation
A	what did you have?
B	oh I had stroganoff
A	uhu
B	which was superb somebody else had a sandwich which came a doorstep sandwich which came with a load of chips and green stuff and they were only expecting a thin
A	mm
A	so everyone was happy with that one?
B	oh yeah oh yeah I think everybody did well you know so what have you been up to?
A	well erm largely sorting out my online accounts which I made sure I could access them properly I also just wanted to update my well I wanted to be sure I knew what sort of interest I was getting on accounts
A	because when my pension comes through I'll have the opportunity of putting some more money in
B	mm
A	an interest
B	mm
A	er in a a savings sort of account
A	erm and also setting up an ISA for the year
B	have you have you found anything worthwhile for
A	erm
B	interest-wise?
A	well I know where I'm going to put my money initially because it's always easier to open another account with a building society
B	oh yeah
A	you're already with
B	but we the National
A	mm
B	but they may have gone down after the first year all of these things seem to go down
A	yeah
B	after a year
A	yeah
B	don't they?
A	and erm oh there is
B	interesting interest?
A	I think it was a Tesco account
B	yeah I had some money in that but they've they sent me a letter saying they're reducing the interest rate to the square root of bugger all you know?
A	oh is that their current account?
B	no no no I had erm I just had a a a savings account
A	oh
B	of some description I think it was kind of at two percent
A	well have a look again
B	yeah
A	and cos I think you can get if you do an internet one you can one point seven five for the first year
B	mm
A	so I'm going to work on the current account cos you said you get some interest on that
B	from from which which
A	Tesco
B	mm no I didn't say you get interest on the current account from Tescos
A	oh I think you did cos you told me you've got one
B	no I haven't got a current account with Tescos
A	well anyway I have well I'm in the process of getting one and then I've
B	well
A	erm but I ought to
B	mm yes yes you of course if you're gonna get a big lump sum you're gonna have to spread it around ain't you?
A	well I've it's not gonna be so large I have to spread it very far
A	but because of the way I
B	well you're a moneyed woman aren't you?
A	the way I've got erm accounts set up erm I do need to fiddle around with my Nationwide one to make sure that's a legit
B	mm
A	erm and they will Nationwide will let you take ten thousand pounds out of any erm account if it helps you get your you know without a penalty if it helps you get your money down
B	oh gets you under the er is it
A	mm
B	eighty-five thousand now?
A	well it was eighty-five it's gonna go down to seventy-five from January
B	oh right oh that's
A	and there's a on one of the sites it talked about and after April I think it is all erm interest account is gonna pay er without tax being deducted so
B	so is that
A	you have to
B	is that
A	declare your own tax presumably
B	oh that's
A	but
B	well that's bloody stupid isn't it? because that means
A	seems it's it's likely to cause more employment opportunities in the er the the tax department
B	in the tax well more
A	well it makes it a bit more complicated I I I can't see any good reason for it erm
B	no I'd have thought it would have been easier for the Inland Revenue because it was all done corporately so they got a big wodge of money from each bank and they didn't have to pursue it
A	mm
B	now they're gonna get little dribbles of money from or little dribbles of sort of tax demands from that millions of people
A	unless they think it's a way of checking if you give so much interest one year and give get a lot more interest the next year perhaps that's a way of sussing out who's got more who's you know who's got money they haven't declared but I mean don't
B	mm
A	unscrupulous people won't actually declare it will they? I mean
B	well no quite yeah
A	you'd only
B	because
A	so it's a bit strange really
B	yeah cos when you fill in a tax return you still have to declare interest but they crosscheck that against what they've returned cos I used to get that when I did the detailed tax return
A	uhu
B	and often they weren't exactly the same but as long as they were fairly close they didn't seem to worry too much about it
A	and have you erm heard about the second home business?
B	no what's gonna happen on that?
A	if you buy a second home or potentially if you buy
B	mm
A	erm you have to pay higher rates of stamp duty
B	oh yeah I've heard about that I'm not I wasn't sure of the erm how it was hedged about with erm advantages and restrictions so cos you know sometimes you don't sell them by at the same time and so
A	well I don't know I mean apparently they're gonna have to have a month or two months to suss out what it might mean
B	mm
A	but I think it's an attempt to try and share the houses round more people
B	well which is not that
A	but
B	I still like Westminster Council's idea that if you're not registered to vote there you pay a lot more tax
A	mm
B	I think that's a brilliant idea
A	well
B	because it catches empty property as well
A	mm
B	that's the thing that so often escapes the net
A	and they might be going to charge people from abroad more
B	mm
A	er well at least as much as everyone else has to pay
B	charge them what? stamp
A	well
B	mm yeah
A	but it might
A	it will make it a bit more expensive for erm
B	inward investment
A	landlords to buy
B	mm
A	multiple properties
B	yes I did recall
A	but I mean unless it's expensive it's not gonna make a huge difference
B	no it'll just push the prices back up again wouldn't it? which is not
A	well it may depress prices for a while it may just put rents up
B	I think the only thing that'll depress prices is building a hell of a sight more houses
A	well
B	well I think the government
A	we don't really want that do we?
B	well I don't know you know
A	well if we want it but it's not in our back garden
B	yes
A	but probably living in the houses in the parts of the country where there aren't jobs would help
B	well that's right yeah and
A	and why build on any more of the countryside? why make
B	mm why
A	mm mm
B	so there must be another reason
A	well I mean maybe it's easier to get the labour down here
B	mm the skilled labour?
A	the skill
B	I wouldn't have thought so we are maybe like yeah I don't know I know
A	well if she doesn't absolutely need a job but could have a job then that puts her in a good position
B	oh yeah yeah she's very highly skilled
A	anyway she may be doing enough with what she's got
B	yeah she's not earning big money but
A	mm
B	and they've paid off their mortgage so they're quite they're sitting pretty really
A	anyway how how are we left with this front door?
B	erm we have to lock it from the inside to lock it the cos you can open it from the outside now if you've not locked it with a key from the inside you can just open it from the outside
A	mm
B	yeah? because it hasn't got as there's a thing called a split
A	I take it he didn't really like the lock you took in?
