B	cos dad was getting panicky
B	she was still in her
A	they're just
B	yeah
A	fuckers
B	I know
A	fucking hate them
B	I was I was
A	like
B	it'll be very interesting to
A	yeah
B	and if they say oh well are you bringing him up? can you bring him round?
A	no piss off
B	no yeah
A	you can meet us in town if you want to not gonna drive to all your individual houses
B	no you know what'll happen is I'll bring him up and I'll drop him off at for you for four days I said to him I said to
A	yeah
B	I had children
A	you know?
B	I had children and I worked
A	and you brought and you know? we've
B	no
A	has
B	one yeah
A	our family is just horrible people
A	well they aren't
B	well
A	like it's because we don't live close to our grandparents if we lived round the corner
B	well I mean I got really angry with er with
A	yeah
A	I know
B	he thought
A	cos then she's like
A	yeah
A	he's not making preventing you from doing it
B	but
A	yeah
A	and I think the difference is because dad has money
B	yeah
A	like lack of trust
B	yeah
A	but cos dad's got his own money
B	yeah
A	mm
B	your father wants you to look into that if you're staying in Cambridge for any length of time
A	he could look into that anyway just rent it out
B	no you can't rent it out
A	oh
B	but you you could have it and rent it out
A	I dunno how long I want to live in Cambridge
B	I know you don't but you don't have to rent the room out permanently you can just say to someone you know till I'm living in Cambridge and then you can sell it after that
A	yeah but I don't know if I even wanna stay in Cambridge I don't know how long I want to be
B	I know I know but the thing is
A	okay
B	but you can get preferential
A	so
B	owning a house is a lot of money but it's also
A	quite negative view but okay
B	it isn't that's the true deal with it nowadays
A	I don't I wouldn't wanna house that I couldn't rent because I don't know how long I wanna stay
B	no you can't rent it out immediately
A	well then find a house you want and I'll buy it under
B	okay
A	can have it as like an investment property then
B	mm
A	well yeah yeah fine
B	and then you can leave
A	and I could leave when I want to
B	and then you could rent a room out to someone as well while you you know while
A	how long will I have to live in it till I could leave
B	probably a probably a year
A	I can do that
B	mm
A	if you and dad found a house you wanted and you can buy it under my name and use that scheme
B	mm
A	that doesn't bother me but I don't I'm not buying a property for me
B	I know you're not
A	like if you and dad want a
B	mm
A	I think they make er something
B	mm mm mm
A	so but like
B	absolutely
A	or making money on it
B	why?
A	cos it's my car
B	alright okay fine
A	I don't need it any I don't
B	well yeah you're still trying to slash the mileage on yours aren't you?
A	yeah?
B	okay how many miles is it to your office from your house?
A	er eight
B	oh that's alright then
A	sixteen miles a day same as what you're doing
B	mm
A	I've got
B	yeah
A	the weekend after that I'm coming home I'm not doing I'm not going anywhere so I don't need
B	the other thing I need to do is call into
A	oh why?
B	cos we've gotta choose a toilet and stuff for the
A	not today
B	oh alright
A	do it another day do it next weekend do it next Sunday
B	alright
A	if we do it today we'll never get into town
B	alright
A	cos I know how long you spend in
