A	I know yeah he said that today
B	there's a guy on my course from Yorkshire
B	but like
C	talks like
A	what who?
B	er a guy called
D	oh
A	me and
B	yeah
A	but where does he come from?
A	what is it?
B	Yorkshire
A	just just Yorkshire?
B	right I don't
A	it's a big county
B	I know
D	yeah
A	it's several it's several Ridings
D	yeah
D	East East Riding of Yorkshire
A	I'm in the the West Riding
A	if I knew he was from I could tell which Riding it is but
C	what's
D	I don't know why it is but that's just what the county's called like East Riding
A	yeah I don't know why it's weird
A	my accent is not strong though really
D	but it's not just one county it's like North Yorkshire it's it's massive I didn't realise Yorkshire was so huge
A	it's big
C	it's like
B	mm?
C	like the way you pronounce the A
D	oh yeah it's it's the it's the O as well
C	yeah O yeah
A	yeah it's like it more like er O and A
D	it's like O
C	yeah
A	or like yeah
D	yeah
C	yeah no I know I do as well
A	yeah
C	cos I remember when I first started working
D	yeah yeah
C	pick it up
D	yeah
D	yeah yeah it's yeah
C	erm
A	he's from erm
C	she it was like she works in an accountancy firm and she's she's an apprentice she's quite young
A	one of the Ridings of Yorkshire
A	yeah
A	yeah
D	yeah
C	they have like a really
D	oh yeah?
C	and she started imitating
D	yeah
C	she was and I was just like
D	it happens yeah
C	yeah
C	oh I get it
D	yeah yeah
C	yeah
D	and I was yeah I
C	my name's
D	everyone's like you know monologue? what's the New Zealand accent? everyone after speaking to her you're like
D	you know
D	you just like speak to yourself
C	yeah
D	in this New Zealand it was so funny
A	and erm
E	East Riding North Riding
A	North North Riding sounds pretty weird doesn't it?
A	no
E	but surely if there's west and east then there's north and south?
A	yeah there must be
A	well
E	no it is pretty neutral
A	yeah
E	er
A	yeah
E	yeah that's slightly weird
D	it was like whatever you carry me around mentally so
C	and I've never realised like
D	yeah and my dad my dad said he was er yeah said he was like
D	er I can't do the accent but I can do a little bit of it like er can you come to the chicken desk? and my dad was like
D	like the the chicken desk
D	he always tells that story I know that so many
D	cos he every Christmas he'll tell it and then every time
E	his
D	every time he meets someone new he's like oh did you know? and
D	bloody hell not again
C	can you come to the chicken desk?
