A	we you woke up at the normal time actually I was awake before you
B	and I was awake before
A	I don't think you were cos we were letting you sleep but it was hilarious watching
B	mm
A	wake up twig that we were what she thought was asleep and then start commenting loudly and talking and
A	just tapping me and all that kind of stuff
A	which is not actually that nice is it?
B	no
A	you should let people sleep
A	it's alright to wake me up but not really for
A	cos he massively needs his sleep
A	we won't do the recording
C	okay mum
A	so why do do you do that to
B	I made a face mark in the bread
A	sorry?
B	I made a face mark in the bread
A	you made a face mark in the bread?
B	yes
A	that's
C	that is just grow
A	gross do you mean?
C	grow
A	grow doesn't mean anything
C	I know grow
B	grow means when something goes
A	but is this what you do to
C	mm
A	do you poke him awake?
A	but you did go to sleep both of you pretty quickly
C	yeah
A	so our sleepover in the living room was quite fun
C	yeah
A	I mean it was like ten o'clock at night so
A	that's it is nearly midnight and it's nearly my bedtime
C	uhu but you were awake
A	I didn't stay awake long I was very tired from
B	do you go to sleep at eleven?
A	I was I was sure I was
C	yeah
A	at the Alice in Wonderland ball sorry
C	and the then when I woke up I started reading
A	you did start reading and then you said you'd finished reading
B	and you'd only read a word
A	you'd
C	about two pages
A	what what do you think of the Alice in Wonderland photos then?
C	good
A	good?
C	they're good
A	they did have photographers there so I'll be able to show you more photos are you alright
B	mm?
A	sit up
C	mm mm mm mm mm
B	I was asleep
A	no you're not asleep
C	mm mm
A	it's actually a really nice day which is annoying because the all the weather reports said that this Monday was gonna be horrible I think it's gonna rain a bit later what I was thinking was we could go to
B	mum
A	could you acknowledge what I've said?
B	no
A	do you want to go to
B	no
A	no?
A	okay so it's got lots right well that's where we went to the winter light thing but they've got that sort of tree house play area and hay bales
C	I think I might want to go there
A	you might want to go there?
C	I think I might yeah but erm is it erm has it got a train?
A	no that is probably
B	it is
A	but that's where you were sick
C	no not that's not where I'm thinking of
A	oh where are you thinking?
C	not
B	well it
C	remember that place where we
B	yeah I know what you're talking about
C	yeah that place
B	yeah it has an ice cream it has a kind of beach place
C	has two parks and
A	ice cream and a beach place?
C	it has a it has
A	is this a farm?
B	no
C	no
A	oh
C	and erm there's a playground and there's a train you go on the train and it comes to another playground and there
B	and no the train goes first to
A	is this is this where I've taken you?
C	no dad's taken us there
B	no
A	right well then no
C	and I think
B	it could be
C	it's not
A	no
B	erm
C	not long ago
B	two about two oh right not for how long we were there?
A	did it take a long time to get there?
C	but
B	no
A	well where is that then? I'd like to know sounds good
B	well
A	is it just a place where it was just a park?
B	erm er
C	no because
B	it's got lots of grassy places
C	well
A	mm sounds good though
C	it's got lots and lots of parks it's got more than two parks but some of the parks erm
A	can you hang on a moment I don't really want you talking when you've got cucumber in your mouth thank you
A	so is it was it really busy?
C	erm
B	it's usually quite busy
C	yeah but so when you go for a walk down erm by the kind of bit with a human sundial
A	with a human sundial?
C	yeah
B	yeah
C	there's numbers on the rocks
A	human?
C	yeah
B	yeah
C	cos cos the sand and the logs
B	I'd
A	you become the sundial?
C	no so there's a sundial
A	how is it human then?
B	erm
C	well
B	I'll say I'll say
C	it's logs there's all logs with numbers carved into them and
B	it's like
C	and you step on the
A	yes
C	and then
B	no you don't
C	whatever it whatever you point at that's er that sundial so if you so if I stand on December I would be pointing at eight
A	I don't think it's months it must if it's a sundial it's to do
C	erm it's erm like
A	with the time of day
B	I know
C	no er
B	shall I just explain it?
A	yes
B	right there are all the months there's so there's January February March April May June July August September October November December and it's January is at the bottom and whatever the month it is you stand on that month
A	right
B	it needs to be sunny cos the shadow of you points at the number points at a number and that's the time
A	so when I said you become the sundial and you said no no that's actually was the case?
C	yes
A	right
C	and
A	okay that sounds very cool
C	if you go down a pathway
A	yeah
C	there's like four five there's four or five erm
A	mm
C	and if you go down to the rocky bits
A	uhu
C	there's like a little pond and you can go and if you go to the other park you can actually go on the boat around there and it's basically like it's a river and I don't think people
A	okay
C	but they're mostly on leads
A	good
C	they gets lots of flowers there
A	uhu
C	and you and you can actually walk down like a little bit of the bottom with the stones on with your ice cream and it's really nice and sometimes you see the sun go down cos we usually stayed until quite late
A	okay so have you been a couple of times then?
C	we've been a couple of times some on our own
A	stop kicking your knees
C	and some with
B	I'm not
A	you are whatever you're doing it's irritating
A	right come on
A	what were you saying is
B	well
A	don't no
C	they're
C	when when we went there with them once and there was
A	yeah
C	lots of lots of lots of fog
A	oh okay but you still went?
B	yeah
C	erm no erm when we were going back and my legs ached
A	oh dear
C	but I er I carried on walking
A	well I want to go
C	what's that?
B	mm tomato
C	mm
A	we
B	this is a very nice tomato
A	it's a strawberry
B	it's red
A	if you want a tomato then you can get one from the fridge
B	it's red and it's a fruit
A	and it's not a tomato that doesn't
A	because it's a red and and it's fruit that doesn't make it a tomato
C	tomato's a fruit
A	sorry?
B	are also red
C	a tomato's a fruit
B	and they're also fruit
A	I'm very aware that tomato's a fruit guys
C	erm
B	mm
C	do you know what
A	yes are you aware you haven't even touched your roll yet because you are too busy
C	yeah I'm aware of that
A	nattering
C	touching the roll
A	you need to eat it though
A	okay
B	I'm on a roll
B	what type? a Swiss roll well I'm on a sausage
C	mm mm mm
A	on a Friday
A	hopefully
A	I'm going to take you guys to a new place where I'm going to do a bit of circus practicing
B	er
A	and they're
A	they're very nice and friendly they're people who do do the
C	yeah we're not
A	no it's not awkward at
C	well
B	well there's not many children there
A	no but you're allowed to do your own thing which is lovely
B	true
A	which at the place in
B	oh yeah
A	mm that one that place the other place I do hoop
C	uhu uhu
A	where you have to sit there
B	and read and listen to music and not play video games I could play twenty questions though
C	erm erm
A	what is twenty questions?
B	erm twenty
C	you think of an animal
B	can I
C	and er
A	no don't no let
B	okay
C	I'm
A	oh actually hang on you haven't eaten
A	mm
B	you it says
A	mm
B	it you can have a selection of things that you choose and I always and I normally pick animal and then there is and then er the thing on there and has yes no maybe
A	okay
B	rarely skip and sometimes as the
A	is this
B	answers
A	is this on a game?
B	yeah it's a kind of game and it's really small and you can fit in your pocket
A	okay yeah
B	and then it asks a series of questions and you answer them like is it furry? yes is it big? no
A	okay
B	is it a squirrel? yes and then it will go and then if you it gets it right after the twenty questions
A	mm
B	yeah and then so
A	humiliated or human?
B	yeah cos it's saying it's basically saying that it's magic and can read your mind
A	so it's or or a computer so it should know better
C	yeah
A	is this a game that you own?
C	erm
B	yes
C	he's got it
B	I have it here
A	is it like your eight ball type thing? is it a
C	er
A	red and black thing?
C	it's a red thing
B	yeah red
A	mm
C	erm and also mum
B	with a black screen
C	you can play it with people
B	yeah you can play it with people in the car if it's a really long car journey and you're stuck at a red traffic light that's going for hours
A	but do you always have to guess animals?
B	erm you don't always have to pick animals but it's best as animals
C	you can do fruits or
C	or a mineral
A	oh animal vegetable
C	we
A	or mineral
B	other so like a sofa
A	okay fair enough yeah
B	yeah but there are lots of other things
A	mm
B	like the sun
C	yeah
B	or my butt
A	good grief
C	okay
C	that's like
A	so I find out at
A	at hoop last night that unfortunately you guys are away for this weekend erm but there's a weekend in June when all the circus people are gonna go to hang out in the church hall and anybody who wants to do a little routine of anything can go so it could be jugglers and fire breathers well probably not fire breathers but they'll have to do that outside and hoop and trapeze and
B	but are we going to be there?
C	erm
A	no but I'll make sure it's recorded
C	I want to do cos I
A	no no it's not for children it's for big people
C	yeah but if I go there when I'm older I'm gonna do
B	darn it
A	of course
C	hoop
A	yeah
C	and I wanna learn hoop
A	but also yes I told you they're getting a little hoop but
