A	Jewish?
B	Jewish Ottolenghi is because Ottolenghi is Jewish
A	I don't no I don't wanna look at this
B	mm?
A	I don't wanna look at it while it's doing it
B	okay
A	so oh
B	you didn't know?
A	is it Jewish recipes?
B	yeah so
A	yeah it yeah Ottolenghi?
B	Ottolenghi yes
A	I thought he was Italian or Turkish
B	no he's
A	he's Jewish?
B	I thought he was Jewish I might be wrong
A	I thought he was Turkish or something
B	oh maybe he's Turkish but anyway he co he co-wrote it with a Jewish er author
A	oh
B	or er maybe native
A	okay
B	erm
A	oh
B	just
A	mm
B	ones
A	mm
B	I mean just just
A	mm I might take some pictures of that of the pages
B	oh yeah I mean you know I remember you know having
A	Tel Aviv?
B	yes about three or four years ago and that tasted they're absolutely gorgeous and they were just grilled
A	really?
B	cauliflower with some sort of a spicy sort of
A	mm
B	I mean just
A	mm
B	into something
B	just extraordinary
A	wow
B	and that's and that's that's you know you can do it here at home
A	yeah a lot of it is down to kind of
B	yeah
A	spices isn't it?
B	mm
A	yeah I have
B	do you have spices at home?
A	yeah I do I do and I have my Leith's Vegetarian Bible which I
B	mm
A	I quite like but unfortunately it doesn't have pictures
B	oh
A	so it's a bit kind of like you don't know what you're making or what to aim for
B	mm mm
A	and also some of the recipes are a bit seventies
B	oh
A	and then
B	you ought to try these try these recipes
A	I might
B	yeah especially the one the tomato recipe er for breakfast
A	tomato
B	tomato egg
A	and egg
B	just
A	spicy
B	yeah
A	yeah yeah I love Harissa
B	yeah so you you can either add Harissa or a Jewish version of Harissa
A	oh
B	which is erm
A	oh
B	and I made it at home
A	oh oh so it's spicy eggs?
B	it's it's spicy egg with tomatoes
A	so gonna have chilli eggs
B	yeah
A	mm sounds good
B	but you sort of poach eggs in tomato sauce
A	oh I see oh that sounds delicious
B	yes
A	that one
B	so
A	wow sounds like a good supper dish too
B	mm mm and
A	mm
B	er bulgur wheat? mm
A	mm no what's that?
B	it just kind of like a few recipes of aubergines
A	mm
B	I think they apparently you know they have more recipes er or aubergines than anything else
A	oh really? cos I love aubergine and I make the same aubergine thing
B	mm
A	all the time
B	well yeah you can give it a twist and you know
A	mm I need to do something else
B	yeah
A	with my aubergine cos I do love them that's the only thing I make I need to I'm I'm in a real food rut again
B	also you know I think you know I love this this Italian risotto recipe
A	oh
B	I used a New York chef and it was in this little leaflet that that was all about Parmigiana er Parmesan cheese
A	okay
B	so this you know er I think broccoli and peas are used
A	okay
B	but anyway oh this er risotto is the absolutely delicious
A	mm
B	not heavy quite
A	mm
B	light and fluffy
A	okay
B	and you can sort of
A	okay
A	mm
B	just
A	yeah
B	and add that as the base for the chicken stock
A	okay
B	so there's a bit more depth to the stock and then you know I also
A	oh
B	oh but I mean
A	mm
B	it's just I mean that doesn't even need any type of spice for any
A	mm
B	it's just so delicious
A	mm
B	just er broccoli and peas and and and and and the rice and you
A	yeah yeah yeah
B	the chicken stock and
A	mm
B	maybe a bit of wine and the Parmesan cheese but
A	mm
B	I don't I didn't use Parmesan cheese because you know
A	mm
B	but otherwise I think it could be really cheap because just green peas and broccoli
A	yeah I guess I guess it's getting the protein source in
B	yeah
A	pulses
B	yeah
A	I do get really bored
B	mm
A	of I get bored of them very quickly and then I and then I have I feel like I've got a dietary erm imbalance
B	yeah
A	mm well I I did these like they did these kind of quite good lentil patties which were really good I don't know how they did them but I'm trying to recreate them and I found a recipe in my Leith's cookbook but it just but it didn't have any egg in it so they didn't really bind together
B	oh I see
A	so I don't I don't know
B	so you deep fried?
A	you know I've only got a limited amount of kind of like brain for cooking it's just
B	yeah
