A	there we go
B	yeah
A	we're recording so what were we talking about?
A	oh yeah erm foods that erm er break down er what? acids?
B	yeah alkaline
A	alkaline
B	lanising alkaline foods I don't know how you say it alkaline foods
A	mm
B	so you have some acidic and alkaline foods and basically
A	mm
B	are going to create an alkaline reaction in the body but an
A	ah
B	yeah
A	okay
B	so er lemon juice in any juice enhances the properties
A	yes
B	the
A	right
B	of the of the juice but don't mix different fruits
A	no
B	just
A	well I
B	one type you can mix vegetables but you can't mix fruit
A	got so much fruit at home it's most of it's gonna be wasted because erm
B	well the good thing is if you're making juice it can be old fruit
A	well I haven't got I haven't to a juicer
B	well some
A	but er
B	what which fruit have you got?
A	oh you name it we're got it cos erm
B	yeah
A	and he had one taken out of his back the other day and she's been getting up early in the morning and taking her friend to the hospital
B	okay
A	er organising food and she's been looking after them and er she's been up looking after her own family
B	oh
A	but erm
B	oh
A	yeah so but and they've given her lots of fruit you know cos people obviously take fruit to hospital and erm
B	mm
A	erm er a huge bunch of grapes er and
B	okay
A	and now you know
B	yeah
A	so they have a we we've got one of those today erm I said
B	yeah
A	all this stuff
B	well the good thing is er there are a couple of things you can do with the kiwis there are loads of fruits that you've just mentioned that can be blended without having a fruit smoothie maker without having a a juicer
A	oh
B	soft fruit you don't need a juicer you just need to add water or coconut water or milk but I don't drink milk so you can
A	no we're we're not allowed to either
B	you're not a milk
A	well I can't
B	coconut water
A	can't
B	or normal water
A	oh
B	and you add that and then the fruit blends anyway if it's bananas kiwis mangoes blend quite well dragon fruits blend really well
A	just mixing with water and lemon juice?
B	yeah and and a blender and a normal blender
A	well I haven't got a blender
B	oh god you need blender
A	oh
B	who doesn't have a blender?
A	I don't
B	you need one
B	oh I'm making it's just
A	I'm throwing things away I'm not buying things I'm
B	yeah
A	ah don't worry about it it's not worth it
B	well anyway with the kiwis then you can make a pulp and you can freeze it
A	mm ah
B	no that's okay you can freeze it and then when you have er you can either make ice lollies with it you can freeze it as a puree and then add it to things later
A	in when we did have a a a blender we we never used it so
B	yeah
A	ah yeah
B	yeah you're near a city
A	er yeah
B	ground floor
A	really?
B	yeah
A	oh
B	ground floor there's a juice shop
A	is there?
B	yeah
A	I must walk around there actually
B	fresh fruit they've got fresh fruit they'd make a juice for you
A	the last time I was there I was when we had that meal that was very nice
B	yeah it was good wasn't it?
A	like I might yeah
B	I love that restaurant
A	yeah
B	I love that restaurant cos it's traditional food but it's really cheap
A	mm
B	yeah
A	yeah right
A	so shall I follow you to the kitchen?
B	yes please I'm gonna make a bit of food
A	no thanks
B	oh
A	I I was gonna go and try and go er er today without having anything to eat erm
B	yeah
A	cos erm I mean I
B	would you like this? I don't drink this for no
A	no thanks erm I've got some at home no I erm I haven't had anything to eat today so but I don't feel hungry
B	no? well actually it's funny you say that cos I don't feel hungry when I don't eat I haven't felt hungry for years yeah not years but I eat because it's the time to eat
A	mm
B	or because I'm a bit low on energy maybe or because you know I like food but er I er I don't feel hungry very often
A	you are
B	I wish I was skinnier
A	you women you're never satisfied are you?
B	no
A	you're always too something
A	doesn't matter what it is
B	well I've I've got to a point where I'm a bit happier with the way I look cos I used to be very unhappy
A	yeah but it's cheese probably
B	no it's not it's corn
A	it's oh really?
B	yeah it's just corn but they call it yellow pizza in Italian and it's basically made with corn polenta
A	oh that's sounds nice
B	yeah it's very healthy and I can make it with a salad
A	I hate these things there are all these so many things I like that I can't eat
B	but you can have the I tell you you should come read my blog because all of those recipes are extremely healthy
A	okay
B	most are vegan some are vegetarian er but mostly they're vegan so there's no dairy at all in most of them some I've got with dairy not many and some with er eggs but the rest are vegan
A	don't touch any dairy
B	not even eggs?
A	no
B	eggs are good for you
A	no
B	that's not true about cholesterol
A	I know erm but it's I I can't remember it if it's the yoke or the white that I can't eat
B	the yoke the yoke that's high
A	cos
B	yeah
A	I can't remember which one it is
A	cute
A	mm
B	oh charming ladies yeah
A	mm
B	do you know I was so tired today I have no idea why but
A	well you're back at work aren't you?
B	yeah but I've got to sort it out this is not right I'm not feeling
A	and it's not natural
B	it's not natural no there's something I'm not feeling myself I don't
A	well feel somebody else
A	it's called lust
A	you're silly
B	you're silly
A	oh okay you're sillier
A	I'd be happy
B	yeah
A	with any energy
B	yeah and I think oh well you honestly you're doing amazingly I can't believe after everything you've had you know health wise you're still
A	mm I don't feel
B	you don't feel anything
A	no
B	mm
A	that one was the one care
B	yeah
A	it's a very
B	why?
A	well I'm
A	and I do have things
A	to be grateful for
B	yeah
A	er
B	no you've had a really tough two years don't be too hard on yourself you know you don't have to be happy and bouncy all the time or grateful and you know life is amazing you just it's okay you've had a really hard two years I can't believe it when you told me what had had happened to you when I first met you
A	mm
B	yeah most people think you're great
A	so who are the ones who think I'm not?
A	go on name names
A	go on I wanna know these bastards
B	I can't speak for everyone in the world
A	what's that?
B	that funny joke you said er I don't care what people say about you
A	oh yeah I don't care what they say about you
A	you're alright
A	it's and people start thinking what the
B	they're like er?
A	I mean to what are they saying then it's
B	oh
A	mm
A	I'm not supposed to have I'm not I'm not supposed to have any cheese
B	no? cos basically it's a salad and this and then there's no protein
A	oh right
B	a cleanse called kitchari
A	oh right
B	which erm but it's quite bland it's just a good thing to eat when you don't wanna eat too much
A	oh yeah
B	and you wanna cleanse but you obviously you need nutrition every day
A	mm
B	kitchari it's an ancient Indian cleanse
A	if we
B	okay I'll mix with that
A	erm I think so what when I had gout er which I don't have any more erm it was one of the no nos
B	dark chocolate
A	black chocolate is not so bad
B	it's really good for you
A	so er and I do feel I want some
B	do you like ginger?
A	are you saying I'm I'm a ginger?
A	erm yeah lovely yeah
B	yeah? have that that's really good Green and Black fair trade
A	alright
A	yeah
B	don't eat rubbish around here
A	want or to wait or
B	yeah why not? or you can have it after food
A	yeah it might be better after actually than
B	yeah
A	than before
B	with a tea
A	no desserts until you eat your greens
B	mm
A	oh yeah I meant to say erm you know you usually put honey on the the end of your your messages?
B	oh yeah?
A	it might not be a good idea actually just
B	oh
A	and she might get the wrong idea
B	does she get an
A	well
B	damage control?
A	well I I just wanna avoid any possible
B	oh
A	it's not it's nothing it's just that you know
B	yeah
A	people do sometimes
B	yeah okay I won't it'll be hard to break that habit then
A	mm well
B	mm
A	but well yeah
B	oh don't say that
A	well it's true
B	but
A	does happen a lot
B	yeah
A	I suppose in a way it's showing that people care but it's it's not really
B	it's insecurity
A	I don't know it's it is it is
B	yeah but the person has
A	and that's it?
B	that's it
A	bloody hell that was quick
A	I well I always say bloody hell and er not all the time cos you know but occasionally it's it comes out and whenever I do erm it really creases
B	oh
A	she thinks it's so funny
B	that's so cute
A	we were watching Harry Potter the other night and erm
B	yeah
A	Ron in it?
A	and he's bloody hell and she said
B	oh
A	oh yeah
B	oh
A	and it was and actually from watching these Harry Potter films again erm
B	Hermione
A	yes
B	you told me that
A	did I?
B	yeah
A	oh I've said again now
A	so that's two people
A	well you you ever seen that film look at she she looks and acts just like you
B	you reckon?
A	yeah
B	well I like her so that that's a compliment
A	er
B	like de de de de de
A	yeah
B	yeah know-it-all
A	yeah
B	oh is that me?
A	no I wouldn't say know-it-all but er sure of herself
B	oh
A	self-confident
B	oh I wasn't you know
