A	er? really?
B	and suddenly the frozen lake melted
A	what
B	and they all sank
A	being used as a car park
B	usually it freezes solid and it's used for parking
A	oh no
B	and no they just all sank
A	ah
B	I don't know where we are
A	mm
B	er er Canada
A	I am making a cup of tea
C	boring
A	how many times do I say that? many times
C	boring boring bored in the morning otherwise apart from the morning it's boring
A	how's it going? have you done the stuffing?
C	yeah
A	some what?
B	some ferries because of the the storm that's
A	oh yeah would be
B	heading this way
A	yeah
B	oh
B	has absconded from Haringey Hospital in the north of London right? the police describe him as violent if you think you see him do not approach but call nine nine nine
A	uhu
B	so he sounds
C	got it
A	yeah
B	aggressive he was on unescorted leave on Friday morning and didn't return
C	from where?
B	from from this north London hospital
A	why was he on
B	exactly
A	unescorted? that's ridiculous
B	isn't it?
C	that hang on why no that doesn't make sense
B	he was on unescorted leave on Friday and he
A	he was
B	didn't return in the evening
A	they let him out
B	er surprise
C	so it's a secure hospital?
A	and he's extremely dangerous
C	so what was he sectioned there?
B	well I don't
C	right so he's sectioned
B	yeah but he they let him out and yet I mean
A	yeah
B	as though
A	and yet don't approach
B	as though exactly as though he wasn't
B	due back as he is at six 0 one when he's
A	yes
B	late back
A	yeah
B	isn't that ridiculous? I
A	has anyone asked them the logic of that?
B	no well no I mean this is this is just very late news coming out but you know god do not approach and dial nine nine nine
A	oh is it?
B	yeah
A	I thought we'd already had storms
B	no south west England or south west England and south Wales maybe not here oh no maybe not here actually it's definitely
B	oh no
B	yeah definitely here
A	oh
A	he will not like yeah
B	yeah
A	he'll go straight round the block
B	yeah
A	round the side
B	yeah won't you just
A	and straight back in
B	yeah there's a lovely funny story
C	uhu
B	in from Canada about a frozen lake
C	I heard you yes where
B	yeah
C	they all crashed in
B	yeah
A	mm couldn't they tell that it was going to melt?
B	well you'd have thought so
A	that it's getting a bit
B	yeah
A	warm you know
B	warm yeah yeah I mean they should have realised that because it was getting warm
A	yes
B	that it might well
A	that's the
B	start to melt yeah
A	I don't know
B	mm
A	I might have a look in a minute
B	yeah
A	mm I wonder if the new loo's there now
B	mm
A	have you seen it lately
C	but
A	mm
