A	alright so what do you want to do you want to say what we're doing?
B	drawing a chair
C	drawing a chair for the children
A	yes but not just any old chair we're drawing a chair cos an author called Nicola Davies wrote a very beautiful poem didn't she?
B	uhu
C	uhu
A	about Syrian refugees coming here and how there weren't enough chairs in a school
B	although you're worried because you can't draw
A	I'm very worried because I can't draw like I really can't draw so she
C	I'm doing one which is very pretty even though it's not very good
A	no I'm sure it's very good but you need to
C	okay
B	I've be inspired by all the great illustrators from books
A	uhu
B	so that's why I'm trying to draw a chair like them and at that level of good of goodness
A	mm
C	and
A	yeah?
C	I've done it in pencil
B	I'm quite I'm quite happy with mine
A	wait a moment
C	because I can do it over again
A	shh are you going it in pencil so you can do it over again? oh that was probably a good idea I should have done that
B	wow
C	what's that chair? show me I want to do a chair like that
B	yeah it's a chair like that
A	yeah and it doesn't matter how big it is because we're just uploading it onto Twitter
B	I think I'm gonna draw more chairs
A	you can draw you could draw a a whole page of chairs if you wish
B	lots of chairs
A	but do it on the same
C	and we can do it on the same page
A	page yeah
C	gonna do lots and lots of chairs well that would be very good
A	yeah it would be lovely there's no right or wrong
B	I'll do different ones
C	maybe she might be
B	I'm doing a
A	yeah
B	I'm going to do a green stool
A	a green stool? okay oh I see like different styles?
B	yeah different types of chairs
A	that is a very good idea
C	this one's a recliner
A	that one's a recliner?
C	yeah
A	okay
C	and there is the pad here
C	spinning seat
A	don't you think?
B	uhu
C	mm
A	cos they've not really got anything but education is an amazing thing
B	and chairs
A	and chairs well it's to welcome though isn't it?
B	yeah
C	chairs are important
B	they are
A	my students took their exams today and these are the ones that I see in
C	I've seen a chair like that
A	which was very nice thanks for listening
C	that's er I I've seen a chair like that
A	like mine?
C	yeah
A	with hearts?
C	yeah look
A	I can't really where are your hearts? oh the
C	uhu
A	maybe I was subconsciously inspired by that
B	I'm looking for a black
A	oh er
B	in
A	well there's a black pen
B	mm I think I'd like to do it with
A	I don't know where the black
B	black pencil because it looks more effective
A	oh
C	I'm doing one like if you like the ones up here it's you know the ones with the flowers on?
A	with yes good idea
C	doing something like that
A	uhu uhu
B	I've done a normal chair I've done
C	oh
B	a recliner I've done a swing seat
C	oh I can do one which is like a big bench
A	yes you can
B	oh yes
C	and
B	a sofa
A	yeah I would like to draw a sofa but I know I'm not going to be able to do that cos that that would involve skill
C	I'll colour them in after I've done that
A	okay
C	I'm doing a bench with lots of cushions
A	okay
C	I hope she likes that
A	uhu
C	I bet nobody else has done more than one
A	I don't know
C	enough for four friends
A	sorry?
C	enough for four friends
A	enough for four friends lovely
C	mm
B	mm
C	do you mind if I borrow the idea of a sofa?
B	yeah
A	you don't mind do you?
B	like I don't mind no
A	no it's a good idea
B	that means I've got
A	and good ideas should be shared shouldn't they?
B	yes
A	oh this is hard work on the old brain this
C	mm
B	I like that chair
C	I can't do a
A	do you?
B	yeah
C	I can't do a
A	oh of course you can
C	how do I
A	it looks
C	how do you do those?
A	what bit?
C	that like that thing
A	the slats? the wooden bits?
C	no that
A	don't tap the table
C	yeah but I just don't know how to do the
A	the arms?
C	no I can't
A	oh
C	do the thing which like the square which goes outwards
B	oh yeah you need to do it in a three dimensional way so like
C	can you show me?
A	can you show
B	or on the back
A	with some pencil no no no no
C	you've got two pieces of paper
A	not on the back because it might show through
B	oh yeah I do have two pieces of paper
A	careful
B	sha-da
A	be careful oh well there you go
B	you need to draw it like this
A	cos you're muttering and I can't hear what you're saying
C	no
A	right were you getting on well with
B	you draw the squares like these so
C	not really
B	facing downwards
A	no you're
C	okay so it's draw a square facing downwards
B	uhu
A	what do you mean you were not getting on with
C	well
A	was she? well you get on with her fine in her house with
C	I think they might she might be in love
A	no I don't think that she
C	uhu
B	yeah
A	yeah?
B	what are you talking about
A	I'm talking about Helen Moss
B	yeah cos you just changed the subject really quickly
A	well that's what you do normally isn't it?
C	yeah
B	so
A	I wonder why
C	you sneaky
A	ah now I can tell you exactly why my brain did that because I remembered that we have lent
B	Adventure Island
A	I have to tell you Mr
A	I know
C	stop miming me
A	it's sad
C	he's the best teacher in the world
A	I know
C	because do you know what? when I was in the office
A	yeah
C	cos I banged my head
A	when did you bang your head? was this today
C	yeah cos he
A	oh
C	cos
C	yeah
A	right
C	and then I thought I'll do want to get her back
B	pretended to
A	what do you mean she did a wasp joke?
C	she like
A	pretended there was a wasp?
C	there was a actual wasp
A	right
C	and it was quite close to me
A	right
C	and she didn't caught it
A	didn't catch it
C	so I thought well I'll really want to get her back
A	don't put this in
C	and afterwards
A	what so you were pretending there was a wasp?
C	yeah
A	okay
C	there well there was an actual wasp in the room pretending I actually got it
A	right
C	and she after that even though she knew she got her hat she pressed it against my face and she led me to the pen pencils and I couldn't see a thing and and she told me that she was gonna
A	oh what on purpose?
C	I don't know maybe
A	okay
C	by accident but I got told
A	oh
C	but I told the teacher
A	anyway so there you were in the office
C	and
A	Mr
C	and Mr
A	yeah
C	he got me and
A	was he making you laugh?
C	yeah it was really funny
A	why was
C	she was feeling sick
A	oh you've fallen out with
C	no
A	yeah well it's alright it's perfectly normal to play with some people sometimes and then not the other times
A	I'm allowed to say it he always rides his scooter in the playground and I keep telling him to stop and then he keeps doing it and so he nearly crashed into somebody didn't he?
C	uhu
A	and then he was throwing sand in the playground
B	that's a
A	I mean in the park
B	beautiful chair
A	thank you so you've done the nice sort of oh a swing chair thing
B	yeah
A	where have you guys ever seen a swing chair?
B	erm
C	at
A	oh do you remember it?
C	yeah
B	yeah
A	it's really comfy isn't it?
B	uhu
A	I love swing chairs
B	we've also seen them in shops
C	I've done these chairs
A	lovely well you're gonna have are you gonna colour them in now?
C	yeah
B	yeah I'm gonna do more
A	okay
B	I'm just trying to put some detail in them
A	lovely
B	mm which chair shall I do now?
A	what sort of types of chairs are they?
B	erm I think I'll do
A	lovely well I would like that
B	and then I will have a little tag on it
A	yeah
B	saying for mum
A	no these have got to be for the children haven't they?
B	oh
A	this has got to be the three thousand chair thing
B	why have they got to be three thousand?
A	because there are three thousand refugees coming to this country
B	wow
C	and they and are you gonna make these?
A	they're not gonna maybe they will make
B	one of ours
A	that have been drawn
B	maybe even one of ours
A	yeah
B	I still think that chair's very pretty
A	the one I'm doing?
B	yeah
A	it's very pink isn't it?
B	uhu
A	these are good pens
B	yes thank you
A	I can see why
B	is that another word for hiding?
A	covets mean want when you desire something
B	and hiding
A	no oh no she she doesn't hide them she just uses them
B	yet
A	we'll have to get her
C	I see
A	her own
A	perhaps you can have some for Christmas
C	woo hoo
B	I'm going to do a shadow to my chair
C	oh
A	that's a good idea
C	do
A	a recliner back? if you can
C	I don't think I should cos that's not very bright or very nice
A	okay
C	my special purple has gone
A	now you could in fact when I've taken a photograph of this you could take this in for a show and tell cos that might
C	I'll take all the pictures of the chairs after they've been
A	yeah but you could tell Mrs
C	I could like bring the
A	yeah
C	bring them in next Tuesday
A	is that when the show and tell thing is?
C	yeah
A	okay
C	but I could do it on any day
A	okay did you have any tests today?
C	another reading test
A	was that alright?
C	yeah I I think I only got one wrong one wrong
A	okay doesn't really matter anyway does it?
C	also it was quite hard
A	you're a very good reader
C	well
B	shadows are hard
A	and tests are useful but sometimes you could be having a bad day sometimes the I mean just like my students having their test today the questions were actually okay but sometimes they can be really difficult and it doesn't necessarily mean that you're not capable of answering them cos we know that you're a very good reader
A	yeah?
C	well just some of them were kind of
B	what was hard?
A	what was what was the
C	well it was about Tony Ross
A	Tony Ross? oh yes?
C	there was two things one about Tony Ross
A	cos he does like The Little Princess and stuff
C	yeah
A	yeah
C	he made that one
A	yeah
C	cos it reminds him of his four-year-old daughter
A	oh really?
C	his his daughter when she was little
A	ah
C	this is long
A	yeah but put it back that's the lead of the pencil if you do make it too long it'll snap off and you'll never be able to use it
C	oh
A	so you must put it back please
B	shadow
A	red pen please?
B	erm this one? or?
A	no the pen
B	that pen ah
B	it's a very pretty chair
A	well you're very kind
B	shadows are very hard to draw
A	did you go to bed at a reasonable
C	mm
A	did you go to bed at a reasonable time last night?
C	yeah
B	yeah
A	shadows are very difficult to draw cos you kind of have to know the position that it gets stretches don't you?
B	that's a pretty those are pretty good shadows
A	that's a very good shadow
C	mm
A	so I've told the
C	mm
A	so you're gonna have to now
B	mm
C	yay cos we're gonna be
C	cos I'm gonna be the
A	I just said you wanted to do it
C	the great bird of paradise
A	no but just go as like a ladybird or
C	no I'm gonna go as a great bird of paradise
A	well whatever makes you happy
C	yay
B	great bird of paradise
A	cos you're gonna have to be behaving yourselves
A	and sit nicely while I'm up on the hoop
