A	very nice chap
B	mm
A	but he was always you know very friendly and jovial
C	yeah
B	yeah?
A	took us us all round this sort of renovated place
B	no
A	he was quite amazed then turns to me and says oh did you know that? I said yeah
A	and I said where they built the R one 0 one
B	yeah
A	and this bloke who was there he didn't
B	mm
A	and er afterwards I thought mm was it the one 0 one what was built there?
A	I don't know cos I'm on village sign
B	yeah
A	all the others
B	yeah
A	were going to South Africa wasn't it?
B	that's it yeah
C	mm
A	it
B	mm
A	and er
B	ah
A	and you would I I was sort of thinking about it if that was if the one 0 one was built there
C	they'd have put it on
B	they'd have put that on
A	that that would've been the one what was on the sign I'd have thought but
B	yeah
A	but then I dunno if this bloke didn't know
A	being knowing what I was talking about
C	mm
A	that's what I
B	oh
A	R one 0 one
C	find out
A	no it wasn't built there
A	and I'll sort of go
B	oh
C	mm
A	you know it doesn't really matter you know
A	but yeah whatever I say
B	she look it up now does she?
A	she looks it up now cos there's so so
A	often I've sort of said things which have
A	turned out to be wrong but with such an air of authority about it that
B	yeah
A	so I'm even like doubting my own
B	knowledge now
A	knowledge
C	oh dear
B	well er
A	mm
B	you know? and you think what? then where did it from? or have I got that completely?
A	well this is the funny thing ain't it?
C	mm
A	some stories you hear like when you're a kid
C	yeah
B	mm
A	like an uncle might say something
B	you do
A	and then you find out that
C	and er yeah
A	it wasn't really
B	it wasn't right
C	I was convinced Florence Nightingale was part of our family
C	and I told everyone
A	and she wasn't?
C	apparently not
C	no
B	well she could've been
C	er she could've been but
A	was your family called Nightingale?
C	well I'm only taking their word for it that she wasn't now
B	yeah course you are
A	mm
C	mm
B	well you'd have to you'd have to
C	look it up
B	go er go into that Ancestry thing
C	mm
B	that cost a
A	well
B	not an
A	mm
C	there are
A	it's like the army sites and things like that
B	mm
A	have all opened up and the censuses
B	yeah? yeah
C	does it? oh
A	and like yeah obviously if you wanna do more than ten searches
B	yeah
C	mm
A	well it's erm you know it is a
C	gives you a start doesn't it?
A	you know it's not a fiver for ten searches but
C	mm
A	it's that sort of
B	yeah
A	and you know they give you like
C	mm
A	it might be a fiver for one day or something like that so
B	yeah yeah
A	something like that I'm not sure but
B	mm
