A	what would you say my accent is?
B	well I don't know you I think you're supposed to decide yourself
A	oh okay
B	where were
A	just
B	where were you brought up?
A	sort of southern English it's the pronunciation really isn't it? erm
B	posh
A	queen's English where do you currently live
B	no I don't think you quite sound like the queen
D	I erm
D	my my cleaner
D	which it's quite interesting
B	mm
D	cos when I do the
B	mm
B	well I would have said you spoke standard English with a slight accent it's not a heavy one at all
D	no it's inconsiderate to be so why are the telling us to how to write the date?
A	mm
B	well I said er because er the Americans write it the other way round and they want to be clear what date it is I suppose but
A	mm
B	since there aren't supposed to be any Americans on it
A	date er yeah
B	because the person I talk to most is American
D	are they gonna put all of
B	I don't know
D	am I going to put
B	well that's a good question isn't it erm by the time
A	we haven't
B	I send everything
D	right we're done
B	right thank you very much ladies
D	that's fine
B	okay shall we ah right
D	very good
B	so did I do everything that I was supposed to do with the PowerPoint?
D	mm I think so let's have a look
A	did you send me the revised one?
B	er
D	yes but it was while ago yeah
B	well I certainly sent it to
A	I'm really sorry but I didn't open emails from
B	er I would have thought I'd sent it to both of you
A	emails from
B	no
A	spending my entire holiday
B	fair enough
A	answering emails from both universities so I thought right that's it I'm not gonna answer any more
D	no you're right
B	move that a little bit
B	and the papers
A	so sorry I didn't yeah
D	oh we could maybe you could print it out for her or something or
B	well that's a
D	it's alright I mean yeah
B	that's a printout erm so
D	right cos
A	yeah
D	that I need to confirm
B	yeah okay sorry
D	erm so it's confirmed that it's at the
A	is it a café?
D	it's
A	yeah when I
D	when what?
A	when I looked it up on Google it said
D	well it is a café it's er it's a but it's a bigger than a café
A	yeah
D	it's a an art centre
A	oh right
D	it's like
A	oh oh is it?
D	but smaller than that
A	oh I haven't been there
D	I mean it's an old school actually
A	mm
D	it's a former former school
A	oh right
D	and erm and so it's there and the title of it is has changed as Success in International Business through Effective Communication we've said these timings to them and they have now
A	yeah
D	so that's the description of what's on
A	yeah
D	just so we know
A	is that what you sent us earlier on today?
D	yeah I can't
A	yeah
A	er might have done
B	yes
A	I think so yeah
D	erm so we know what the timings are
