A	okay so the plan is to go we arrive into
B	mm
A	gonna be in
B	and where are you staying?
A	er my mother-in-law's house
B	oh right
A	then we're going to go
B	is it quite big?
B	oh
A	quite small I think it's gonna be quite cosy but my biggest worry has been having a
B	mm
A	erm so we've got one I've got two in fact his mum found one and my friend's got one
B	oh okay
A	so it's like thank god so we're gonna go from there over to
B	no
A	so my flatmate from Ecuador who's from Australia
B	does she still live in Ecuador then?
A	no she lives in Australia
B	oh wow
A	she we were there ten ten years ago she pointed out the other day we were there
B	gosh
A	ten ten years ago and she was there when me and
B	is she flying out because you're going or is it coincidence?
A	well she was supposed to be getting married in August and now she's not
B	oh
A	er through her own choice
B	uhu
A	so I think she's having a bit of an early midlife crisis
B	oh
A	and I was going on about going to Ecuador and she said I might come and so I said come
A	you've got to come and I got someone else on the case as well and so erm she decided she's taking two months off and she's coming to Ecuador
B	gosh
A	and then go down to Peru and
B	and how far is that?
A	I think she's flying out of Chile actually I'm not really sure
B	Machu Picchu
A	from Ecuador? it's a twenty-four hour bus ride to
B	oh okay that's quite far
A	er Lima I think let's have a look why don't you google it? erm yeah I remember it being a twenty-four hour bus ride to I think it's Lima and then it's not even in Lima
A	yeah
B	oh actually that looks quite far
A	where is it?
B	where is it?
A	oh they don't know where it is
B	don't be silly oh they can't give directions
A	well let's well Cusco is normally the nearest place that you go to
B	couscous
B	well flying it's flipping heck that's like flying from here to Africa north Africa
A	yeah it's
B	that's quite far
A	it is quite far so she's gonna go from so she's got two weeks I think in Ecuador
B	mm
A	so anyway we're going to
B	oh
A	so we're going to
B	oh okay
A	nearly two hours
B	so that
B	it's up there isn't it?
A	and it gets the coastline gets as you can see look it gets sort of quieter and less populated and much prettier the further up you go
B	mm
A	to about here this is a national park
B	mm
A	and it's just yeah look you can see the pictures
B	oh that's better
A	but it's also sometimes spelt with an X instead of Js
B	oh
A	because it's
B	and then I think it would be like
A	erm Andean
B	oh
A	it's not a place you wanna go anyway actually whether you can pronounce it or not
B	oh that's a shame
A	and then after that so we're gonna go to er
B	oh
A	down here which is where
B	mm
A	so we're gonna go and visit all of his cousins and his grandparents
B	oh
A	yeah and yeah
B	so how long about a week in
A	er erm
B	so you've got
A	a few days in
B	mm
B	mm
A	or closes in February
B	mm
A	so she has to go on like the sixteenth of January or something so I think probably what we'll do is just hang around the beach
B	mm
A	and
B	mm
A	so we can go there and should all be quite easy and we'll go sort of
B	how are you gonna go?
A	erm well
B	mm
A	there's an I didn't drive the whole time I lived there there's no way I want to drive across
A	the Andes on my own with
B	mm
B	mm
A	erm which was probably a few hours and I remember it not being extortionately expensive but that was quite a long time ago so there's Quito
B	mm
A	so there to sort of down here I think that's the only way and I think
B	mm
A	erm
B	mm well that's
A	so yeah we'll see I don't know that's the big question how we're gonna get anywhere
B	yeah
A	so we'll see anyway tell me about Italy
B	ah mm erm
A	let me find a map
B	I dunno I think I think Easter is
A	oh I looked this up the other day erm fourth of April maybe?
B	mm I think it's fairly early in April
A	oh it's around
A	often falls on Good Friday he hates it
A	okay so you're going beginning of April are you going to go for Easter?
B	no no no I'm not I'm going
A	oh good time so nearly May
B	cos it's three
B	I'm thinking I might start cos my birthday's right at the end twenty-seventh
A	of
B	April
A	of course yes
B	so I might
A	so around
B	do it more
A	yeah
B	beginning then
A	yeah
B	and then having the time afterwards
A	maybe
B	I don't know cos I'm trying to work out
A	are you gonna have you're gonna have a celebration here as well aren't you? either before or after?
B	yeah
A	yeah
B	yeah but basically I've kind of said to people
A	yeah
B	you know I really wanna go
B	I really wanna go to Florence
A	oh I've been to Florence
B	so yeah so I was yeah so I was talking about those things and my mum says
B	she's half Italian and my mum's from Rome
A	oh
B	and she was like I've never been to Venice
A	okay
B	or Florence I'd love to go and I'm thinking part of me
A	yeah
B	but at the same time
A	yeah
B	she's sixty-one she's never been to Venice and Florence and these places
A	no
B	she's not gonna go on her own
A	yeah that's true
B	so I think you know plus it's like my birthday
A	yeah
B	so though I actually want to be away on my own on my birthday
A	yeah I'm gonna go for no
B	so that's what I've come to like
A	okay
B	it it would seem
A	you've been on holiday a couple of times haven't you yeah?
