A	well thank you for talking to me today
B	that's alright
A	and erm I know you're a model engine here and you're here on a working party today and you giving your time fifteen minutes to talk to me what would you like to talk about today?
B	I don't know
A	you don't know
A	what about your job that the the thing you did before you were erm retired? and erm you're an instrument technician now can you tell me what that entailed?
B	yes anything from pressure gauges to control systems mostly pneumatic but some of it electronic
A	what part of the job did you like the best?
B	all of it
A	really?
B	I enjoyed it all
A	yeah
B	to the point where I actually left twenty-four years almost to the day that I went in and it felt as though I'd literally been there a week
A	oh that's a wonderful experience isn't it?
B	yeah
A	what about the people you worked with?
B	no I'd sooner not talk about them
A	right okay
B	there are some I will talk about there are some I won't
A	yeah? well if you can tell me about some of the characters you work with that would be good
B	what like like the bare knuckle fighter that used to be there
A	really?
B	fought with people like Jack Dempsey who was one of the world champions
A	right
B	and I think that's probably what helped
A	yeah
B	but some of the people I actually worked with I'd sooner not talk about because I didn't like them very much
A	no no
B	and I had to put up with them
A	yeah mm I well I when I was nursing I had people like that and it was a bit like you
B	mm
A	you were on shifts
B	mm yeah
A	when you're nursing and you think oh I've got to put up with her
B	I know
A	you know for a
B	that's right
A	and and and and then I think well that's okay cos next week I'm gonna be on a different ward and then
B	yeah
A	she's gonna be somewhere else
B	yeah
A	and hopefully I'll get somebody nice
B	yeah
A	erm
B	well that's right well this was one particular character I worked with for twenty years in the same room
A	yeah really?
B	and I couldn't
A	really?
B	work I had to do
A	right
B	because of his inability to do the job properly
A	oh that's really hard isn't it?
B	and
A	no
B	but he was a West Indian
A	was he?
B	and he thought he'd learn the job very quickly and he never really did learn the job
A	right right
B	so er that and that's why I don't really want to talk about him
A	no
B	in particular
A	no well we can
B	but
A	steer on to other subjects while you were doing this job that you enjoyed so much for so many years what what what did you do in your leisure time?
B	cars
A	ah right and you're keen on cars obviously
B	mm not really
A	but you were
B	I I have been because I had a car I I I still have it it's my MG I love it
A	oh right
B	I also have a Range Rover which I built rebuilt mechanically
A	right
B	I thoroughly enjoyed doing that
A	right
B	and languishing in the back of the garage is my mother's old Ford
A	right
B	which I've been trying to get at since nineteen eighty
A	so you've got to make a bit of space to get there have you?
B	no time is the
A	time yeah
B	and stop
A	right
B	I've gotta stop being bone idle
B	no but er erm as you
A	all work a lot on their own
B	yeah
A	in er and to come out and do this it's great
B	it
A	that they can get to talk
A	yeah
B	as much as I don't mind the hard work
A	no no I'm sure you don't
B	I mean it's it's good fun
A	no
B	well
A	if if you're very very hard working
B	well this is the thing
A	yeah
B	about the job I did
A	yeah
B	the fact that a lot of the time I did nothing
A	yeah
B	but when there was work to be done it got done
A	yeah yeah
B	and I worked very
A	yeah
B	I mean it was not uncommon for me to go home at night and get called back in at ten o'clock
A	yeah
B	and work through to five o'clock the next morning
A	yeah well people will
B	er
A	keep asking you if they know you're gonna produce the goods won't they?
B	well that's right and
A	er
B	there were certain people there who would only ask for me
A	right yeah
B	because they knew the job would be done and it would be done properly
A	yeah
B	and
A	mm
B	I suppose the work ethic I got came out of what I did when I first left school
A	oh
B	which was clinical pathology
A	oh right
B	you didn't know that did
A	no I didn't
