A	special spot
B	yeah
A	it it gets sort of jammed in place and rides alongside it a bit like it's
B	yeah it was really weird like I'd never seen anything
A	yeah I remember like like
B	oh that's weird
A	so the Trojan so the being shared by the two pulls I mean they get pulled into the same orbit
B	yeah
A	um but they don't actually orbit Jupiter they just
B	it's so weird like
A	um
B	so were they trying to do it so that they could like um prove his Einstein's laws on worked on really small scale? Is that the point?
A	no it's nothing to do with Einstein it's uh
B	yeah
A	uh some kind of
B	in lasers?
A	like some kind of high speed lasers or something but
B	I didn't read the whole article I just sort of skimmed it
A	they they don't they get the they get they jammed it in place though using like
B	oh yeah I
A	they had to  they had to  fix
B	I think they do some of that in Lancaster some of that supercooling stuff
A	yeah well they then they blast it with like pulses and stuff and uh
B	yeah
A	they had to
B	not enough water
A	you can see a diagram of the uh um
B	seems there's been loads of like
A	looks like a cross between uh an electron
B	so was that you know that stargazing thing? That Brian Cox thing?
A	oh yeah
B	has that finished now then?
A	I don't know uh
B	D'you think this? Sorry
A	it was pretty good but
B	D'you think this aubergine's alright it looks a bit brown?
A	I don't know what it means if it's brown uh I
B	I'm not sure
A	depends what you're doing it are you gonna  are you gonna  boil it or?
B	I was just gonna chuck it in there for the meal
A	uh just just throw it in the pan and
B	D'you think? Think it'll be alright? Or
A	yeah I mean I had some of it earlier
B	oh right
A	well it did to me I mean
B	I'll just chuck it in
A	it's not
B	I don't know if you're supposed to have it uncooked are you?
B	are you just eating things
A	yeah
B	no I suppose not
A	uh
B	when they're cooked?
A	you know when when they're cooked so you're probably not getting the most out of it if you have it raw
B	yeah
A	but I don't think it's one of those things that's poisonous
B	are you not?
A	I thought it
B	are you not supposed to have them raw?
A	potato?
B	you know crazy  you know crazy  Jim?
A	no
B	you do
A	yeah
B	he eats like potatoes like apples like
A	wow that's really strange
B	and onions which is less strange but still a bit strange
A	well onions a lot of people eat raw onions although it's a bit of a
B	but not like an apple not like
A	it's a bit  it's a bit  much to eat a whole onion raw isn't it cos it sort of stings you a bit
B	but not like a banana
A	get get that
B	banana skin
A	your tongue sort of sticks to the um roof of your mouth a bit um
B	yeah
A	and that uh so no I I I thought I read somewhere that a potato is um not not optimal when it's raw but
B	I always
A	just they're just
B	is that right though? D'you ever get like a crisp that sometimes green?
A	ah well that's something like uh
B	is that something different?
A	uh no I I think that's just one that's escaped through their through the system but um sometimes they have like brown pigmentation in crisps which is um it's bitter or something and they're trying to GM genetically modify
B	really? God like of all the uses for genetically modified?
A	they'll do it they'll do a lot of things I mean
A	but but when you say genetically modified I mean cos partly it's just breeding isn't I mean
B	do they not have to say on the packet?
A	if you've got a bitter batch of
B	yeah
A	well uh yeah for I think it needs need uh turning up maybe but
B	what do you uh want with this? Like rice or? I have yeah
A	uh probably noodles I think
B	where's the other? Ah where's the other pan?
A	the uh well I can empty that cos that's uh this this one here's um there's not much there's only one round in that well not even a round just one single
B	yeah
A	it's not a problem but uh just put it on here
B	yeah
A	and uh well that's probably a bit much for one but
B	no well
A	well a bit less for two though so
B	no it's not that's normally where it goes up to like up to that line
A	think that's quite feels like quite a big one but yeah
B	did you like that soup? I thought it was a bit weird
A	uh this one? I mean yeah well I don't
B	dunno
A	sort of it's sort chicken and uh
B	coriander it was cos it was
A	yeah that's that's fine I I like it
B	maybe we'll use that butternut squash then for the soup next week?
A	we didn't put an extra stock in there cos
B	oh no
A	an extra
B	yeah
A	oh yeah well
B	but um
A	um oh you've  oh you've  put an order in for from Sainsbury's?
B	yeah
A	are the Sainsbury's about to deliverer a haggis or? What d'you want in this one then?
B	uh can you put some water in him for the noodles?
A	is this thing turned up?
B	yeah I dunno
A	I would say it certainly takes longer to
B	I said happy birthday to uh Claire on Facebook today
A	oh right
B	you'll have to maybe
A	um
B	I know you don't check it very often
A	right
