A	that was an eyeopener for you wasn't it?
B	it was
A	right okay I'll tell you what we normally do
B	right
A	ten
B	oh my word
A	yeah well they're only
C	they're like tiny little chicken wings
B	oh right yeah yeah
A	they're only little ones
B	yes
A	er so we ask for the ten of those
B	yes
A	and half will be lemon and herb
B	yes
A	and half will be
B	yeah
A	and then we'll also get a houmous dip
B	yes
A	pitta bread
B	yes
A	and it comes with a little Peri-Peri drizzle
B	yes
A	tastes of paprika basically so it tastes like chorizo
B	yes
A	so we pour that on top of it and we mix it all in and we have a dips and it's really nice
B	mm mm is it
A	and then we
B	quite spicy?
A	erm not really
C	well
A	it's like tastes of chorizo
C	it's a mild spice
B	tingles yes
A	it tastes of pizza it does
C	it tastes of paprika
A	it's paprika
B	yeah
A	er and then we get a burger and something each but we don't we used to get
C	I don't I yeah I don't get anything with it
A	I used yeah we used to get sides but we've now started doing the the wing platter
B	yes
A	and the houmous we don't get sides
B	right
A	but normally what most people do is get erm
B	yeah
A	and normally choose one of these and then they get a side or two sides to go with it
B	yes
A	but we gave up on that cos the sides are just chips or
B	we'll have a starter
C	yeah
A	er yeah it just works out better
B	yeah
A	yeah so you you have a quick look at
B	yeah
A	the er where is it?
C	starters
A	starter the houmous
B	yeah
A	Peri-Peri
B	right that's it? that's fine
A	yeah
C	are you going up? have I still got your Nando's card?
A	probably yeah well done
C	I'm not really sure I I know I went up last time I think cos I went with dad but I'm not sure if I held onto it or not
A	yeah I've got it
C	you got it?
A	got mine
C	yes you have
A	that's
C	two tickets for the six twenty-five
A	yeah
C	erm to and it's the very last like day of whatever's showing but it's really hard to tell like what's about to like go yeah so like I went even on today it's Thursday and it's the and it didn't even say what what was the Last Chance Thursday so I don't know if you just have to like ring up
A	get lucky
C	on the day and be like oh what what's the Last Chance Thursday? or whatever but
B	so what
A	I might do that and that
C	with chicken in it?
A	yeah
C	I don't think you'll need that one
C	yeah cos
A	okay yeah
C	there's no need to be an absolute pig and I didn't even finish my burger last time
A	no
C	I'm sure it's good
C	just go and just order something for her cos she probably won't
A	she'll probably have the wrap
C	yeah
A	yeah shut up
B	that's it exactly that's it that one the burger and chips and a burger
A	you want a burger the chicken
B	the chicken in a burger
A	chicken burger
B	yeah
A	and do you want mango and lime or lemon and herb?
B	sorry?
A	mango and lime or lemon and herb?
C	decisions decisions
B	lemon and herb
A	lemon and herb what do you want?
B	or mango and lime I don't
A	need to know
B	I don't mind
A	right so that
C	make sure you get the Butterfly Burger
A	oh wow that looked good
B	stick it on this card I'm paying
C	actually
B	are you not you're not paying
A	alright give me your card I need some cash
B	well I'll give you a card
A	get it out then
C	erm I don't know if I can do two two of us maybe just do the one
B	and er keep your finger over the number
C	what about security?
B	no it's something
C	oh the heat sensors?
B	well er the the cameras anything can pick up the numbers anybody er in case anyone
A	do you want a drink?
B	oh yes please
A	it's er soft drinks are bottomless
B	are they good?
A	they're bottomless so you can fill them up
B	oh right
C	you you basically just get given a glass
B	yeah
C	and you go and grab whatever it is that you want
B	is there is there any
A	well there is but it's not that's not bottomless the bottomless would be
C	but she can have some apple juice if she wants it
A	if you want apple juice you can have apple juice do you want apple juice instead?
B	no I'm well if I thinking I'm just thinking I'm thinking they do
C	I think your mum looks confused
A	do you want
B	I don't mind
B	I don't mind
A	alright
B	I'll have the
A	so
B	I think apple
A	apple
C	that was my first choice
B	yeah it was I put that down on the
C	yeah I I remember watching this thing on TV where like they were saying that erm a lot of criminals have started cos erm they can basically they can work out your code based on cos if so say you've got like four numbers
B	oh
C	and so they can see what the last four
B	the pressure
C	cos of the cos you leave heat marks or something
B	yeah
C	or actually it's an app it's an app so that if they hold their phone over the erm payment thing it can pick up the heat signals like it's like thermal you know like the thermal imaging that you see the police interceptors using?
B	yeah
C	like it's an app that does the same thing so what it does is it highlights the last four numbers that were used and obviously that really limits what the
B	yes
C	different codes it could be
B	fingers on everything
C	yeah
B	I'm gonna start doing that as well
C	yeah
B	cos I don't trust anybody
C	no and you shouldn't really
B	no
C	but the thing is as well you know like even if they have your code they still have to get hold of your card to be able to
B	yes
C	do anything with it so
B	yeah the thing is if anything happened with any of the the numbers and things I would feel so violated
C	yeah
B	it would really affect me
C	yeah
B	cos when they the when they had the attempted break-in in the house the boys were quite small but it really did affect me for a long long time
C	yeah
B	and I was seconds away from opening the kitchen door and seeing that person at that window if I'd have done that I would have had to leave
C	I think it really shocked my mum when we had our break-in
B	that person went in
C	yeah cos as you
B	oh god
C	she was like she wasn't really used to just being the only one in the house so
B	yeah
C	I think he really shook her it wasn't long after that that we moved
B	yeah
C	I don't think it was linked I think that there was a lot of reasons why we moved but I do think mum just didn't feel very safe there anymore
B	yes
C	we certainly went through a period of having to lock the door as soon as you got in the house which just wasn't a very nice feeling
B	yeah yeah
