A	testing one two three testing I still don't know where the microphone is
B	oh look here we are again
A	yes
B	we're doing it now
A	yes
B	but also most
A	washing
B	DIY projects
B	and chores
A	we have been doing a lot of DIY projects
B	is he rapping?
A	oh is he rapping?
B	is he preaching?
A	mm yeah now there's no need to walk so fast
B	doesn't really look like a rapper there's plane taking off there look
A	there's a plane taking off
B	ready? we're about to start the path and go
A	mm
A	I might get tired yes we'll see cos this it's quite something for me really but look at this stunning day blue skies and we get to look at the water cos we are lucky
B	it's high tide again
A	look it's the same time as yesterday
B	the first one to see
A	a duck
B	a duck
A	well thing is if I had the clip-on microphone I wouldn't have to hold this
B	look the
A	yep
B	and unloaded on that pier there was a big boat yesterday on it on the pier
A	it's good your mum would love this oh
B	yes oh
A	gosh it's lovely it it is though look at that
A	it doesn't no
B	nothing just that
A	just that?
B	those three blocks and the
A	yeah but then then
B	the
A	in north
B	yeah that's what we would have had to actually
A	yeah the thing is I would have thought that yeah we would have had to get the
B	no but we would have got the er the the the ferry
A	yeah
B	the crossing the ferry
A	but er which wouldn't have been that bad but a bit erm
B	ah yes you would have
B	you wouldn't have known what side
A	yeah well they didn't did they?
B	you wouldn't have known what side of the river
A	well I didn't know there was a big difference
B	it would be quite funny if the the bus did get on the ferry and took as across
A	but we actually only really got to know
B	erm well the bit towards
A	and it gradually seeps into your consciousness doesn't it?
B	the bit towards erm
A	and we had just started to really
B	but that wasn't worth it until until the last couple of years
A	yeah there wasn't really anything there
B	well two thousand and twelve I suppose
A	it's true
B	but I would have gone a lot of times
A	but actually
B	to the
A	yes
B	pizza and beer?
A	er but
B	lovely sound
A	I mean when did we actually start taking that walk through the park and then going to
B	didn't we always do that dearest?
A	no we I don't think we did
B	well when
A	no we didn't so what did we do when
B	we watched that mini telly in your bedroom and
A	yeah
B	made love
A	but we must have done other things but I remember
B	never even went in the garden
A	we never even went in the garden no so what were we doing?
B	I just said watching telly and having
A	yeah
B	relations
A	and sleeping
B	plus remember you were working
A	napping
B	till midnight weren't you so
A	yeah
B	probably didn't get up until
A	and then just slept at the weekends
B	late afternoon
A	as well
B	yeah
A	oh well that I mean that was quite nice really
B	yeah
A	but not ideal because it's nice to have a bit of a life but the thing about working full time like that is it just you don't really get one
B	and then then we became briefly wealthy
B	relatively wealthy
A	yeah we did you know we acted like we were
B	wealthy
A	wealthy
B	didn't save a single penny
A	and didn't and bloody wasted it
B	yeah
A	and I used to go to Primark every weekend and Primarni and spend all my money
B	not at Primark darling you were constantly coming back with things from Whistles and
A	oh yeah at that time yeah it depends what period we're looking at
B	when we were wealthy
A	yeah okay that one
B	yeah
A	that's crazy
B	I think you wanted a new dress every week
A	yeah
B	and you got one
A	but I mean actually I don't think I looked particularly better than I
B	can I look at the swimming pool?
A	do oh I've not seen it
B	nor have I well you can't really see in can you?
A	oh that's the children's one that's nice
B	for babies
A	oh it's a bit of a shame that looks really nice it's going isn't it?
B	how many are in the big pool? it doesn't look very busy
A	no oh we should go there that's fun
B	oh and on this walk darling we'll pass the bouldering
A	yeah
B	climbing thing
A	but isn't there some art studios somewhere?
B	I
A	yeah I've heard there are some art studios
B	I think I'm more interested in bouldering
A	yeah no I am as well but
B	is there a swimming pool through there too?
A	the crucial thing is having a nice
B	look there's another pool
A	but if there's another way of
B	oh that that's a
A	getting in
B	that's for er little children but not tiny ones
A	for example you could go and come this way instead of the other way you could walk through the
B	darling where do we go now?
A	I'm not sure oh that's a shame
B	you have to just go round the ferry
A	mm interesting down the steps
B	it's much bigger this place than you give it think it is what's through there? oh that's be the gym
A	it's an enormous thing to knock down
B	yeah
A	considering they probably only built it in the nineties
B	yeah look darling that's the gym
A	what a waste of money
B	want to go up there?
A	oh
B	or can we turn there?
A	can we go
B	I think we're just erm oh
A	that's where what?
B	you board the ferry as a
A	no
B	oh
A	ice cream
B	like being at the seaside really
A	yeah it is
B	is it the
A	look there it is back again
B	so
A	passenger I mean
B	nice little
A	pedestrian
B	pedestrian coverway
A	oh we could get an ice cream and eat it on the way look there's the
B	where? oh yes
A	yes there look if we were cycling we would be on here
B	yes
B	not much room for pedestrians
A	that would be fun
B	and cyclists
A	there is just here though except the benches are taking up a lot of room
B	look how fast the Clipper's going
A	oh my god yeah so er I actually didn't think they still ran on a Sunday at this point
B	is that a
A	yes it is but they might just be going back as in no passengers
B	no
A	though they do go quite fast though
B	who owns the land
A	well they're not hoardings aren't they
B	darling? gonna build on it
A	yeah that would be a shame but at least they've erm allowed the people to walk past and not just erm hogged the waterfront for the people with
B	that's how bare north
A	sorry?
B	look how bare
B	north
A	there's not a lot no
B	I suppose of Berkeley Homes could have bought you know
A	I mean I think they'd buy everything if they could
B	land there they could have been anywhere couldn't they?
A	now that this is new here we go oh it's a little bit oh look a beach
B	uhu
A	how do you get down to that?
B	oh oh that scared me
A	you can get down to that somehow surely
B	it's a lovely sound
A	I bet there's some clay pipes there
B	so look we've never seen this side of this
A	no
B	this er
A	okay erm I think we once met someone in the
B	did you talk to them?
A	mm well I think
B	look at that one there what a lovely er
A	and I was there
B	lovely erm
A	view
B	view
A	fabulous
B	look how they've put a big telly right there
A	well reality's not good enough
B	there's another beach darling
A	oh wow
B	there aren't cuddles
A	look no you go along there up there
B	you can climb down to it but I don't think you're supposed to
A	oh no maybe you're right
A	a flask out
B	it would look funny
B	put our swimming costumes on
B	handkerchief on my head
A	and a deckchair
B	and a deckchair
A	and and erm a windbreak
B	a windbreak
A	we used to have all the paraphernalia when
B	I'm sure you did did have it
A	when we went to Brighton windbreak deckchairs summer hats
B	I imagine your dad with a handkerchief
A	and my dad used to boil we used to boil a kettle
B	ah
A	on the beach with a sort of
B	a fire?
A	I actually can't remember what it was
B	kerosene
A	it was though it was something like that
B	a kerosene stove
A	yes
B	tea
A	after being in the sea
B	oh very English
A	oh it was so sweet oh I have a lot of fond memories
B	here's a little inlet look at this wow
A	look they're they're er they're sitting by it look duck I won
B	well
A	two ducks
B	is that a duck?
A	er
B	it's a type of duck
A	yeah I can't remember the name it is a type of duck
B	pretty
A	yeah what's that building a wonder
B	like a little swimming lake
A	yes it is it could be a really nice swimming lake it looks like it is as well doesn't it with all the steps
B	yeah
A	I think they're fishing
B	are they?
A	yeah
B	Roman ruins? mosaic
A	what's what's a mosaic mosaic you know a word I find
B	look there's another in bay
A	a word I find quite
B	look at that abandoned building
A	yeah what's that's? that's quite art deco isn't it? I wonder what that was it looks like swimming baths
B	I wonder what it was it does does have a look I can't imagine why but it does have the look of that
A	yeah
B	have to google it
