A	I'm not happy about this
B	pardon?
A	I'm not happy about this
B	you're not happy about this?
C	never mind
B	why are you not happy about this?
C	so where are you putting in that cistern then?
C	it's gonna be fine where are you putting in that cistern?
C	the exact same one?
B	yeah no they're called
C	oh
B	so erm
C	well she seemed quite keen on them
B	yeah
C	yeah apart from
unknown_female	I'm just going on a hunt for my manager
B	okay
C	oh
B	it's causing problems
C	I know
B	oh how's she?
C	she'd been to visit my mother
B	oh yeah? and how are they getting on?
C	they got on well they went out to the garden centre they looked at did I tell you mum's had fitted furniture in her
B	yeah yeah
C	bedroom it looks very nice and erm
B	why?
C	dunno she was just was she was oh the boys'll enjoy that so much with the snow she was really like
unknown_female	I did it
C	oh did you?
unknown_female	I managed to figure it out yeah that's fine so you've got
C	oh thank you
unknown_female	your goat's cheese tarts with half sweet potato fries and half normal fries
C	oh
B	tart
C	tart
B	tart
C	I like a tart
B	mm
unknown_female	is that all of them?
C	that's it thank you yes lovely
unknown_female	so we've got the scallops and prawns your garlic bread
B	yes
unknown_female	fillet steak medium rare but no sauce goat's cheese tart sweet potato fries half
C	yes
C	thank you very much
B	fantastic
unknown_female	you're very welcome
A	yeah thank you
unknown_female	okay
B	thank you she's very good isn't she?
C	she is
A	I've always done it
C	why not do it again?
B	oh cheers
A	you she blatantly forgot
B	pardon?
A	she blatantly forgot
C	anyway they erm
A	is that gonna be like
C	yeah I hope so too
B	where to?
C	Puerto Ventura
B	on her own?
C	no with
B	I don't how they afford it
C	no nor me they got it's eleven days I think the price for eleven they were going for a week
B	is that why she
C	for the price for eleven days was cheaper than for seven days half board
B	I don't know how they afford it
C	nor me
B	they've got huge savings then
C	huge
A	how much are your savings?
C	the we haven't got any so anyway
B	oh yeah tell us what happened
B	does he get told?
C	oh well he doesn't I get them
B	oh
C	he doesn't get them do you?
A	no
C	go on you say
A	saying how
B	what who's
A	he's one of their like he's like
C	he sent an email last night saying if
B	so
C	right
B	which is
C	well
A	sixth or fifth
C	it's the one mm
B	oh right yeah
C	to
B	I think you'll
A	I'm cold
A	yeah
B	put your jacket on
C	go on then put your coat on
A	haven't seen him
B	which coat?
C	he came home wearing somebody else's coat identical virtually to his own which he then kept cos they guy had said keep it I said no you're not keeping it somebody else has probably paid eighty quid for that coat send it back and if he doesn't want it his mum can sell it on Ebay
C	so you haven't seen it who's coat is it?
C	well you can put your own coat on if you want
B	well so what time have we gotta be at football tomorrow?
A	er the refereeing
C	alright then
A	I think it's three this one
B	do you think that's a promotion?
B	are you taking it as a promotion?
C	what were you on last week?
C	oh really? straight to how many pitches are there?
B	three
B	he's top dog
C	wow
A	yeah
C	you must have done a good job
A	first one's the game's at nine thirty
B	what are the teams who are playing?
B	yeah
C	are they under twelves again?
A	er
B	right
A	do you
B	yeah I do that's what I'm trying to figure out
A	why are they well I know
B	what's the
A	yeah there's
B	one was
C	what on the other pitch that were
B	yeah
C	kicking off?
B	yeah
C	oh really? which I don't suppose you know which team it was do you?
A	no
B	cos I was stood there
A	I doubt I
C	so
A	I told them
C	well there won't be any matches next Sunday will there cos it's Easter Sunday? there won't be will there?
A	I don't think so
C	so next the one after that when does the season end? will they do they just email you on the Thursday night now if you're in?
A	the
C	if you've got erm a game?
A	oh yeah yeah yeah well
C	but you need five for your course don't you?
B	by when?
C	I don't think there's
B	do do you think
C	a time limit on it
B	but there's more games after Easter
C	I just wondered when the season ends
A	well it just listen this email says it says if you can't make all games then
C	every Thursday to tell you if you're if you're
A	yeah
A	yeah they have no
C	ninety?
A	for all the leagues like
C	yeah
A	and er
C	at the start of the month?
A	well he I've had a few but I just haven't gone
B	well have you been picked for any or not?
A	no just it says hi er late notice but does anyone wanna do this match?
C	and when are they?
A	they're all different
C	oh okay
B	have you seen the midweek ones yet?
A	no mum said no to the
C	we said no on the form cos he's doing stuff midweek
B	okay
A	well
B	oh you know I've committed you to loads of tennis as well?
A	what tennis?
B	well I said
C	we need well we need to print that out if we print that out for you you can put it on your noticeboard
A	I didn't I didn't
B	yeah we'll come onto that but he he he won't get picked for all of those
C	no I know but we need to print it out so you know
A	yeah
B	so
A	so I don't er I'll just read this first
C	so you haven't replied to anything?
A	no cos there's ninety referees
C	oh okay
A	I think
C	I only know
C	cos he's been doing his mocks
C	is he doing it this
A	yeah
C	oh is he? with the
A	yeah
A	yeah they
C	they get paid how much?
A	twenty-two pounds
C	for how
A	under twelves
B	for how long?
C	why is it so much more?
A	but that's the same as me
B	oh so it's the
C	are you sure? twenty-two pounds?
A	yeah
C	so you need to start saying yes to
B	well you get twenty-four
C	yeah but that's for one match twenty-two pounds per match
B	twenty-two pounds per match?
A	yeah
C	that's a lot are you sure?
A	I think so I'll ask him but for Monday
C	you need to get into the
B	well twelve pounds is a lot of money
C	it is yeah but twenty-two's a massive amount for a fourteen-year-old for an hour's work
A	yeah and the so
A	yeah what do you reckon the score was?
B	six four?
