A	peas and kale and
B	I salted the kale and peas but I didn't salt the chips
C	okay
A	do we not have any mayonnaise?
B	erm we should have mayo
A	oh
B	erm
A	do you get the Hellman's one?
B	I get the jar usually
A	this has got lemon in it or something Hollandaise
B	mm that needs to go in the bin
A	grimness
B	so it's not there
A	mm
B	that is a disaster
A	disaster chips without mayo is like
B	it's a disaster
A	the sun without the moon
C	so Scotland have trashed Japan have they?
B	yeah obviously Japan were up for it
A	even worse
B	with South Africa they thought they'd give it their best shot and that was it that's all they could they do they've got nothing left
A	now they're rubbish
C	I think this deserves even more comments tomorrow
A	mm supposed to wearing a rose to support the er England team
C	mm
A	there's a little advert not very little actually
B	last time I they did what I thought was a great advert that was kind of how the how everybody hates the English as the rugby team erm as the so it was Ireland to advertise the three the Ireland England Scotland Wales against each other
A	oh the Five Nations?
B	whatever it is
A	Six Nations
B	the Six Nations erm but it was a great advert it was kind of like all of the different nations shown up in pubs and all round the place all cheering for the wrong team they're all cheering for whoever was playing England I thought it was really great and I
A	no way?
B	yeah
B	they said it was like racist or something
A	that's silly
B	it was proper silly cos the English really can laugh at themselves that's the only good thing you know that the you know you could honestly say it was the English advert of the English laughing at themselves
A	well England Australia's going to be a big one isn't it?
C	mm certainly
B	are we in the same group as Wales and Australia?
C	we are yeah
B	oh god
A	that's why it was important to beat Fiji
B	mm I see it
A	they were like kind of the less good people
B	so they could do with beating Wales as well then
C	could do with winning everything
A	they could do with an unbroken streak of
C	mm
A	reduced salt and sugar sauce did dad buy it?
B	no I think I might have
C	how dare you?
A	grimness I don't like reduced things
A	so I didn't quite understand which part of grandma's alarm wasn't working if she did manage to
B	so it's on her wrist and there's a button that she can press so say she was just in distress and she just pressed the button
A	right
B	but it's also supposed to automatically go off if she falls
A	oh and that's the part that didn't
B	that's the design of it and she's had a number of falls
A	did she fall on her arm? or not
B	no she feel at the bottom of the stairs she was just going towards the stair lift we think
C	that's right yeah
B	mm
A	yeah
B	er but you don't know if she grabbed onto something did it break her fall? did she just fall you know? did she just kind of stumble down slowly rather than just go crash
A	mm
C	yeah
B	but
A	you need to check if it's working how it should be?
B	check if it's working
A	but then she can press it manually
B	mm
A	mm
B	but I suppose the idea is if she's so hurt that she's not
A	able to yeah
B	able to press it that's
A	grandad has one as well doesn't he? grandad
B	mm
C	he has a cord yeah
A	cord yeah
B	so his is not so ideal in that he has to be able to reach the cord
A	reach it yeah
C	yeah
A	worry about him less but it's not really I mean he sort of bounds around doesn't he?
C	mm yeah
B	he's no I don't think about him falling as such although it could of course happen
A	yeah
B	but whereas grandma you need something to
A	it happens a lot doesn't it?
B	cos that's going to happen a lot
A	yeah
B	and they've rung up from the care people and said she needs to move the bed away from the wall so she can get the frame in
A	right yeah that was always a tricky one the bed wasn't it?
B	mm and erm
A	that's depressing though
B	mm
A	isn't it?
B	a luxury single bed like hers but that goes up and down and everything but he bought it at their house she didn't want it then she was very very angry and they said why don't you change over to it and she just said no she doesn't want to move out of their bed either
A	no that's too much
B	mm
B	oh good
A	but she erm is working in London on Monday and Tuesday
B	oh lord
A	so she's just mulling it over
B	mm
A	she said she'd really like to come but she's not she just needs to sort of piece it together in her mind a bit mm especially if we go if you know like I said for the morning
B	come back after lunch
A	yeah to pick
B	mm
A	so
B	it's about an hour and a half isn't it?
A	yeah it is it is especially in the weekdays it's quite busy like we normally go on a Sunday but she's going up to see
B	mm
A	and then the M6 is less scary
B	mm mm
A	but midweek it is quite can be quite slow can't it?
B	I don't know I think Sunday can be quite bad cos it's
A	yeah that's true everyone's going to their family aren't they?
B	mm
A	Sunday afternoon is worse like on the way back we had some traffic last time I think but
B	mm
A	that's the last thing you want isn't it? stuck in a queue on the M6 on your day off
C	we've done a bit of that
B	mm
A	be better to go on the train
B	the last two times or might not be two in a row but it's two recent it's taken over five hours to get to grandma's
A	oh my god
B	cos the M6 had a queue
B	it was horrendous
A	that's so depressing
C	horrible
A	we saw that didn't we? even on the way back from seeing
B	as soon as there's anything mm
A	it was just miles and miles and miles
B	mm
C	have you seen that Mr Volkswagen resigned
B	mm
A	did he? that was only only really next step wasn't it?
B	mm he could have just been sacked
A	so he was fully aware of what was going on?
C	no he said I have no knowledge of this and it it's I'm totally erm dismayed by the whole event
A	oh dear
C	but it's my responsibility and we need a fresh start
B	is he Mr American Volkswagen or Mr
C	Mr Mr overall Volkswagen
A	he's the chief exec Mr
B	oh god
A	yeah
B	oh no
A	he's a nice German name
B	poor them
A	yeah well he I mean he knew even if he wasn't directly culpable it's like you have to hold someone that person accountable don't you? to what's going on
C	yes exactly
C	unlike Mr Blatta
A	who's Mr Blatta?
C	the er don't you know about this FIFA thing
A	no
C	FIFA being the international regulation body for football
B	mm
C	and in particular they organise the World Cup
A	yeah
C	and erm there's been a terrible scandal because erm
