A	yeah actually
B	yeah so when was that?
A	so it was
B	yeah you
A	my
B	oh
A	so
B	saw the photos actually
A	yeah so
B	it looked really good
A	it must have been like
B	oh my
A	it's definitely been like
B	no way
A	like well over a month
A	I think it's because I went to Barcelona
B	yeah
A	and then I went to Paris and then
B	yeah
A	you
B	erm
A	did you go on holiday?
B	seriously yeah have we not seen each other
A	no we have not seen each other
B	oh my god
A	since you went on holiday
B	oh my god
A	I know
B	so yeah we went from seeing like
A	yeah
B	to erm it's cos you work out so early
A	yeah
B	and I'm just like mm
A	oh I'm a bit of a slacker no basically I I stopped paying for
B	okay
A	erm cos I was doing this
A	yeah well cos I was doing this half marathon
B	yeah
A	I wasn't doing I decided to stop lifting
B	yeah
A	like I said and then just focus on the half marathon and that went really really well
B	oh that was so good well done
A	like I generally thought I was gonna die and then when I ran it was fine I was like
B	seriously?
A	I was like why was I worried about this?
B	yeah how long did it take?
A	about two hours fifteen minutes
B	nice that's really good
A	so yeah I was I was happy with it
B	yeah
A	er then I
B	yeah
A	nearly a month ago since I did that even
B	yeah
A	oh
B	yeah erm like when you do that like surely you stop running at some point
A	no no
B	you don't like what?
A	I ran
B	oh god
A	like I didn't even stop like a little bit like I slowed down I definitely got slower but I I was like so conscious not to stop
B	stop
A	running cos I knew if I stopped I would just end up
B	that was it
A	I I'd walk
B	oh my god
A	so
B	that is amazing
A	yeah
B	I would not be able to do that
A	two er yeah two hours fifteen minutes of nonstop running and like after I got over the finish line I nearly started to cry I was like I'm so emotional right now
B	I I'm not surprised
B	I I would have not been able to have not stop if I did it like
A	I had
B	oh
A	what did I have? I had two bottles of Lucozade and a jelly baby
B	is that it?
A	one jelly baby
B	then at least make the most of it and like
A	well yeah but
B	need the sugar
A	thing is like sugar have you I don't know if you've ever like run when you've eaten loads of sugar but it makes your tummy go
B	yeah I know
A	really
B	yeah
A	really weird
B	yeah
A	and like I'd had this like horrible idea that I was gonna I need like the loo
A	halfway round
B	yeah
B	how annoying would that be though?
A	I know
B	that would be so yeah
A	I know
B	yeah
A	like they did have Portaloos and stuff but
B	but still that's like cos that that counts
A	yeah it slows you down
B	yeah it does doesn't it?
A	yeah and like cos sometimes the queues are like ten people and you're like
B	yeah yeah
A	no I'm not waiting in it so
B	no no I'm not erm I'll get you a drink if you want what do you want?
A	oh thank you er just a Diet Coke
B	just a Diet Coke?
A	yeah thank you
B	that's alright
unknown_female	there you go
unknown_female	awesome thanks
B	I definitely struggled there
B	she's like shall I help you?
A	you're like yes please
B	help us out
A	my god what what is? that looks amazing it smells so good
B	yeah and literally it is dangerous though cos it is you just keep going back for more
A	is it bottomless?
B	uhu
A	that is good
B	that is good
A	mm
B	I literally love it so much
A	okay so what happened so in August when I saw you
B	yeah so god
A	so
B	oh
A	my
B	oh
A	I was sitting on the floor like outside the HSBC vomiting my guts up
B	oh no I hate it when I I see that
B	so that was on the Friday wasn't it?
A	it was on the
B	oh and I couldn't go
A	I
B	that was the
A	I left my friend in town
B	how did you get home?
A	I somehow managed to get my shoes out of the cloakroom cos I had heels
B	that's okay
B	that
A	jacket
B	was like yeah
A	I somehow managed to take fifty pounds out which I think I gave the whole amount to the taxi driver to get me home
B	oh my god
A	people were oh my god
B	oh
B	oh god
A	it was
B	was
A	yeah she was staying at mine
B	oh
A	she was from London
B	oh god
A	no
B	I just think what
B	oh really? you helped her out there
A	yeah so
B	are you still friends?
A	yeah
B	well that's the that's a true friendship then
A	just about
B	oh my god
A	erm
B	I'm I'm not surprised
A	I was like I don't remember and like apparently called loads of people I like
B	oh
A	wrote her emails so I got like I started er emailing instead of her text like instead of her phone being like help but help was spelt very wrong
B	but that would have been so worrying wouldn't it? if you got that from someone
A	yeah
B	you'd go shit what's happened?
A	like yeah it
B	so where did you go?
A	oh we only went to well we went to
B	okay
B	okay I was there on Saturday night
A	oh were you?
B	erm
A	how was it? what this Saturday?
B	yeah yeah erm yeah it was it was good I erm was driving
A	mm
B	I thought like I it was actually when some of the PT's here because we went to watch the rugby and erm
A	ah
B	went out until like half two completely sober
A	wow my god
B	I was like what is this?
A	how did you manage that?
B	yeah I know erm that and it was like fine I felt like I had a hangover though the next day still so
A	yeah
B	it was really good fun
A	with the
B	yeah no I erm
A	oh cos you do personal training don't you?
A	okay
B	I start now not until January so it's a bit annoying erm how did I
A	did you yeah well you what are you doing?
B	so
A	who?
B	a girl but
A	yeah obviously yeah
B	yeah erm but
A	what's her
B	it's
B	no
A	I think the only one I knew was
B	mm
A	what have what have you been doing?
B	yeah exactly so
A	everything
B	not everything but kind of everything
A	so how well you're twenty-two twenty-three?
B	yeah yeah twenty-two twenty-three this year
A	it's only four years' difference if she's yeah if she's nineteen
A	does she want a does she want something more? oh no
A	yeah
B	by the end of it I was kissing her again
B	I know but and not only that but me and my ex thinks I might be like we're not sure like I don't know but it's
A	this will be this this is the ex girlfriend who you
B	yeah yeah yeah
A	and that freaked you out a little bit
B	yeah
A	yeah
B	and then yeah
