A	I don't think frogs can survive in salt sea
B	that's true
B	what about salt rivers?
A	I don't think I've ever seen a salt river
B	we all fished the cods out of a river
C	yeah it was
A	did you?
C	it was like an estuary or a river
B	tidal river
A	yeah
C	at
B	the river Orwell
C	what is a river a well?
B	there's a river Orwell where George Orwell got his name from
D	Orwell
A	really?
B	there's his his real name is something totally different it's not even George
C	George is the name for me
B	and Orwell sounds good sounds like a writer name
C	it does now
B	I'd definitely get a map out and look at the rivers
C	to get a
B	why not?
C	Thames
B	Henry Severn
C	sounds pretty good
B	sounds pretty good
D	Henry Severn?
B	like the Severn with an R in it
A	yeah that's good
C	I don't know
B	there's some pretty good
C	Tiber
A	yeah
D	Tiber
B	Tiber in Rome
D	oh
B	the one with the surfing and the fishing
D	oh yeah yeah yeah ah
B	yeah
B	microwave
A	yeah
C	I would
B	you cook scrambled eggs in the microwave
D	you really want one don't you?
B	have you ever cooked scrambled eggs in the microwave?
D	always going on about the microwave
C	no I'm not
A	isn't that how you used to
D	I used to put scrambled eggs in the microwave in a plastic bowl so that when it finished you just
B	that's what
A	I don't think that should be allowed
D	my mum taught me how to do it
B	when you do scrambled eggs do you scramble them in the pan? or in the bowl?
D	in a bowl
A	you mix them in the bowl and then you scramble them in the pan too
B	so you like half do it
D	yeah but they're already yeah it's not really
B	so I looked it up on the internet how to like and they said
C	no
B	it's like the sauce it's not the frying pan for even like a saucepan
A	yeah saucepan
D	yeah it should be a saucepan
A	small one heavy bottomed
B	and then like
D	low heat do it low heat
B	do them as they cook scramble them as they cook
A	yeah yeah
B	that was even
C	really?
B	the thing about omelette and scrambled eggs omelette is better when it's more like scrambled eggs
C	yeah
D	that's cool man
B	it was an omelette but it all sort of broke up when I put it on a plate
A	yeah
C	it was delicious
A	that's what you want
D	for someone that doesn't like eggs I mean that's must have been good
B	yeah
D	cool
A	later
B	I'll make you my whole repertoire
B	okay so start
B	I got that starter that's the starter
D	that sounds great
B	pasta and vodka with
B	it's actually really nice
A	woah man
D	that sounds great
B	celery salt celery salt
C	it's true
D	mm
B	making it a few a lot of vodka
B	no chuck it in you like whack it all up together
D	and you like whack it up
C	you put it on toast
B	on toast yeah on toast with butter
D	whack it
A	spaghetti on toast?
B	no sardines vodka tomato ketchup
A	oh right yeah
B	celery salt
D	with no spaghetti?
B	no spaghetti
B	be good with spaghetti as well
D	could just be with spaghetti also
D	or as a sandwich
B	sandwich wrap it up in cling film
B	eat it by myself on a bench
A	did you put it in an
B	erm
A	is that it? is that the full
B	well I've made squid once
A	what did you
C	it was nice
B	got really hot oil not groundnut oil
A	mm
B	tried it with chilli garlic
B	what else did I have with it?
C	vodka?
B	vodka
A	that's awesome
C	vodka's
D	making me hungry
A	yeah I'm
C	hungry for
B	there's this Turkish scrambled Turkish scrambled eggs with lots of chilli
D	you should write a cookbook man
D	and a few only four recipes
C	there's lots of buttons getting hit can't just be the pasta sauce do you think they do squid du mere? I don't hear nothing cooking
D	yeah there's not much sizzling is there?
C	got fish
C	cuttlefish and chickpeas
B	oh I'd be surprised
D	yeah that's the thing yeah
B	I reckon the sun's gonna come out as well
D	really?
C	is our friend still there?
A	no
B	no
A	he's probably cooking
D	or in jail
C	in jail
B	how's the wine
C	eh
B	not as good as the
C	it's no
C	yeah
D	okay
C	three liras for half a litre or four
C	something like that
D	thanks
B	don't play with it
C	why?
B	cos you'll make it
C	it's evolving
A	some people really know how to use microwaves
D	yeah man
A	yeah
D	I think the worst thing is defrosting stuff in the microwave
C	why?
A	oh man
D	and stay really frozen in the middle
A	no the someone they were arguing they don't know how to use it
A	no
A	no it's you should put it on for four minutes not two and a half
D	the thing with microwaves is in kitchens like this they've already cooked the food
A	yeah they haven't
D	they've already cooked it on the bottoms and then just reheat it
A	they haven't they haven't bought them from the shop
D	oh man
A	like ready meals it doesn't work like that
C	they're not ready meals but still microwaving is not really nice
D	no it's not nice but think about it they must like
C	you could do a sauce
A	yeah
C	or like melt something in it
A	you can do sauce and you can melt butter in a microwave
B	I don't hear the microwave
A	hm? I hear them on
C	the door sounds like a microwave
A	but some people have microwave ovens that
