A	okay it's on
B	do I really need
A	if I mute it? hang on a minute does that mean
B	mm that's just the speaker
A	is it?
B	yeah
A	erm
B	yeah you gonna plug it in but er I
A	why?
B	have a look at her bicycle
A	but she's got an old one you don't want that
B	I know I was thinking more about it I might just go
A	it's
B	no that's no good for me is it I
A	no
B	especially if you're not very good at riding a bike you need a good one
A	no
B	okay well she just offered it for free for me to have a go on and I'll just go and have a look
A	you shouldn't do it with your toe
B	mm
A	well no cos we're bound to
B	catch it catch the
A	you know if you put your foot down or something quickly
B	if I
A	er yeah I wouldn't do it
B	mm
A	what were you saying about
B	I've forgotten
A	about her kissing
B	oh she's erm ever since we did
B	it's not the same because you've the cos you feel like her smooth skin
A	mm
B	against yours and it tickles and she just does it later then she sticks her tongue out and then slobbers all over you
B	it's really cute
A	yeah
B	look at her we've got to do something about this
A	I know I'm gonna have to go mozzie hunting tonight
B	the oh I can't believe it I'm so embarrassed because yesterday she had what two mozzie bites
A	mm
B	and I checked her room and I thought I checked her room and now look at her she's got them all over her head
A	I know
B	she went to play play with everybody today
A	mm looks like we left her out in the woods
B	well there's nothing you can do if you can't find the mosquito what can you do?
A	oh really it's in
B	apparently
A	oh shit
B	but then I think these bites she's been getting at night anyway so I don't think I haven't seen any daytime ones really
A	I thought dengue was more tropical
B	yeah
A	mm
B	I've never heard er well I didn't hear that I don't know where she got
A	I dunno
B	that from
A	well they haven't said anything have they to us about dengue?
B	well I don't know I stopped opening the dengue emails cos you said they were
A	yeah that was the
B	well I stopped opening the emails so whether they said dengue has come
A	mm
B	to
A	yeah
B	but then you've got to
A	well I'll go round the house tonight
B	these ones here that have got her head
A	mm
B	and
A	yeah I know you can't get them they're really difficult
B	they fly though the back you're like
A	yeah and they're so small you can't even see them
B	no
A	he's had a right feast out of you hasn't he?
B	yeah
A	how were your classes?
B	oh they're lovely
A	mm
B	really they are
A	mm
B	it really did
A	mm
B	why they thought something of a reading text why why the answer is what it is
A	mm
B	you know why it isn't the other A B C
A	and the others don't care they just wanna know what the answer is
B	yeah they just don't
A	that's as far as they think is important
B	yeah maybe I dunno but they've got some training
A	well since they're engineering it's
B	yeah
A	reading doesn't matter why
B	yeah
A	they'll discuss it it's got no importance
B	so how do I make that important to them
A	well you don't but
B	that process? mm I know what you mean it's
A	it's very Chinese and very very scientific as well
B	mm
A	but
B	mm
A	and it's not as say it's not like humanities is it where people are more open to discuss?
B	mm
A	mm
B	erm they emailed me about the American student today
A	mm what did they say?
B	mm
A	you put the whole thing in your mouth?
B	no I only put a little bit
A	what? what do you mean what it sounds like?
B	me eating
A	oh on the recording?
B	it's more of a I don't know anyway anyway it's gone now I'm not gonna eat any more
A	mm
B	as someone who's had at least a
A	no
B	unless you've got really really bad grades
A	mm
B	mm
A	yeah but
B	hey
A	what does what does she want to study?
B	it's engineering she's in engineering she does she wants to do erm oh I can't remember
A	well is she gonna speak to someone about it then?
B	yeah well I sent her to
A	yeah but yeah
B	but it's not the type of
A	but she's paying seven grand for this
B	mm yeah
A	for for learning a couple of things that you didn't know
A	so
B	well
A	a year of your life
B	if you're not studying academic I dunno if you're not studying applied linguistics at university if you're doing engineering why would you want to know that?
A	mm
B	she knows how to write a report
A	mm
B	that's that
A	mm
B	she she'll do it better than anyone else by the end of the year
A	mm
B	still she can do it now she
A	yeah
B	straight oh god it was so sad she was sitting there she
A	what again?
B	like in
A	in
B	no this was yesterday
A	oh
B	and erm I said to
A	mm
B	I think she wouldn't mind with the higher students she's sitting next to this student who is struggling already with
A	well make sure they don't sit next to each other then
B	yeah well how? if she's late she's late into class I can't save a seat for her
A	why?
B	save a seat for her where? next to other students next to me? I dunno
A	hide a chair
B	mm
A	and if she's always the last one to come in like hide it behind your desk
B	yeah
A	no but
B	yeah
A	so
B	yeah they're
A	they're really early
B	mm
A	mm
A	mm
A	and what else have you done today?
B	well I came back here well I went I had a class at nine
B	erm so I walked all the way around the block
A	you can't remember what you were looking for?
B	oh I was going to go in the supermarket and get
A	well it couldn't have been very important then
B	no but for some reason I decided to walk all the way round the block before coming home for lunch
A	what?
B	yeah
A	yeah that's a horrible walk that
B	yeah so I don't know why I did that oh I know I wanted to get her some Thai noodles
A	mm
B	but whenever I go past they're never doing them
A	mm
B	dunno almost need to know when they're gonna set up
A	mm
A	so
B	I was gonna buy the nanny some noodles for lunch cos I thought she might have a busy day
A	mm so whose house does she go round to?
B	I think as far as I can gather she went round
A	who's
A	mm
B	very nice
B	she was erm she was struggling a bit settling in because they moved quite a lot around
A	mm
B	so
A	oh okay
B	so
A	that's
B	she went round there
A	oh really?
B	mm
B	she's doing the shuffle
A	yeah
B	whatever you call it
B	eight months old
A	eight months? I thought she looked is she only two months older?
B	yeah
A	oh
B	she can't do that much more than
A	well she's bigger isn't she yeah
B	not that much bigger
A	mm
A	mm
B	do do do?
A	yeah she's gonna be er all over the place
B	so that was quite a busy day and then I went to pay the rent
A	oh
B	so I thought one thing at a time and I bought that
A	haven't got a passport
B	er?
A	haven't got a passport
B	oh well I'll have to write to them and explain erm
A	mm
B	oh it stank it was so bad it's it's a good job you two didn't come
A	mm
B	yeah
A	in
A	oh mm
B	l
A	yeah
B	yeah yeah she said the
A	or
B	yeah it's something like that she said it's much better here
A	really?
B	she was a bit she was monitoring it all last year
A	better here?
B	yeah
A	jesus christ must be really bad
B	yeah well today's alright
A	it's been alright this week
B	been alright yeah this week's been fine it's still been been a a bit hazy but I think
A	oh man
B	is that one? did you get one?
A	I saw it
B	have they come out?
A	but they erm
B	they've come out
A	it was tiny
B	er oh
A	really tiny
B	we need your fast hands
A	yeah I missed him
B	fast drumming hands get these mosquitos they're they're not sitting on the walls either are they? cos the big ones it's the big ones that sit on the ceilings so
A	mm
B	mm yeah so wow that was flat out today what did you do? like my lunch was literally coming here breastfeed
B	eat the noodles go
B	I didn't stop for
A	yeah I
B	that's good
A	and then had lunch and planned for tomorrow
B	are you planned for tomorrow?
A	yeah
B	I'm not
A	it's easy took me ten minutes
A	seriously it's easy
B	well cos we done it last year?
A	yeah
B	er? start again
B	I don't get it
A	we know that
B	you remember er er all what we saw er last year
A	I can't remember how to speak English
B	mm
A	we know what's coming
A	erm
B	no not bad at all
A	and then I bumped into
B	mm
A	I go okay then so I went to
B	huh
B	afternoon beers
A	I only had one
B	it sounds nice yeah
A	just erm er politics we were talking about
A	yeah
B	hey
A	propaganda and stuff
B	yeah?
A	mm
B	is he in the band?
A	no
B	or is he kind of out of it? no singer?
A	he's kind of out of it
B	have you got a singer?
B	why is he er and
A	yeah
B	you feel sorry for the drummer but
A	erm
B	what can you do? can't have everybody can you?
A	I think
B	yeah
A	and everything
B	mm
A	then
A	but I think the smaller gigs like things like wedding events
B	well I don't know I've never seen him have I? so
A	yeah yeah
A	yeah so I've
B	really?
A	well no no they're going through
B	they're going through
A	yeah
B	wow
A	erm
B	this Friday
A	so
B	is this
A	this Friday hasn't been confirmed yet but erm
B	when's
B	next week so this Friday this Sunday
A	yeah
B	is it? is that right?
A	yeah
B	god you've got to know how to
A	so far
B	are you putting all this in your phone in the dates?
B	you're gonna start forgetting if you're doing gigs
A	yeah
B	different places and everything that's amazing it really is if you can earn a few
A	yeah yeah it's great
B	ah and everybody wants to do it?
A	yeah
B	the band
A	yeah
A	and the agency said you know I mean at the moment we're not getting paid very much
B	no
A	something like sixty quid each
B	yeah bargain I would say
A	yeah
B	are you sure the agency's gonna up the price?
A	but we're only playing for about twenty minutes
B	yeah
A	so it's not bad
B	yeah
A	but it's the travel and it's the waiting around
B	where is the wedding?
A	cos they want us to do two sets of like ten minutes each or something
B	yeah yeah when's the wedding?
A	er I well I don't even know if it is a wedding
B	you're not sure?
A	and the one on Sunday I don't know what it is someone said something about a car launch or
B	well
A	something
B	just see how it goes
A	so this could really escalate
B	yeah I know
A	it's already gone a bit crazy
A	mm and then
B	mm
A	erm he's showing some interesting in getting me to play with it cos he's in a band now
B	you can't be in two bands and it and go
A	yeah
B	all over the place
A	yeah you can
B	not if you're getting paid like
A	mm
B	four pounds a week it's gonna be hard
A	mm
B	you'll you'll burn yourself up
A	mm
B	well
A	well I'm not gonna do too much anyway cos I need to spend time with you two
B	erm didn't you try a band with
A	I didn't try anything I talked about it
B	exactly it didn't work
A	no but now he's in a Chinese rock
B	you had a meeting
A	he's in a Chinese rock band now but he didn't like it cos it was too heavy
B	oh
A	he's more of a folk singer
B	yeah
A	and he's going through this the same agency
A	so we've kind of all agreed that we're just gonna use all of us so we've got
A	a folk singer and
B	yeah
A	and an acoustic guitarist
B	hang on why isn't
B	in the other band?
A	I dunno
B	why not?
A	I dunno
B	really?
A	I think he wants to be the frontman
B	mm what does everybody think about that?
A	they haven't talked about it it's
B	mm
A	I dunno
B	well instead of splitting off into two bands can't you just be one band and then take turns?
A	dunno if we make one big band
B	then take turns at doing the vocals
A	no but
B	playing guitars
