A	yeah and then that should be
B	so we're away
A	yeah that's
B	yeah great
B	I wonder why it doesn't come up the first time
A	I dunno
B	mm
A	yeah what were you saying before? something about
B	oh yeah erm well the erm
A	yeah
B	you know like this
A	yeah
B	er
B	anyway she's she wanted er
A	yeah
B	whether I'm gonna find it or not is
A	well it's above the er café isn't it?
B	well it's
A	oh okay
B	my god
B	we're all becoming Americans you realise that don't you?
B	it's
B	yeah
B	so yeah erm first one's Tuesday and erm
A	yeah
B	and I've er got got to pay for it now because
A	yeah
B	before she was doing it out of the kindness of her heart but erm
A	well she's put a lot of time and money into it herself hasn't she so
B	well she she has
A	yeah
B	so I don't know how many people are gonna turn up but erm
A	yeah
B	or how much it's gonna be even
A	erm
B	so
B	yeah
A	yeah
B	well I bought the forms round for
A	which forms?
B	well those ones for
A	yeah
B	it's her form mm
A	okay has she not done any of her own?
B	erm I don't know
A	cos she won't need a consent form if she's already done it
B	I don't know if she has
A	no I don't need it cos I've already sent them my consent and
B	so you only have you only have to do it once?
A	only have to do it once
B	oh really?
A	yeah you have to
B	I thought you had to do it every time
A	no no no so if if
B	really?
A	yeah
B	well I'll have to
A	so
B	phone her and fine out
A	yeah
B	because well that'll save me something
A	oh okay okay but you just need to sign in those consent forms anyway you don't need to send them by post
B	right
A	well a contract you have to send
B	no yeah that you have to sign but there was one that you know every month you have to
A	oh your invoice
B	yeah
A	yeah but you can email that as well
B	so you don't have to post that either now?
A	just your contract
B	mm
A	pretty sure that's what I've done anyway
B	okay
A	and then
B	can she?
A	she's done a consent form as well
B	oh okay
A	you just need to make sure that every speaker is on that sheet that you put
B	so there's it's er er all the paperwork's done basically
A	yeah
B	no erm
A	er on the Dropbox thing
B	yeah yeah I did one last month
A	yeah yeah cos I I wrote them a
B	mm so I can't get into my Dropbox because we need a VPN
A	well can't you do it in your office? you said
B	yeah I know but you still need a VPN
A	oh right
B	so and er the girl who was helping me set it up erm she wasn't there today so er
A	mm
B	anyway it doesn't matter she'll the next time she's there I'll
A	yeah
B	well I'll find somebody to help me to
A	yeah
B	cos I'm useless at technology
B	yeah erm when was it? what's the date?
A	yeah
B	yeah
A	oh
B	went on for an hour over an hour
B	I ended up telling her my life story
B	yeah
B	I'll sit
A	I'll get erm do you just wanna bring that through to the kitchen just finish making that drink?
B	oh
A	I've got camomile or fruit tea
B	erm
A	er
B	oh
A	camomile?
B	yeah that's lovely
A	do you want
B	want chocolate or you are we going back in the other room?
A	yeah we're going back in there yeah
B	yes
A	erm yeah we went
B	is that
A	it's that very posh supermarket
B	is it a Spanish supermarket?
A	yeah it's near do you know the Brazilian barbecue place?
B	no
A	it's in
B	right
A	and all that crap
B	oh yeah
A	in the basement there's a you know there's like a Spanish supermarket really expensive but you can get some like quality
C	hi there
B	hi
A	foreign products if you you want
B	she's away
C	er?
B	she's away
C	I know
A	yeah she got a bit of a fright in the bath
C	yeah I squirted water at her with one of the toys
A	oh
C	I just on her belly
A	mm
C	really got some emotions
A	I think her teeth are bothering her as well
C	yeah her teeth are
C	I've just found it how long have I been
A	she did they yesterday as well didn't she?
C	I've gotta do my marking I've got a nine o'clock a nine o'clock class
C	you alright anyway
B	er yeah fine thanks you?
C	gotta go now bye
A	yeah cheers
B	yeah it's probably teeth
A	yeah
B	yeah
A	anyway so you were saying?
B	did you see that
A	they've got really good meat there by the way if you wanna get some good steak
B	I don't
A	oh you don't
B	don't eat it
A	yeah
B	don't eat it
A	did I see what?
B	did you see the red moon last night?
A	no
B	really?
A	yeah I
B	why was it red?
A	er it's I heard somewhere it's some kind of eclipse
B	cos apparently it's er it was very early at night it was like half six or something
A	yeah
B	and erm if a full moon which I didn't realise
A	yeah
B	and er
A	yeah
B	she was playing with her phone as usual
B	and all her friends were sending these photos of this red moon
B	well
A	yeah
B	well that's what happened last month wasn't it?
A	yeah?
B	yeah
B	erm it was because it was closer to the earth than any other time
A	oh
B	yeah it was in the papers and everything and you know you know people are amazed how big the moon was
A	yeah
B	so another one you missed
A	cos I think yeah I think sometimes as well if you're in the desert I think the sand in the air can magnify it it acts as like a glass
B	yeah
A	kind of magnification thing
B	oh
A	so it looks like something in Star Wars like this big big thing
B	what for a red moon?
A	I don't know how often are they?
B	I've got no idea
B	I never seen them before
A	no
B	well
A	or you just saw pictures of it?
B	I just saw pictures of it
A	yeah
B	yeah cos when we were I mean it was too late because I was er I well I presume it was too late I
A	yeah
B	cos all these pictures that we saw that take about half a six and
A	yeah
B	when
A	yeah
B	really cheap actually
A	yeah?
B	yeah
B	for oh ninety minutes and very
A	yeah
B	er and then worked up to your knees
A	yeah
B	and erm then erm that
A	yeah
B	and erm
A	right
B	I mean
A	mm
B	on the rare times she cooks
B	and they put strips about so long er on your back which overlap just on the the lower back
A	mm
B	and then she brings in these they look like huge joints
B	two
B	er that are attach with this clip and then proceeded to wave them about between one and two inches above the back
A	mm
B	and this is the heat I felt I I I thought it was wax
A	mm
B	that was being poured on my back I didn't I I
B	and there was this this is the heat and er it's a it's a bit whiffy you know it's erm a bit strong smell smoke in the air
A	yeah
B	but
A	yeah
B	yes
A	oh good
B	well
A	so they're
B	no no no this was the last thing they did
A	right
B	they do the massage first I think to loosen it up I suppose
A	yeah
B	I
A	yeah
B	so
A	oh okay
B	and that's
A	I know with Taoism there's some some types of smoke I can't remember which ones but they're supposed to be cleansing er you know take out the impurities
B	yeah
A	yeah
B	I was supposed to have a stomach massage before the back one but erm erm I didn't want that in case of getting a funny tummy you know
A	yeah I don't really like stomach massages it's kind of
B	mm
A	I dunno there's too many things there to prod isn't there?
B	well
A	like no I can't see what the good that does really massaging your stomach
B	mm
A	I suppose you can move stuff if it's blocked but
B	mm
A	on your back or legs or something
B	well I felt mm
A	yeah
B	and erm in fact I went down the
A	yeah
B	so did I I thought cos a er what I was scared of I was gonna get the the pancreatitis was gonna come back
A	oh yeah
B	and I didn't wanna get that back in the hospital especially since I don't have medical insurance any more
A	yeah
B	well
A	would you go to a Chinese hospital?
B	well well no I mean where I went before was an an you know in hospital but it was erm
A	mm
B	just this intravenous drip for five days sort of thing
A	mm
B	and then after that er you only sort of like stodge you could eat you know like porridge and
A	mm
B	other stuffs like that
A	yeah
B	so I've been a bit careful
A	mm
B	really?
A	well
B	really?
A	it was you know cos I'm not getting that much sleep when I'm home anyway
B	no
A	and then work with mum work on Monday morning
B	oh
A	no I mean it's just not
B	yeah
A	yeah so I mean I I'm planning a gig tomorrow at
B	mm
A	maybe go back in a couple of months
B	cos I saw I saw
A	I say that now but
B	I saw
A	yeah er at er
B	er he didn't say where it was
A	yeah
B	he just said you've got another gig and
A	yeah
B	oh he didn't the you probably went erm up down the
A	no no yeah cos it's yeah I mean this is an afternoon gig so there's no drinking or anything it's just
B	oh it's afternoon?
A	yeah so the last one we did for
B	well if it it why do you say you wouldn't got to
A	well they're picking us up at two o'clock in
B	oh
A	cos I was tired
B	mm
A	they might go down did he say he's not going?
B	he said the the group wouldn't be going down because
A	yeah
B	they've got a gig
A	oh
B	I assumed that it was you know it was in the evening but
A	yeah
B	I dunno
A	I dunno well I I suppose it doesn't matter what time it's gonna finish so
B	oh is he?
A	yeah because
B	oh
A	like four piece band
B	oh right yeah
A	yeah
B	it's silly isn't it to need a body count
A	yeah
B	I can't Friday night is
A	oh yeah
A	yeah
B	you know it's er
A	yeah
B	it's er sacro er it's a
B	oh
A	with the computer
B	what?
A	I've got my piano over there
B	yeah?
A	which doesn't work so I'm having to use the piano on here but
B	can you play keyboards?
A	I can mess around with it I don't I can't play songs but like anything I do with music I can just mess around with it
B	oh
A	my I can pick up anything and get a song out of it but
B	oh
A	doing this
B	sounds very clever
A	erm well it's a clever programme
B	yeah I was trying to get my guitar fixed actually in the I was trying to tune it and the tuner didn't seem to work properly so I took it
A	get a get at tuner on your app
B	really?
A	yeah on the
B	when then no the one I've got you you attach it to the guitar
A	mm
B	and you pluck the string and it you know
A	yeah
B	go
A	this one you just erm
B	get it on your phone?
A	yeah
B	oh oh
A	sounds a little bit up there yeah
B	so how would I get this app then?
A	you just search it on the whatever search thing you've got on your phone I don't know
B	but mine my phone's not an er er a smart phone right?
A	but you've got apps on it
A	must be able to download them
B	I think I can er yeah I'll I'll have a look when I'm at home cos that only works like I think when the Wi-Fi's on
A	er
C	yeah?
A	I'm gonna shall I go and try and sing her do you wanna
C	oh it's
A	come in here for a bit?
C	yeah
A	and I'll I'll go and calm her down
C	okay
A	sometimes when I sing I think it's the vibrations of my chest or something
B	oh
A	yeah so
B	right
A	so the just the first that once a
C	yeah that's fine I've just
A	why's she windy?
C	I don't know I went and in
A	I I'll go in then okay
C	yeah alright
B	hi
C	oh
B	teeth probably
C	do you think?
B	mm yeah that or tummy ache I remember when we had babies in the family not mine but when I was younger you know I was a teenager and other people had babies it it's and erm those it was either well people were talking about either teething in which case you put stuff on the gums or gripe water for tummy ache
C	yeah yeah I've read about that see I meant to bring some Bonjela from the UK but I forgot
B	oh
C	it's fine we're fine so how is everybody how is
B	well erm she's still got this acute bronchitis
C	mm that's been a long while
B	I know well it's like it's acute you know it it's turning into chronic the know chronic is usually associated with smoking mm
C	it's just when it's is it when it's recurring quite a lot?
B	well yeah
C	when it
B	yeah it's it's just it she can't seem to get rid of it some and we've been giving her medicine and stuff but and that's
C	antibiotics or
B	no no we went to the hospital last week with her and erm the doctor said no that it's it's not what she needs so erm she had some erm cough syrup and er a couple of different types of pills and it seemed to get better a little bit better but it's worse at night
C	right
B	at bedtime
C	yeah
B	but er it's it's it's I mean it it's just constant coughing and coughing and coughing and
C	wow that's
B	I mean it's it's I mean poor thing you know
C	yeah
B	if if it's her suffering but it drives me round the twist as well you know
C	yeah yeah
B	this constant cough but cos it she forces it the
C	I think
B	a er you can't stop yourself she's doing it because she's got this thing in her
C	mm
B	up here she says on the top of her chest and she's trying to dislodge it
C	right
B	no but er apart from that she's happy enough
C	yeah
B	you know
B	and the well yeah yeah and she's developed this nervous twitch as well
C	that's habit that yeah
B	mm see is everything alright at school? yeah yeah no problem so I don't know why she's doing this
C	the teachers say anything to her?
B	yeah yeah
C	mm
B	we had to give them presents for teachers' day
C	oh did you?
B	I said well why do you do this we don't have to he said well if you don't they don't treat
B	no
C	I got my first apple
B	so we ended up paying erm er got
C	twenty quid? really?
B	yeah
C	that's quite a big present
B	yeah and there was
C	cor my mum and dad only
B	there's four teachers
C	my mum and dad only give
B	I know yeah
C	mm
B	oh really?
C	yeah I've never had
B	oh what for the teacher?
C	an apple on the desk before
B	mm
C	no
B	mind you they pay enough for the courses so
C	but also
B	it's like
C	cos the teachers they came at the beginning of term so you've got a new teacher
B	mm
C	so it's not like he's a
B	well she's back in er no she's back at the same school she was in before
C	right so she had that teacher before? cos
B	well but yeah but there are four different teachers so yeah
C	it's a bit weird to have a teachers' day at the beginning of term they should have it at the end of the year and then if er if you feel like you're you've had a good year with your teacher then you can do something if not don't
B	yeah
C	you know? it's a bit
B	yeah think it's up to the parents anyway it's got
C	yeah
B	don't think kids have got any say in it
C	what did you get?
C	no I've done one
B	you've done one
C	mm
B	so I'll just put your name down
C	mm yeah that's fine
B	mm right
C	are you very busy it's been really busy for us oh ah
B	er?
C	it's been quite busy
B	mm
C	we get the end of the day with her as well when she's tired
B	yeah
B	but I thought the idea was
C	yeah yeah we are so they're coming back but there's a lot of marking lately so
B	mm
C	do bits and bobs as well so bringing work home doing a bit of work at home I get distracted so easily I just wanna know what's going on in the other room
B	yeah
A	yeah
B	I certainly miss the money and you know the and the company with the and all the rest of but the the contact with the kids but I certainly don't miss the marking and and
C	yeah
B	having to get up at seven o'clock every morning
C	see I
B	mm
C	and doing bits but now
B	mm
C	and come in cos I've been coming home to spend some time with her and then doing bits in the evening
A	I picked her up
C	picked her up
A	and she had loads of wind
C	really?
A	so I think that's what might be why
C	you're much better at the wind than me
A	yeah
C	he is
A	it's what I eat
C	er? yeah you're better at getting rid of it
A	getting rid of the wind
C	so she should sleep now once she's asleep she's fine
A	yeah
C	but it's difficult to know whether she
A	yeah
C	she's got so many emotions lately that I think she might start crying to get cuddles
A	mm
C	extra cuddles you know?
A	that's the problem
C	did
B	what's that?
C	cry for attention
B	yeah
C	people either leave them to cry
B	I don't know
C	or they go in to them but
B	yeah
A	yeah well she's getting that age now I think where she's gonna start really playing with us a little bit
C	I don't know
A	anyway you need to go and do your work
C	I know
A	shouldn't be marking in the evening anyway of course
B	the marking
C	I know I've got to get organised to not do it in the evening
A	yeah
C	yeah I know
A	I like that idea
C	yeah
A	cos you're gonna drive yourself into the ground
C	I'm already tired
B	mm
C	yeah cos
A	it's cos you've been coming back to breast feed
C	come back every lunchtime
B	yeah?
C	I'm getting really fit
C	running back
