A	right so I'm gonna start it out now so so we can talk about the kinds of things you wanted to get my
B	right okay right well first and foremost like I said was talking about this erm er who who do you reckon would be the first person to contact?
A	about the conversion of this space?
B	yeah about the structural sort of possibilities cos if they then if they've gotta stay connected to these stud walls for some unknown weird reason then that sort of stops it going ahead
A	yeah
B	cos we can't go putting in any more supports it will be intrusive enough to have a space that's got these steels and just about saleable with those steels all the way through the room
A	yeah erm I erm I think it's very
B	yeah
A	so erm and he was the architect for all of that work and that was the point at which they put the theatre in downstairs and these spaces upstairs were converted into those erm kind of little shed things
B	yeah
A	the little chicken wire sheds that we saw in that photograph out there so whether these struts are part of keeping the ceiling
A	so whether they took something else out some other kind of structural support or some other kind of structural if
B	I would've thought there would've been roof joists standard roof joists
A	yeah
B	cos that's what steels was there to replace
A	but then we've got a flat roof here so I don't know what's above this roof there is a there is actually a
B	yeah there is an attic
A	there is an attic have you been up there? have you had a look up there?
B	yeah it's got no but no but there wouldn't be any joists all the way along it then
A	but you could have you could stick your head through that hole and see what's holding the roof up because this could be part of some structure from
B	yeah yeah mm
A	the roof up above or erm
B	well if it's anything above there that's not gonna be an issue but if it's like I say if it's if if for some er weird reason they've put these erm braces roof braces roof ties whatever they're gonna be actually called on non-load-bearing walls which is what all these are
A	yeah
B	then that'd be weird and
A	but do they go through? I mean is that is that
B	yeah they go all the way through yeah these struts yeah
A	that goes all the way through so that bit there will go has got a bit that then travels across that office and the next office
B	yeah yeah yeah they erm they criss-cross but I think the upright extensions that they'll stand on are behind the outside walls
A	yeah
B	so yeah the uprights and the bits that we really really can't remove
A	yeah
B	are in the space that we don't wanna touch anyway
A	yeah that's fine
B	so that'd be ideal I think
A	all I'm worried about is these metals struts the
B	the metal struts we can't move but I don't think they'll stop us selling the room I mean if they come to sort of here at the at the most if you opened up that room and had that space double if you were doing a dance class in here there's still space in between them
A	yeah
B	to actually use erm I mean it's still a usable space you could set the room up
A	no
B	it's erm it's a minor hindrance really I mean it'd be a pain for sort of Krav Maga and stuff like that
A	well yeah that would be dangerous wouldn't it?
B	yeah
A	if they'd trip over them
B	yeah well that's it and you'd you'd hit into them but if it's
A	yeah
B	sedate activities like dancing and stuff like that where it's more erm it's more controlled
A	well I don't know what kind of stuff
B	mm
A	erm I think it's all kinds I mean I've I can't er I looked at her website a long time ago but er at that time she was offering so little in the way of rent
B	mm
A	that it just wasn't feasible for her to take her proposal any further than
