A	how would you know?
B	hang on
A	how would you know if you were happy?
B	how would you know if you're happy?
A	yeah
B	so this is the thing you want to talk about?
A	yeah
B	well what do you think? turn around so I can hear you
A	well you can like all really feel and nice
B	mm
A	and you feel light and
B	light? or right?
A	yeah light
B	mm?
A	and
B	ah
C	yep
B	come over here
C	mm when you're happy you feel like you want to smile and laugh mummy
B	mm
A	yeah
B	mm?
C	cos if you're quite happy your smile's not as big
B	uhu
C	yeah so you sometimes you can cry when you're happy
B	that's very true
C	although you have to be very very happy to cry
B	have you ever cried with happiness?
C	erm probably
A	yeah I have
B	yeah?
A	that's cos I that's when I learned to ride a bike
B	did you cry with happiness?
A	yeah
B	oh at school?
A	yeah
B	and how was everybody? were they supportive? or were they just like oh my goodness
A	no erm I was I erm my friends erm
B	right
A	and
B	ah
A	mm
B	so when do you think you've been at your absolute happiest?
A	erm when it was my
B	mm?
A	my second birthday
B	why your second birthday in particular?
A	because it's in the summer time as well as my birthday in the Christmas
A	yeah
B	yes you have your party in the summer and your birthday your actual birthday is on the when? when is it?
A	the twenty-eighth of December
B	the twenty-eighth of December
A	mum when was I born?
B	do you mean what year?
A	no which day?
B	oh I can't remember Tuesday I reckon
A	so
B	I could find out for you
A	so I'm full of grace?
B	oh that thing?
A	yeah Monday's child is fair of face Tuesday's child is full of grace er Wednesday's
B	child? yes?
B	can't remember say it er
B	it was a Sunday
A	so erm so the child was born on Sabbath day is boney and bluth
B	bonny and blithe and good and gay
A	yay
C	and gay?
A	I
B	that means happy
C	oh
A	I hope I get my children born on Monday Tuesday and Saturday
C	what's when was I born?
B	right so you're coming round to the idea of having kids now?
C	when was I born?
B	let me have a look
C	and what does Wednesday mean?
A	Monday's child is fair of face
B	full of woe well that's not
C	what does that mean?
B	full of sadness that's not you at all
C	I'm
B	and then Thursday's child has far to go Friday's child is loving and giving Saturday's child works hard for its living but the child that is born on the Sabbath day
A	but the child that's born on the Sabbath Sabbath day is boney and
B	bonny not boney
A	bonny and blithe
B	blithe
A	and good and gay
B	but what do you think
C	I think it's a stupid rhyme
B	come over here
B	no but it's interesting isn't it? that people have that and you just think oh well that's a bit depressing so
C	mm
B	do you think that's a bit silly to have
A	I think
C	yeah
A	I think
C	I'm guessing er the person who made it up knew when they were born
C	yeah
A	yeah
B	yeah but yeah well what about the people I don't know how old that is I would imagine it's Victorian if not older but
A	when they felt when they were
C	well when they knew if they were born on a Wednesday they'd probably feel quite irritated that their little sister was born on a very nice day
B	it does seem a bit mean
A	yeah
B	what do you think?
C	I think it's a stupid one
A	well I've made up a
B	we could rewrite one
A	I've made up another poem
B	okay
C	wait what does what does
B	so bonny and blithe is sort of it's like a cheery
C	mm sometimes
A	okay
B	well we're all we're all got different characteristics and none of us are
A	okay
B	happy all the time or grumpy all the time
C	mm
A	Monday's child is really good Tuesday Tuesday's child likes a walk in the wood
B	Tuesday's child
C	mm
A	Wednesday's child is really cheeky
C	no Wednesday's child
A	is
C	loves to play with Lego
B	no I liked er
A	no
B	Wednesday's child is really cheeky Thursday's
A	Thursday's child is quite peaky
B	really
A	no quite
B	or is feeling peaky okay
A	is is peaky
C	what does peaky mean?
B	feeling ill
B	Friday's child is
A	Friday's child is very bored
B	Saturday's
A	Saturday's child likes a
A	but the child is born on the Sabbath day
B	Sabbath day
A	loves her brother
B	come what may
B	or I thought you were gonna
A	who loves her
C	oh wait who loves who brother that will always stay
B	oh yeah
A	loves her brother who will always stay
B	I thought you were gonna say and Sunday's child likes to eat spaghetti carbonara and this doesn't rhyme
B	that's what I thought you were gonna say
A	no spaghetti carbonara for a treat
B	oh
B	like sweet spaghetti carbonara for a treat
A	mm mm
C	mm
B	ah nice cuddles
A	mm
C	mm
B	what do you think would make you most happy then guys? or what do you think makes people happy? cos you'd often you were talking about the lottery yesterday do you think if we you won a million pounds would that make you happy?
C	yeah
A	no
B	right so
C	why?
B	no well no no let's hear her first let's hear her first and then let's let her let's have your opinion first
C	yeah I think you'd probably be happy cos er you had just become a millionaire
B	but why would that make you happy?
C	cos you could buy loads of awesome stuff
B	you could buy loads of awesome stuff yes and
C	and for some reason er materials make people feel happy
B	true
A	because I would like feel bad for all the people who lost the lottery
B	would you?
A	yeah because they've been trying their
C	but
B	but you could but you could use some of your money to for the good you could set up a charity couldn't you?
A	yeah
C	you could give all the money to charity if you won like sixty thousand million
B	you could yeah
A	I'll feel bad and good
B	but do you think anyone else that won it would think about the people that lost?
A	no cos they might
C	barely anyone does believe me
A	cos they might think
A	cos they will definitely I think they will definitely think yay I won so I'm gonna get all this fancy stuff a mansion a really
C	what? like a Lamborghini?
A	yeah
B	well you can buy lots of er expensive things but what good could you? I mean
C	oh
B	and we wouldn't necessarily have to worry about money again which would be nice but er you don't have to just spend it on yourself you could spend it on your friends or people who need help
A	yeah but
C	mm
A	but what if my friends entered the lottery as well and they all
B	I think you need to be stop worrying about the other people that entered the lottery
A	yeah
B	really
C	cos they might have won it before
B	I would like to have a bath of jelly we could do that with the lottery
C	oh yeah
A	mum we could just
B	cos we've wanted that for years haven't we?
C	mm
C	we'd have to have a normal bath first
B	hang on hang on hang on hang on right so
A	we could basically just like save up our money to get jelly
B	we could I know but it would we would need a lot what were you gonna say
C	well
B	why?
C	cos you could eat the jelly cos it would
