B	yeah
A	and er there'd be
B	yeah
A	and then you know we started about eight o'clock and then at midnight the midnight train would come in and we'd have to unload some more trolleys
B	yeah
A	and er we're suppose to spend all night
B	yeah
A	we used to have this sort of rule that you weren't allowed to do more than twelve twelve trolleys
A	then we used to stop by which time it was about ten o'clock and then we'd
B	yeah
A	and then we'd unload them trolleys
A	and then
B	yeah
A	cos there was two big erm
B	oh yeah yeah
A	you know and they used to ship out all these thousands of catalogues
B	yeah
A	and we had to put them into the areas where we went to and then bind them up into bundles and there were always
B	yeah
A	you know what I mean?
B	yeah yeah
A	could easily have done if you worked right through
B	that's terrible innit?
A	but these people
B	yeah
A	and they didn't want to let it be known that it was possible for to do everything
B	that's right yeah
A	otherwise they'd say oh how come this day suddenly
B	yeah
A	you'd done all this whereas before you'd only been doing so much of a day?
B	yeah
A	really cos you know
B	yeah I went one when I used to work at
A	oh yeah
B	cos I was working on the caps and lags and and setting them all up and doing and er the foreman come up he says look it takes a minute and a half to do one of those cogs or whatever I was taking a minute and a half okay?
B	righto then and you have to do it by hand you see
A	mm
B	and it was so boring taking your time like that you know
A	yeah
B	and getting your coppers out and getting the
B	out and measuring that
A	mm
B	you know it was and the time and motion bloke would be there like that you
A	mm
B	literally in about thirty seconds
A	yeah
A	well exactly and like when you think about what you were doing there that's like outta the ark innit?
B	that's outta the ark yeah yeah
A	and now you get these automated
B	yeah yeah
A	and they just like spit them out dum dum dum dum and they're all every one is more accurate than you could do if you spent a month on it
B	yeah
A	yeah
B	and so well I've probably told you the story before I got so fed up with it I just went round and switched all the machines off
B	and the bloke says what are you doing? I said I'm now going home you can't go home what about us? I says well you can look after it yourself I'm off
A	yeah
B	for the rest of my life I'm not doing this I can't
A	all you gotta do now read a blueprint and feed the
B	yeah
A	the readings into the into the machine
B	into the
A	and that's all done on remote computers and
B	yeah
A	probably you don't even need to read you just copy the blueprint into the machine and that reads itself
B	you needn't be an engineer anymore need you?
A	well no
B	no
A	the only engineers now are in erm
B	yeah yeah
A	where you get so many
B	yeah you have to make yeah that's true yeah
A	or in stuff like
B	tool making
A	tool making robot making
B	yeah yeah
A	all this sort of stuff
B	yeah
A	where it's all
B	yeah
A	yeah
B	and somebody got to make the robots and stuff like that
A	but there again you've got these
B	robots make robots
A	in another
B	god yeah
A	you know we're going there it ain't gonna be long
B	it ain't gonna be long is it?
A	and you won't need anyone to do anything with you
B	it's a
A	all you need is a designer just to make the picture
B	yeah
A	a 3D picture
B	that's it yeah
A	and that'll be it
B	I mean they
A	yeah
B	with plastic bullets too
A	well no they fire real bullets I think
B	well they can fire real bullets but they make because they they were talking about this on on on one of the programmes I was watching making these plastic bullets is as easy as making a a real bullet
A	mm
B	but the only thing they can see in the X-ray is the
A	oh right
B	yeah
A	yeah well they reckon that they can print ready-to-use mobile phones
B	that's right yeah
A	or they will be
B	it will yeah
A	or
B	yeah
A	you know
B	yeah
A	god I dunno it'll either be really fantastic or horrendous
B	well in the in the sixties when I was out to work
A	mm
B	well that didn't work out in the sixties
A	no
B	yeah ever before yeah
A	yeah maybe cos
B	stay at home yeah
