A	but there also free things that the library and
B	libraries are often brilliant aren't they?
A	yeah
B	they have like rhyme times and yeah
A	cos we have like
C	really?
A	like messy play and things like that
B	yeah
A	but erm
B	but they were on about getting rid of Sure Start so maybe they've gone or maybe they're just in England have we got
A	have they
B	something different in Wales
A	Community First is that
B	what sorry?
B	possibly
A	in Wales
B	it's basically
A	it's erm
B	the idea that you can take them somewhere that and you could get there's like toy libraries and things like that which is quite nice
A	er end of next week
B	oh no I bet it's things like this that you'll miss
A	yeah
B	that you can go and just you're free
A	I know
B	just to kind of
A	yesterday I went to Cardiff Bay cos there's erm a big warship that's
B	right
A	we went to see that and we did a massive walk had lunch just when he's when you're pushing him he doesn't make a sound he doesn't so it's just like
B	exactly very portable
A	yeah
B	you can kind of do anything you wanna do
A	exactly so it was amazing
B	yeah but you
A	but Wednesday
B	but you're gonna go
A	yeah
B	that's nice
A	yeah so er yeah it'll be really nice Wednesdays and then
B	oh so you're gonna have Wednesday so that's quite nice cos it breaks into manageable chunks
A	and you have to sort of put a request in
B	yeah if you ask for a Monday or a Friday they're probably gonna say no
A	yeah exactly
B	because everybody wants a Monday or a Friday off
A	yeah
B	Wednesday is nice though cos then just basically
C	breaks up the week
B	two
A	yeah
B	work and then you're everyone can work two days at a go
A	yeah exactly have a drink on Tuesday night
B	so you'll have him on a Wednesday
A	yeah Thursday
B	so on a Monday Tuesday he'll go to a nursery
A	yeah
B	nice
A	yeah should be okay
B	it's a lovely little balance
A	yeah I know
B	yeah
A	yeah
unknown_female	what about you though
unknown_female	have you got a life?
A	yeah
unknown_female	what what have you what have you been up to?
A	ah
A	a fair amount I think I mean we
unknown_female	mm
A	for a week we're going to Belfast
B	the Belfast thing sounds just the two of you?
D	oh oh yeah
A	yeah and we're going to a wedding not far from here actually er in April yeah we've got a fair bit on
unknown_female	well you've got a fair like
A	yeah er it's really nice to sort of
unknown_female	yeah
A	you just to
unknown_female	mm
B	does
A	yeah I mean luckily enough she went to she went to uni in
B	yeah
A	well
B	but like it was in
A	it's
unknown_female	yeah it's not yeah it's not
unknown_female	so it's not even
A	it's near
C	near
B	but
D	nearby that's
A	but she
B	that's pretty small
A	but but she met er she met a girl there who was actually from quite close to her hometown and they became very close friends in uni
B	right
A	and it turned
B	oh so that was the link?
C	oh right who?
A	er
A	yeah
C	yeah
C	okay right
A	it's
C	oh okay
B	too old now
D	that's more reason to call him
A	some people are you know they don't mind their nicknames like
A	really? that would be one I would be
A	insistent on changing
C	Scarborough
A	Rock Scarborough
B	yeah but
B	yeah oh
A	but
D	well what's he what's he up to now?
A	er
D	really?
A	he's got
D	ginger?
A	he had a giant you know a giant baby
C	so those mega babies you read about now?
B	naturally or C-section?
A	er well I
B	it arrived
A	then when in the first year of
B	oh
A	his life he just looked like you know
unknown_female	yeah yeah not in one place though right?
A	no no
unknown_female	he he doesn't look like a sixteen-year-old
A	huge huge erm but he's sort of erm growing into it a little bit er
C	why did
A	erm I think she just picked a load of places away from home
C	and went to one of them?
A	yeah
C	yeah
B	was it to do a very specific degree maybe?
A	she psychology she
B	cos they
A	psychology and criminology
B	oh right okay
A	which which I think
C	that's quite big there yeah
A	yeah
D	forensics is big there as well isn't it?
B	isn't that where is that where
C	yeah
B	something similar?
C	yeah she did forensics I think
A	yeah so I think that was a good place for that particular course
B	oh okay
C	so there's that story about a guy who was doing the forensics course in a friend of a friend in
A	yeah
C	take the remnants of everything that we haven't used it chuck it in the incinerator
C	so he gives this bag to this guy called
A	yeah
C	curiosity gets the better of him and he opens it up and he has a look inside
C	and he sees have I told you this?
A	no
C	he sees a hand
A	maybe a long time ago
C	a human hand so he nicks it
C	thinking
C	he can do something with it puts it in a bag they all go out for end of term drinks er and on the train it's for it the like the uni station going into
C	and they go the Prince of Wales pub and they're having a few drinks goes to get something out of his bag sees the hand and like closes it before the lecturer can see it
A	yeah
C	so he's got to get rid of it so he goes to the toilet you know the downstairs toilets?
A	yeah
C	with his backpack goes into the cubicle
C	turns out you can't flush a hand
