A	I bet that's recording the TV or
B	yeah
C	yeah
A	are these hooked up or?
C	okay
A	are they?
C	so
B	oh did you make him?
C	er no
B	oh
C	and then in Insidious
B	yeah when when was that?
C	er at the sleepover and then he and then on
B	when when was that?
C	and he actually really enjoyed it
B	at his house?
C	yeah
B	oh right
C	so he and then he's just like
C	but he doesn't he doesn't
C	like he's like I don't understand how you're still scared it's not real
B	mm
C	so yeah he had actually a much a like it was
B	yeah
C	lots of time
C	but I
B	you'll have to wash them
C	okay well I did wash them
B	gotta wash them again
C	okay
B	did you get
C	yeah
B	completely?
C	yeah
B	are your all your clothes downstairs in the wash?
C	yeah
B	is your uniform in the wash?
C	yeah
B	what about your old shirt where's that?
C	er oh I can get that
B	yeah
B	go and get that and put that
C	okay
B	yeah just do it quickly
A	er
B	are you doing more words?
A	mm hm
D	A B C
D	D A D dad
B	D A D dad
A	go
A	wait
D	mm
C	so what time? what time do you think?
C	er
B	I just said like four
C	I I I
B	I said
B	oh
B	depends on
C	okay well I'll go
A	mm?
C	erm
C	do do you know what the earliest time
A	what time have you told him
C	er
A	well
D	one
C	pardon?
D	one
C	okay
B	okay
D	two
B	his dad said that's fine
C	mm
C	I can do that afterwards
B	do it now
C	yeah
C	er
B	then what is he
C	yeah
D	one
C	yeah he's
C	er him round
B	okay
C	and walk back
B	yeah
C	cos it's not that far
B	I'm sure that's fine
C	yeah
C	yeah
B	I don't know you see I've been
B	talking all day with the little one my brain's gone dead
C	er
B	well it's up to you we could just stop if you like
C	erm
B	no
C	cos it was like I was talking on the in the class do you get it?
B	yeah that's really funny
C	I know
B	yes mummy
D	one
D	one
C	well
D	two
C	so on Sunday did
D	yeah
C	did his dad
C	say the time?
B	no
C	oh okay
C	okay
D	okay
C	okay
D	one
B	what do you want to know about them?
C	I'd like to know
C	what is a chrysanthemum?
B	what is a chrysanthemum?
C	yeah?
B	what do you think is a chrysanthemum?
C	I think it's a blue flower
C	it's
C	a
B	yellow
C	and green
B	erm
C	like it's green and it's got like yellow tips
D	one
B	has it?
C	er
D	five
C	well in Destiny there's a
C	and it
D	four
B	you know I can't remember what chrysanthemum looks like now
B	have to look it up
C	okay tell me about roses
B	do you really wanna know?
C	yeah
B	you really wanna know don't you?
C	I actually do
B	erm there's old English roses
C	and are they actually old or are they just called that?
B	yeah they are they're like erm I mean they're not old as in like eighty-three years old
C	yeah
B	they're elderly with walking sticks
C	historic
B	historically
B	here
B	they don't look like most of the modern roses the modern roses are called hybrid
B	roses
C	hybrid?
B	and they're they're bigger ones but they're tighter all around and
C	I'm assuming that's because
B	you would be correct
C	dunno how I jumped to that conclusion
A	yeah
B	there's dog roses
C	is that cos dogs like them?
B	no
C	oh
B	no idea why they're called dog roses
B	er they got a really lovely perfume I don't know why they have such nice perfume compared to other flowers
D	mummy
B	hello
C	maybe because the bees pollinate them well
B	mm the bees do like them
C	did you know?
B	what's your favourite kind of rose
A	can I have a kiss?
C	oh
C	the
C	the red one
B	the red one
C	yeah
B	yeah there's only one type
B	yeah
C	oh my god
B	they're very so many
C	the rose
B	one of my favourite's called
C	one of them's called the ruby yeah?
B	there's a ruby rose yeah
C	yeah
B	some of them are named after queens queen
C	Victoria?
B	probably
C	yeah I like ruby rose
B	I like peace
B	well that's a big
B	yellow and orange rose
C	does it have thorns on it?
B	yeah
B	yeah you've got climbing roses
C	why's it
B	patio roses
C	why's it called peace?
B	shrub roses
B	why's it called peace?
A	well
C	like surely it's like the biggest strongest
