A	in Tokyo with her mum and he lives in Monte Carlo and they haven't actually lived together
B	I don't know
C	we're going to defrost the lamb yes? not the lamb sorry the trout
A	oh yeah right yeah
B	sorry?
A	yeah there's smoked salmon in the fridge
C	yeah
A	yeah
C	we're defrosting the trout
B	oh right oh I see there's a there's a frozen oh yeah
C	Scrabble?
B	I can't see anything that's the trouble of this I mean
C	what it's too dark?
B	well it's just that I need special
A	I mean if she got a halfpenny from Jenson Button that would be ridiculous
C	who dear?
A	Jenson Button's split from his wife of a year
C	crazy
A	that she shouldn't get a halfpenny
C	would anyone like to join me in a game of Scrabble?
B	I will
C	yes need your glasses?
B	have I ever refused? you've got to have someone to come last so
C	have you ever won?
B	might as well be me well look at the lights like they're lovely
A	I know they're gorgeous
B	absolutely and you've got two trees
A	one yeah and one one's yes
C	well they sent the wrong type
B	oh yes
C	so I cut it down and put it downstairs
A	yeah right
B	mum won't pay attention
C	it's certainly not her forte
D	yes?
C	I can't find a pen
D	oh dear
C	no
D	on the dining room table
C	no
D	yes
C	they're like marker pens I just want a
D	oh
C	oh hang on maybe
C	right if you can all please take your seats
A	right darling
B	mum will do anything if you ask her
B	if I do god
C	whoever's last can score
B	shall I sit here?
A	yeah you want to
C	yeah that's
A	that's
C	U
A	oh
B	oh yes
C	would you rather sit on the sofa?
B	no I'm alright
A	right
B	oh
A	trying
C	you score
A	no you got U
C	no but it's clockwise so you're last
A	oh I oh I see what you mean by that
A	oh I tell what I must do I I I I I have to email well I bet
B	oh
A	right what did you score? you only played oh god that's erm typical of dad oh I haven't even chosen
C	is it too dark?
A	oh I've dropped another one
D	right
C	cake
B	twenty
C	gonna score that
A	wait a minute
B	I deserve to do better boo he's got a Z
C	twenty-eight plus
B	oh
C	twenty-eight twenty-nine thirty
B	oh yeah
A	five six
C	thirty-one plus eight thirty-nine
B	horrid
A	twenty-eight?
B	cheeky
C	zings for dad
A	where's the bag?
C	next to you
B	I've dropped all my numbers
C	you're all struggling
C	they're letters
B	zing?
A	have you got some more wee nibbles
C	yeah same again?
A	yeah that was lovely mm
B	is it permitted to plural zone erm?
A	it's plural
A	I mean can you have ozones that's what I mean?
A	no
C	yeah
A	no you can't have ozones you don't
C	don't see why not
A	cos ozone is one thing
C	yeah so if there were multiples of that one thing
A	you can't talk about oxygens
C	yes you can you can do that as well
A	do they?
C	carbons
A	well that's different because er think of organic chemistry
C	oxygen's organic
C	ish
C	you can
A	well that's silly
C	after all mum's a scientists
A	mm I can see it I'm so glad you've got it
C	I'm glad we got a stove
A	yeah
C	cos we can just
A	just imagine if there'd been a hole
C	and also you'd have to you'd really wanna be in the room all the time it's on
A	oh you mean if it was a fire you mean?
C	yeah
A	yes you're glad you got a stove rather than a fire?
C	and if we I put a log in and go shopping
A	yes no you can't do that you see can you? well of course
C	right
