A	is it ah it's recording erm
B	erm the
A	mm mm
B	erm so
A	what kind of things? so can you tell us a bit about what your job involved
B	I mean in the last sort of ten eleven years that I was there I was actually managing people who were delivering the service erm although I did continue to see students myself eh about erm ten percent of my time erm I think probably it's more interesting to describe what a careers adviser does rather than what the person who manages them does erm so there's within universities of course university being free agents we're at liberty to kind of define the job how we want to but if erm I mean
B	erm I started off eh at the beginning I was in
B	and then I went to
C	so so did you see it as er your responsibility to guide them into what was out there jobwise?
B	erm yes
B	is that it's quite rare for it to be compulsory for students to use the service
A	that's what I was going to ask
C	mm
B	so there is a huge amount of effort that goes into actually advertising it marketing it internally to students and selling them the benefits because we have plenty of data to show that if you use your career service you're going to do better
A	mm yeah yeah
B	but whether that's because the people who would do better tend to but I don't know erm but that's that's always sort of an issue erm
A	mm
B	and the other flip side of that issue is if they did all come there's no way we'd have enough resources to see them all
A	mm
B	so erm I mean the workload issue particularly on the one to one basis erm probably during my time quadrupled I would think
C	mm
B	and in addition to that when I first started which was probably thirty years ago we had an hour per student nowadays we have ten minutes
C	mm
A	what can you do in ten minutes?
B	so not
C	well the doctor has to see you in three so what can you tell him in three minutes?
A	is it three?
C	yeah three minutes
B	three?
C	three minutes is the allotted time
A	no
C	yeah it is that's why
B	it was ten minutes when my daughter was a GP
C	well I mean you some people can be seen in three minutes can't they?
B	but yes it's yes absolutely but
C	no they can't so they're actually anticipating
B	yes yes yes
A	and in what year did they mostly come and visit you?
B	too late
A	mm
B	erm probably that was one of the goals we always had was to gradually shift the percentage that left it until their final year to come erm and one of the benefits
A	did did you did you achieve that?
B	erm yeah it went down to we got it down to about sort of
A	mm
B	erm but final year is too late I mean the biggest and most complex decision is what do I want to do with my life
A	really?
B	so you know there was that that was a really hard hitting message that needed to be part of the marketing erm
C	mm
A	mm
B	you come to see us mm right at the beginning if you don't know what you want to do that way we've got two years or so to help you plan find out meet people make decisions decide it's wrong go back to the beginning again
C	mm
B	work work through that erm and
C	how do you find over the years erm the characteristics of students you know are they? are they the same as ten years ago or are they erm you know more interested or lack of interest or erm very kind of friendly erm what's the respect between you two? and how have they changed over the time
B	mm I mean I think it's always been the best bit of the job with the students
C	mm
B	this is a bit scary I've never had to make my own decision before erm and at the opposite end of the scale you do get and I think the numbers of those has gone up and up and up really over the last ten years particularly that there is a there is a bigger proportion who actually are rather more clued up and understand rather more about what an employer would be looking for erm I mean the government has been pushing all these sorts of things like skills based stuff for years now erm you know most of them have had some sort of skills portfolio from when they were at school
A	mm
B	so those sorts of words have become common
A	and are they valuable because sometimes when you see your children doing them you think what a load of rubbish really
B	ah well
A	and the work experience sorts of episodes and things but were you involved at all with the
B	erm yes
A	cos I swear that's what erm catapulted my second daughter to success
A	it really focused her and she went and worked actually for a big company for a year
B	yes yes yes there were
A	and learned how to do learned everything
B	yes erm it there there
A	she went to for she went erm for her when do they do it? is it the second? ah
A	is it after the second year or after the first year I can't remember
B	it's usually after the second year it's usually the third year out and then held back for the final year
A	yes I think that was the second year yeah so she was still quite sort of immature working reasonably hard but not I don't think completely focused about why or what she was doing
B	mm mm yeah yes
A	and then she went for this sort of sponsored year what do they call it? erm intern or placement or whatever
B	placement yes yes what subject was she doing?
A	she was doing erm business
B	yes that's
A	whether it was management or
B	business and engineering are the ones
A	but she went to erm
B	mm mm
C	so she wanted to get back out to work she wanted to
A	well she just got a taste of what life really was about you know you have student jobs where you're doing this
B	they're not real
C	no no
A	but it really got her it sort of wound her up ratcheted her up into this sort of world that's
C	mm
A	and then she went back to university to do her I suppose it would be her fourth year and she really knew why she was doing what she was doing in her fourth year because she'd been out in the real world
B	mm yes yes
C	mm
A	and then she had this real taste for what she actually wanted to to go and do and she was applying for things well before
unknown_female	mm
C	well that's why
B	mm
C	erm not done but erm you know he went through the apprenticeship and so did I
A	mm
B	yes that I mean traditionally it's it's what you know what goes around comes around but you know apprenticeships were a really good thing
C	mm mm yeah they were
B	yes because not all of them
B	yeah and not all people want to not all students actually want that sort of sometimes slightly rarefied kind of academic focus all of the time you know
C	mm mm
A	but it's I rather liken that to you know when you're at school and you have to learn languages and you learn French?
C	mm
A	I mean I used to go on holiday with my parents to
B	mm mm mm
C	mm
A	and I never really connected the two I just had to do it to pass the O level or something
B	yeah
C	yeah
A	and it's rather like I sort of think very simplified but it's rather like you know going to start a career and think about it while you're at university you've got no idea of exactly
D	yes
A	what? what?
B	yes
A	so is that mostly for engineering and business is it?
B	but yes we used to help erm it depends on which university you're at really whether it's something that is in the culture and if it's in the culture like it was at
A	mm
B	and a great deal harder to persuade the students that what they might be doing is relevant for them but theoretically students could do it with any subject
A	subject erm and
B	mm
A	so could those kind of people would they be put into a years' industry or placement?
B	I mean at
A	so what kind of thing would they go into though?
B	they would do erm I mean there aren't degrees at
A	right
B	erm so eh or they would do something some of them did teaching for a year some of them did university research eh and
B	ah you know sometimes yeah a few did things like personal training
A	mm
B	yes yes
A	and what about did you also help the overseas students?
B	mm their demands on us were absolutely huge overseas students are hugely hugely motivated and will take up every service you possibly can offer them
A	mm
B	erm it's the number of times the government's changed the regulations about ability to or you know legal situation as far as getting jobs are concerned it's just you know up and down every year really erm but yes in many ways it was they all want to work in the UK basically and erm even under the post study work visa which generated immense sort of optimism that they were automatically going to be able to get a job for two years
A	yeah yeah yeah
B	erm
C	but although legally they're not supposed to
B	legally there's a there's a clash between the law in terms of equal opportunities and that was
C	yeah mm mm
B	I mean one of the things I didn't say was that careers advisers have a sort of responsibility to keep up to date with all those sorts of things so maybe shooting off to see sort of employers probably on average they do I don't know for the whole team we probably did about forty or fifty employer visits a year so then we'd sort of cascade it to other people erm and some of those and in addition to that there would be sort of regular training days on things like updates for post study work visas and those kinds of things erm and there's a very very strong national organisation amongst the university careers advisers far stronger than any of the other professional groupings because erm going back sort of thirty thirty-five years or so when it all sort of started to kick off there was an absolute dearth of information that students could look at on what it's like to be a logistics manager on a wet Thursday afternoon in February what would you actually be doing? erm and so nationally erm people did job studies and we all compiled them into a central sort of well nowadays obviously it's a database erm and they're all updated every three years so your young careers adviser or your recently appointed careers adviser would have sort of portfolio of you know you're going to have to do three job studies or whatever as part of your induction and eh and that's you know it's part of a sort of national commitment to keeping the kind of
A	mm
B	seven or eight hundred or so erm probably more than that now probably a thousand erm job profiles you know there's no value in having six that your university does
