A	oh a chicken
B	look chickens
A	chick chicky a chicky hen
B	chick chick chick chickens
B	really? cos they're oh right cos they're yellow when they're
A	that's right that's right but erm erm little
A	oh erm do you have any ducks in in erm
B	yeah we don't really go down there very often though cos it's quite far
A	right right
B	do you want
A	oh right
A	right yeah let's see if we can see oh there's a monkey and a gorilla
B	it's alright I've got it
A	oh you've got it good there's Peppa Pig erm see they're yellow there the ducks
B	yeah
B	is that better?
A	there you go mm
B	so how are the erm the
A	pardon?
B	how are the
A	the
B	oh yeah?
A	and they were they were absolutely over the moon they said you know
A	talk about his talking and his curly hair
B	yeah yeah
A	and er and they wanted to know and they they were quite intrigued
B	yeah
A	by the fact when
B	uhu
A	and
B	yeah
A	and I said do you know there are some people that love cuddling up together and there are other people you've gotta give them space and
B	needs
A	he said I think I rather erm understand what
B	well he's just at that age where they especially boys they need that more than ever as well don't they? that's quite funny
B	he
A	oh right right
B	if I cross I cross my legs he he erm uncrosses them cos they're not supposed to be like that it's kind of untidy or something in his mind
A	really?
B	yeah that's what I I
B	yeah
A	erm day by day by day by day
B	yeah
A	but that's interesting
B	yeah
B	and er
B	once the girls moved around all the front room they went and watched TV there or something and we came down the next day and it was that's the room that he considers more his
A	right
B	and erm he chucked everything out that was not was not in the right place he was er
B	that was all outside the door
A	oh right okay erm
B	bit OCD
A	yes but it has it has the advantage also of being tidy
B	oh yeah actually I
A	erm erm cos er I I don't well I notice if things are out of place
B	yeah
A	but I don't really care I don't need it to be put back er back again or straightening up pictures or
B	yeah I mean things don't have to be away he just likes them a certain way
A	right
B	he likes to take everything out but then put them in
B	certain order or
A	he doesn't like that
B	no he doesn't like that
A	right okay well
A	erm no they were all in good fettle
B	yeah
A	there was a disco school discos
B	oh yeah
A	erm so
B	yeah
A	and then I had to take
B	yeah
B	yeah
A	erm so er and
B	really?
A	I mean I actually I approve of slow eaters
B	yeah
B	yeah
A	but he is
B	yeah
A	that I had to time them I said we will not be able to get to the disco right?
B	yes
A	you've got seven minutes what just eat as much as you can in seven minutes
B	yeah
A	and then go and get your clothes on
B	yeah
A	erm erm but we got there in the end er
B	yeah
A	but they're all different you know er some people eat it all fast
B	no I'm a slow eater
A	erm did you have any of the chicken?
A	no no no no you don't have to
B	yeah so I if I if I'm having dinner now then I I won't thank you
A	fine fine fine
B	so how was erm
B	mm
A	hairdryers were for hair
B	mm
A	you will have to wait until your mother comes home
A	I'm not sure if they're for bodies dear
A	it's not a body it's my dress she said
B	she's probably had that done to her by her mum at some point and sort of associates it
A	but she was looking very pretty
B	yeah
A	and erm in her in her little dress er and I said that
B	yeah
A	when she grew out of it she should give it to me
B	yeah
A	erm
A	but they're tired it's the end of term
B	yeah it's the end of term isn't it?
B	it's a long year for them isn't it?
A	erm er but erm
B	long summer holidays coming up
A	quite long not as long as erm in some countries
B	yeah yeah
A	but yes er well I think it'll go quite quickly
B	yeah
A	erm and certainly erm er as far as I'm concerned I yes I used to have to take you away during the school holidays
B	yeah
A	cos that was my holiday at that time
B	yeah
A	erm but now I'm so glad not to do it during school holidays
B	yeah
A	so erm I can just erm
B	yeah
A	er just just just forget about school holidays and
B	where are they going again?
B	oh right
A	and it's it's the all in one one
B	oh yeah
A	and I think they're going on the fourteenth of August
B	yeah
A	I think so I think it's the day before
B	that sounds about right yeah
A	I've got it down in my thing
B	yeah
A	I think it's the day before
B	yeah
A	erm
B	yeah I've got it written down actually
A	erm and they're they're going for two weeks
B	yeah
A	so erm but erm
B	it'll be really hot out there won't it?
B	oh yeah
A	on Saturday
B	yes
A	then coming back
B	yeah
A	then they're going they're going to Scotland
B	yeah
A	coming back via the Lake District
B	oh wow
A	right?
B	yeah
A	and then they're going to
B	they're going to
A	that's all in the school holidays
B	with with the kids? or without the kids?
A	with no the kids are going all the time
B	okay
A	erm erm yeah yeah erm
B	oh wow
A	cos
B	planning yeah
A	planning and
B	yeah yeah yeah
A	erm erm
B	yeah
A	I
B	think they're going
A	I I know that
B	I think they're going later actually
A	basically I won't see any of the oldest
B	yeah
A	erm I think they'll be away for it
A	mm
B	I was wondering whether to do something
B	for like erm I suppose I'm taking
A	mm
B	it's not er I don't know if it's kind of close enough to feel like their birthdays
A	mm I think the nice thing about cos they're a bit
B	yeah
A	erm I still have a picture of that erm
A	what did you call those horses?
B	piñata
A	ah right yes erm erm in the back garden erm
B	and
A	yes
B	so we tried to make it kind of separate
A	yeah
B	er have a happy birthday sung just for him
A	that's right
B	I did actually do a birthday thing for him with his friends did two actually
A	oh lovely
B	before we left just erm I asked him what he wanted to do and I said er you know we haven't got like a hundred quid budget or anything but
A	mm mm
B	erm and we went through all the options and erm in the end erm
A	oh good good good good good
B	and then so I met
A	mm
B	and then after the cinema then we went across to it's actually quite a nice Mcdonald's it's got you know sort of you order it on these computers and you can sit by Ipads and things and it's a very new new one that's been built in the village
B	yeah
B	and so they're all and so I went with them and kind of I paid for the cinema and they paid for their own Mcdonald's and erm he was like
B	so
A	please sit at another table
B	yeah so I sat somewhere else with
B	on the sleepovers?
A	I was I was really I was so pleased that they'd come to the age
B	yeah
A	where they can have sleepovers
B	yeah
A	so erm
A	how did you get on with the sleepovers?
B	yeah
B	they're they are
A	mm
B	they're like
A	mm I mean
B	whee
A	you'll rattle your brains you know
B	erm he
A	wait erm
B	yes
D	it'll be about five minutes
B	okay
B	yeah he'll just
A	no
B	don't worry don't worry about him
A	we'll eat
A	erm yes I think so
D	right yeah I think so too yes
A	erm I think that's the best
D	I will bring
A	erm I I'll I'll help you out in a minute
A	did they go to sleep?
B	like
B	I did say look you know eleven
A	right
B	and if like if I can hear commotion round midnight then I am gonna come down in a very embarrassing way and tell you all to erm be quiet so up to you
B	if you can keep them quiet after midnight that's alright but
B	there's a cut off when
A	erm I just thought with with
D	no it's so it's obvious obvious and then he can just play around
A	erm erm erm that's right that's right erm erm
D	erm
B	but yeah it was quite
B	so
A	yeah yes
B	I just know through him and it's all very vague at the minute so I ended up going look no you can't go to that yeah yeah I can just pop round no I don't think I don't think you can just pop round
A	well I think that was really good because that's where erm it's the start of the in one way a loosening up process erm for sixteen seventeen
B	mm
A	the erm er not to be away
B	yeah
A	you know but actually to to to give them time away
B	no
A	erm erm
B	but also the thing is I don't know these boys since
A	that's right that's right that's right erm erm erm I was just meaning
