A	or you can think about what your dream is
B	I'm not sitting here for an hour
C	you don't have to sit here for an hour
A	you can think of what your dream is and er
A	isn't he?
C	well yes
B	no
D	what what what age?
C	dad dad won't let you live here when
D	what age?
C	well when you start earning
A	well as soon as you leave full time education I I I would expect you to pay rent and contribute to the house
B	I'll pay you in lifts instead
A	no
C	oh lifts from the pub excellent
A	well well
C	and your petrol
B	alright
D	you said you weren't paying my petrol
C	well you're fourteen you don't need to worry about who's paying for your petrol
A	you you know if you don't know what you wanna do
C	but how much what do you need to get to get to America? how what does it matter what your rating is?
B	well yeah they're not gonna take a seven point two
C	so what what rating do you need to be at to get there?
B	I dunno basically it has to be low
C	yeah but how low?
B	below a well I'd say a five
C	well yeah are you gonna get below a five in the next year?
B	no it's not gonna happen
D	anyway I'm going for a shower I smell
C	mm thanks
B	I'm going for a shower after so
C	oh
A	the other option is we start you on those LTA courses
C	what LTA courses?
B	coaching courses
A	coaching courses
C	oh as opposed to the LPT ones?
A	yeah
C	mm
B	he saying he's still really angry
C	about what?
B	well he's like I'm the second highest qualified coach now and on the lowest pay
C	has he still not had a rise?
B	he says he's gonna ask once he's sixteen
C	he is sixteen
B	well I dunno yet
C	he was sixteen in March
B	maybe he has had a rise I'll ask him tomorrow we always talk about it
C	mm
A	have you told him you've had a rise then?
B	yeah I told him I had a rise yeah
C	does he wish he'd done the coaching course?
B	he did that's his point
C	no no no sorry not the coaching course
A	the the referee
C	the er tournament organiser course
B	I dunno cos it doesn't two of us to run it
C	mm
A	he doesn't seem to enjoy coaching anyway though does he?
C	no he doesn't
A	is he a good coach when he does coach?
B	yeah well he he knows enough doesn't he because he just relays information that he's been told over the years doesn't he?
C	he's had a lot of information given to him
B	quite he's bright isn't he? so
C	yeah
A	does he do more technical coaching than you do do you think?
B	it's hard to do technical coaching in a group session
C	is that why they don't do it?
B	yeah cos you can't really
C	well why not? why can't they like line everyone up and and make them serve and tell them what they're doing wrong?
B	cos when you're lined up waiting for your someone to serve one by one and there's nine of you in the group you have to wait at least nine minutes
C	I know but well that's what annoys me about
B	that's why they do that's why it's tactical
C	the academy it's not
B	well they can't they physically can't really do it unless unless you put them all just into matches and you go round one by one and pick something out
A	see what I don't understand though is that you you you can do drills in groups can't you?
B	yeah
A	yeah so why can't one person be doing some drills and just the other person take people aside for ten minutes just to say look
A	this isn't quite right I'd really like you to work on this this and this
B	what so?
C	yeah I I yeah
B	no cos you don't do drills for long enough drills last five ten minutes
A	alright well it
C	oh it's just when you're doing hitting at the end why not take one person aside and say okay?
B	cos you don't have time to do everything
C	and and that's that's what
A	but you
B	yeah
A	well in that term if you've got twelve
C	I've had loads of wine
A	if you've
C	I'm gonna not
A	if you've got twelve people in the group why can't they just identify two people each lesson and say right in this lesson we're gonna focus on these two and the rest we're just gonna continue doing generic stuff with but they'll have other stuff that they've been thinking about
B	well I think the big difference is which is what me and
C	mm
B	and you've got your technical part which is the lesson
C	oh
B	so he
C	so you're not getting and
B	yeah
C	is getting one out of the three
B	so
C	okay
B	already which is why it doesn't happen
C	so out of the
B	so
C	people in the academy how many are doing all three?
B	well most of them are doing all three and if they're not doing all three they're averaging at least one a month of a private lesson
C	so it's only you two
B	so he's just doing the tactical
C	oh okay
A	but I I I think that tactical is a load of rubbish I really do
C	yeah I think you'd you you'd benefit from the technical private lesson
A	because
C	over the tactical
A	the
B	I've said that all along but I dunno why you're telling me
C	I know well we I know I know
A	doesn't make any difference telling me
C	we didn't manage to get out of it did we? but
A	but even when you spoke to him we we left it down to you to tell him and he you had a chat with him and he
C	who?
B	what the squad?
A	yeah
B	that's because I I
C	he talked us round
B	in
C	so you can't have a go at him
B	in the squad I
C	he talked us round
B	in the
C	quit is the past tense
B	so
C	of quit
B	there was no reason not to
C	quit
B	and then
C	got it?
B	everyone dropped out so it ended up being a lesson anyway so it was a win win for us and
A	oh so it has been good for you?
B	well I then
C	this has on the Tuesday now when I said to
B	everyone's dropped out apart from him
C	everyone's dropped out which is why he said
B	I am the only one
C	okay I'll transfer the money over to
A	right
C	but what I'm thinking is it's within our it's
A	okay
C	forty pounds a month
A	yeah he is
C	he's got it mentally
B	he's only the best there
C	he wants to win
B	cos he's the fittest
C	he's fittest he's got it mentally
A	but they all say
C	but
C	he's
A	find a way to win
C	and he's the one that they all want to beat
A	so that must be that must be tactical
C	he's the one they want to beat
A	yeah
C	they've all said that haven't they?
A	he's
C	and they're two years
A	he's a lot
C	younger than him
B	yeah well that's his he's picked a different sport he can't expect to go anywhere with tennis if he's gonna pick football over it so why
C	no
B	put in er
C	no I no I agree I agree
B	money after money? he's picked football invest in his football
C	thing is though he's
A	he can't become a
C	not gonna be he's not gonna be a professional footballer
A	he's not gonna be a professional tennis player though
C	no he's not you're right
B	and he can play football up until he's thirty
A	well can you? I don't think tennis is a better
B	you can do I think
A	I think tennis is a better social sport
B	yeah definitely
C	tennis is a great sport when you're older to
B	but he's always gonna pick football
A	but he's not he's not gonna play football until the age of I suppose he can always come back to tennis whenever
C	he'll come back to tennis and pick it up like you have
B	he can play football
C	he'll he'll play
B	until the end of sixth form for a team and yeah then he'll move move somewhere then he can't play football
C	the thing with tennis is you need
A	yeah you do
C	whereas tennis you can just turn up
B	well talking to
C	to a club join play
B	Mr
C	which is what you did
B	Mr
C	yeah
B	covered our AS level and me and
C	still?
B	semi-pro
C	and how old?
A	but you were talking about
C	semi-pro? how old
B	yeah
C	is he?
B	he seems I dunno twenties thirties
C	Mr who?
C	do we know him?
A	I thought he was the rugby player
C	have we met him?
B	that's
C	have we met him?
B	no
C	do we know him?
B	no
C	no oh okay
B	he's erm
A	do you have
B	no he was back he he'd left well he didn't get the job
A	what job?
B	he he was a PE like what's the word? so you've got like a DT oh I can't remember
A	NQT
C	head of department? no?
B	no he was like a er just
C	assistant?
B	I can't remember though anyway he went for a PE job and didn't get it because they got rid of his job
C	right
B	and then er he came back today cos
C	oh okay
B	but he yeah
B	football wise
C	oh okay
B	cos he gets paid to play football
C	oh he gets paid?
B	yeah not a lot
C	who does he play for?
B	it er a
C	oh okay
B	he says his level is one division higher than
A	oh really?
C	mm
A	but will
B	I don't see why not if he plays
C	I I mm
B	he's in reserves
C	oh who knows?
B	do you really think that?
C	well when he finally realises he's not gonna be CDG
A	I think he does realise
B	no he doesn't he wants to go to
C	he doesn't
B	oh does he?
C	yeah he wants to go to
B	he wants to go to
C	and
B	at at the end of this GCSEs
C	and do his A levels there or his Btec there and er and play football that's what he wants he wants to try out for that
C	he wants to go for the trials
B	what you think he'll pick hockey over football?
A	I think he's a better hockey player than he is a footballer
B	yeah he is but he's not gonna pick it
C	no he
B	he's got a lot more friends in football
C	he wouldn't pick it through choice that's the thing with
B	he can yeah he can play for
C	his he does it through friends
C	but does it
A	yeah but I think he would train
B	yeah
A	as he gets older he and he he's able to travel
C	no he'd train the thing with
B	yeah
C	and he doesn't wanna do it and I said why not? you're really good at athletics and he said well none of my friends are doing it this year so what you just run for like two and a half minutes or five minutes depending on what you're doing and the rest of the time you're just sitting there with people you don't wanna talk to
A	well he should do it he should do it
C	of course he should do it he's good I said the school needs you to represent them because you win for the school
A	yeah yeah
C	but he's like mm my friends aren't doing it this year
A	so is he gonna do it?
C	I dunno we need to talk to him he's been a bit vague he hasn't shown me any letters
A	just can I just stop you for one thing?
C	I didn't cos I was no good at anything nothing nothing at all nothing sporting wise but
A	I mean I would have represented my school for anything because very much like
C	well it was I wouldn't I'd have been like oh my goodness
B	he's out of the lessons enough
C	oh he's out of lessons loads
B	I saw him walking out the
C	loads he's out of lessons
B	I saw him outside of lesson time the other day I said I remember when we got home what were you doing out of lessons? just coming back from a school meeting
C	yeah he's on the council he does all the sports
B	he misses like
C	it's shedloads
A	but that's good though that's not bad for him to go on the council no the
B	he won't they don't do mum they don't do that once you get to GCSE set
C	no
B	dunno why you're worrying
C	it's alright I'm not worried I'm not worried in year nine
B	you told him one time he couldn't do a sporting event hockey because it was missing a day of school and you thought he'd already missed too much
A	but in
C	he misses a load in in
B	but he's in year nine
C	cos he does everything for that school
B	the year doesn't matter
C	he does every sport going
B	but he
A	well he does
C	he does it's
A	he wants some
C	bound to eventually because he does every sport going he's good at every sport and they pick him for every sport and he misses shedloads of days because oh I'm doing this I'm doing that for the school
A	well I think if
B	if
A	the the I suppose the difference between you can communicate quite well whereas he has still got that
C	oh he can't yet
A	he can't think clearly enough
C	well yeah he he is
A	he is he's a bit like he's a bit like a
C	he just takes his ball as long as he's got a ball in his hand or at his feet he's happy or the on the end of a stick on the end of a bat
A	do you think coaching's helped you with that?
B	what?
A	just being able to talk to people
B	dunno
A	but you quite enjoy coaching don't you?
B	it's alright
A	why wouldn't you like to do teaching?
B	no
C	because you'd be in a school
B	yeah kind
A	do you know what? as a teacher
C	fundamentally
A	it's completely different from being
B	yeah I know that
A	see they'd probably sit in the common room and absolutely howl with laughter
B	yeah they do the PE department love the banter
A	yeah they probably just laugh at students
B	yeah they do
A	they they probably
C	well cos they've all been there haven't they? they've all been students that have hated school probably
A	yeah
B	well er he says he'd rather join the police
C	the police?
B	yeah he came up with that over
B	he came up with that the other day he said because once you get in there
A	they have to tell the truth
B	he goes once you get in there you can climb and climb the ranks and get higher and higher with the jobs
A	yeah you can
C	is that what he wants to do?
B	I'm not sure if he'll do it
A	would you wanna do that?
B	not the police no
C	I can't imagine
A	he is slightly dodgy he'd need to
B	he's quite bright
A	don't have to be bright necessarily to be in the police you have to be able to communicate
B	yeah he's confident
C	yeah he is confident he is
B	very confident
C	yeah he is
B	the other day we were on the way home
B	at giving the cheeky comment
C	yeah he he he blew it he did
B	no he caught on straightaway and then he
C	no he had blown it because you had said it's one pound thirty
B	oh yeah and he said
C	and he said oh here's the such and such the number bus I said well that's alright then cos you don't get that whatever what he said the seven the number seven I said well you get the eight ten and he
C	and dropped he dropped you in it because I would have
B	yeah
C	believed you
B	well he thought
C	you said
B	he thought I was just wrong didn't he? and then
C	you said they've gone up to one thirty
B	and then and then he tried to catch on
C	and I would have believed you and it was
B	and then he catched on
C	it's not yours then caught on caught
B	caught
C	but yeah I mean he is he can chat and he's personable and I quite like him
B	he's so funny
A	he's alright
A	but
B	especially if it if if he ever argues with the teachers
A	have you chatted to
A	recently?
C	no I haven't chatted to
A	he's just he is he is like a a footballer that hasn't been to school
C	is he?
A	and and
B	he lives in
A	in
C	no he didn't get a GCSE not one
A	no but in fairness to
C	but is he's he's still not putting in the effort in is he?
B	er I I dunno it's hard to tell with him isn't it?
C	oh I dunno his sister's not doing much better
B	his sister's a lot worse than him
C	his sister's been at a special school
B	she's
C	and she's been expelled not expelled what's the word?
B	they tried to put her on a
A	excluded
B	managed
C	a
B	but it didn't work out at the other school
C	to another school
C	then she's come back she's just cheeky
B	she's actually like naughty whereas
C	mm
B	do anything stupid whereas his sister will like argue with teachers and stuff whereas
A	so what? so
B	he loves his football he's playing
C	who's he playing
B	he's joined the Monday team
C	oh a Monday team
B	yeah there's two divisions on the Monday team
A	is he any good though?
A	that's not very nice
B	well well no as in like they always thought
A	oh there was another lad in the the paper actually
B	and then moderation came in
C	oh yeah
A	there was a
C	yeah go on I'm listening
A	the the lad who's joined
B	moderation came in
C	oh did he?
B	yeah he's
C	and he did he not get his PE GCSE?
B	er well no but he I told you about the grade boundaries
C	yeah but
B	if if the grade boundaries
C	you said in
B	hadn't have changed he would have got his GCSE
C	so what did he get?
B	he got a D
C	a D? oh
B	but if the
C	oh
B	in science but in year ten
C	oh okay
B	he did he
C	so he sat them all in year eleven and got not one?
B	yeah
C	god that's soul destroying
A	well it's not soul destroying he he's made that choice
B	he was he did regret it but
C	unplug that
B	he's in love with football at the moment it's all he plays day in day out he will still go on walks like
A	so do you guys know er?
A	is that his name?
C	no the one that played for this this one
D	yeah that would be
C	have you plugged it in
A	yeah his erm
C	thank you
A	I I
B	played for
A	no
C	no
D	oh no he didn't
B	I I didn't know him
C	yes
D	yeah I know him
C	he's er
D	yeah he's good
B	he's he's not at
A	is he a good player?
D	he yeah he's
B	he's
A	is he a striker and winger isn't he?
D	yeah
C	oh he's well when er
B	why who's he played for?
A	is he?
B	he's naughty
D	yeah he is naughty
A	is he a lad or not?
D	he's no cocky
C	naughty in what way?
B	no he's er it's like
B	and he's like
D	and he's like one of the main people in year ten
B	yeah yeah
D	let's see
C	is that his picture?
D	let's see
B	yeah I there's videos of him playing football oh excuse me the language in this but this is class wait a minute like you ready? so he's the guy that shoots
C	who does he?
B	he's just messing around in goal yeah? he
C	who does he play for?
B	kicks it out this is him picked it off first time
A	oh right okay so erm
D	yeah I dunno how many
B	who did he play for?
A	I know he told me he told me the time he got
C	oh
B	what time did you get?
D	thirteen point five
B	who did er
A	he's at
C	what can you do a hundred metres then
A	but he was at
B	I dunno but I can beat
A	twelve point nine
C	what you can beat
B	yeah
C	oh can you?
A	he's meant to be very very quick
C	who?
C	no I meant can
D	yeah
C	a hundred metres?
B	yeah
C	so what does where where does he start to beat you? what distance?
D	four hundred
C	four hundred?
B	easy
C	so a hundred two hundred
D	I dunno about two hundred
B	yeah cos it's a sprint
D	so it's four hundred
C	well I'm keen to know
A	four hundred is a sprint
B	yeah but it's a sprint on a whole track I'm not sure I can run that far
C	so where do you where's your best time fifteen hundred still?
B	I'd beat him at that
C	or eight hundred?
A	well eight hundred is
C	well no
B	yeah well I dunno
A	well I well I think he's better at eight hundred cos he's er he's got that sort of attitude that he can just keep going and run his legs off
B	it makes you feel sick
D	oh yeah it does
C	how many is that? two laps of the
B	yeah
A	two laps of the track it's a really hard distance
C	eight hundred?
B	yes
A	yeah I couldn't do eight hundred
D	and a sprint
B	well have you got toothpaste all down my jumper?
D	yeah yeah
B	if that doesn't come out you owe me eight pound
D	oh
C	eight pounds?
B	how much did that jumper cost me?
C	what from er
B	Primark
C	Matalan?
B	Primark
C	Primark
D	do you wanna see my toenails?
C	pardon?
B	no
A	no
C	your toenails? oh
A	have they gone manky again?
C	oh god
D	alright this one it fell off I didn't tell you about it it fell off
C	which one fell off?
D	I dunno it's someone stepped on it and this is what happened
A	yeah but
C	let's see
D	yeah
C	oh not even your big toe?
D	no no
C	oh
B	there must be some sort of cream you can get for his toes
A	I think he's got a fungus in it he probably needs to go and see the doctor again
C	let's see bring me your
D	oh you wanna see my blisters on the other foot
C	blisters from what?
D	er tennis
C	tennis? well
B	it's what happens when
D	no you wanna see this one first
C	well what's given you blisters?
A	oh
C	do you
B	don't put it on
C	oh my god
D	yeah
C	that's vile
C	right so where's the the big toe that was falling off?
D	it fell off
A	falling off
C	which foot?
D	that foot
C	that foot?
D	oh I mean the the
C	pass it here pass it here
D	they both fell off I think
C	oh god
D	what did he say?
B	what time's your first match tomorrow?
C	so that one
D	yeah
C	is
A	is he coming over to see it?
B	I'm not sure
C	is that the new so the one
D	yeah
C	on top of that fell off so that's a new nail?
D	yeah
C	well that's quite nice so what's happening with this one?
D	someone stepped on it
C	who?
D	yeah
C	who stepped on it?
D	I dunno playing football
C	well it's gonna
D	mm
A	in on his
D	yeah
C	which nail?
D	oh this one this one goes up and down and it's it's
A	have you tried to cut it?
D	yeah
C	oh it's vile to look at
C	I'm not being funny
D	dad do you wanna see a technical change me and
C	is that your blister?
A	no he's talking
C	but
B	cos you got cheap tennis shoes
D	yeah
C	they weren't cheap tennis shoes
D	they are cheap mum
B	do you wanna see the technical change me and
C	no
A	who's that?
C	I want to discuss
B	he's the guy that
A	yeah
B	so straight round we then made the technical change
A	yeah yeah
B	technical change
C	who? can I see?
B	yeah cos
B	it's not
A	who?
D	who is it?
B	dunno I've never met him before
B	do you wanna see what
C	yeah
B	that's er that's a normal serve
A	I can't see give it to me
B	and this I have to point out the serve bit right so you see this bit here? see where my racquet goes there? it goes out for like a bit of pronation and then just sweeps back round
A	yeah
B	yeah? from my topspin
A	yeah
B	goes completely out the opposite way and look at that
A	that's big pronation
C	who who recorded you?
C	when? oh
A	oh yeah
B	cos that is you wanna go from
C	what?
A	from seven to one
B	yeah it's really difficult
C	you're not going seven to one with that seven?
A	seven
C	oh okay with that
A	seven
C	oh okay okay okay
C	got
C	where?
C	where?
C	that one?
A	yeah
C	mm
A	yeah
C	who's that from?
A	it's his
C	when?
B	the other day with the tennis ball emoji and the strong arm emoji
C	so what's he texted you just now?
B	he said hi
A	so
B	what time is your first match tomorrow question mark I've put twelve forty
C	oh has he replied?
B	no
C	twelve forty so we're
B	yeah yes
C	midday yeah?
A	so
B	yeah
C	we're thinking about
D	that's nice
C	private lessons
D	yeah
C	because you're hanging on by a
A	I wouldn't necessarily put it like that personally
D	no neither would I
C	you put it put it your way go on
D	well you don't need to
C	two third set tie breaks to win you're hanging on by a thread
D	yeah thanks mum thanks for that really encouraging me
A	that's really motivational that was wasn't it?
C	he knows that
D	you know you know I lost I was losing to him today?
C	who?
C	when?
D	when I played him today
C	the squad?
D	yeah playing playing played
C	yeah but when it matters
A	what was the score today?
D	three two er it was on the serve I was serving it was
C	when it matters
B	can I have one of these cookies?
A	I think with a bit of technical help
C	mm
A	you've got all the physical ability to do it
unknown_female	mm
A	you just need a bit more technical help that's all
D	yeah
C	which is why we're gonna
A	cos I think if erm if they gave you a bit more work on your serve your serve'll be
D	yeah
A	a real weapon
D	yeah I need
A	yeah you do yeah you do and then cos
D	yeah I think er all I need to do cos we do you know how we're doing one person could attack one person could defend and then if it were me against
A	well not with
D	I was winning more points though being defensive
A	well
D	just make sure he doesn't come inside the
A	oh okay okay
B	now do you wanna listen to?
A	the other thing
C	so
A	you didn't do you didn't put a single lob up against him when you played in the match not a single lob you er you tried to pass him and he he and he anticipated every passing shot and made the volley but he's short he's got no legs
A	he's quite quick so he can get back
unknown_female	mm
C	you can't say that
A	but if you if you hit it
D	yeah
A	that you wanna attack and put away and often it hits the top of the net doesn't it?
D	yeah
A	where it goes flying out
unknown_female	mm
B	last time I called him like
C	is that what he said?
A	fine
A	that's a
B	sorry forgot
B	mm
A	bro
C	say me and my bro are going all the way in the future
D	oh
C	but
A	well well I'm well I'm not here so
D	put Monday night
A	well what about
C	actually yeah because erm yeah
C	ask him what he can do on a Monday night
D	yeah mm
C	are you texting him now?
D	yeah
C	while he's talking to your brother?
B	no he's
C	why? what have you said?
B	sorry forgot
C	no
A	competitiveness?
C	something like that
D	did you
C	so that was his that was his phrase
B	no
C	oh wow well done
A	yeah
C	well I think I'd rather have the balance because you're right he's not gonna be a
C	so you want the balance don't you? you want it to be
A	well
C	no we want
B	I can't
C	why not?
B	dunno
unknown_female	yeah
C	talking to
A	oh so where's
B	no I told him I can't come out this month
C	this month?
C	how was he with that?
B	I dunno
D	what? who?
B	yeah that's their nickname cos it's the
C	and that's what they're called?
B	well they're called the
C	you could play for them with your
B	yeah
C	mm
B	they're a pretty good team apparently they're all apparently they do you know the first team
A	oh why?
B	yeah
C	who?
C	why?
B	I'm not sure anyway oh break us off a little bit mum thanks erm apparently the
D	thank you
C	oh
B	with the club
C	so
B	but they they made the
C	so you know the new
B	mm
C	where will their
B	which
C	home pitch be?
B	that's the trial they'll wanna try and get some of the home pitches to play at
C	oh okay
B	and they will want to try and so yeah they'll want to get to the stage where they can arrange to play matches against like the
C	mm
A	mm
C	but
C	what's that?
B	cost you a lot of money but it's the best
C	who's
B	it's like it's an academy where you play football matches and just because it's er it's just a big academy and you can go and do school there and everything that's where
C	how much is it then?
B	I dunno
A	erm
C	mm
B	I need to go and
C	about what?
A	well I might be going to
C	oh really? what did he say? can I have a glass of water please?
A	where have left my phone
B	is it a long text?
C	when when did he send that?
A	Thursday
C	Thursday? oh
A	yeah
C	tell me then
C	thank you
A	joining the
B	thinking about doing what?
A	yeah
B	he might be
C	is that the
A	yeah yeah
B	have you just deleted it?
A	yeah
B	why haven't you replied to
C	did you not reply?
A	I let
B	no
A	I let
D	erm
C	twenty-third of May?
D	yeah
C	that's not ages away so I'll take that please
C	no but that's a start if he's that far if he's booked up that far and then put it in your calendar and let me know because oh calendars are getting too confusing
A	no
C	when did that come in?
A	Thursday
C	are you going to?
A	no I'll speak to him at some point
C	when?
A	dunno just a bit
C	a bit what?
A	I knew that he was gonna go back to the
C	well it's his loss he's not a great player
A	no he's not
C	it's his loss
A	I feel a bit disappointed with him
C	with
A	I think he's well I think he's
C	you brought him into the team really
A	well
D	no no I didn't play well the first season
C	and he hasn't really
A	pardon?
D	I didn't play well the first season
A	yeah you did
D	apart from when I play
A	no that was the following
C	yeah
D	yeah yeah
A	that was the beginning of the second season when you played them
C	that wasn't last season
A	yeah it was it was the first game virtually the first game of last season
D	oh really?
A	yeah
C	I mean it's all gonna be changed this year isn't it?
A	no
C	obviously we'll miss
A	I can't believe
C	the
A	the league below them but I can't
C	but then on the
A	yeah yeah
C	oh are they? which league
A	they beat them about
D	we played them
A	about six nil last year
D	eight nil
A	eight nil
C	and he wants to go to them?
A	yeah
C	cos he wants to be a big fish in a small pond
A	he does he's not happy with the amount of time he gets subbed
C	but he hasn't been subbed that much this year
A	no I don't think he has I don't think he's been very good do you know what? he bottles every fifty fifty
C	everything yeah
A	ball
C	even I think that and I don't know what
A	I can't believe
D	is he out of his depth?
A	is he out of his depth were there at that point?
C	no
D	no
A	that's a shocking comment to make
C	that's what he said though
A	was
C	er
A	do you ever say anything about it?
D	no
A	who talks about it?
D	I dunno
C	he just must overhear stuff that they think he's not listening to must mustn't he? as manager? bunch of lads like that yeah anyway
A	well it's probably
D	yeah
A	er
C	does he?
D	yeah
C	but yeah that's what he said is it because he's out of his depth he's moving?
A	but the the the players they've got left pretty much the better players
C	that's what
D	that's right
C	he said the the nine that want to definitely stay in the team are the strongest nine
A	the only one that I would would I would argue about is
D	but apparently there is more people wanna come on the team
C	who? but he wouldn't say who the potential new manager was
D	yeah I
A	do you not?
C	why?
D	cos when I asked
C	is
A	yeah
D	and
A	why?
D	well is there much point if we find a manager no if we
A	but is he leaving because he doesn't like you lot do you think cos you take the micky out of him?
D	I don't know I don't think I dunno
A	he's out of his depth
D	people at school take the micky out of him a lot more than we do
C	do they?
A	do they?
C	what in the school team?
D	no just his friends
C	oh
A	what say he's slow and can't run?
D	yeah saying oh yeah it'll take you fifty years to get to that
A	why don't you play central midfield for your school?
D	don't know
A	did you ask to play there or not?
D	no I don't he's never see any player there
C	who hasn't?
A	but next year when the new manager comes in I think you should say you'll play on central midfield cos I think people like
D	yeah
A	is that what he said?
D	yeah
A	I don't know what what
D	yeah
C	oh does he?
A	he does yeah he's always wanted to play there
C	doesn't wanna be in defence?
A	no
C	oh
