A	so are you living still with the the housemate that you found back in October?
B	yes
B	er oh
A	you remember when you went to see it?
B	did I say that?
A	you remember when we saw those hovels?
B	yes
A	oh
B	two flatmates
A	but wasn't it er just living with one woman?
B	mm
A	or is that a different place?
B	mm
A	ah
B	which I probably should've taken
A	I was under the impression that you'd
B	oh
A	gone with that
B	the nice one
A	one you see
B	no
A	I thought it was all swish
B	no
A	so was it cheaper? This other place?
B	this place is cheaper but I've got I've been locked into a contract until the end of June
A	oh dear
B	probably I have to pay until June
A	how much is it?
B	three hundred no yeah including bills and internet and everything it's three hundred and ten per month
A	that's not too bad with bills and stuff
B	yeah
A	oh
B	so it's really close
A	perfect
B	yeah
B	do you you know where
A	yeah
B	it's it was there
A	uh-huh
B	um and that considering it was five hundred and fifty per month
A	oh right
B	um
A	okay
A	that was a lot more expensive
B	yeah
A	mm
B	which would've been better
A	what happens if you break your contract? Have you given them a deposit?
B	I don't know
A	I mean that's
B	I don't actually know
A	SE hmm
B	but that's quite hard
A	and how many months er rent do they have from you for
B	one month's
A	as a deposit?
B	deposit
A	mhm
B	so we've been days sometimes weeks without hot water and heating
A	oh no
B	yeah
A	yep
B	and they're still not replacing the boiler
A	why don't you just refuse to pay your rent until he sorts it out?
B	so we've that's what we've now said that we're gonna do
A	is it a private landlord? Or?
B	no it's
A	mm
B	and the agency won't hear of us not paying
A	yeah but I mean at the end of the day if they're not it could be a way of getting out of your contract
B	that's this so in January when it was really bad over Christmas
A	oh no
B	there was a week that there was cold water
A	it was so cold as well wasn't it
B	it was freezing
A	uh-huh
B	and only one of the girls in the house qualifies for legal aid being free because if you earn over a if you have a certain amount in savings you can't get free legal aid
A	oh okay
B	so it's all up to her
A	yeah
B	it has to be done properly
A	and have you  have you  got any er is there not a legal adviser in the university housing association?
B	no
A	Cos can you is there not?
B	no
A	mm
B	and they've just kind of gone well we can't do anything
B	um I
A	well they're obviously fixing trying to fix something that can't be fixed
B	basically
A	and in your contract does it say that the that they are responsible for upkeeping the I don't know what they'd call it the
B	there's a yeah the like
A	fixtures and fittings
B	yeah
A	and
B	I mean like it's one of those contracts which is like thirty statements long
A	well if there's no hot water
B	hot water
A	and no heating that's hardly habitable is it?
B	they keep saying to us oh summer's coming soon
A	well why don't you just try and get a lawyer to just get advice to say look they've broken the contract in that they haven't kept the house habitable um I want to write them a letter saying
B	Don't I have to pay for that?
A	in consideration
B	that's why we're trying to go through the legal aid thing
A	or just ask er ask the question
B	it's been intermittent since December
A	then that's you know that's not they're breaking the contract
B	I think we talked to the landlord recently
A	oh
B	she started off really angry and then she sort of calmed down
B	come on woman
A	mm
B	which is kind of the idea
A	well that's the thing
B	yeah
A	this is
B	all of this
A	compromising my ability to concentrate
B	at home
A	twenty miles
B	yeah
A	um
B	but
A	reason I would like to dissolve the contract based on the fact that you haven't respected
B	I er that's actually I think pretty much been said
A	can you not? SE What about the Citizens Advice Bureau?
B	that's yeah that's why we're going
A	oh okay
B	which takes time and I mean they're booking us an appointment and the girl has to go in and see them
A	yeah
B	and I can just go home whenever
A	hm
B	yeah I know I I don't know what I think one of them goes to her boyfriend's and the other one probably goes to a friend's but
A	it's not typical
A	it's not er oh what's the word? It's not an ideal situation
B	yeah
A	there you go
A	not an ideal situation when you
B	I'm like what are you trying to say?
A	I don't know what I'm
B	no it's not an ideal situation
A	especially when you've got so much else to deal with
B	huh
A	oh yeah? Where?
B	Japan
A	oh
B	um
A	mm
B	from there
A	mm
B	but I really wanted to get some done before I left
A	yeah
B	do you know what I mean? Cos I'm trying to get them to move into this hell hole
A	yeah yeah yeah yeah
B	I mean
A	the slug palace
B	Morocco was interesting
A	how long did you go for?
B	four days
A	oh it was a quick quick trip
B	it was a very quick trip
B	woah prepositions um in London at midnight
A	oh no
B	and I was just like oh mate I'm gonna kill you
A	and how was the Morocco part of the journey? SE
B	I was kind of surprised
A	really? Where were you?
B	marrakesh
A	uh-huh
B	um
A	really?
B	in terms of
A	well it's better than what you've got at the moment
B	yeah I know
A	little republic of third world
B	yes
A	and did you see anything nice? Or buy anything nice?
B	oh my friend wanted to go
A	uh-huh
B	in the souqs and the markets
A	no
B	what?
A	I know
B	oh that sucks
A	we'd already got the tickets
B	huh
A	and everything
B	that's really bad
A	we were going to do we were going to I think arrive in Fes
B	yeah
A	and then travel down the east coast
B	oh
A	I find that that um like the kind of TE Maghrebins in France are just so rude
B	yeah
A	and there's like there's no barriers
B	yeah
A	and just not chat you up even
B	yeah
A	it's disgusting
B	yeah
A	it's weird though
B	it doesn't happen in Spain
B	I mean I got followed once or twice in Spain
A	are you sure his best mate wasn't trying to rob you from behind?
B	um
A	Pick pocket
B	probably
A	it was probably a diversion tactic
B	yeah it probably was
B	different ones
A	oh
B	I thought if they thought I was local they would treat me with a little bit more respect
B	Cos I don't wanna know what you're saying
A	so like lecherous things
B	just nasty
A	just say you can think it but just don't vocalize it
B	just don't even  don't even  look at me
A	oh no
B	and
A	I'm sorry
B	well it was an experience
A	no
B	yeah
A	crikey
B	and my mate was like why don't you just hit them? Or like shout at them? And I was like we're in a Muslim country
B	like the men it's all men
A	mm
B	no one's gonna save you
A	yeah yeah yeah
B	they're all gonna stick up for each other
A	oh well
B	yeah
A	you know
B	so I'm not going back there
B	but apart from that
A	and I saw that you said to
B	I have been to Thailand
A	ah
B	Thailand Cambodia and Vietnam
A	okay
B	I haven't been everywhere
A	you know people everywhere
B	I haven't been everywhere
B	I was like oh maybe one a year is my
B	aim at the moment
A	oh my friend's just been to Burma and it looks amazing
B	amazing
A	she had such a fantastic time
B	yeah
A	and do local things
B	things
A	as opposed to touristy stuff
B	how did she do that? Cos I always wonder
A	I think she's just got such a that
A	kind of personality
B	that's pretty awesome
A	takes risks in chatting with people
B	yeah yeah
A	and because she's so eager and she's very I dunno she's very um engaging
B	yes
A	I think she picks her  she picks her  victims well
B	charming
A	but yeah she was chatting she she travelled with a another girl who she met in a a backpacking place
B	yeah
A	en en route
B	yeah
A	to maybe
B	to sort of
A	chat with people
B	nice
A	had a few whispered political discussions and
B	blimey
A	went and stayed at er temples and stuff like that
B	my mum's one of those
B	I mean a long time ago they came to visit me in Japan
B	and every day they had some story of how
B	they'd had a tour in a police van
B	someone had driven them home
B	but you're just like working your way round the countryside
A	that's good
B	yeah
A	whenever my parents used to come to visit me I felt I just felt that they they abandoned all abilities to make any decisions at the airport
B	oh and
A	yes
B	oh
A	I mean I can
B	oh I just leave my parents to it
A	I can understand
B	is this in Spain?
A	yeah
B	yeah?
A	when I was in living in France as well
B	yeah
B	they come visit you and they're just like you're gonna look after me right? And I'm like um my language skills are just as bad as yours
B	Don't be deceived by the fact that I've been living here for three months
B	to go new place? Or to go? New I really wanna go to China
A	cool
B	I'm sort of hoping that it might happen
A	really?
B	yeah
A	mm
B	because I want to buy the ticket in Japan
A	mm
B	so I'm not sure if it's even possible
A	that's a shame
B	it is
A	er go to Taiwan instead
B	yeah
A	right
B	I dunno about Taiwan
A	I don't know
B	before?
A	yeah
B	oh yeah
A	aha
B	it would be from May to June
A	how many weeks have you got to do your dissertation?
B	I've got from May to
A	mm
B	so I'm hoping that I'll be pretty much done by the end of July
A	mm
B	yeah
B	I just wanna get through this
A	mm
B	but here it's quite a small department
A	mm
B	like if you don't know what to do
A	what what are other your fellow students doing?
B	most people are not doing teaching related projects
A	oh okay
B	because there's actually only five applied linguistics people
A	mm
B	like how does this affect a classroom? Or I dunno
A	what kind of TEFL stuff did you cover?
B	I did teacher training
A	oh yeah
B	um
A	and did they actually provide modules lectures and stuff on those subjects?
B	yes
A	oh right
B	but that's part of the TEFL course that I kind of
A	okay
B	transferred over to a little bit
A	mm
B	but the other stuff I've done is corpus linguistics
A	aha
B	discourse yeah
A	okay
B	and yeah kind of
A	have you had to cover like structural linguistics and stuff like that?
B	we had a choice
A	oh
B	we all did do a bit of functional grammar
A	urgh
B	urgh
B	because I would've failed the grammar
A	right
B	I think like cos we spent three lessons three ninety minute lessons analyzing one sentence
A	oh my Lord
B	so most of us were not really prepared to go in and do a full analysis by ourself
A	how long are papers?
B	four thousand words
A	huh
B	our dissertation's only twelve thousand
A	mm
B	it's not
A	especially
B	problem with TE wittering
A	especially for a research project
B	yeah
A	as well
B	we have one research paper this term
A	so how many have there been in total? Apart from the dissertation
B	not that many you know
B	I've done three already
A	still quite heavy going
B	it's
A	especially when you have to read so much
B	I know
A	before you
B	mm
A	I had to always force myself into starting to write things
B	because you were still reading and taking notes
A	mm
B	yeah
A	aw
B	so I'm just like it's not interesting
A	mm
B	like you have to be interested otherwise
A	yeah
B	well you don't have to be interested
A	and it what what do you think the masters level is like? Cos I was you know the course I was doing was er um at a masters level
B	mhm
A	er had written
B	yeah
A	um
B	but did they do well?
A	well they passed
B	they passed?
A	they passed a masters level assignment
B	I think passing well I don't know to be honest because I proofread
A	mm
B	and content wise she didn't have a clear understanding of what she was doing
A	right
B	so I did understand why
A	mm
B	but I think I mean you know I don't know many people that are getting firsts to be honest
A	well I got
B	it seems fairly
A	I got two distinctions
B	oo
A	and I was just absolutely floored cos it's
B	why? You've so much experience you're
A	because it just
B	bringing to the table
A	yeah but it just felt like it was the
B	mm
A	whereas I was thinking oo masters level research it's going to be really heavy and
B	yeah
A	it's gonna be statistical analysis
B	no I don't think it is that bad
A	and lots of different variables
B	common sense
A	Mickey Mouse
B	how many papers have you already submitted?
A	three
B	okay
A	no there is no dissertation
B	there's no dissertation?
A	Cos it's it's so practical based
B	and how long are the papers?
A	three thousand words
B	okay
A	which is a nightmare because it's so difficult
B	so keeping it short and concise
A	yeah
B	and
A	yeah
B	yep
A	it was difficult
B	mm
A	and then describe the research methods
B	that's a lot
A	and then TE analyse the research methods and TE analyse how if they worked
B	no
A	see I'm getting confused just telling you about it
B	well the I mean if it if you have to do that much it's literally what? A paragraph for each thing?
A	more or less
B	yeah
A	yeah
B	yeah
A	was more or less two sides
B	sides
