A	oh that's er that's still a little way though er cos we're up here all the way up here aren't we?
B	I guess
C	well I tell you what we could do though we could walk along the river to there
B	then we're definitely gonna get lost
C	yeah it's er slightly longer to walk
B	fucking lights man they're the worst
A	they are the worst they really slow you down
C	let's just walk along the river
B	er we did this bit here it was like how long did it take us to get across that like?
D	like ten minutes and Google Maps is like it's a twenty minute walk or whatever but it took us half an hour because it took us there was like one bit er just like twenty metres and it took us ten minutes
D	through all the traffic
A	hey you got sun burnt
C	yeah
D	really?
D	yes
B	it's like proper summer outside today
A	yeah
C	oh man it was good today
A	he was wandering around and around in the sun
D	just doolally
C	erm I hope it's sunny tomorrow
D	I bet it will be
C	I think so
A	and so we'll try and go to the place in the room
C	I think we're gonna have to leave our
A	oh that is so gay
C	I know
D	what about the man in the box?
C	interesting so a tenner? money? no money?
B	I think we should just er I think we should just text text
C	he's never in that box
C	yeah
D	no okay okay okay
C	yeah cos you know we've already tried things with them and she was just like no no no no
A	nah
D	don't think she exists
A	so we'll put em in hopefully we can fit them in one or two lockers
C	yeah and er my bag I can just carry around I dunno yeah we'll figure it out one or two lockers and at least it's at the station and we can just get them when we get on the train
A	yeah yeah it's just
B	I was kinda
A	mm
C	well the only thing to do here the Vatican City
A	erm what else are we gonna do besides the museum?
C	you know what I think?
B	the I don't
A	yeah yeah the one that's nearer St Paul's
C	I think the Vatican and also now maybe the Jewish quarter that sounds really cool
B	yeah
C	Jewish ghetto
B	yeah let's er do those two
C	that's just behind where we were today
B	what time do you wanna get a train?
A	definitely
C	wandering's good I think we should get the train at like
B	five
C	four or five or
B	cos we wanna get there what?
D	and we've booked
C	that's a long story
D	oh really?
C	it's a really it's been really stressful
D	why?
C	it's just the reason I hate that thing so much
D	it didn't work?
D	so I can book it online if you want?
C	oh you have one? oh yeah yeah yeah you should do that
D	okay
C	cos er
C	they wouldn't accept
A	then it wouldn't upload er so it I know
D	what?
C	it it's the the longest like just before you guys got back I was
D	why? would I have to do that?
A	have you used it?
C	no cos you're already a member you've used it before haven't you?
D	they
B	like hello I'm
C	yeah no it was I was filming she was like I'm
A	yeah
C	I'm
A	hi I'm
C	I'm a chef I live in
B	why it's becoming why it's becoming like Couchsurfing?
C	no no it's not for that it's for verification of your account cos she hasn't used it yet
A	that is so bizarre isn't it?
D	yeah
C	and er she hasn't she doesn't use Facebook enough not enough activity on Facebook to verify who she is
D	mm interesting I closed my Facebook account
C	oh have you used Airbnb before though?
D	I've got an app though yeah
B	yeah
C	oh then that's fine if you've used it
C	yeah and he kept doing this thing where you accept the wrong days he said I can't change the days I said leave it for one day twenty-four hours it'll expire I'll do it with the right days and just before it did it he reaffirmed it and it's it's been this ongoing thing he doesn't quite understand
D	so
C	but he's like don't worry there's gonna be someone to meet you he said this is my number and it blocks numbers er you can't send a mobile number in a message
C	cos it just gives you the letters
D	so now what should I do?
D	I'm lost
C	it's
B	why don't you just write like zero zero seven?
C	what scramble it yourself? put put it amongst
B	yeah
C	amongst a message?
B	er you could just even write zero seven
C	but I can't communicate that to
C	you men
C	you men are in luck
D	shall we do this at the house because I've got no wi-fi
B	you men are in luck
A	you men are in luck? what?
C	yeah yeah
D	er yeah we'll do that
C	anyway
A	I didn't
C	yeah he's like you men are in luck it's free
A	you men
B	he's
D	you men
D	that's funny
A	yeah
D	I wanna see the video
C	oh man show her the video
D	yeah
A	the video of me? it's
D	did they upload it to your profile or what?
A	no
D	no? just for verification? that's so odd
A	I don't I don't think it worked it didn't
D	it didn't upload?
A	it's so annoying it took so long
D	alright guys go through your beers
D	are we gonna walk there or what?
C	along the river yeah? slightly longer but less traffic
A	along the river
C	shall we do you wanna see how far it is? no I only reckon it'll take like how long do you think it'll take? twenty minutes? half a hour?
B	yeah
D	I think it might take half an hour yeah
A	or we can just get a cab
C	cab let's get a cab
A	we could like you guys have been walking all day
D	mm
C	they've walked ten miles
A	mm what do you think? do you wanna walk?
B	I don't mind
D	let's walk if we feel like getting a cab we'll get a cab
B	cool
D	quite early right?
A	or is it? it's eight
C	forty-five
A	oh interesting
B	that's an hour slow
D	mm?
B	it's an hour slow
