B	mm very nice
C	he's not wasting his time is he?
B	no
D	I do like them
B	mm
A	yeah
B	mm hm
A	you have to eat them straight away
C	mm
B	ah
C	was you pleased to see that this popped up
A	surprised
C	mm
A	cos erm we were looking at them last night and I was upstairs and
C	mm hm
A	oh right
B	yes well
C	there was what love?
A	the controversy started early
C	it has really cos usually something pops up doesn't it?
A	mm
C	so
A	mm
C	right what's
A	mm
C	or is it straight forward like?
A	mm
C	mm
A	but then the paper's usually saying ooh they've been dumbed down too many people are getting
C	mm
A	no
C	for example
A	no
C	it might be a bit too early for you
B	mm
C	but
A	mm
C	by mentioning
B	yes
C	demons and what have you
A	mm yeah
C	that they they played too much on it and what have you
A	mm
C	so
A	mm hm
C	their the they brought out the journalist editor and he has the title of
A	oh
C	of the BBC
A	mm
C	in other words the head man who and
A	yes
C	cos there's been another incident which
A	about the queen
C	yes which I will go on to but anyhow
A	yeah
C	and er
A	oh yeah
C	who are going to
A	oh you can't please all the people all of the time can you?
C	no
B	it was a big part of his life wasn't it?
C	mm
B	it was self-inflicted
C	he said it was well known
A	mm
C	and er
A	mm
C	he said
A	mm except it's more psychological really because then they're in the grips of an addiction it's like smoking
C	mm well this is it but
A	mm
C	no two ways about it
A	mm
C	and yet people still continue to smoke still people still die of lung cancer
A	yeah
C	but they can't er say that being an alcoholic is an illness as such
A	yeah
C	er it just goes to show
A	oh no
C	they er there was at least a dozen letters and more
A	mm
C	had had come out and then of course you won't know this
A	mm
C	and you know
B	mm
A	well it was supposed to be the it was a female news reader that I had never seen before she was reading it out and she said she didn't realise it was only a practice
B	no
C	no
A	I don't believe it
C	but why was it
A	what do you mean why was it?
C	how how did it
A	because she blabbed on social media
C	she did it?
A	yes
C	mm
A	I know that they have code names don't they? for
C	mm hm
A	if you said Tay Bridge it meant the queen mother had died and
B	oh right
A	everything was in place just to
C	mm mm
A	erm follow on it was all prepared
C	well actually
B	no
A	and there's other code names for the Queen and for Prince Charles other bridges
C	in in lots of these offices
A	code names mm
C	a code name
A	mm
C	so you might be Janet
A	mm
C	it's not Janet
A	no
C	they don't come storming in
A	yeah
C	where's Janet?
A	yeah
C	as long as some somebody else hasn't
A	is called Janet yeah
C	mm
A	mm
C	mm
A	oh yeah
C	mm
B	have you got a code name
D	not yet
C	he will have though
A	do you want some more tea?
B	no thanks darling?
A	no
C	no I'm just sipping this off now
B	and have you been alright then this week
A	not too bad
B	yeah good
A	been at school quite a bit and
B	yes
A	yes fine
B	and are you still enjoying your leisure
D	yes yes
B	yeah good
C	hang on a minute it's not leisure
A	he's going in for a couple of days later in the month aren't you?
D	yes
C	you're doing what?
A	he's going in a couple of days later in the month
D	yeah
B	oh yes that'll be good
C	that's it mm
D	mm
A	can't believe it it was only last year
B	yes it was
A	now he's showing people round
C	you'll enjoy it
D	mm
B	yes
C	you'll enjoy it
D	mm
B	have you more or less got the erm plan out of the
C	the geography of it?
B	yes
D	yes yeah mm
B	mind you why would it that yes
A	oh
B	yes yes absolutely
C	he'll know the what?
B	he'll know the map of the place won't he? he'll know his routes
C	yeah mm
B	I mean if it was me I I would be have difficulty finding the first door
A	there wouldn't be any point saying sending me up
D	mm
C	but not only that he knows
A	yes yeah
C	mm you know er
B	mm well
A	where all the best tea shops are that sort of thing
C	mm
B	yes that's it
C	keep them out of
A	yeah we don't want the queue making longer
C	yeah we don't want all the rowdy students in there you know
A	that'll be quite good
C	yes
B	mm
A	yeah
D	mm
B	that's the point
A	it is yes
B	yes
C	well how many times have I said it's frightening the way time flies
B	mm it is
A	yeah
C	we nearly are June now aren't we?
B	yeah
D	mm
C	and soon
D	mm yes that's right
B	having another birthday aren't you
D	mm
B	mm
C	yeah mm
A	yeah
C	I'm losing track of you know
B	no
A	no
B	nineteen
A	nineteen
C	nineteen eh?
A	it's not going quite that quickly
C	mm yeah yeah
A	I was thinking that they might erm
C	yes so I believe mm
B	that'd be nice
A	show where he goes and his route and
B	mm
C	hey
D	pretend?
C	I'm a new student
A	show you round
B	a mature student
C	where's my
B	mature
A	have you been up there before?
C	I have seen
C	hall
A	yes
B	didn't we go with you
C	haven't been in it and that
A	I can't remember
B	we went with
A	mm yeah
C	mm
B	yes
C	yeah there's a lake
B	yeah a lake yes
D	that's the
B	oh is it?
A	mm yeah
D	the
B	oh right
A	was it?
B	mm
D	yes yes
B	right yeah
A	so where was it housed before then? or didn't they have that?
D	it was a much smaller department it was
A	mm
D	sort of in the
A	oh right
D	but I think it was a only about five academics in the department so
A	right
D	it's grown since it moved out
B	yeah
A	yeah quite a lot
C	and all these universities I do believe I mean
A	expanding
C	they're going to build another whatever like
A	yeah
A	yes
A	mm
C	in er in the medical
A	yes
D	mm
A	that's with
D	partnership
C	that's right
B	mm
A	mm
D	mm
C	so that is
D	mm
C	they call it that anyhow
C	right
A	medical school yeah
D	mm
C	mm
A	yes making some breakthroughs
C	mm
A	mm
C	and it er most of it goes back to that er DNA
A	yes yes
C	it it really is
A	yeah
D	mm
A	very complex isn't it?
C	mm mm
D	we did a nice trip to
A	mm
B	yes was it a nice day?
D	mm
A	yes it was mum yes
B	oh good yeah
A	yeah
C	did you stop off at
A	yes
D	yes well we parked the car in
C	that's not bad is it?
B	oh
A	very reasonable
D	oh one eight one sixty for the day
B	oh right that's good isn't it? you can stand that
C	lovely
A	mm mm yeah
C	so did you go down to the river?
D	yes the river
A	yeah
C	did you see the river wharf?
D	it's the Nidd
A	Nidd
C	is it the Nidd?
D	yes
C	oh I thought it was the wharf there but right the river Nidd
D	the wharf is a bit further south yeah
A	we saw the viaduct
D	yes
C	the viaduct that's a picture isn't it?
D	yes
D	yes good old class one five three
C	ah
A	we had to wait for a train to come yeah
B	yeah oh good yeah
A	we was waiting for a train and we was waiting and waiting wasn't coming ooh we thought it would have been here by now
B	oh right
A	we were going to go cos it's quite windy up there
D	mm
C	mm
A	we were on the top looking down across to the
D	yeah
B	mm
A	river and the viaduct
C	well
C	you you'd take more than one wouldn't you?
D	yes about about three or four
C	yes mm mm
A	mm
D	obviously the train was at different positions as it was gradually moving
C	yes that's it mm
D	yes
A	mm
C	unlike roll film oh I've run out of film
B	it was always your cry
C	oh dear and dear
D	and we took the train from
C	did you?
D	yes
C	nice one
B	was it a steam train
D	no it was a a diesel
B	oh right
C	mm
B	mm
D	yes
B	oh are there really?
D	in active service
C	you see
C	yeah
A	various photographs were taken of that
B	mm
C	fine which I would expect
C	and there's only seven of them in the country
A	no
C	oh
B	was it a bit rattley?
A	not too bad
D	wasn't too bad
B	no
A	it was newly upholstered so it was pretty tidy inside
D	yes it was nice
B	oh right yeah
D	mm
A	from my inexperienced point of view
B	yes
C	yes yes mm
D	they're built by British Leyland
C	are they?
D	yes
C	mm
B	mm
C	yeah
D	no trains as well
C	so where were they built then? Preston?
D	erm I'm not sure I I think the main
C	mm
B	no it was an interesting day then?
A	yes
B	mm
A	and when we went to
C	ah
B	it is
