A	did I tell you that I might go to Zumba tomorrow? So if you want a lift
B	zumba
A	to
B	okay
A	bank
B	yeah
A	then you need the nine o'clock we leave
B	yeah
A	mum was thinking of dropping me off at Zumba and then going
B	yeah
A	can you pay my cheque in?
B	and get some money out for the rent
A	can you pay my cheque in?
B	yeah
A	thanks
B	pay your cheque in
A	I can't think
B	what? How early's early?
A	well I well not too early
B	okay
A	but I'm not too sure if I'm gonna go to Zumba or come to town with you
B	right
A	but either way we're going to town at nine
B	okay
A	dance
B	well I never had any
A	no
B	yeah
A	it's just that really
B	well why is it different to?
A	she does almost like an Arabic alalalalala
A	thing
A	every so often
B	so why is it different to like normal aerobics?
A	it's not really
B	so it's just a new fashion is it?
A	yeah
B	mhm
A	and then er we've had some we've even done like um the Irish dancing in one of them
A	like just moving your legs
B	but how old are the
A	just like a few steps of like each
B	how old are the people in it?
A	they're a mixture
B	oh
A	we got a bloke turn up last week
B	oh
A	they're a mixture
B	mm
A	yeah
B	hm
A	you don't
B	for an hour
A	yeah
B	that's alright innit?
A	yeah I think it's alright
B	yeah
A	mm
B	huh
A	apparently that hall is quite cheap to
B	is it?
A	to rent out
B	yeah er cos
A	yeah
B	how much? Can you remember?
A	well it was stupid
B	about forty pounds an hour or something
A	yeah I know
A	how's she supposed to make any money?
B	yeah
A	she'd have to have and there's not even enough room in there to have a class
B	it's a tiny little room
A	ridiculous
B	she didn't even have a board or anything
A	no
B	how can they ask forty quid?
A	I don't know
B	they should be
A	they're gonna close down other libraries though
B	yeah
A	they just have to make as much money mm as they can
B	yeah
A	just ridiculous because if people can't rent out the room to um I don't know to do something with then
B	yeah
A	but it's like Welbourne Hall basically do you know how cheap that is?
B	no
A	I didn't realize how cheap that was
B	how much is that then?
A	I've forgotten now
B	yeah
A	it was ridiculously cheap
B	yeah
A	it was like I don't know twenty pounds for the whole day and night or something
B	wow
A	like you can
B	twenty pounds?
A	well that's what they said when dad had his party
B	yeah
A	I reckon they just did
B	yeah yeah yeah
A	they wouldn't do it for that cheap for me
B	well you're family aren't you
A	mm
B	yeah my dad was saying that as well
A	yeah if you're resident or
B	well
A	your hall is cheap
B	no dad was saying that um if you hire out just a normal hall if you get the bar as well then obviously cos you'll be spending an absolute fortune at the bar a lot of the places give you the hall for free
A	yeah
A	so that's why it would have been quite good I suppose to do that for our wedding but
B	yeah well I'm glad we didn't really
A	no I don't want that atmosphere
B	anyway
A	it's
B	you know stuck in a hall
A	yeah
B	it's not really what I want
A	no
B	hm
A	mm
B	do you think your mum will be alright driving there tomorrow?
A	I don't think she should go out at all really
B	she's still sounding a bit rough
A	I think she should stay
B	whose go is it?
A	in the warm
B	mine
A	I think she should stay in the warm
B	mm
A	cough is I mean that's bronchitis she's got
B	mm
A	but she won't admit it
B	no
A	mm
B	yeah I mean she's
A	look at the weather now
B	she's been jumping around today
A	mm
B	off her face on those pills
A	she doesn't look like she's off her face though
B	no but like yesterday she was she couldn't move
A	no
B	I think
A	yeah
B	hm
A	it goes really fast when you've got two people doing this game
B	yeah it does doesn't it
A	they can't be bothered
B	hm
B	what else is there? Trivial Pursuit I suppose
A	ludo
B	yeah
A	it's just luck of the dice
B	it's crap isn't it?
A	yeah
B	risk was was a good one
A	you're very picky on picking your pieces
B	huh?
A	you have to dig right to the bottom
B	you have to
A	of the pile
B	follow the force don't you
A	mm
B	but remember we played Risk a couple of years ago and it's just
A	oh I didn't like that
B	rolling the dice isn't it?
A	I think it's yeah
B	I used to like it cos it had a map of the world and you could I like moving about in different countries and stuff like that
A	mm
B	that's what attracted me I think
A	mm
B	I think
A	yeah
B	yeah
A	yeah
B	yeah
A	I dunno
B	um
A	cor listen to that
B	mm
A	that wind
B	yep
A	ah I'm gonna phone them maybe
B	yeah
A	like phone them up and say
B	you should
A	yeah
B	um
A	yeah
B	Cos it's been three weeks now hasn't it?
A	yeah
B	and they said three weeks
A	I don't really know
B	yeah
A	and just see
B	mm
A	there's nothing more that we can do
B	I mean it's annoying cos we had
A	right
B	we have had like three jobs by now
A	I know
B	we turned them all down for this one
A	I really want to go
B	yeah
A	yeah
B	I jump on and off that road for three
A	I dunno
B	yeah it's getting a bit worrying isn't it?
A	yeah
B	eight
A	I just want to experience the different culture again
B	mm
A	it's just I mean I like it here but it's just so sleepy at times
B	yeah
A	it just feels quite sleepy
B	yeah
A	yeah
B	well it's a long time for us isn't it?
A	I like it though this time
B	what is it you like the most?
A	I don't know
B	community?
A	I don't know
B	what community?
A	well no just people speaking English
B	I don't know if I like that
A	I do
B	you have to listen to loads of inane conversations about Eastenders and
A	no
B	people talking bollocks
A	Cos when we were walking the the dogs and stuff everybody was stopping and saying oh hello
A	kind of nice
B	mm
A	I don't know
B	yeah
A	I do  I do  think some of it is
B	I mean when we
A	is nice
B	when we first got back I really liked having all the er the ales and the cheeses
A	yeah
B	and stuff like that
A	yeah when everybody just wants to get drunk all the time
B	yeah
A	oh
B	yeah
A	yeah
B	I don't mind the drinking but it's the huh it's the excess
A	yeah
B	no
A	well you can though with some people
B	you can
A	the people we've been hanging out with
B	well yeah
A	you can't stop
B	that I you know thirty-four and I still don't know when to stop drinking
A	yeah
B	and that's like
