A	I think you could have it on in the background
B	no I on on some of the last recordings it's like it's quite loud so
C	Buje there was er there was a market there but not this not today I don't think
D	you wanting to go to that
A	yeah is that up there?
D	yeah that's that way
C	you
A	I don't know where now or whatever
D	yeah
A	maybe that's it
D	I think it's a little way up there
A	what Rovinj?
D	Rovinj yeah
C	well what's there? is that another hotel is it?
A	yeah I think so isn't that where
C	no
A	yeah
B	so if like if pieces of art are worth like like from people we haven't heard of are worth like four grand now it's well er it's a bit of a silly question I was gonna say how much are like the Mona Lisa and The Scream and all the famous art?
D	yeah
B	I mean really
A	I suppose the more famous the artist is the bigger the figure for his work but I don't know how I mean Banksy's work how do you is it not just the how he operates that that increases the value of his work?
B	probably
A	you know the fact that no one knows who he is and
B	I can't believe
D	he has an agent
A	how did he first come to sort of say I'm Banksy but I'm staying anonymous?
D	don't know
B	so I'm sure his agent must know who he is
A	must do
B	let's hope they never fall out cos that's a
A	yeah I'm sure he's got clauses written into er
B	see all those like little watchtowers?
A	what's that
B	there's a little wooden thing there
A	by the side of the road?
C	yeah I've seen a few of those
D	in the fields yeah it's we er it look it look like the ones you know that are like when you see in films around concentration camps?
B	yeah
A	did you see those that's what I was the word I was thinking of those little
D	no idea what store pots?
A	that we saw in the fields
D	oh I don't know
A	where d'you get that from?
C	I think they're shepherds' huts aren't they some of them?
D	that's what I thought they would be
A	close your eyes love
B	what does that sign mean with the little
B	was it across?
C	the road left and right there
B	oh
A	there's a river just up there to the left
C	yeah
A	what's that? there's a cycle path there
B	why when do they usually do it in the UK?
A	it's usually a lot later on in the summer whoops
B	like when?
A	like August
B	August?
A	yeah
B	like I said though it's probably
A	yeah
B	you know it's still a lavender plant but it's genetically different
A	but mine don't survive
B	yeah cos I mean it makes sense that erm a lavender plant that er that's a pretty cool
A	yeah
B	erm that a lavender that is grown in Croatia has to survive hotter summers than it does in the UK which makes it harder wearing and then gradually over time and like natural selection the lavender plants just you know
A	evolves
B	yeah almost I mean if you think about it if you if you think about how natural selection works the strongest survive while the rest die and then the strong pass on their genes to the next thing so you know say
A	yeah
B	and then the you're everybody else has got that gene and it takes thousands and thousands of years but
A	they look exactly the same don't they?
B	I know but
A	I can't think what that's about
B	biker gang in California
A	have you watched the whole thing?
B	I watched the first like
B	yeah
A	yeah but do you know I was thinking that
B	it said it in that book and I remember
A	oh
B	and erm er you can get a driving licence as young as like I think it was fifteen? or maybe fourteen I can't remember it might have been fourteen erm
A	wow
B	which is
A	it is really
B	it is especially crazy seeing as what? you can't drink until you're twenty-one but you can drive a car when you're fourteen fifteen
A	and how old do you have to be to have
B	er
B	is she? there's another
A	no I dunno but it said
B	no it said
A	okay
B	K O L O
A	I think I'm sure that worked then this is where we're going to is that
B	do quite like the Audi SUVs
A	HGVs?
B	Audi SUVs
A	oh okay
C	no well I thought they had to mature
A	no
C	and that I dunno what sort of crop you get off every tree like I suppose it depends how old it is how big it is but
B	you're a very noisy breather
A	it's got
B	sorry what was that?
A	someone had pizza
B	that's pretty cool
A	I wonder where the guys live
B	god knows
A	I've got heat rash
B	I would quite like you know like one of those like choppers like do you not remember
C	yeah
B	I quite like the look of them
C	it's come from Italy this one then is that a Harley is it? sounded it didn't it?
A	oh
C	this way
B	no
C	no cos we have to go over this erm
B	Harley-Davidsons are really expensive aren't they?
A	I think they are I think it's their reputation really I don't
B	no that's the only like motorbike company I know of though innit? like
A	probably yesterday er was it? I thought it usually went on over like a bank holiday weekend
C	er I er well I this weekend for sure I dunno really
B	I well I saw people like piling in a couple of days ago like even before the music had started and it looked like absolute chaos
C	it was all very wet and muddy weren't it?
A	which day was that?
B	I can't remember I remember seeing like videos on Facebook of people like
C	I would like to go as long as it didn't rain
B	yeah
C	would you not come with me
B	no
C	oh this looks like a causeway anyway we've got this bit right for this
A	I think we didn't come this way before
C	don't think so
B	water looks very greeny can you see?
C	oh there's a big road bridge up there perhaps we went across that one
B	see like how could oh I suppose they're just going down to the seabed aren't they? I was gonna say how would you like structure this so it's not just you know?
C	just really built it up on rocks and stuff haven't they? just a causeway
C	was that you
A	what do you mean was it me?
C	I was wondering if
B	yeah looks like a bit like a campsite
A	is that the really long road bridge then there?
C	no
B	I'd say er
C	no I think it was about half a mile up here and then a road off to the left I think
A	this is er it says this is the way to Rovinj I'm not sure why
C	it is yeah
A	I suppose there's more than one way isn't there?
C	well you just follow the coast round don't you?
B	is it this
C	erm
C	dunno all his stuff in there I suppose
B	I would have thought he'd just get one big one but
C	oh hang on
B	what's it called? a roof
C	roof box
B	roof box
C	we used to have one didn't we?
A	yeah
B	can't remember
A	we still have oh no you sold it
C	no we sold it when we sold it to make some space I think
B	I don't like those windows when they only like open a little bit cos you don't get any air you're just like
A	I think there's a key for there's like er at the top of the window that you only open it like a centimetre er you can turn the handle then and it stays
B	sorry I'm confused what you mean
A	I thought you said you've just seen a window but you didn't like it cos it didn't open
B	mum my ears are going funny I
A	I think it that er
C	is that it?
A	yeah
A	I think so
C	yeah okay
A	yeah
A	oh I was talking to dad then
B	oh right sorry
A	weird how stop's in English isn't it? what's that up there to the right?
C	this
B	can I turn the air con down a little bit how are you in the back?
A	little bit not a huge amount
B	I only turned it down two notches
C	it's off now I think
B	it's not it's still
C	oh
B	blowing through
A	you're having trouble with this clutch aren't you?
C	I don't like no it's the handbrake I don't like said automatic handbrakes on the manual
B	isn't it the auto hold?
C	yeah but dunno can't
B	what even what even is an auto hold?
C	to stop you rolling back I think don't er don't go forward
D	said it was a dirt road
C	oh do they? oh we can have a try then
B	sorry what is this?
A	she said it's a road like er our road
B	it's not off but okay
D	why don't you turn your fans down?
B	well it's fine
D	went really sleepy then
A	I thought these headrests were quite well that one's comfy
D	still not comfy for sleeping
B	why did you stop?
D	what was that? was there an animal?
A	bump in the road I think
B	bit of a dodge road isn't it?
B	there's a lot of abandoned homes
A	there are aren't there?
A	they know this place like the back of their hand don't they?
D	yeah
B	it's the middle of nowhere
D	yeah I don't know how anyone would find it that live lives here
A	look at these pinky flowers haven't seen those
B	people obviously do
A	maybe it's listed in er the better guides
A	yeah than we have
B	so what is this?
D	there's a park for you
B	buzzing
C	it's all happening here
D	over there
B	so are are we getting out?
A	yeah
D	right shall we decide where we're going then?
A	yeah
D	where do you want to go?
A	er well there's the map
D	I know this map's literally just
A	dad said that was the better one
D	I know but this just this doesn't tell you places to go mum we need to know where to go
A	I know but I know but I haven't got the book
D	right well I can't read it
C	this book?
D	whilst we're going around
B	I need a drink
A	get that up full pelt
D	yeah ta yeah
C	I think it's a bit odd to go to the beach if there's no shade don't you?
A	no we were gonna go there at teatime
C	okay
B	can we stop at a gas station and get like a Fanta lemon or something? I'm like
C	course we can
A	yeah
D	we've got to go to
A	where's Tar?
D	we are kind of here and Tar's just like a little bit further on this main road I think dad
C	okay what's there?
D	I don't know
C	okay
B	I'm wearing your socks today
C	are you? that's a shame cos I've I've I've only washed them and I've only got two pairs
C	thinking oh will I have to wash them again before we go home?
C	I've only I've only got two pairs of them full stop
B	I've got some funky socks if you wanna wear them
C	er okay
B	I've got plenty of socks left
C	oh right why have got?
D	so you've just decided to wear
C	why have you got why have you gotta wear mine then?
A	oh
C	why have you gotta wear my sweaty ones?
D	right dad we wanna decide what we're gonna go
C	so what happens at the end then turn left is it
D	yeah
C	okay
D	you could like have that for
A	I think so
D	jesus
B	I wonder if we were cats how many lives we'd have lost
D	all of them
D	what was that? what happened?
A	it's just all the signs up that say I think it's what we drove through
C	Tar here
B	god the sun reflecting off them cars isn't pleasant
C	someone's blooming overtaking down there
D	this idiot overtaking him
B	he looks about ten
C	sorry?
D	I don't know you just said she was talking about it
B	there's a nice house actually on the double garage double garage I'm telling you I need a double garage
B	why have you been bitten?
B	are you still taking those pills for your swelling up thing
A	she
D	does she?
A	I was gonna tell her this is nice here
D	that's the
B	you what?
A	I never tried
B	there's a market there dad oh no it's closed
A	oh there's little places down the back
A	it's just a little town isn't it?
C	do reckon we're there?
C	that's why we're close to the
D	isn't it?
C	there's on a Saturday yeah looks like it's down to the beach now then let's have a look
D	let's have a look
B	fish marked
C	fish market
B	I know but it says fish mark
C	no it's fish market is that open
B	dunno have a look
C	oh closed?
A	I think it's an aquarium isn't it?
B	no it's a it says fish marked
A	well you know like where you could buy fish like tropical fish?
D	no it's eaty fish
B	I think it was eaty fish yeah
C	eaty fish?
B	can I turn these this air con down a little bit? it's really
A	a little bit that's alright
B	oh right I guess I'm I'm in the front but I
D	no but you two have got your fans blowing off so you can turn yours down
A	oh look there's a nice church there to the left
B	where?
B	thanks for that
B	oh
C	oh apartments and whatnot aren't they? yeah there's one could do with that
D	yeah
C	one for sale
A	go back in it looks like we've lost it
B	go back into where? the town?
A	yeah
D	to town
B	the
B	there's a German flag down there
B	I know but it had it had a German flag outside
D	oh right well it's not
B	no I'm not saying that I'm just
D	that would have to be
A	which one? there's
D	this one
B	I'd say these are holiday though
B	I wanted to turn it down but you wouldn't let me
D	you're meant to keep it cool I think
B	yeah
C	nice
A	sorry
C	which one?
B	yeah
A	looks like a tower isn't it?
B	oh it'll probably be a church won't it?
D	why's that looking like
A	yeah
C	wanna go there then do you?
D	I dunno if it's all like a matter of perspective but kind of like the things that we do and
A	well why was?
B	yeah I can't see there being much huge events
B	yeah
D	boring
C	I thought we'd be closer to the sea
D	what here?
C	yeah can't be far away can we?
D	no a couple of miles
A	shall we not just take some more inland
C	inland?
D	what today?
A	yeah you know just
D	we can go to Groznjan cos that's on the way back to the house
A	here
D	it's on the
A	that's a long way isn't it?
D	no probably cos we're here
B	sorry what what's what's there to do in
D	hang on
A	where was it that map?
D	er it was the well the first time we drove through I don't know which way I don't know where we are now
D	I don't know
C	no I'm trying to retrace my steps we'll find it this'll take us back past the church won't it?
A	they're all pretty houses aren't they?
C	right
A	er and then they saw this house and then they thought about it and while they were thinking about it they came back and had another look and it had dropped in price
C	right
A	er so she said four years ago house prices were higher than they are now cos it got this reputation for being the Tuscany of Istria
C	right
D	of Croatia
A	she said Istria
D	oh
B	so why has house prices fallen?
D	someone's feet smell keep getting I can really smell feet
A	I don't know whether it's just that come to fruition you know whether it's not taken off like
D	what hasn't?
A	yeah yeah
C	this was
B	oh dear
D	yeah
C	do you wanna go in this one?
D	why not?
A	was it?
D	we can try yeah
C	dunno well there's no bottles outside so let's do it right?
D	this is definitely homemade
C	yeah
D	yeah there's a big sign
C	find out there's a big sign on the road so we're not coming for a
D	cup of tea
C	cup of tea
B	yeah that's very true
A	so people can pop here from the restaurants can't they? and buy
D	yeah I think that that guy
B	yeah
C	I'm sure
D	was yeah with a bit of a
A	yeah
C	there's nothing behind me is there? okay?
B	I didn't know that
A	it's free
B	I didn't know why it had to have chemicals in to be exported
A	oh look at these what are these
C	it's
A	should have a
C	they should yeah
D	what do you wanna do? it's up to you guys
A	well where did you say shall we go to that Grovinj?
D	you want to go to Groznjan? I need to see the map then where's the map gone guys?
C	how far inland is that?
A	it's here
D	closer back towards home
A	it's here
D	where's the map dad? I had it before
A	did we take it in?
D	have I sat on it? I didn't take it in there we'd know
A	have you got hold of it?
B	sorry have I got hold of what?
D	has anybody got the map in the front guys?
C	don't believe so if you had it in the back back before it'll still be there
A	oh it's there darling
D	do you want to go to
A	yeah
D	so you're basically gonna go back the way you want for home but turn off at Grovnjan dad
C	okay
A	what we're near to Porec now aren't we?
D	yeah bit further south
A	Porec is I can't remember what it looked like what what
D	it was the one that we didn't like we went on the first day and it was dead touristy do you remember?
A	we went on the first day?
D	do you remember? that's
C	I thought it was quite nice it wasn't as nice as the one further south
D	no it wasn't it was the one that we sat in that café where dad was moaning about the carpark and we all said it was
A	I can't remember
D	can't remember? we sat in the
B	do you not
D	the
B	do you not
D	yeah she took like what we paid for our bill as a tip
B	oh yeah well it was alright
A	shall we try that pizzeria tonight that was near home?
D	can do
C	what was that?
D	Alto I thought you wanted to go to the truffly place on our way back tonight
A	is that? I'm I'm lost with where she said things were
D	where we get to the main road you go straight across there's a big truffle banner
A	oh is there? I thought she was telling us about
D	that's what she was telling us about
A	where the lady cooks her homemade
A	pasta?
D	yeah
A	okay
D	erm
B	anyone seen a sign for one of them
A	that was back down there wasn't it?
B	oh was it?
A	cos we went on from there didn't we? to where we got the pork butty
D	where did we get the pork butty?
B	sorry I don't understand what you mean mum
A	from Porec didn't we carry on up the coast of Fortuna and get the?
D	no from Porec we went to Rovinj
A	yeah but on the way
C	Fortuna was that big erm
A	yeah but with that is where we stopped going up the hill isn't it? erm where they had the pork the pig butties that
C	yeah pig butties that
A	yeah I'm not sure why
D	I can
A	have you?
B	do you want
A	well you didn't drink any wine did you?
D	I've drunk loads of water I just feel dead tired I don't think I'd slept well last night cos I was just too hot
A	what does that say on there?
D	I were
B	well I woke up once when you were turning off the air con
D	turning it off yeah it was before then I woke up again at three and put it back on
B	I got woken a couple of times with you moving about but
D	I was drenched in sweat my hair was wet
C	could be anywhere down there then
A	you could drive down there let's have a little look
D	careful this car's doing something
C	where are you going mate?
A	is it just like a fishing place do you think? like a little harbour
D	I think so the water's scummy
C	thereabouts there yeah it's full of scum
B	can you purify any water by boiling it? could you get that water boil it and then it would be safe to drink?
A	sea water?
C	they can do pretty amazing things to water can't they? they have have these used things you can buy that sort of you suck water through this
A	change it into drinking water
B	no but I mean just straight boiling
A	no
C	no
A	you wouldn't get rid of all the salt would you?
B	no I mean like say like the lake that had a bit of scum in it was a bit horrible could you not just
A	yeah if it's fresh water couldn't sea water though
B	yeah
A	so is is the we keep saying that whenever we're in this car er
A	not really
D	not very picturesque really
A	erm
B	oh look at that dog
A	in the water?
B	yeah
A	the beach that she said they go to is that further that's the Novigrad?
D	it's north of Novigrad
A	oh okay so kind of the direction we're going in
D	mm not if we're going to Grovnjan
A	sorry
C	we can have a look at that if you want
D	it's it's like if we go to Groznjan and then back to there we'll be like doing
B	well let's have a look at it now then
C	it's all boats
A	there's nowt here
C	not much to look at looks quite nice from the opposite side don't know
A	I'll get a
B	that was a gate but it's locked
C	yeah
A	bet it says you can only walk though
C	up the hill?
A	yeah it doesn't tell you what's up there
C	no it's er so it's if evacuation in case of fire
A	jump in the water
D	what you chatting on about you?
A	see I saw lots of these that's unusual I saw those when erm let me have a look at it up close that plant
D	it looks like dodgy cotton wool
A	yeah that's
B	yeah it does
A	I saw it when what's he called was driving us here
C	dodgy cotton wool
B	it does look like stained cotton wool I must say
D	mum you're letting the warm in
D	on no mum uh
B	I don't know er checking out the dodgy cotton wool
B	yeah that's a good shout can we leave her? leave her with
D	she's giving me daggers for no reason it was you trying to run her over
A	it looks like it's gonna be soft from here but when you get close up to it it's not at all
B	really?
D	dad
D	I'm glad we've learnt that
B	yeah me too
B	have you got any more
D	yeah where there's loads of cars here you'd think there'd be something here to see
B	yeah
A	maybe people have got boats and gone out or but
D	no these like they're packing up for the beach
C	no I was
D	no
C	see a really really nice beach
B	that's quite a nice boat
C	quite a nice boat
B	oh
A	what was that?
B	what?
A	looks like a quarry doesn't it?
B	I was just about to say that
A	someone swimming out there
B	where?
D	swimming?
B	is it
D	it's kicking up a right fuss
D	she's bloody claimed it
D	this one's got her boobies out
B	what?
D	that's what I said she's a naturist
D	ignore it
D	well there isn't is there? keep it to yourself there's a reason Adam and Eve had fig leaves
D	oh bloody hell here's camper van Joe
B	watch his wing mirrors that stick out like
A	I don't wanna get my finger in it
D	well
A	I'd rather if you'd have pull it out
D	just put your lips in it
B	yeah right
C	just taking us back to that big road I think
A	oh
D	evening watch the sunset from the church terrace in the nearby hill town of Groznjan then have a drink in the shade of the arches of the Venetian loggia
A	will you stop what?
B	he keeps humming and he's going
C	put some music on then
D	mum keeps doing her favourite
A	I don't
A	when?
A	we did it together yesterday for a laugh
D	I know me taking you the Michael out of you
C	better than your singing
D	get off
A	I'm really bad at singing
C	well
A	she's inherited my voice
D	speak for yourself
C	she has no that's not wrong
A	really no no no no no
D	just a little bit
A	no we're driving
C	no not really
D	wouldn't be pleasurable
B	she had a huge bug on her back anyway
D	she had a huge bug?
B	on her back yeah
D	that's not nice either
D	that's what
A	if a bug was on me
D	that's what I thought about
A	when I was cycling
D	that's what I thought about that woman that well woman man lay down in the long grass doing their exercise they'd have had all sorts of creepies crawling all over them
A	it would have put you off tickling your skin wouldn't it?
B	yeah
D	and ticks as well
A	you're obsessed with ticks you
D	well it's it's after I saw that cat it's making me itch now
B	circle round
D	which circle round? that wasn't a circle round
D	it wasn't just a junction?
B	I dunno I do like Audis I must say
C	yeah
D	it looked gross
B	you didn't want to there were flies on it
D	it smelt as well
A	it stunk when you went in there didn't it?
B	there were flies on it
D	it smelt like vinegar and just like horrible meat
C	I wouldn't
A	I didn't
D	where's Vodnjan mum?
A	isn't it's Groznjan
D	no there's another place called Vodnjan
A	I can't look at that map while we're driving
D	returning to Fazana where's Fazana?
A	that's further on I think
D	oh Vodnjan's just there
A	it's further back that way isn't it?
D	yeah it's back where we were near Pula it says it is a charming provincial town
A	do you wanna go and have a look?
D	no it's like an hour away
A	is it?
D	yeah it's look it's down there nearer here
A	oh Pula okay
B	Pula
D	swear to god we've been on this road once
C	well more than once
A	guys we're exploring chill out
B	I'm perfectly chilled I'm just stating a fact
A	put some music on
C	put some music on then
B	no
C	you're not recording it are you?
B	yeah we are
C	oh are we?
B	yes
A	I'm bloody glad we're not
D	are we?
B	we are
A	no we're not
D	no we're not
B	we are look
D	why have you been recording? we've not been speaking?
B	yeah we have been speaking
A	been speaking a lot
C	been speaking a lot don't have to be talking about
A	that olive oil was expensive too did you see how much it was
C	no I
A	about a tenner a litre
C	a tenner a litre?
A	it is a lot
C	how how how much is it that bottle we bought at home? cos it was only I think it was only
A	yeah it was half a litre
C	oh it
D	it wasn't half a litre it was only a little bottle it was probably about two hundred mil
A	it was more than that I'm sure
D	I don't think it was more than that
A	well it's still er
C	I don't really know how you tell the difference between you know
A	I know
C	different qualities to be honest with you
A	well when you buy an olive oil er the darker it is usually the stronger er it tastes
C	right
B	olive oil's olive oil to me I mean you know
C	well people do get a bit anal about it
D	a bit alanal?
A	a bit a bit anal
C	a bit anal about it erm
D	about olive oil?
C	yeah can't be much
D	yeah
A	but if you
D	it's not like you can taste it when you've made a risotto you can taste it it's not a certain olive oil
C	well you say that but then this truffle oil you was gonna make presumably gonna be able to taste that difference I'd have thought
D	I presume
C	so you just plonk it in do you or do you put shavings of it in or what like?
D	you don't plonk the entire truffle in
B	well I think
D	I think I think I think you shave it
A	I think you can
C	did she then plonk it in an
A	no she
A	oh
C	honey honey was it?
