A	the words that people use nowadays are not the same they used
B	yeah
C	so yeah
A	you know that they said that
B	well I think that's true you know
A	to such things like amazing or
C	yeah
A	yeah but the other ones that are really
C	oh
A	though it remains as well in the affirmative but
B	erm
A	people use it all the time for everything
C	profusely?
A	no no no no
C	oh
A	but then you realise that everyone's using it it's just
C	yeah
A	a habit word
C	yeah
B	yeah
C	no
B	the words are changing an awful lot actually aren't they?
A	yeah
B	yeah
A	well
B	an awful lot about computers
C	yeah
A	yes there's a lot of talk about computers
B	and yeah
A	mm
C	yeah
B	mm
C	yeah
B	and that's one thing cos I
C	yeah
B	when they went to the doctor's and
A	well I got this friend who
C	mm
A	but obviously you know that's sort
B	mm
C	yeah
A	and you know they would say hey you must come and visit in the summer and
C	yeah it is innit?
A	and er
B	oh really?
A	alright? and the the chap he he wrote to me and said they'd split up cos I think the kids've grown up they're old enough to face all
B	mm
A	the youngest one must be what? sixteen or seventeen or something like that
B	yeah
A	and er
B	right
A	young divorced bloke
C	yeah
B	like I'm free now
A	that's his all
C	did he?
B	wow
A	yeah
C	wow that's surprising
A	and he said
C	yeah no oh
B	yeah
A	and he said alright and I
C	come and stay yeah
A	you know come and stay for two or three days you know it's like get the
B	right
A	and he sort of said you know okay but he's a doctor right?
C	yeah he must be mustn't he?
A	yeah cos it's still like you know you you'd be putting up with that for twenty years and you go like it's very
C	yeah
A	mm
A	that's again
B	mm
C	yeah where it is?
B	it is isn't it? yeah
A	and and er
C	mm
B	no you did take a
C	no no
B	a a few at the beginning didn't you?
C	at the beginning yeah
A	but it's
C	yeah
A	private health centre they'd care wouldn't they?
C	they would wouldn't they? yeah
A	yeah you don't get these millionaires going around complaining about aches and pains
C	no you don't really
A	cos they've been
B	yeah
A	cos I remember about five years back
C	oh yeah right
A	she's now
C	yeah she must be yeah
A	and
C	yeah
A	a posh play you know
C	yeah
A	and er
B	mm
A	and she was
C	I know
B	yeah
A	how come they could
C	yeah
A	so that she could actually do a play
B	yeah
A	but she
B	mm
A	and the concentration and
B	but she did
C	but
A	you know
C	well poor old woman she had both arthritis she had osteoarthritis and rheumatoid arthritis
A	mm
C	and she every moment she screamed in pain
B	mm
A	oh right
B	yeah they can't be good
C	that wasn't right I mean there was
A	ah they're
B	mm
C	painkillers right and
A	and they're rather addictive aren't they?
C	yeah and one called
B	mm
A	inflammatory yeah
C	and
B	yes
C	and she just went not that many more that was it
B	mm
C	hold on to the tablets
A	er well
B	yeah
A	so you can't
B	yeah can't tell can you?
A	you can't tell if there's one
C	you can't tell
A	there's er
C	no you can't no
A	there's er
B	you can't certainly
C	but I mean
A	there's a structure
C	yeah
A	yeah
C	there was nothing else to
A	I think that's an old folk's tale
C	I think it's a load of rubbish
A	cos that's what
C	yeah
A	ah yeah
C	which means there's nothing else that they could do for you you just sit sit down and wait
C	yeah it probably be alright when you snuff it
A	ah you told me all that I think
C	yeah
B	I haven't claimed it
C	well really a boiler
B	we haven't claimed it
C	right we haven't have we?
B	no
A	I gotta call this one cos they
B	oh yeah
C	yeah?
A	and they said oh since
B	PPI
A	I lost the call case or something like that you're now entitled to PPI repaying it
C	that's it yeah
B	mm
A	I think that home
C	that was yeah
B	mm
A	and I think
C	our
B	yeah
A	who
B	mm
A	but I know loads of people
C	yeah
A	cos that's
B	I don't understand how
A	I don't understand you know I just don't
C	really yeah
A	and they said that they now put another sum of about nine billion aside
C	yeah
A	and where do they get these billions from?
C	ah we don't know where they get them from I mean it's
A	yeah they say this is like
C	yeah
A	billions in it
B	yeah
A	and it's like you know big pay and just that is that all gonna cost me about
C	for the
A	for the
C	yeah yeah
A	whereas they got gold cases
C	yeah claiming it from the other other companies
A	no no no from they have this scheme
A	and got it for compensation
C	yeah
C	well I see yeah
A	on well of course everybody
A	came along claimed this hugely
B	mm
C	yeah
A	someone who might've gone out fishing
B	mm
C	I see
A	just for fun
C	that's it yeah
B	oh dear
A	these clients all got paid out
C	yeah
B	yeah
A	you know to keep it quiet
C	yeah
A	and get to get the money back claim the money back
C	oh my goodness
A	which you think
C	yeah it's fair enough but I mean you know the poor people well I say poor people cheating people that have now spent it all away
A	well exactly I should imagine in that area where that happened there's been a massive booming
C	oh yeah
A	sales and what else
C	oh yeah yeah that's right
A	you know I bet everyone's got a new boat and a new
C	yeah yeah
A	house and a new this and a new car
C	I bet they do yeah
A	mm
C	oh well
B	mm
A	where do you reckon is the
C	oh well I did hear
A	no no this one you'd think about
C	would would you?
A	yeah you would think about it
C	yeah?
A	Exxon?
C	Exxon
A	which is the old Esso
C	that's right yeah
B	yeah
A	they said that their turnover is like
C	wow
A	and you think that
C	yeah
A	then you got China
C	yeah
A	then you probably got Germany
C	yeah
A	oh and then you got Britain
C	yeah
A	then you got France
C	yeah
A	so then the equivalent of France is their annual
C	yeah?
A	yeah they're making
B	mm
A	the
B	ah
A	is just absolutely phenomenal
C	they just
A	turned around and said oh well investing no we won't unless you give us all this stuff
C	well what was that that was was that I don't think that was Exxon
A	nah no no
C	who was that?
A	that was a chemical company
C	that was a chemical company oh okay
A	that was you know
C	yeah
A	been brought up by someone else in China as it's
C	yeah
A	but there's another one in Nigeria did exactly the same thing
B	yeah
A	they don't worry
C	oh they don't care about claiming people do they?
B	mm
C	that's right you know
C	yeah
A	well you might as well
C	well but it's no yeah
A	cos obviously only one thing that I
C	in making more money
A	yeah the only one thing that affect them is about losing money
C	yeah
A	so if you
C	is it?
