A	thank you
B	that's okay
A	you don't
B	no I don't it's just your phone
A	your the phone is there
B	it's just a phone
A	you've also got to do a consent form
B	oh
A	I was hoping you'd say yes
B	oh good god
B	today's date is the twenty-sixth isn't it?
A	yes
B	twenty-sixth of the second
A	yeah so I'm in London a lot this week
B	mm are you?
A	I erm I'm on on Monday and Tuesday as well
B	are you?
A	yeah I've got two interviews
B	ha we'll have to catch up for a cup of tea again then
A	yeah well I'm in both mornings I've got cos what happened was okay so at the beginning of January I got this email well I I emailed this publishing company and they said come in for an interview we're looking for an intern paid intern
B	yeah
A	I went for the interview and they offered me an internship
B	wait where's this?
A	for six weeks this is at
B	yeah
A	okay so which was really good except they wanted me to start
B	mm
A	it was four days before they told me with four days notice they wanted me to start the day I was going to Germany
B	oh god
A	and
B	yeah was it a gift? the trip?
A	well it was
B	oh bless him
A	he kind of was just like paying for everything
B	that's nice nice guy
A	erm I did pay for a few bits but yeah
B	you've got a nice guy there
A	I mean he paid for my flights over and most of the hotels we stayed in and
B	aw bless him
A	every now and again I'd give him a few a few euros but
B	that's sweet he's in my good books
A	yeah he's a good guy so yeah I phoned up and said can I start two weeks later? erm cos it was a six week internship and I said I can do the last fours week you know obviously won't expect payment in the first two weeks I can even take work with me to Germany to do
B	mm
A	if you need me to do reading or anything and they were like oh we'll have to get back to you and three days later they got back to me and they were like I'm really sorry we erm really kind of need someone
B	oh no
A	as soon as and so I had to turn that one down
B	ah
A	which was annoying cos that I'd be finishing that tomorrow that would be my last day tomorrow so that would have been really great it was like two hundred and fifty pounds a week
B	oh that's really nice
A	I know
B	was it full time then?
A	it was only six yeah it was full time for the six weeks I mean it wasn't that great but for an internship it's better than nothing
B	yeah exactly
A	anyway so that was turned down I've been looking for jobs and erm I got this email the other day from this woman that said
B	someone actually just recommended you and you got a call about it
A	I got an email
B	like that is so awesome
A	I know I was like I didn't even apply for it this email I was like oh thank you so much for sending my email on and yeah cos she was like
B	oh oh cool
A	erm and she said do you want to come in on Thursday and meet us and help out with our breakfast meeting erm with Alistair Campbell? and erm I was like sure but then she rang me yesterday and was like actually could you come in on Monday cos we've got Walter Isaacson he's the author of the Steve Jobs biography erm I've never heard of him
B	oh Steve Jobs as in Apple?
A	yeah
B	ah
A	he wrote the biography for him anyway so she was like come and erm you're going to be involved with like the filming of the Q and A and stuff and meeting people at the door and everything
B	yeah
A	and erm just see see if you like us and everything and see if you kind of want to carry on helping us so I guess I'll find out on Monday like all the info like what it's about and whether I want to take it or not
B	it's really that's really quite cool like it might be interesting
A	yeah could be I just really hope it's paid
B	yeah
A	she hasn't mentioned money yet and I didn't want to mention money so
B	yeah
A	erm yeah on on Tuesday also I've got an interview like for an internship but it's unpaid but it's expenses paid so it's like I won't be out of pocket but I'm not going to actually gain any money but at least I won't be losing money
B	you're going to be living at home?
A	I'll have to live at home yeah
B	yeah
A	erm but that's for a digital marketing company
B	yeah
A	in in central London and they said it's kind of they really want to employ someone so she said essentially you know it will be kind of like an extended job interview so if I get that that might be good I know I'll do a few weeks of free work but hopefully if it goes well that could end up being something
B	oh yeah interesting no you and
A	what's yeah what's
B	he well we're not together anymore
A	I heard about that yeah
B	you know that yeah
A	from
B	we're not together anymore but it's been about four months now
A	okay
B	and it's still really really hard
A	oh no
B	cos we tried and we tried and we tried
A	yeah
B	and then yesterday was like the
A	yeah
