A	listen to this
A	offering excellent value
C	seven two five is your budget isn't it?
A	we don't like value with no chain located in a truly beautiful and tranquil location set in grounds of just over an acre and ten minutes' drive from
C	where's
A	a four-bedroomed three bathroom five reception rooms
A	well we need to two for the piano and accoutrements that's far enough away
C	two for the piano
D	it just means downstairs doesn't it?
A	mm love it so we'll view on a map
C	where is
A	south Cheshire south west
D	very close to
C	what does it mean by five reception rooms? it's just a
A	five reception rooms it's probably
C	utility and
A	and other things that we don't want so I'm not going to get over excited
C	yeah erm
A	no you go normally in England you offer below erm
C	oh really?
A	yes so it if you would go up to about say seven fifty or maybe a bit more so that you could come down to seven two five from there
D	I've heard this theory before
A	this is the idea
C	I've not only heard this theory I've actually seen it in action
A	no
C	or is that a decision?
A	that's a definite decision yeah that's right
C	well at least if you live down there you'll keep this house I'll be happy
A	yeah that's right
D	if your piano is of low value and you don't mind how it's moved a man and a van should be okay if your instrument is of value either sentimental or instrumental it is wise to use the correct method of transportation we are working blind using this method of booking so if your piano is of high value and you require specialist mover equipment please make this clear
C	that's you dad in the second category innit?
D	yeah extra charges for stairs and obstacles
C	that's actually a good thing in your house it's probably quite it's quite a dream for a removals company isn't it? cos no no narrow staircases and there's no like weird annoying doors
A	it's it's no no double for the piano it's a double door through to the kitchen and a double door out
C	mm
A	to the garden and then you that's your one step
C	I remember them moving the piano where do I remember that? in Holland maybe from the first to
A	there was one where the the grand piano came
C	upside down
A	on its side on a little trolley
D	a trolley
A	with two little guys in a
C	heart attack
D	little white van
A	I was terrified
D	mm
C	you have get it tuned don't you? straight away I also remember the little piano being replaced by the big piano
A	I know it's funny isn't it?
C	how old was I? I was young I was traumatised
A	yeah you were just a little squidge
C	I remember not enjoying playing the big one for ages
D	oh oh
C	cos we were so used to it
A	such a different feel wasn't it?
C	yeah and also you could just kind of go and hide in that little room and play practice and stuff whereas with the grand piano you have to kind of er
D	can't hide with the grand mm
C	give a performance every time you sit down
D	mm
C	so what's the er what does it look like?
A	it's a bit modern and huge rather than you know cosy and
C	characterful
A	characterful
D	mm
C	erm the one
A	the garden looks stunning
C	mm that's really nice to have
A	and the location is fabulous well I don't know that the location is fabulous
C	I wouldn't want to be that close
A	yeah
C	I mean not because of
A	it's probably half an hour from
C	mm
A	it's a very lovely looking house
C	you should just start going to see things cos you're not going to be able to tell until you kind of start to erm be there in the flesh and respond to the different types of thing
A	no you're right
C	the one that you had a pamphlet of upstairs both of you the favourite one had an amazing kitchen
A	yeah
C	it was absolutely beautiful and that's what I imagine and it had it had an Aga though
A	me too
C	which is lovely sounding but nobody wants to cook on it
A	no but that no but that they you can even have gas and electric Agas now so you don't know until you
C	you don't want to be stoking coal into your oven before you cook your baked potato
A	no no usually if it has erm an Aga
C	I had one in
A	mm no that's right
C	it was a gas Aga though but it was still you know you needed and ancient knowledge of the
A	yeah the wisdom of Agas
C	the wisdom of Agas yeah to get it working I just used the microwave a lot
C	it could be and it couldn't be you know sometimes those are erm
A	nineteen twenties
C	really old
A	arts and crafts country house with spacious accommodation in six acres with beautiful views
C	love mm
A	seven hundred
C	bargain I mean the good thing is that you don't have a have to
A	mm
C	you know you can erm you can downsize
A	mm that's right
C	and have more land or better quality instead
A	what we need is better quality and
C	layout
A	bigger downstairs or a studio or a you know something special that it that was close enough to the house so that we could
C	mm
A	and then have the piano room as a sort of garden room separate that would be my ideal
C	I like the idea as well yeah nice and spread out and the other thing that was nice about that house was the setting the setting was kind of exactly how I imagined your house
A	mm mm
C	it was mature trees all the way round so you have that really secure feeling
A	yes yes that's lovely isn't it?
C	and the lovely garden and the beyond that obviously nice countryside but the you know it was very kind of enclosed
A	mm
C	erm with the trees and stuff it was really pretty
D	well it's given our address as north
A	we are in
C	your address?
D	yeah
C	thought you were
D	erm it's
C	mm
A	no tomorrow they're supposed to go and see the house erm er no sorry they're supposed to have a a survey done on the house
C	mm
A	but I did think we would have got the the papers by now it's quite a major er
C	these estate agents are not the most efficient people I've ever heard of
A	pretty slow aren't they?
C	yeah
A	you have to have like a a general survey
C	general one yeah
A	but then they can chose to have something more detailed
C	mm I can't imagine there's any issues
A	no er oh in fact for their mortgage apparently they had to erm have a
C	certain type done
A	a a survey
C	construction
A	probably yeah
C	just find lots of birds nesting everywhere
A	here?
C	yeah no
A	no no it's been really good
C	excellent
A	but
C	oh yeah?
A	of your home and so on and I was like oh for goodness sake you know as I usually am for dad and his erm I you know
D	I missed that I missed
A	his er free free for nothing bargains
C	mm
A	and the this guy said yes it's free to everybody in Britain the government has decreed it's not means tested
C	cool
A	erm and we were just what were thinking we'd do it ourselves but we needed someone to tell us what to put in there
C	mm
A	and two men came and completely re erm lagged the whole loft both sides and then they but what I was why it reminded was I dad had stuffed cloth into all of the eaves to stop the birds being able to get in
C	mm
A	but they said the eaves were there for
C	mm
A	build-up and so you have let some gaps
C	mm
A	so they'd had had to pull it back from stuffed right in and they recommended like wire mesh
C	to stop the birds from coming in
A	to stop the birds coming in so erm
C	well that's good advice isn't it?
A	but we didn't have any yeah but it was great wasn't it?
C	that's probably a really smart move in their part cos it's all energy efficiency isn't it?
A	that's right that's right that's what it's all about isn't it?
D	so erm I'm just looking and it's about a hundred and fifty the increment in the Edinburgh company's quote for a piano
A	I don't understand that really increment
D	well he he he gave me a price with and without piano and then you add tax and insurance to it so I'm I'm sort of thinking if they can if we get a piano company for four hundred
C	just do it separately
D	do it separately
C	I think that sounds wise as well
A	yeah
D	what do you think? then you'd be sure that
A	you've still then got to have that piano delivered
D	well no they're quoting me prices of four hundredish
A	for the storage
D	for everything removal plus storage
A	nobody's gonna I'm mm I
D	sorry?
A	who is quoting you removal and storage erm three hundred miles?
C	for the just for the piano? do you think that's too low?
A	and and delivery to your new home I'm talking about maybe that's not so remove it from this home store it for six months and deliver it to your new
D	yeah
A	I'm very concerned frankly
C	I like this mentality I know what you mean although if it's three thousand five hundred for the whole house it
A	yeah you'd imagine just the you know we want to hire a van how much was it going to be for us two eejits to hire our own van?
D	hundred and fifty
A	a hundred and fifty this is to hire to van and this is not to remove and store and redeliver
C	mm
D	they've got their own vans they don't have to hire them
A	I know but what I mean is I just want to put it in the context of erm
C	no but if you put it in the context of the whole house
A	it's hardly more
C	that is like you know where what was it? a web quote or was it a phone quote?
D	it it's like a lot of it's sort of an agency
C	mm
D	and you you tell the agency what you want to ask for and they distribute it to all of their
C	oh yeah yeah like a compare dot com almost
D	and then each each one individually sends in a quote
C	ah
D	I've got three for the piano and they're all between four and five hundred
C	well that must be the case then
C	if they understood the
D	and store it in an air-conditioned room then I would
C	agreed take that out of the equation and then get a good deal on the whole
D	prefer that I'd prefer to have that and then take the the best offer for the rest
C	mm and what else do you have
D	bookcases
C	yeah nothing
D	bedside tables coffee tables
C	are you going to bring the big coffee table here mum?
D	everything except the kitchen really
C	the one the the main one no it's too big
A	no
D	you're thinking of bringing the big one here are you?
A	no
D	no
C	would be a bit dominating
A	the little
D	dining table dining chairs
A	the little one the erm one from the gallery is like these sort of oak colour
C	oh yeah yeah I know what you mean mm
A	and erm the little oak
C	yeah the
C	mm alongside the blobby man there
A	the blobby tree
C	Mr Blobby
A	okay I'll just tell you the erm description of this one not the price situated in a highly sought after location a beautifully presented and extensive I haven't looked at it yet detached family home with character and charm throughout
C	mm
A	landscape private gardens paddocks and stables
C	paddocks everyone needs a paddock
D	best buy a few horses
A	double garage studio and home office
C	love
A	situated within three miles of
D	I'm shocked how much this pub features in our reckoning
A	seven miles of
D	I would prefer not to have a paddock actually
A	so would I
C	what is the paddock it's just a field
D	a field for a horse
C	yeah but it's just a field that you could you know trot about in
C	it's just land isn't it?
D	turn it into a cricket pitch
C	you could you could build on it yeah a tennis court of something
D	is that six ninety-nine?
A	mm
C	six ninety-nine nine fifty
C	how many bedrooms? four
A	four
C	four's what you need isn't it? you don't want to be swimming about in a big house either
A	this website is really awkward to use on an I-device
C	yeah I would def go with the computer
D	if you insist on leaving your Ipad in the
A	mm
C	where did you leave it?
C	oh mum
D	least you assume that's where you left it
A	I know that's where I left it
C	I find browsing on the phone is really frustrating
D	have you have you got Find Me on your er
A	mm
D	have you got Find Me on your Iphone?
C	yeah you've got to get the app it beep what
A	it looks quite characterful
C	this SOS signal
A	it could be erm a bang your head on the roof kind of house
C	oh no hate that low beams
D	why? two
A	low beams
C	pokey low beams
A	we just need somebody to hire the paddock from us that's what we need
D	oh it's a business opportunity
A	the conservatory is gross how can you do that to a beautiful house
D	paddock for hire
D	competitive rates
A	it's a bit sort of box like
D	bring your own horse
D	do is your area of your catchment area Cheshire et al still?
A	no I I this is just my erm my original square that they send me houses every now and again
D	but remind me what the square is
A	south er north Shropshire south Cheshire
C	mm
D	oh okay
A	and you know really it's out of date now cos it went up to eight nine five
D	you're very aspirational aren't you?
C	well yeah you don't want to be looking at houses that far above your budget cos it'll be depressing
A	no but at the time when I
C	you didn't know
A	I didn't know any of this
C	it was just wishful thinking
A	we just had a plan
C	and why not
D	where is it? tell me where it is is it near
A	it's near to
A	it's very characterful I'm not sure I like the look of the general house oh bloody A51
A	tell me it's not on the A51?
D	A51 is Whitchurch
A	nobody's mentioned the A51 so far
C	yeah they don't tend to this house is conveniently situated
A	on the A51
C	on a major road
D	you can actually see the M6 from the bedroom window
C	sometimes you do
A	highly sought after location cheek of it
C	well it probably is a highly sought after location I mean it's good if you're communising to be on the A like near a big road isn't it?
A	no you don't nobody calls the A51 highly desirable
C	is it?
A	street view is not available that's cos they couldn't stand on the A51 cos the traffic was whizzing by
A	wondered why it was looking so nice
C	is it literally on the road?
A	it doesn't say so I'll keep going and just get the description of how to get there and it says go down the A51 and Bob'is your uncle
C	you don't need a
D	reminds me of that survey that we had for the for our house and they the comment was erm the gutters were visually inspected from the ground and were found to be satisfactory
C	what does that mean?
A	with binoculars it said
D	so how how much that actually tells you about the state of the gutters I'm not sure
C	not a lot mm I personally would hate to be able to hear a road from my house
A	me too
D	yes
C	that I was retired that is one of the nicest things about this house
D	we're quite strong on the road noise agreement is there
A	that's the that is the
C	it's so unsettling
A	the one thing I won't I
C	yeah
A	in two ways the garden it was too cold but the garden it wasn't enjoyable any more
C	mm
D	there's a slight catch twenty-two of course here
C	mm
D	in order to get to a house you need a road
A	you need a road
C	no there's a road coming to this house as well but do you ever here a road noise?
A	yeah you here the
C	you hear the odd tractor you hear more cows that you do anything else I mean that's what I'm saying you can't here the A sixty what have you whatever it is there
D	no that's true
C	A66 is it?
D	A66 yes that's right
C	erm you know that road noise it's fine even if it's on a little road
D	yeah
C	you know that there's occasionally a car trundling along you just don't want that
D	well okay we're we're we're quite quite erm we're unanimous aren't we?
C	yeah
D	unanimous
A	mm
C	yeah
D	about the road noise
A	absolutely
C	that's erm disturbing the peace isn't it? or water some I mean in a completely different way running water
D	yeah it's an interesting one that what about water?
C	it's slightly different
D	would that be soothing or disturbing
C	well some people really like it but I I think to live there
A	I wouldn't like rushing water I think that's
C	on a river yeah
D	babbling brooks?
A	erm a
C	a little brook
A	a a tiny little brook would be gorgeous
D	slight babbler
A	a little mini babble
C	mini babbler
A	but not a raging torrent
C	I don't like being too close to the sea for that reason
D	ah
A	noisy
C	I find it difficult to sleep
D	the sea well they they give they give our tapes of the sea to relax you
C	I know it's funny well some people really like it but I find if it's constant shh shh shh it's just slightly a restless noise
D	mm I know what you mean
C	but I mean some people yeah they they that's their dream isn't it? there's that house that's on the Eden erm next to
D	yes
C	dam and
A	yes I couldn't cope with that
C	that would be much too
D	the weir
C	er the weir yeah and it's a lovely looking house and I've seen the family erm I don't think they live there but they come there and erm I've always thought erm it must be really hard to sleep there cos it's quite a strong like it's a bit of a waterfall isn't it?
D	right
A	so that was looking quite interesting until I realised in was on the A51
C	well you don't know that you could you should ask
A	I'm pretty sure
D	have you established that it's on the A51
A	I've looked at the view on a map
D	and
A	and
C	that little pin
A	the pin is on the A51
D	is that yellow thing the A51?
A	yes
D	oh my god
A	and so you can zoom in
D	mm
A	and you get tiny little roads then showing
C	mm
A	but not for this house it's gets as if it's further and further away from the A51 there's no road to it
D	oh my God
A	so it's on the A51
D	oh oh
C	not cool
A	so that's nay good
D	dad was showing me the pics from your vacation
A	yes and I he was me too and it they're lovely and but we have to remember to please turn the setting from two photos to every click
C	is that what it's doing?
A	yeah so we it then if you've taken three of the same thing you have to watch it six times
D	get six
C	yeah there was some repetition
A	zooming in and out
C	but I was surprised by the Shropshire photos it was really really pretty
A	it's beautiful isn't it?
C	mm all the purple heather and
A	but that's
C	too far south
D	that was south
A	from where we would need to live
C	yeah that doesn't make sense does it?
D	north Shropshire
C	well it makes sense it's fine
A	the price now makes sense here six nine nine nine fifty
D	six nine nine fifty brackets A51
C	would be eight fifty
D	I wonder whether it makes that much difference
C	I think so yeah
A	oh absolutely huge the number of times you watch a property programme it's huge
C	is it?
A	and they say well I'd really like this house but in a different setting
C	the road thing is a big deal move it mm
A	and they they just say and then it wouldn't be in your budget
C	yeah people have to be realistic don't they?
D	oh my god
A	it's a huge
D	another catch twenty-two
A	that'd be another hundred thou on top if it wasn't on the A51
C	a hundred thousand maybe not that much
A	fifty thousand then big it's big
C	you pay a premium for good location for sure don't you?
A	yeah location is
C	location location location
A	mm no it looked quite nice
C	and I mean people who want to move to the countryside it's precisely what they don't want is to hear a road
A	hear a road
D	a lot of low flying beams
C	I don't like low flying beams
D	have you got to care for my state of my head?
C	I really don't I just it's so not fun
A	no
C	to be ducking and I hit my head all over the place in this house
A	no I agree
D	it is romantic it's romantic having beams everywhere
C	mm briefly
D	but it's
C	I don't necessarily like how it looks if they're too if it's too beamy either like there's an ideal beam ratio
A	no the the a little bit of beamage is nice
C	a little bit of beamage but you know there's some places are a bit overboard aren't they?
D	then you have the faux beams which are just added for show
A	oh no
C	no what's that about?
D	modern modern editions to make it look supposedly older
C	this room
D	he's got a thing about that beam hasn't he?
A	yeah but it does it goes mean there's quite a bit of that room is half is awkward at to say the very least
D	you know when they came they moved the bed
C	this room or that one?
D	your room
C	oh that one yeah you're right it's in a quite an annoying location isn't it?
A	mm
D	when they came they moved the bed to the opposite end of the room
A	no they slept at the opposite end of the bed they couldn't be bothered to move it I don't think
C	what because of the beam?
A	they didn't want to be under it
C	it's not that threatening is it?
A	some
C	bit claustrophobic
A	yeah sleeping under it
C	I don't notice it at all when I sleep
A	I don't notice it but the be where you are you couldn't have two people one each side of the beam you feel like a bit of a barrier
C	hallo
A	but he's right you could
C	yeah it's worth asking
A	if it's not structural or if there's a
C	why would it not be structural why would it be there otherwise?
D	they just put it there for show
A	no it it was how how it was
C	well it's virtually through the middle of the room though isn't it? it's not like near the ceiling it's kind of chest height
A	no but but it's
C	how do you know
A	well because it doesn't come out the other side
C	oh
A	of the of the wall into the hall into the landing
C	mm that's true that's true
A	and so therefore if it's structural it's structural in resting on that wall
C	mm
A	which goes up from the kitchen
C	mm
D	mm
A	so that must be maybe then a load-bearing wall
C	mm
A	maybe they all are in this house and if and if that's true then maybe you can't do anything about it but it's possible you could have it erm tied in some other way with like a metal tie higher up and take the beam out or something like that
C	mm mm
A	you don't know but you could ask a
D	a Shropshire engineer
C	a shrupshrual engineer
A	a ble blah engineer
C	yeah
D	well yeah I don't know that's er I'm not sure that's
C	I mean if you were living here I'd consider it
A	yeah I know
D	this is our little country cottage you know
A	I know I know I know
C	got to have some really irritating
A	the toilet up there is the next major thing
C	I think you've got I think the next major thing is replacing this hideous wall paper
A	no
C	the seventies theme
