A	so there's me and
B	where's my
A	your phone? it's
B	yeah
A	mm? I don't know what you're talking about
A	idiot and erm oh god and
A	and yeah and then and then we were like doing doing ones for each other and we were just like sat there like don't know what to say don't know what to say yeah who?
B	like you
A	like I know no cos I'm fine cos I'll I'll happily like if someone says something like that I'll happily like so whatever erm but I still prefer not to I still prefer not to know stuff just cos I prefer that sort of that life
B	that life?
A	yeah that life
B	that's the life I choose to lead
A	I just prefer I prefer it it's like like so me and
B	mm
A	it just it's just not you know
B	no
A	do you need a tissue?
B	no it's alright I coughed it out
B	what? that's the first sneeze I coughed
A	mm
B	what?
A	mm mm
B	are you taking them away from me?
A	no I was putting them close close to me so I can just grab them
B	yeah away from me
A	I I asked if you wanted one I can give you a whole pack if you want one
B	no
A	oh you
A	you're terrible
B	machine
A	oh machine yeah she texted me oh see what am I supposed to say to that?
B	say erm something like I'm not gonna be speaking today cos my mum told me that I need to
A	no no I don't think she's ready for jokes about it
B	oh that's cheeky
A	no I don't think see this is the thing I have to like pick and choose what I can joke about with
A	yeah exactly
A	yeah and I guess I guess it would be I would and I don't yeah I guess it would be something that you don't really want to be joked about
B	yeah fair enough
A	thank you
B	well she doesn't know what I'm going to say about her so er
A	true true this is why I don't tell people like people will be like
B	is that one of the things that she asks? has anyone said anything about me behind my back? oh that's a good question
A	you are you asking that to me?
B	yeah
A	what do you mean just negative?
B	no
A	no well I don't remember everything
B	I'll have praise as well
A	you can't er
B	everything there's a there's an encyclopaedia of what the
A	what do you? yeah I'm I'm thinking how far we go back
B	I dunno last week
A	last week then no no one's really said anything you just they're in conversation if it's like like someone I don't know if if
B	I find it weird that I I'm talked about it's not obviously not a lot but that I'm talked about at all
B	and I find that weird
A	yeah I know
B	we talk about other people but I I I never think that that people say
A	so do I yeah yeah same
A	cos
B	what?
A	like what have you said about me
B	with all the leaves?
A	yeah and er Poison Ivy that's what she's called I don't she'll be like I've told
B	not really no
A	what have you been saying about me?
B	yeah I told her about you but just your name not really
A	what what have you even said? I know it's like what what would you say then? what do you mean you've told her all about me?
B	I'm gonna meet
A	exactly it's like what would you say? there's nothing to say quite weird I find that weird
B	so what's someone said about me?
A	I don't know there's nothing much there's nothing like I'm trying to think of anything in particular but really
B	a bit? when?
A	er like if if something's like related I'll be like oh
B	mm
A	that would sound weird if you always said like no I don't really know I'm trying to think but there's there's nothing like
B	that's rubbish I hope you're like your machine thing is
A	yeah of course it would be er there's nothing negative that I can think of
B	yeah it's got to be someone stupid to er do that but you know
A	mm
B	it's got to be someone stupid to complain about me in front of you
A	I'll join in what are you talking about?
B	shut it oh god nobody ever done this but
A	I don't talk to anyone who dislikes you so
B	is that a solidarity thing or?
A	mm?
B	is that a solidarity thing?
A	solidarity? what do you mean?
B	like if if someone doesn't like me you're like right I'm not talking to you
A	oh no
B	oh
A	no
B	I think you should adopt that
B	radar
A	yeah I don't really know who you're referring to
B	I
A	I don't think there's nothing in particular there's nothing like big I don't we don't just sit there and like right let's discuss
B	right
A	discuss you in
B	right right I thought you'd never ask
A	yeah no okay wrong person to say really
A	he'd get all these notebooks out I have so much to say about him
B	where shall we start eighth of January?
A	I wrote down
A	just figured you'd take his name
B	I listened to erm Frank Skinner and someone changed their name to erm they don't watch Star Wars and stuff but he said he knew someone once who changed his name to Darth Vader
A	yeah
