A	it's so upsetting
B	fester
A	fester
B	erm
A	to shovel the food?
B	to shovel
A	mm
B	no I've got the fish for next for second dinner
A	mm
A	yeah just tell that you hate her
B	mm
A	right
B	yes
A	mm
B	so when we're both we both have to play the game of just nod and she might stop speaking soon and realise that she's the only one that's been talking in this conversation
A	yeah those people never get the hint though do they?
B	no
A	is she the older one that's got the kids? No
B	no kids
A	mm
B	well no you're thinking of
A	mm
B	she's on team Amy though
A	oh
B	mm
A	mm
B	has gone down to
A	somewhere west
B	somewhere
A	oh right
B	or like
A	but you don't know
B	I don't know
A	right
B	erm I mean I'm the only person that knows that that's the part of her personal development plan to go and work in a cluster cos she just works for
A	mm
B	usually sales managers manage a couple of hotels so she's had a really easy ride of it
A	oh that's interesting
B	yeah
A	no
B	whereas
A	mm
B	so that's how she's ended up being so good
A	mm
B	but she's basically passed it off to everyone else as if they've requested her to go and sort it out
A	she's a nob
B	mm
A	well at least that gets her out your hair for two weeks
B	mm
A	mhm
B	she's been in sales for a year and a half
A	is that it? She's already a sales manager
B	mhm
A	mm
B	her figures aren't high enough
A	mm
B	she's just been fortunate
A	yeah
B	mhm
A	yeah but it still doesn't seem fair though if you're the in a different department and that option isn't available to you and you're working your arse off for little credit
B	mm
A	mm
B	and she's like that
A	bitch
B	I know
A	there's no sense of like unity then is there
B	no
A	yeah fair enough
B	yeah
A	mm
B	and we'll get to it when I get to it
A	mm
B	Cos she just says it
A	mm
B	and we have to put contacts together for her when she should be able to do a contract herself
A	she doesn't want to do it
B	so she doesn't want to do it
A	mm
B	she's just doing it to be
A	mm
B	and that's another thing
A	yeah?
B	Cos
A	what?
B	yeah
A	mm
B	and
A	mm
B	so
A	right
A	she is a douche
B	yeah and she said
A	okay
B	so there's a big massive
A	mm
B	yeah
A	no
A	oh what a nob
B	yeah she's so  she's so  bad
A	mm
B	and it works for her career like being that type of person is great for sales
A	mhm
B	Cos you pass the buck
A	yeah yeah
B	but I just can't understand how you could be that awful
A	mm
B	yeah
A	you couldn't pay me enough
B	yep
A	mm mm
B	I just thought of something
A	what did you think of?
B	I wonder if there's some type of sexy underwear
A	oh where can we get that from?
B	from
A	mm
B	and you even if you could see it
A	mm
B	yeah I love birthday shopping
A	have a little drink somewhere
B	yeah
A	shopping and drinking
B	always a winner
A	and birthday
B	I really want to open my ring
A	oh how exciting
B	yeah
B	it nearly got opened
A	but it will be here for Saturday
B	yeah
A	are you going to just wear it for best
B	no
A	no
B	I want to wear it all the time but I can't wear it for work
A	mm
B	it's to go here
A	okay
B	and it will go next to the gold band
A	mm
B	yeah I really want it
A	lovely
B	and this one was for eighteenth and this one was for Christmas of twenty first and that one's for the twenty fifth
A	perfect
B	yep
A	go Dad
B	yeah
B	like the clasps are on show and they shouldn't be and it's not finished perfectly
A	mm
B	it's really nice
A	you never get what sorry?
B	the stone it's lapis lazuli
A	mm
B	which is why this is a er sapphire
A	not amber
B	they do it with
B	really
A	yeah
B	bloody buggers
A	but then  but then  it would be just your own
B	of secret wonderfulness
A	that everyone would be really jealous by
B	erm
A	yourself
B	that's fine by me
A	that's more than enough
B	that's enough people for me to
A	yeah
B	Cos I I mean I sound like I don't like being around people
A	yeah
B	it's just that I always hate it when you have to herd people around
A	yeah
B	if someone goes to the toilet and then three people go to the toilet and there's four of you stood and whereas if it was a small group then you would be with people the whole time
A	yeah
B	so I think I'll text
A	yeah
B	and
A	yeah cos I thought you weren't going to invite any of them cos then at least that's safe
B	yeah
A	well if you're going to invite any of them then yeah
B	yeah
A	it's a tough one though because you shouldn't
B	yeah I mean if it was just her then fine but she doesn't go anywhere on her own
A	yeah
B	yeah yeah he's nice
A	really? Is that because she's never really liked it or she's just got old?
B	just got old
A	naff off
B	in fact what I might do is maybe tomorrow at work say we're gonna go out on Saturday
A	yeah
B	we're gonna probably have some drinks at the hotel first
A	yeah
B	and then at least no one feels like they have to
A	yeah
B	mm
A	Cos if we were
B	yeah and we can start the
A	and we can
B	yes and do the nails
A	yeah do the nails
A	mm all that stuff
B	yeah
A	Cos it's your birthday
B	I don't think
A	baby
B	I don't know
A	is she going to come?
B	I don't know
A	yeah absolutely
B	oh no I forgot about this devil lettuce
B	I mean it is dying now I must admit it's on it's last legs
A	it's a risky business
B	the lettuce of death
A	erm
B	what time do you think is appropriate time?
A	be at the hotel for seven do you think? It depends if you want to eat
B	yea I was going to say
A	no
B	Cos I I'm I'm not really one for like eating and then drinking cos then I'll feel full and I'll feel flat
A	it depends what time you go out
B	yeah
A	make a little buffet
B	yeah with the Italian hams
A	and prawns with chilli sauce
B	and prawns with chilli sauce
A	Cos I have prawns and we can  we can  get the chilli sauce cos we have chilli
B	we can make a good chilli sauce or buy the chilli sauce
A	mm
B	or leave here at seven say
A	yeah
B	come around if you want to or meet us there
A	yeah
B	yeah
A	Cos that's the thing
B	yeah
A	yes
B	obviously erm
A	that will need to happen
B	it's that I I want to be able to enjoy having a drink
A	mm
B	nail painting
A	ah
B	I mean I don't know how you do that because I just was picking my nail polish off and that happened by accident
A	right
B	but erm you know
A	we could  we could we could  attempt
B	guides
