A	alright beer
B	yes
A	what do you think of the pink swirly patterned upholstery fabric?
B	again it could be nineties can I see the actual picture to see what the pattern is?
A	yes
B	did see
A	yes and I agree
B	different fabrics or all-in-one?
A	erm
B	no I'm not saying that
A	but you think the pink is too nineties do you?
B	I don't know it depends what the actual pattern is
A	is this switched on?
B	it is now
A	well you can see the pattern from that oh
B	whoops it isn't now it's normally you that does that isn't it darling?
A	it's very annoying will you get the right one?
B	you smell nice
A	well I've got my period
B	well I came out of that quite
A	lightly?
B	lightly like having my mum here probably helps settle you don't a bit
A	mm my sister set me off though
B	no
A	well if it's a no then we've only got a few days to email all the councillors about it
B	and do what?
A	tell them we don't think they should knock it down
B	no I mean what do they want to do there? to it?
A	they want to maintain the façade
B	oh
A	but build at the back of it knock everything else down and it's gonna be a sort of modern glass building
B	oh
A	er improved libraries and leisure facilities so they say
B	sounds that's not too bad
A	but it's a nice building
B	look darling the Independent's gone under
A	that was sudden when did that happen? now?
B	do you remember when it launched?
A	yeah it was nineties wasn't it? or was it eighties?
B	they're not gonna print it any more
A	oh
B	meow
A	I think that must be the same for all papers isn't it?
B	mm
B	you said you had yes are you going to make supper darling?
A	no oh did you bring chips?
B	yes
A	well I'll put the chips on
B	what was that darling?
B	you don't approve of chips?
A	was that a little grunt? that was a grunt wasn't it
B	chips are boring
A	right this
B	yeah I think that's alright then
A	well it's a shame to knock down
B	what's gonna be in it?
A	one of the decent buildings though isn't it?
B	it's not the decent building
A	it is a decent building
B	but that front bit they're keeping you said
A	yeah only the façade
B	it's a weird building inside cos the library is only a little the front two rooms and you can't even go through to the upstairs can you?
A	but apparently there's a gym but I dunno where that is exactly
B	yeah that's behind it that's where I erm play badminton
A	mm is it a separate building or the same building?
B	it's a separate building
A	but it seems like a huge building so what are the other rooms?
B	maybe they're joining it all up
A	well
B	I don't know what's behind other than the other than the main building
A	right so not
B	corrugated steel
A	the old
B	yeah like I said it's just like
A	yeah cos they're gonna that's what they're I mean there might be good things that would come out of it that's what they're hoping to improve
B	well yes
A	the thing is you need to read erm don't let that unplug again
B	local matters for local people
A	yeah you need to read all the comments so you've got some knowledge on it
A	but they're voting on it on Wednesday so our chance is
B	wow it would be cool though to have a contemporary gym and leisure centre there
A	I've not read all those but there's not enough information about what's actually going to be in it it just depends if they've actually what's in the thing? I mean yeah but if you think in thirty years' time are we gonna still like the building? or are we gonna wish to have the old building back? cos they don't really age very well do they? the older buildings Victorian and Georgian buildings age very well well they all look lovely don't they? I'm not just being nostalgic
B	oh look I know that building
A	is that a façade joke that he's talking about?
B	no that's they really did that
A	what? the
B	just preserved that
A	that's the
B	and then built that thing behind it
A	but there's no windows in it
B	no they just had to legally preserve that bit so that's what they did
A	why didn't they put windows in it though?
B	it's just by erm it's in
A	the building that's weird
B	it's horrible it
A	oh my god
A	they're not just going over the top of it like that
B	oh god that's
A	well the thing is now's our chance to stop more ugliness from occurring
B	yeah
A	knocked it down
B	look at this dear
A	so but this is happening now this is what
B	this is called when façades go wrong
A	yeah
B	yeah that just drowns
A	er hugely drowning it out?
B	two feet away
A	oh god
B	it's weird that's one of the most stupidest buildings it won the Carbuncle Cup
A	yeah well
B	what was the other one that I don't know about?
A	I don't know but they have got two
B	I wonder what the first one would have been oh
B	there's a link on there on Facebook
A	yeah
B	the
B	called it's where I play badminton
A	that's right
B	shame because I was sort of planning to work there one day wasn't I?
A	well it would still be there
B	good point maybe
A	and maybe bigger
B	with more jobs
A	no you can't get into it you've tried
B	yes I've tried
A	I was going to let you give up on that one
B	we got let home half an hour early today because it wasn't very busy
A	oh is that bad?
B	well it's good leadership skills
A	oh who who being leader?
B	the boss oh look at that
A	we've seen that loads of times
B	oh sorry
A	oh
B	oh no
A	I want to read all those comments
B	just horrible
A	and there you go and all the email addresses are on there so what do you think
B	is it
B	erm
A	I don't think that is him actually
B	no it's
A	well erm
A	well if you want to object we can do so it's not a formal objection it's just sort of writing to the councillors hello darling has he had supper now?
B	yeah
A	there is that better? you got something in your tummy now is that better? yes
A	oh people just think that the medical profession should be like gods mm
B	thing is that's the old this building here was the old gym
A	right
B	it wasn't even part of this block
A	yeah
B	that's the police station
A	yep
B	it's got the badminton courts
A	has it?
B	the squash court's just shit
A	no that's in the old one
B	who cares about squash?
A	but what's in the new one?
