A	but the lovely thing about that programme was it just I find it a joyous programme
B	yeah I thought it was great
A	but
B	do you want your from your coffee in there cos he's
A	erm erm okay
A	no he's not
B	listening to his bears
A	erm
A	mm
B	that's very hot
A	that's alright it's not too hot
B	yeah
A	erm you know? but
B	yeah
A	but erm
B	yeah
A	mm erm I mean he knows his numbers for instance so when he goes to school he'll just
B	yeah
A	he'll he'll just know his numbers
B	yeah
A	erm and er and the er he might be sort of bored at that sort of stage but er not really cos he loves numbers
B	yeah he's actually still
A	mm
B	not bored with
A	mm
B	going through any
A	yeah
B	numbers of the
A	mm
B	he'll still go through the alphabet in a way that I think surely now like a year on he's been going
A	yeah yeah
B	through the alphabet for at least a year and he's done it for a year but he still
A	yes yes he
A	mm
B	go through and say there's one thing that does my head in a little bit so I don't watch it but it's a er and then it goes ant but er and it's got this annoying music
A	mm
B	but he'll still he'll be riveted to that in a way that
B	he won't if there's a Danger Mouse or something
A	mm right yeah
B	or or like a story on the TV that he doesn't know before where he just just won't be interested
B	like and going through it again
A	yeah yeah yeah
B	the alphabet again
A	mm yeah
B	there's er the other group this well mostly American
A	mm
B	er that I've seen as well and they call did I tell you they call it they've got a name for it but it's not actually an official name for things similar to
A	and what do
B	they call it hyper hyperlexia
A	oh
B	er it's like or say the Einstein syndrome or whatever
A	right right
B	kids who er speak
B	quite late but read and are are really obsessed
A	mm
B	by numbers and letters
A	mm
B	like him
A	mm
A	er I think er and there is that little bit in him you can I mean people actually sort of think oh little genius or
B	yeah
A	er
B	it's not that
A	mm
B	there's er bits in there about how people are coping with school or later on
A	right yeah
B	because that's what I find most interesting that how some of them were saying that they were having real problems with the school because they were erm labelling them as erm like lazy or all sorts of other things because they were doing stuff that
A	yeah
B	they already knew or
A	mm mm mm
B	they would gaze out the window or they're one of them had their kids chucked out because they didn't or but then
A	mm
B	other kids have said their schools other people have said they've said nothing to the school and that they've picked up on it and they've been fine and other people have said
A	mm mm
B	that they've said something and they thought they were a precocious parent who were like picking up their
A	mm
B	like a really
A	normal schools deal with normality
B	yeah
A	mm and if you get as there are quite a few of them around erm teachers who actually go with the kid you know
B	mm
A	who can actually especially in the infant bit
B	yeah
A	erm who can go with how how how they are learning how they are doing it erm what they can't really cope with are children who are too destructive in class
B	yeah
A	erm but erm they because you can't really you can't stop everything erm there's got to be a certain conformity erm like
B	yeah
A	mm
A	right
B	so everybody sends their kids to the Irish-
A	right right
B	speaking Irish I thought
A	mm
B	and if he had to learn that all again
A	so would
B	yeah
