A	tablet case or
B	yeah yeah yeah yeah
A	phone case but still be able to prop it up my
B	yes
A	and my current tablet's in a huge great case which has a a swirly so that I can I can do it landscape or portrait
B	yes
A	cos I watch videos read through the
B	mm mm
A	but the the the case is it it's huge and annoying and heavy and it makes it more difficult to carry the tablet around and kind of defeats the object of it being small and light
B	well exactly
A	erm
B	mm
A	but if you want a
B	mm
A	it just doesn't work
C	mm
A	so
C	so that's how you get round that problem
A	yes
C	fantastic idea
A	it and
C	cos er I find that so annoying myself
B	I love this stuff
C	as well I I
A	you can sit
C	yeah you can sit it up like that
B	sit with your Kindle
C	yeah
D	oh oh
C	that's that's lovely
D	oh
A	and it's just
D	so why didn't you tell me
C	yeah
D	about one of these? my eyes my hands go
C	because I'm always doing this
B	thought of you see
C	oh
D	well thank you darling
B	she she brought two of them
D	ah
B	there you go
B	that's right
A	you see I was waiting for it
C	well
B	well why didn't I think of
B	cos I I love it because it's so simple isn't it?
D	mm
A	yes it's
B	just
A	it's it's really nice I've seen some others but the the the thing I really liked about that one is because it's erm er the er the bits are aluminium
C	yeah
B	yes
A	so it's got a little bit more
C	that's that's right
A	robust
C	yeah
B	yeah yeah rather than the their brittle plastic stuff
A	yeah I mean it's plastic round the edges but it's
B	what's er what's the brand? night
A	Nite Ize
B	Nite Ize Nite Ize
A	they predominantly do erm hiking gear so
C	oh right
A	torches and
C	do they?
A	er erm erm erm just random stuff things like erm carabiners for putting your keys on
C	oh yeah
B	yeah okay
C	yeah yeah
A	so I I mean I use them I I I've bought them bought all sorts of stuff from them
C	yeah
A	prior to this
B	then you just
A	but I happened to see that and went
C	that's brilliant
A	that's what I need I need that
C	yeah
A	erm
B	brilliant
A	and I I could find them and they were all er ten pounds a shot and it was like oh mm and I can't get them out here easily and all of that
C	yeah
A	and I happened to er go and look erm and Blacks had a sale on and they were a fiver
C	oh wow
A	and I went
C	so you got
A	I'll get two
B	there you go
B	so if we go to Blacks if
C	but the so
B	see if we can find mm
C	that's good to know
B	mm
C	I might order some and get some when I go over to England
A	yeah they
B	for sure
B	yeah
C	that place
A	truly amazingly good thing and
C	yeah
A	I'm I'm really pleased with it because yeah just occasionally you wanna sit on a and and you've got
C	you do
A	you've got a table and you've got a drink and
C	yeah
A	you you don't want to have another hand
B	you don't want to
C	yeah
B	use your other hand
A	yeah
B	that's a common problem isn't it?
A	and
B	yeah
A	the thing I found erm
C	yeah
A	the tablet because
C	okay
A	because it's easier than
B	mm
A	PDFs are a pain in the neck
C	yeah
A	erm and there I am with my laptop and I've got a book or three
C	yeah
A	erm
C	I know what you mean like when you're studying or something
A	yeah absolutely
C	yeah
A	I mean I
C	yeah
A	I spent
C	yeah
A	the the whole of last year writing a blooming dissertation
C	yeah
C	yeah yeah
A	so you you you end up under just piles of paper and
C	yeah
A	what you want is the
C	yeah
A	next to your monitor otherwise it's just gonna get lost
A	so yes
C	I reckon you could probably lie in bed and just sort of about you know rest it there
D	yeah
A	well
D	yeah
A	I could if I have to
C	you know you could have your little cup of
A	come and sit there
C	there you go
B	there you go
C	though you could have your cup of cocoa and you would have one hand free cos I find
D	yes
C	when I'm reading in bed with the Ipad er and then it starts going
D	and then yeah and then you have to
D	turn the page and you er
C	and it
A	yeah
C	should is there a way of stopping it from doing that? you know if you're lying down and you you go to get some water
A	and it
C	and you go that way and go
A	it doesn't automatic erm
C	it doesn't
A	depending on which app you're using erm
C	Kindle
A	if you're using the Kindle app for Android erm when you hold it er you'll find there's a little lock icon that appears in the corner if you
C	oh
A	hit that it will lock it to whichever orientation you are currently using
C	oh brilliant
B	you can do it erm the same on your Ipad
A	erm
B	and you just have to go on the settings
A	yeah I imagine
C	okay
A	the Kindle app
C	yeah
A	for
C	yeah
B	and just
C	but erm
B	you need to go to settings
A	yeah
C	okay
A	erm it's
C	that's it
A	erm yes absolutely
C	yeah
A	and there is also there there should also be a a a mm a a an option somewhere in the menu that will allow you to do that for the whole thing so
C	okay
A	it doesn't auto rotate at all
C	yeah yeah
B	mm
C	yeah
A	erm which can be useful if
A	and it's just moving
A	yes
C	and it's like
A	absolutely
C	excellent
A	so yes
C	right let me just check this is recording okay erm
D	which country has most influenced my language? or or oh I get
A	Britain
D	well yes that's
B	how many years have you lived in Britain?
D	erm
A	many
D	erm
B	half your life?
D	fifty
B	yeah
D	fifty years
B	okay
A	yeah
D	yeah
B	the second half
D	yeah well er less than if you take out the the years I've lived here
C	yeah
B	yes
C	yeah
D	because
C	fifty years
D	I moved there
C	yeah
D	when I was eighteen
C	yeah yeah
D	mm
B	the so
D	so
C	yeah so
D	I moved there
C	it's a big big influence
B	yeah yeah yeah
D	the most yeah
C	yeah massive
D	but they do say that the the the the the most formative years of your speech and language development and the accents you adopt is to five years
B	mm
D	or seven
A	seven
C	is
D	seven
C	is that? oh
A	yes
D	yes
A	you form most of your vowel sounds by the time you're seven
D	yeah
A	erm and particularly for men they never lose them
D	yes
A	women because they if they move into different communities will speak more with people outside their community
C	right
A	erm will often lose their
C	yes
A	and only pick them up
C	that's what's happened to me yeah
A	yes
D	yes
C	my vowel sounds
D	well women
C	that Australian accent
D	women tend to be copycats anyway
C	yes
D	so you
A	yes
D	imitate they they imitate
A	and
C	yeah
D	yeah
A	absolutely and erm so because it's it's all it's predominantly about vowel sounds
C	right yeah yeah yeah
A	to get the accent
C	yeah
A	erm you you find that er women will will blend in
C	mm
A	whereas men will will stay
C	will stand out
A	stand out much longer
C	yeah
A	certainly
C	yeah yeah
A	erm
C	that's interesting
A	it is
C	yeah
A	isn't it? I mean
C	yeah
A	and of course it's it's also the there's a very the the gender is predominantly because men will be with one particular community because they'll go to work
C	mm
A	whereas women will have to be will generally
C	yeah
A	because they're going into the community they're doing shopping
C	shopping
A	they're looking after kids
C	childcare
A	they're doing
C	yeah that's it
A	all of that
C	yeah yeah
A	and so I think er it'll be interesting to see as those roles change whether that changes the way that
C	true with men
A	erm with people accents
C	if those males' vowels will change
A	yeah
C	or whether they can imitate yeah that's interesting
A	so yes
C	yeah
A	mm
C	yeah
B	wow
