B	isn't she?
A	no
B	isn't she happy at all or why? is it school or?
A	well she's had mock exams
C	that's early isn't it?
A	well not it is five months away before they take the exam
B	is it?
C	yeah
A	cos she's you've done your you've done your fourteen weeks
B	yeah
A	right? and then you'll have
C	mm
A	and as soon as Easter comes it's well a couple of weeks and you're into May and you're taking exams
B	yeah
A	AS level exams etcetera
B	well yeah
A	in the
B	ain't she? and that's what she wants to do
A	I don't know she's not
C	can she change it?
A	no not really not now she can't
C	mm?
A	not now cos it's too late
C	well it's only just one term isn't it?
A	yeah but that's a lot of work at AS level when you've
C	yeah yeah
A	it's not like your normal you know
B	I mean is it she doesn't like the work or she doesn't?
A	she er she's not she's
B	yeah
C	mm
A	you know they do they do seem to be arguing more at the moment
B	what
B	oh is she?
A	because she's a bit outspoken
B	what
A	about things
B	yeah
A	she's a bit outspoken
B	all on Twitter?
A	yeah all on Twitter and I saw it
B	she knows you can see things she knows you're following her though don't she?
C	oh God
A	yeah and she I mean I'm you know and it and it and it well it and it was a rant from the point of view when I when you see it you think well what the hell's going on? but I asked
B	oh right
A	okay that's what it that's what it says
B	yeah
A	can't believe that I can't eat a yoghurt in the lounge
B	not the cats and dogs?
A	not the cats and dogs right? and then it was and the cat sprays up the cupboard
C	oh
A	and I'm getting moaned at because I'm eating a yoghurt in the lounge
C	right
B	oh I see yes
A	alright?
B	but she's saying it on Twitter?
A	this was all on this was all on Twitter right? and then there was something else and then it was that's it rant over
A	right so that's what it's that's what she put
C	no well that's
A	so I thought what the heck is
C	no
A	so
C	right
B	oh right
A	and
B	on the lid
A	on the lid could drip onto the sofa it's not that easy to get off
B	no it isn't when you think
C	no
B	cos that that in in actual fact it'll take take the colour out of the thing
C	yeah it does sometimes
B	you know it's like a bleach isn't it?
C	mm
A	you know? so you could when you know the context of it
B	yeah
A	it wasn't a problem
C	mm
A	and and
B	oh did they?
A	they came on Saturday
B	yeah? oh
C	yeah?
A	and they stayed over
B	did they see you?
B	did they? oh that was nice
C	oh
B	yeah
A	well
A	right? so of course that had caused a problem that had caused a problem when they got back which meant that
B	yeah
B	yeah
A	at the post office
B	is she?
C	is she?
B	oh right
A	well up until Christmas Eve
B	yeah
C	yeah
A	she's got a job there doing that so she's working nights etcetera
C	yeah
B	yeah
A	and it's like okay
A	so and then Friday Friday night
B	on the Friday?
C	mm
A	on Friday night
B	oh crikey yeah
A	and I went okay that's alright and then I'm thinking how is she gonna get home cos oh she only lives in the village but walking from mine to where the Methodist church is cos that's where she lives
B	yeah
A	and I and I was tired and I didn't really wanna have to wait up and take her home
B	no
A	but
B	yeah
A	I've got no problem with that
B	yeah
C	mm
A	so I went into the kitchen around about quarter to eleven
B	oh right
A	her mum's picking her up I said oh okay so so I thought well at least I can go to bed and it's not a problem
B	yeah
A	I can go to bed
B	yeah
C	oh
A	came to pick her up
B	huh
A	and you know and
B	yeah
A	and I don't mind and I don't mind
B	yeah
A	and over the last couple of months she has had people round cos
B	yeah yeah
A	you know which is which is which is nice for her erm so I thought and this Friday
B	oh crikey
B	oh
C	that's devious
A	it's devious not booked the tables yet
C	no
A	and I went oh
C	okay
A	but it's this Friday
C	that could be a problem
A	it's this Friday not booked the tables Christmas meal etcetera
C	yeah
A	and this could be interesting
A	stupidly interesting and I said oh okay I'm sure
B	yeah
A	and she said yeah a table's booked for seven thirty we're getting there at seven
B	oh right
C	oh right
A	so that was that was that was alright
C	that was good
A	that was alright but
B	oh
A	alright? so somehow it will all fit in it will all fit in and it won't be a problem but I've got to get
B	ouch
C	mm
A	well that's quite that's relatively straightforward
B	well yeah you've only got to keep going ain't you?
A	you know?
B	yeah
A	so I'm going to
B	down at the
A	and then
B	over the road
A	I can go across
B	that's right
A	through
B	that is very yeah
A	but it's one way so or I could go through
B	yeah
A	so well you know it won't be
B	yeah
A	and that's sorted and then on the way back we'll pick up
B	yeah
C	mm
A	do that so
B	very nice a lovely time of the year isn't it? and a lovely age for
C	yeah
C	so mm
A	and then
C	oh
B	right where?
A	in the city
B	at the forum?
A	with a group of friends no
C	oh right
A	erm he's he's going and er
C	ah yeah
B	yeah
C	gosh it's busy isn't it?
A	yeah
C	yeah
A	I mustn't be like that I said to them I said we've got to go into the city on Sunday I said I need to go into the city on Sunday cos I need to do get some Christmas presents and things and they went early? and I went yeah early
A	cos I wanna be in and out as quickly as I can
C	mm
B	that'll be terrible down there
A	yeah
B	yeah
C	yeah
A	cos I really haven't done anything
C	that's so mean
B	huh I've got to do mine yet and I don't know what I'm gonna get
C	mm
A	so are mine
B	there's no flowers in the gardens about any more is there?
C	no there are a few
A	yeah weekends and things like that
C	okay
B	she won't get none of that no flowers from me not after the last fiasco
C	oh gosh
B	bringing flowers home and they said what garden did you pick them out of?
A	well I think I'd say that
C	you wouldn't
A	I think I would have said that
B	I got them on the market
C	no you didn't
B	where did I get them from?
C	erm at the place at
B	oh yeah that little shop at
C	whose shop?
B	yeah
A	yeah the shop
C	it was on like the side of the road you told me
B	well it probably was I can't remember it's about six year ten years ago now when the kids were
C	yes it is so why are you keep going on about it?
B	because it's
A	because it's because it's only time
B	yeah
A	I've never brought you flowers so therefore it's embedded
B	and she ain't getting no more
A	just ungrateful wasn't it?
C	I only smiled I smiled it's the girls that said about
C	but I didn't
B	you did that's a bit of a giggle really ain't it? but that's it
A	I mean come on I'm not being funny
B	well next time she'll get a flower pot and a packet of seeds
A	yeah but she wouldn't she you know
B	they were half price
C	but I think they were thirty pence weren't they?
B	yeah
C	yeah thirty pence they were
B	no fifty pence
C	alright fifty sorry
B	come on
C	a bunch of anemones er no erm
A	chrysanths
C	oh asters
A	asters
B	they were lovely asters one of my favourite flowers
B	yes
C	you didn't have to tell me how much they cost either
B	and you didn't have to guess
C	god
A	that's cos you left price on
C	yes
B	I think there was two bunches in that lot cos I picked the colours out never again
B	that was
C	probably yeah
B	what garden did you nick them out of she said
A	yeah but that's something you would come out with
B	that's beside the point I trained her right ain't I
A	you see that's something you'd come out with
C	true
B	true
C	yeah when we
B	so I've only got myself to blame for
C	we had some pictures back down tonight and she
B	oh yeah to the Nutcracker
C	ballet
B	the ballet
C	and erm oh it's lovely
B	she's sitting with one of the ballet women
C	yeah
C	yeah
B	and one of the stage hands
A	ah
C	yeah it's this girl treat out
B	yeah yeah and they they keep sending us some lovely pictures I mean
C	mm
B	and I've got we got a card from her this morning didn't we?
C	yeah at the same time
B	from her and it said er hope the beer's alright looking forward to the beer and I took the handle off of the beer barrel
A	what the tap or the handle?
B	the tap that broke the tap handle
C	mm
A	so what's happened to all the beer?
B	well I had to go and get my Stillsons and shift and close it up and then I had to drill a hole through the top of the tap and put a little bit of wire through it so I could use the wire and switch it on like that turn it on with the wire and then I'll have to buy a new tap when when we get rid of the beer
