A	button start recording okay that's started recording
B	well I was so shocked actually er and baffled because erm the point is that many people die because they feel too embarrassed to go to their doctor and use words like vagina or vulva and er and obviously the earlier you can get get cancers the better and this thing to tie in with this project cos it's also a language issue so it just seems a rather nice tie-up to do
A	yeah
B	erm so interestingly thinking about language erm you know er it's I suppose to use words the ones er where the synonyms for them are are kind of off-putting and rather horrible and and their clinical terms sound clinical so er so just isn't a kind of nice word is there? erm so vagina or vulva that's it you you might feel comfortable with erm the kind of the slang would be possibly derogatory
A	no and then when you go and see the doctor and they say I'm afraid I'm gonna have to stick my finger up your back passage
B	yeah
A	and you sort of think oh
A	that's a bit weird as well and the the doctor using kind of baby language or something
B	yeah yeah exactly I mean the language that doctors use I have actually interestingly found erm that the language they use to you is quite subtly different to the language that they write to your GP
A	mm
B	so sometimes erm I have the consultation with the oncologist and I think I I've got it what she said and then when I get the copy of the letter to the doctor I find that the language is slightly different and actually the meaning is slightly different as well which is quite interesting
A	yeah
B	and so perhaps they also recoil at using words like that
A	and a lot of them are young women as well
B	they are yes exactly I mean my oncologist is
A	mm
B	erm and er yeah that that's kind of odd isn't it? and so how does one get people
A	yeah
B	which
A	well perhaps actually if these young women don't know can't point to a picture of what is what when they're shown a diagram then perhaps the doctors aren't using the proper language because they
B	yeah true
A	understand it
B	yeah
A	and er but they I mean if I was a doctor I would probably assume that it was the ladies of sixty-seventy-eighty that that didn't use those words or didn't like those words or didn't understand what those words referred to and that it would actually conversely be the younger women who
B	yeah
A	given a diagram
B	exactly
A	but actually it seems to be the younger women who are having the difficulty and is that because biology is optional at school these days? I mean what what is that about?
B	I really don't know it's
A	mm it's just a huge gap
B	that we're more squeamish or whether people of an older age were just more down-to-earth about their bodies or
A	I don't know but that cos at first I thought okay they said women in erm a particular age group which was er what age group was it? erm
B	no
A	so erm but we
B	yeah and also I mean the the other surprising thing anyway is that you know it was meant to be like cancer was the sort of big unmentionable subject in
A	yeah
B	those days
A	yeah
B	and actually it's mentioned all the time now
A	yeah
B	and so it's not the big unmentionable subject but perhaps conversely because it is mentioned so much people are maybe more frightened of it than they were before I don't know because you you just read so much stuff about it
A	yeah
B	erm it's it's just a very strange
A	I mean the other thing that strikes me in that that really depresses me is that when you hear stories about young people and sex and pregnancy it still seems to be the case that girls aren't enjoying sex particularly they're doing sex cos boys want it
B	yeah
A	and you just think after all these years of effort about sex education and liberation of women and you've still got a situation in which young women are missing out in this
B	I don't know but I mean I suppose aligned with that is all the other pressure on women to look perfect and
A	mm
B	looking up the sort of airbrushed models of perfection all the time and maybe there's something about body image in that erm that perhaps we didn't used to have you know
A	well people are having plastic surgery now in their
B	yeah well exactly so that sort of erm I mean it and it's sort of ironic isn't it? that kind of the likes of you who have been mauled over by major surgery but we're glad to be here on the planet really
A	yeah
B	so it's a it's a strange er you know it's a very long journey you go on from er from being too worried to say the word to to I mean
A	yeah well I mean
B	and that's
A	I was at the hospital yesterday for a check-up and
A	and he he couldn't believe it and he said is that what women have to put up with? and I said yeah yeah yeah yeah you know have it from the age of whenever from teenage years upwards from the time when you have your first smear or erm you know you first have a er any kind of gynae problem erm you just get used to sort of hopping on the couch and putting your legs in stirrups and stuff like that and he was horrified erm and he will hardly go to the doctor about anything let alone the prospect of somebody sticking their fingers up his bum when he goes
A	so that
B	well I mean I think I mean I think that an equivalent with men and prostate cancer and
A	mm
B	they don't go for those things either and er
A	no
B	erm and those sort of all also embarrassing things maybe there's a need for a kind of common cause across the cancers to erm to just get you know to say look don't be squeamish cos
A	yeah
B	better to go and talk to someone and these doctors and nurses they've seen it all before that's what they do day in day out you know and our bits don't know any different to anybody else's
A	no
B	you know that's what they're trained to do and
A	er although actually I remember once having a cyst erm on my vulva erm which which got infected in the end and having to go to the doctor because it
B	yeah
A	clearly
B	yeah
A	and it was only it was er only a second or two until she caught herself and sort of thought right you know I'd better get on with this you know I've gotta do it and but but I saw the look go across her face very very plainly so I think
B	yeah yeah
A	and I suppose if I had been bolshier I might have kind of picked her up on it and but I didn't I just went away and erm and then when I did have cancer erm it took me
B	well I mean I do think one of the most important things is to educate women
A	mm
B	about what's normal and what isn't normal
A	yeah
B	and and what to ask for
A	yeah
