A	yeah we were organising the Uzbekistan I think
B	oh okay yeah
A	but it turned out it's didn't need to do it
B	no
C	were you doing visa applications?
A	yeah
B	yeah
A	sent off forms for that
C	how much did ah how much does the visa application put you back?
A	it varies but erm
B	Russia's a bitch
C	how much was Russia? don't go Russia
B	about a hundred and forty quid I think it worked out
C	one forty?
A	but that's so we can go in twice cos we need to go twice
C	ah single visa's expensive though
B	cos they charge a flat fee like thirty-nine pound like embassy fee for them actually doing it
C	typical yeah
B	yeah the fucking postage is a killer
A	oh yeah
B	seven quid to send it special delivery
C	seven quid?
B	to send a a large letter like thick like two passports thick seven pounds
C	yeah?
B	and you you put a return in it
A	yeah
B	so that's the seven quid
A	and that's just like monetary value I mean we spent like half an hour in the post office trying to sort this out
A	it we had like four trips to the till
B	yeah we we had to buy a postal order
C	postal order?
B	like yeah like you pay the post office money and write it down in like a post office it's like a it's like a cheque from the post office
A	it looked like monopoly money
C	yeah
B	they they look outrageous
A	yeah
B	it's this flimsy it's like a cheque's legit it's like it's got the bank name on it's not like post office crap
A	yeah
A	very strange
B	it is weird like
A	and we like just wrote our names on the back of it as well like very amateurish so I was like
B	yeah
C	fucking hell
B	labelled to the embassy of Uzbekistan
A	this has been on ah it's so good
C	sorry mate
A	you need to see em when are they in
C	I don't know I wouldn't know
B	well they they're not but
C	they're not
A	they they they just done their like tour for their album
B	a big one
C	yeah
B	yeah we should definitely try and see them
A	yeah
C	but where?
B	wherever
A	yeah
B	Kazakhstan maybe
A	all the big names go to Kazakhstan
B	yeah
C	I reckon if you go through Germany
B	it's likely to be that area is isn't it?
A	yeah
B	Germany France
A	we could even do it dunno cos we could get like some wi-fi or something somewhere in Estonia Latvia cos it won't be Estonia
C	won't won't be Estonia Latvia
A	Latvia Latvia's closest to Estonia
B	on the I thought on the way back
A	on the way back would be good
B	that'd be good no time pressures
A	yeah that's what was thinking
B	you can go wherever you want to
A	and then just see what's on in the big places
B	that that and it's summer it's like gig season
C	yeah yeah
A	well it's festival season
C	go to a festival
A	go to a festival
A	we're we're already camping anyway might as well
A	just let us in this festival
B	I've already got some colour
C	I know mate
A	what? live in
B	had my roof down mate
B	some UV rays
C	oh yeah
A	and er
B	it's impressive like how you just need a little bit of sun but if you're in it
A	and then
B	you you'd be hot be hot
A	I was like ah bloody hell open the window
A	it was like ah
B	but as soon as that sun goes it it's absolutely freezing
A	yeah
B	that's the game we play
C	the northern game
A	tell you what though people in
C	mm?
B	oh what walk on the road?
A	yeah who walks on the road?
B	it's like it's like it's on campus it's a turning off the main road it's like cos there's parking on the other side that you pull in to
C	right
B	and erm it's quite a it's it's a busy road just cos there's a there's a Spar
C	mm
B	then there's a path
A	Spar?
B	but like a central
B	is it
A	yeah
B	it's a
C	oh right
B	it links to like all the other accommodation that road
C	really?
B	it's like the direct route so everyone walks on the road but they don't move for cars
A	yeah like I I had my reverse lights on
C	yeah
A	obviously just about to reverse and some some person just walked past on the phone
C	not giving a shit
A	could have ran her over but I didn't
B	decided not to kill her then
A	usually I'm knocking three people over
A	I I could do though legitimately just knock a few people over easy
B	I've taken to I I watched some like their called motor
C	yeah yeah
B	I watched some of them like if they're if like pedestrians are crossing where they shouldn't be there aren't
B	so I I've taken to doing that in my car if someone's
B	it just pisses me off like just wait for the light then
C	go to a crossing
A	like you're a pedestrian you're very
B	yeah
A	don't walk in front of a car
B	you're not going to win
C	but if you hit them you're in the wrong
A	I have a camera
C	oh you have a camera?
A	yeah to laugh about it afterwards
A	in slow motion
B	cold playback
C	hey dickheads
A	I was on
B	fuck me
C	candles
A	candles
B	right
A	or something like that erm and people have to have like dash cams
C	yeah yeah yeah
A	because there seems to be a a load of people just jumping in front of cars
A	just to try and get run over
C	I think I've seen a video of that
A	but not like they don't jump in front of them at eighty they jump in front of them at like five miles an hour
C	yeah
A	and I saw one guy like the guy had stopped in the car erm sort of faster than he thought he would and the so to make it look like he'd been hurt more he sort of just like just sort of smashed his head against the er against the bonnet and just sort of hit the ground
A	it was like what are you doing?
C	claims them claims
A	yeah
C	jesus
A	yeah very strange
C	no one can get me
A	what are those things?
B	them? er one is a aerosol canister for like a a
C	no those furry like
B	what oh they're pompoms
C	oh no they're
C	has she made them like
B	no she no she made those paper things
C	oh I was going to say
B	for Christmas really they're kind of snowflakes but
A	oh fair enough
C	little like little Teletubby balls
B	Telly what? what?
C	where have you go that?
A	which episode of the Teletubbies you watch?
C	I'm just thinking I'm just thinking of a Teletubbies sun from
B	yeah let's just admit it now
A	like
C	like I know
A	Ipsy Dipsy was it?
C	don't think I've watched enough Teletubbies to know what you're meaning
B	no I I don't remember that but you seem awfully bitter about it
C	yeah
A	well I'm also bitter because erm I used to love Teletubbies until they did a double episode and I was expecting something to happen a program I wanted to watch that was going to come after but then I realised it was a double episode and I got very annoyed
C	double episode?
A	and I had to wait another half an hour to see like Basil Brush or something
C	you got more Teletubbies but you were pissed that you got more Teletubbies?
A	yeah but I was expecting Basil Brush
C	you Basil Basil Brush
A	Basil Brush is better than Teletubbies
C	Basil Brush was the shit
A	it was the shit
B	yeah I used to watch it
C	Basil Brush?
B	but was it the shit?
A	that's where I got my viewer from
B	if you could go back in time would you do it differently?
A	watch more Basil Brush less Teletubbies
C	did we say that
B	yeah cos well I don't know
C	don't know
A	let's be fair though
C	that's being fair
B	it's being fair
A	to be fair you're on your first drink as well
B	let's be fair to him
B	you are
C	it's me dickheads
A	you're on our turf mate
C	I'm what? our our
A	yeah to be fair I I'm on your turf
C	mm
