A	erm
B	oh is he still doing the five two diet?
C	well
A	he is and he's starving
C	so so erm
C	and very
B	brilliant
A	mm
B	I've
A	mm
B	again but it's like
C	I've really
B	I'm a bit
C	what I'm doing really
B	okay
C	so
B	yeah
C	I'm not counting calories really
B	yeah
C	erm but I'm not I and I eat reasonably in the evening
B	yeah
A	he
C	but
A	one of my cook nights and I just cook I don't I don't bother with whatever it is
C	mm
B	yeah
C	mm
A	I just
C	er but I
B	it's good it's
A	mm but he's always hungry
B	oh starving
A	which you know you know cos he's not had much lunch and not
B	yeah
A	had hardly even breakfast
C	I don't have much
B	yeah
C	and I try to
C	if er if I'm going to pick anything during the day I pick fruit
A	mm
B	mm
C	and erm
B	yeah cos there's
C	but
B	hardly anything in them is there?
C	I'm not really
B	yeah
C	erm
A	he's just cutting down and maintaining
C	yeah
A	and going to the gym of course
C	I don't take and I don't take alcohol and don't
A	mm
C	sort of thing
B	yeah
C	you know
B	yeah just kind of cut back on that one day
A	that one
B	mm
A	that rice one is absolutely delicious
B	mm
C	oh good
B	the one
A	mm
B	I'm eating now it's really tasty
A	mm
B	isn't it?
A	mm
B	and it's got loads of flavour
A	I know
B	thank you very much
A	well
B	I love salmon
A	and
B	I can only ever eat it just me and
B	nobody else eats fish
A	so fishy
C	well
B	day I've got something left over
C	well I
B	that I really need to eat up and I feel too bad
C	I
B	too bad not to eat it
C	I'm not doing strictly five hundred calories or six hundred but
B	mm
C	but it erm I'm doing
A	how many did you do at the beginning? you know the
C	I kept er fairly well
A	er five hundred
C	six hundred actually because they the thing they
A	oh
C	they gave
A	I just I just wondered
C	five hundred for women and six hundred for men
A	oh right
C	as well so the original
A	mm
B	yeah
C	thing was but erm
B	I wonder if it really does
C	and I said it worked very well
B	well it did
A	well yeah I remember
C	mm
A	mm
C	I shed a lot of weight but now
B	which is still you know a lot less than normal isn't it?
C	yeah er
A	that's it and it's it's been it's thinking about it it's
B	mm
C	but
A	you know
C	the problem is I have when I've done it in the past quite successfully I have then just gone away and put on weight and that
B	right
C	is what I'm
B	trying not to kind of
C	and I weigh myself regularly at the gym and erm
A	and you weigh
C	uhu
B	yeah
A	then erm I think that again you can just you can you can you can you can see what's happening
B	yeah
C	uhu
A	mm erm
B	I know I got a weighing machine a while ago just cos it's it's quite good just to keep it on
A	mm
B	like for me like after you've been pregnant and that kind of thing it can it can just really go you know your body doesn't really remember what it was or anything
B	so it can if you can back a
C	yeah
B	and just even
B	just knowing is quite useful
A	mm mm erm do you still go the gym then
C	mm yeah the a bit less
B	yeah
C	mm and
B	what do you do there? do you do the?
C	I'm getting cramp in my legs
B	mm
C	at night and that sort of thing and so I don't go so often
B	no yeah
C	and I don't work as hard as I did
B	yeah
C	erm what do I do?
B	yeah
C	and then I do the round of the weight machines
B	yeah
C	one or two I don't do which
B	oh right
C	erm more affected by the the arthritis
B	yeah
C	erm
C	no I had two joints replaced and erm
B	yeah
C	mm
A	yes just erm recently
B	oh really?
A	mm
C	could I have a bit more of this of these?
A	mm
C	oh pass it
A	the
C	pass it over here and
A	and er is it
C	er
A	alright to put it on the the plastic?
C	erm don't er I'll hold it
B	I'll do it mum
C	yeah
A	oh thank you
C	yeah
B	that's
C	yeah I think it will
A	and anyway if I have to get a new plastic tablecloth this tablecloth does not owe me any money as we say
B	yeah mm
A	it is so old it's it's older
B	yeah
A	erm it's not we're not damaging the family silver
B	no
C	no er the the er er the risk is is of course not erm er damage to the
B	that's it yeah
A	erm
B	so how are
C	they
C	they're well
B	sorry
C	we do see quite a lot of them
B	yes
A	not nearly as much as we used to
C	no
C	she's got a very good job
B	oh she's erm
B	that's er still the one in
C	the it well she's got a different one in
B	oh I see
C	erm which is with the
A	I think
C	oh
A	was here when she
B	mm
A	erm
B	is it's that one still?
C	mm
B	yeah
C	mm
B	yes cos I remember she was very pleased to get it
C	mm they doubled her salary to start with
A	and she just
B	uhu
A	loves the atmosphere
B	and
C	yeah
A	well no no no
B	did he?
A	on a punt
B	on a punt?
A	well what what he did was he left all these clues he was lounging on the couch in his tracky-suity thingy
A	she went to have a shower
B	mm
A	when she got up
B	oh yeah
A	so she followed the trail to
B	oh right
A	and he had left this other photograph of lots of punts like
B	oh yeah
A	you and the punts and things
C	I think there were more clues than that erm and there were several
A	oh there were there were some in the car first of all
C	uhu
A	but it was basically from their house to the pub to us
B	uhu
A	to the punts so
B	oh right
A	and erm and
B	oh right
A	so they went punting you see
B	yeah
A	er and then she just thought it was thought quite nice so like it was like this little treasure trail right
A	erm and er so erm on the this punt he then got down on one knee and gave her a box and in the box there was a
A	a duo I think or possibly a diamond you know
D	oh no
A	you know and er so she could get it set if she wants it
B	so it wasn't in a ring but oh wow
A	and so she's got the diamond she's got the proposal
B	I didn't
A	er er
C	mm
A	and
C	but they haven't got a wedding date yet
A	no er
B	no
A	no well she hasn't even got
B	yeah
A	and erm but erm erm
B	ah
A	but yeah so basically they are engaged
B	yeah
A	don't really know
B	yeah
A	erm
C	erm well
A	I mean they don't really know darling
C	mm I think they're going to stay over here for
B	yeah
C	and that's not only because of
B	yeah
C	erm
B	cos they've both got good jobs now
C	yeah
A	yeah
A	he really
C	not not
A	enjoys it you know
B	oh okay
A	erm but
B	yeah
A	both are erm
B	oh okay
A	so I think actually
B	okay
A	that would make her thirty-two or else they're both a year younger than
B	okay
C	uhu
B	yeah
A	erm but yeah
B	mm
A	erm but they'll be in Australia for their birthdays
B	okay
A	with this big thing erm to Australia
C	oh it's a thirtieth birthday that's why it's so
A	oh that's right
C	because
A	he is a
C	that's why they're
B	oh right
C	doing such a big thing
A	his twin
C	with it
A	mm
B	yeah
C	because
A	mm
C	he's a twin of course
A	mm
B	yeah
C	so they're going to have they they're they've got
B	yeah
A	mm then and we do see them
B	yeah
A	ages she's doing a PhD so erm she just took time off she became in a waitress in my daughter's café
A	erm
B	yeah
A	and lived with them and er just loved it
B	yeah
A	erm they er
B	yeah no
A	they used to come
B	they used to come quite a lot didn't they?
A	to us sometimes I think because they'd kind of run out of money on a
A	you know
C	mm
A	but erm
A	erm but erm
C	I think it was once
A	erm
C	erm
A	but they erm
B	yeah
A	they came to the party for
B	oh yes yeah
A	and that sort of thing that erm and erm we have we will have to see
C	and they said they weren't going to stay long and were the last to leave
A	they were the very last to leave
B	oh right
A	they they were
B	yeah
A	erm
A	but they erm
B	I know they're very social aren't they?
A	mm very very social
C	and very family minded
A	mm
B	very
A	mm
B	yeah very family
A	erm
B	minded
A	but they erm
C	when are they going?
A	erm it's
C	yeah
A	in October actually I've written it all down
C	are you?
A	erm yeah er I'm getting a bit confused about all this
B	yeah
A	so it's er right
C	twelfth
A	erm so he leaves on the twelfth and then we go through from the twenty-second when
B	okay
A	so they're not
B	oh
A	is he alright?
B	yeah
A	is on the twenty-sixth and
B	yeah
A	now what a couple of times
B	oh yeah
A	erm cos they were both away er
B	yeah
A	and they now right
B	mm
A	they get erm delivered to their house
B	yeah
A	six meals
B	six meals?
C	no
A	six meals
C	I don't think it's mainly six but
A	erm
C	I
A	er er no
B	as in all
A	three
B	erm
A	three meals for four people they started this
B	in on plates?
A	no no no no it's all the ingredients for six
C	well no
A	for for these three meals that can feed four people right?
B	really?
A	the ingredients
B	what from Tesco's?
A	no not from from Tesco's from somewhere else
B	oh
A	from this firm erm that they give you the recipe and if you need a teaspoonful of salt there's a wee packet with a teaspoonful
C	no
A	of salt
C	they they the they use their salt
B	really?
C	I think mm
A	oh well
C	mm
A	you know or
C	but
B	yeah
A	half a teaspoonful of paprika
C	spices and
B	yeah
A	erm anything that is
B	oh
A	it is all there
B	wow
A	the whole thing is there
B	yeah
A	right? and you get the recipe so you have to cook it
B	yeah
A	and they got it when
B	oh
A	and you know and are trying to give them new
B	yeah
A	her new things all the time erm and she's at work
B	yeah
A	and it's fascinating
B	oh wow I didn't know that kind of thing existed
A	yes yes they they they invited us for a meal of one of them
A	and one one of these days we are going to get a box because
C	and you get
B	what are they called then? do you know?
C	they get a yes they get a
C	free meal every now well every
A	mm
B	yeah
C	give it away to somebody so but it but it's publicity
B	oh okay
C	you know
B	yeah yeah yeah
C	erm
B	yeah
C	and erm
A	to a friend
C	to
B	to a friend
C	to a friend yes
B	oh what a great idea
C	and er
A	I've never and and to be honest for people who erm
B	yeah
A	love their grub and like cooking
B	yeah
A	but erm cos you've got as I say you've got to cook it
B	mm
A	and you've got to follow the recipe
B	yeah
A	erm
B	yeah
A	I mean I would eat the same dinner till it was finished
B	yeah
A	before it had turned and like changes who are erm well enough off to sort of just
B	yeah
A	can order this cos obviously it's a bit more expensive than
B	yeah
A	erm erm er what a brilliant idea
B	yeah
A	er
C	well
B	yeah
C	er a couple of their friends it was er are vegetarians and found it out and then
A	that's right and they live in London actually
C	mm
A	er
B	yeah
A	but
B	well I suppose especially if people you know if you're quite busy both are working
A	uhu
B	then it
A	mm mm
B	it cuts out all that sort of what shall we
A	mm
B	oh what do we do is there a
C	the they are perfect candidates for it
B	yeah
A	mm
C	no children
B	yeah
C	erm
B	yeah
C	both working
B	yes
A	mm
B	yes
C	erm
B	and they don't necessarily er want packet meals but they just don't want
A	in
B	at that time
A	in the
B	mm
A	in sort of like a smallish kitchen
B	yeah
A	to have twenty million things around and er
B	well with sometimes if you want to cook something
A	mm
B	really nice as well to buy all the
A	that's what I mean you've got to you've got to
B	yeah
A	you've to have spaces to keep them all
B	yeah
A	erm
A	erm
B	that's a very good idea
A	I
A	and some company
B	yeah
A	erm
B	mm
A	they they're
B	I know supermarkets are doing that a bit more anyway aren't in
A	mm
B	erm
A	erm
B	maybe it'll come down
A	but but
unknown_female	oh yeah
B	where they're they're selling ingredients but all packaged up
A	mm
B	so it would be like these are the vegetables to go with this whatever so you can kind of
A	uhu
B	cook it but you don't have to
C	mm yes yeah
B	so it's a popular idea generally
C	Tesco don't do that
A	mm
B	no M and S
C	so you can
B	and erm
C	Waitrose probably?
C	uhu
A	but I just thought
B	it's cook it or something
A	what a very good idea
B	they're called and they have just
A	erm I would hate it myself you know you've got to eat all of these blooming things
B	yeah
A	but
A	but what a brilliant idea for people as I say who
B	yeah
A	who don't necessarily you know and I mean if you've got children it would be a bit expensive just for the two of you
B	yeah
A	and then you'd have to cook separately
B	yeah
A	you know
A	erm
B	but especially the two of them that nice stage where you haven't got kids and you're
A	mm mm
B	you're grown up enough to experiment
B	cheese on toast you're after the university years
C	but also you've got
A	that's right
C	you've got two incomes so
A	mm yeah
C	erm
B	yeah you've got two incomes
A	and do you know but they they go out in the on they've got so three three
B	yeah
A	they actually go out one night
B	oh that's
C	no they
B	nice
C	go out two nights I think
B	do they?
A	oh no well well
C	the
A	they ought to
C	no there's three recipes this is what they told me they eat they eat it as supper
B	uhu
A	yes
C	and then he he
A	oh I see
B	oh
A	oh right so they go out a lot then
C	yeah they go out
B	and they go out to pubs twice a week
A	mm but er erm
B	and they get er pub meals do you think? that's quite nice I quite like the sound of that
A	and of course they live
A	and they live
A	in
B	oh yeah
A	er which is very near
B	very central
A	the
B	yeah
A	erm lots of eateries around them
B	yeah
A	erm
B	yeah
A	and er they've er renewed the lease for a year
B	oh have they?
A	what darling?
B	they like that house though don't they?
C	I think he he's going to sit up and and think
C	of something else he's got to do
B	he does that all the time as well he'll come up and kind of go night-night and you think oh he might actually stay there a bit you know goodnight
B	it's his game and like straight after
B	up and down up down up down
A	oh but that was lovely
B	I don't I don't think he's gonna put on weight
C	mm
C	well that started from the leftover rice
A	no that started from the leftover
B	ah
B	sometimes the best things do don't they?
A	erm er but it was erm but we and as I say we do see them we do
B	yeah
A	er erm
B	but not just quite
A	erm
B	as long as before
A	but erm
B	mm
A	it's not quite as er and again it means erm
B	really?
A	yes
C	yeah they
A	their overflow guests
C	this was when this was when
A	Australian football
C	but in the team of er Australian rules football
A	mm
C	you see
B	oh yeah?
C	er playing against
B	yeah
B	oh
C	only they've lost year after year after year
B	oh
C	this time they won but to great joy
B	mm
C	apparently
B	yeah
C	they they couldn't really because erm
A	so we had
B	yeah
A	er they'd been here before erm so erm or perhaps not I I can't remember they didn't eat here
A	they've come for breakfast
B	ah
A	you know
C	well
A	brunch actually
C	well
A	you said but er
C	and er
B	yeah
C	breakfast
A	brunch brunch
C	right oh brunch yes
A	erm that erm and you know the they they all sort of breezed in and breezed out erm and er so it it's lovely still to be in touch with them
B	yeah
A	in that way
B	yeah
A	but good that they're actually they've got their own
C	they're very helpful actually cos
A	and they're terribly
B	yeah
A	erm but erm
C	I'm sorry I just
B	oh that's okay
C	I just
B	no I know it's alright sorry
C	I didn't even know that yours that sort of I
A	it was
C	mm
A	er and
A	and erm
A	er he was the one that ran downstairs
C	yeah
A	erm and did it but erm what's that called again? what is that called again?
C	mm
B	sorry I don't know what
A	when you
C	er the the
A	reboot
C	reboot
A	sorry yes
B	oh yeah
A	reboot
B	yeah
A	erm when you reboot things
B	yes yeah
A	er
B	rebooting is
C	and
B	the first thing to do
C	sniffy about this he
A	well I hadn't rebooted cos we thought well yeah
C	cos I I I thought that I thought that
B	yeah
C	television off
B	oh yeah
C	er the
B	the the plug
C	er we used that computer
B	yeah yeah
C	er I turned the plug off
A	mm
C	upstairs
B	yeah yeah
C	and of course that's not the point that
B	no it's the router
C	er because there's this
A	but no we've not
