A	do you mind?
B	on language?
A	yeah it's all completely anonymous
B	oh right okay yeah it's fine
A	so they like they just like analyse your language and do you know how much they pay for this? you should do this but I don't know how long it's how I need to doing it for this
B	you get you get paid to talk?
A	yeah you get paid to talk going out with your friends eighteen pounds an hour of for each hour of recorded material
B	eighteen pounds an hour for the content?
A	yeah
B	that's ridiculous
A	yeah so if you just hit record and like just send it off
B	do they have to be with different people? you just have to give them conversation or
A	so it's for people you go to the pub with just hit record
B	oh don't wanna go through the paperwork er though
A	but it's like super easy
B	what you just email them content?
A	yeah
B	and they send you money?
A	email them content and then you have to get you have to get er do some forms
B	yeah
A	it's super simple
B	sounds good I've got too much on my plate at the moment though
A	yeah
B	that I'm thinking about yeah er yeah
A	think about
B	er nothing
A	yeah it's like not the time to start
B	it's really a terrible time
A	yeah
B	erm she's a er designer
A	yeah
B	but she's done er her MA was in erm English literature
A	yeah
B	BA so it was in English literature and she's now doing a film about Angola not Angola er
A	yeah
B	er Nigeria?
A	yeah
B	erm she's gonna go over there and do some she's a documentary maker erm and then
A	that's cool
B	and then has to make a budget out of it so she's very much like just get random stuff and then make random stuff that you can relate back to
A	that's so nice
B	it's weird but it is nice
A	that is so nice to be an artist
B	yeah it's er so
A	yeah
B	way that you can you know she makes books or films or photograph
A	yeah
B	exhibitions or whatever
A	yeah
B	that
unknown_female	would you like hash brown or chips with your er?
A	oh hash browns please
unknown_female	hash browns
A	thank you
unknown_female	and for him?
A	er he's just in the toilet erm
unknown_female	oh okay right
A	but he'll probably be out in a second
unknown_female	okay try again
A	thank you
unknown_female	no problem
A	I love that poster
B	what is it? yeah the
A	I love that stuff though I oh do you want
B	yeah I've done it
A	okay chips or hash browns?
B	yeah
A	what did you choose?
B	hash browns
A	yeah okay er do you yeah I really like all that stuff
B	what this stuff?
A	like the kind of like those those really it's like if like if it's true why not just remember it?
A	yeah
B	have you got you got er have you ever used
A	oh like the Soda Stream?
B	it's not a soda it's a blender
A	mm I've got a blender
B	no she's got one I saw it in like your house
A	oh that's mine
B	oh it's yours? have you used it?
A	yeah
B	my brother bought my parents one for erm
A	like a Nutribullet thing?
B	yeah that's what it's called yeah and I did er what erm they're great for breakfast
A	yes so good smoothies
B	was doing it this morning and had like two apples a shitload of blueberries and a banana bit of water
A	yeah
