A	is this your spicy chutney spicy green chutney
B	no that isn't we had that bought for us
A	bought for you?
B	not bought for us made for us made for us as a Christmas present
A	mm good
B	not that spicy actually
A	no
C	no no
B	quite nice though
A	tasty
C	mm
C	ah we had a good meal last night
B	yeah
A	I noticed that erm Loyd Grossman sauces were half price in Co-op
B	oh right
A	pound a bottle
B	oh
A	and at that price you can't make it can you?
B	you can't make it no you can't
A	price
B	yeah
A	and you you know when I go out and buy like a pepper cost you eighty-nine P
B	that's right
A	yeah before you start
C	mm
B	yeah
C	so what sauces were they?
A	well this one was a bolognese sauce and er I grilled some bacon and then cut that into little bits and stuck it in the sauce and like the sauce you only have to
C	mm
B	yeah
A	and pour over pasta god that's absolutely gorgeous
C	mm
A	it really was
C	mm
A	I quite often use the curry
B	do you? I've never had Loyd Grossman but the one that
C	never had them
A	the thing is that that they're small bottles so it's only really enough for two people
B	yeah
A	well it's enough for three people really cos I always get a meal the next day out of it as well when
B	yeah
A	and we but they aren't very hot curries
B	no
A	cos I always buy something like tikka masala that's that's strong but not hot but
B	yeah
A	I've been adding curry powder to it as well
B	really?
A	to get it in but it tastes good no yeah the thing is you can go through all these different makes and that but you know I I always every now and again his sauces are on half price and it's really worth it
B	yeah yeah
A	for a quid a go
B	we buy them Red Dragon ones
C	we've got a couple haven't we? erm
B	is it Red Dragon?
C	chicken tikka haven't we?
B	mm
C	yeah
B	and they were half price weren't they? when we bought them
C	mm we never tried Loyd Grossman though
B	yeah
C	try them
A	yeah but they're they're usually two quid a bottle you see
B	yeah
A	which is a little bit dear
B	yeah
A	well it's not that dear I don't suppose but yeah it's sort of a lot dearer than one quid
B	well of course it is double the price is different
C	so were they in Morrison's did you say? no
A	I think these kind were in the Co-op
C	the Co-op oh yeah
A	in the Co-op trouble is they have these offers on when you go in there and
B	then they're gone
A	they're all gone they don't seem to
C	yeah
B	tell you that they have gone
A	yeah
B	they they they have all the posters up outside don't they?
A	yeah
B	telling you all about them
A	no I was waiting for this bit of bread to melt
C	oh
B	is it?
C	it is quite solid
A	I need to stand stand the cup of tea on it
B	absolutely
C	we can toast it for you?
A	what? no
C	warm it up in the toaster
B	they are a bit yeah
C	mm
B	pass the Marmite please? I like Marmite
A	so how long is your bread you have your bread in the freezer then?
C	how long?
A	yeah
B	we get three three a day three rounds a day
A	yeah but how many loaves of bread do you make then a week?
C	just
B	just the one
C	probably just the one
B	yeah
C	mm
A	but you don't store?
C	I slice it up you see and them put
A	yeah yeah so that's
C	ready
A	sandwich for every day
B	yeah
A	midday
B	that's it yeah
C	yeah
A	that's surprising
B	it did work
A	it did yeah
B	great I hadn't thought of that one we put it in the toaster or I used to do rolls and stick em on the top of the toaster
C	yeah we used to do small rolls didn't you?
B	mm but when we eat the roll
A	yeah yeah go on
B	we slice it like you would a sandwich
A	ah ha yeah
C	buttered down
B	and it one roll will feed us doesn't it?
C	it yeah you think you've got loads too don't you?
B	yeah well the time you put the stuff on from your
C	your one roll
B	what you want on your open sandwich yeah
A	yeah
C	mm
A	what what you
C	well I put those in at Christmas
B	yeah
C	it's just vegetables and stuff
B	yeah loads of vegetables yeah for Christmas
C	mm
A	getting a bit extravagant here by soft cheese
B	well we do like
A	I do
A	good grief
B	can you believe it? I was saying the other day I've been
C	I think
A	for Christmas
C	to have our eyes tested
B	oh yeah to have our eyes tested you see at Boots so we went to er Marks and Sparks
A	yeah
B	and we bought three chickens for ten quid
A	uhu
B	and do you know they're the best chickens we've ever had
A	really?
B	yeah they were so delicious weren't they
C	mm they were
B	absolutely delicious free range
A	three for a tenner
B	three three for a tenner yeah
A	blooming heck
C	we've only had one so far
B	and you think Marks and Sparks they're gonna be really expensive don't you?
A	well they do that meal for two for ten quid don't they? or something like that
B	yeah
A	with including bottle of wine
B	bottle of wine yeah
A	no but I know someone who has?
C	yeah are they good?
B	are they good?
A	mm
C	yeah we looked at them and thought mm one day
B	one day
C	it's sounds like a good idea
A	for for your next birthday
A	treat yourself
B	we walked round the food hall
C	getting there isn't it?
B	round the food hall that's a fantastic place innit? the Marks and Sparks food hall
A	dunno never been round it
B	oh you ought to go round
A	is this is
B	in Norwich
A	yeah Red Lion Street or what have you
B	mm
C	mm
B	yeah fantastic place
A	mm
B	it's the first time I've been round the food hall in there
A	yeah I haven't been round there
B	yeah?
C	a new venture for us you see
B	oh and an adventure not a new venture that was a new adventure
C	bring our chicken's home on the bus
B	yeah
A	waving your Marks and Spencer bag
B	bag
C	yep
A	oh yeah
C	that we had to pay for we didn't get
A	we've we've been in to Marks
B	we had to pay for the bag
A	yeah
B	cos we didn't have any bags with us you see we didn't think we would going to go
A	mad
B	mad
A	well you're you had the money on you
C	mm did we have money?
B	yeah you had
C	yeah we had a pound or two
B	you had you had some that you know you were carrying
C	yeah that was it ten pound plonk
B	we got down there for nothing and back for nothing too
C	took our sandwiches as we always do
C	yeah
A	is it?
B	it must be cos I must have left it from
A	oh yes it is I can see it it just goes early but my bus pass won't activate the reader
B	won't it?
A	it's always been I haven't used it recently but
B	so he had to print it in did he?
A	no he cos normally you just sort of
B	mm
A	hold it there and it'll beep
B	yeah
A	and but mine you have to sort of put it like this and move it around until it beeps
A	but it's when er when I went to London you get on a bus and like your bus pass is valid on the bus and er but you don't know what to do with it what do I do with it? cos apparently you sort of like show the bus driver and he couldn't care less
B	no
A	he doesn't have any contact with the passengers at all they don't even take money now do they?
B	no
C	don't they? no money
B	no they they have them Oyster cards
A	no they they
C	so I couldn't go and pay with money?
A	but you've got a bus pass haven't you?
B	yeah but
C	yeah but I got on the bus early you never know do you?
A	well you're have you got a credit card?
C	yeah
A	well they
C	oh yeah
A	the radar thing on that one that works as an Oyster card
B	yeah
C	I remember now
A	so you can flash that if you like
C	you're not
A	I mean it's funny innit I mean how do tourists go yeah not enough at all yeah I mean okay people are on a package trip or something
C	yeah
A	they've probably got all this advice in the hotels and stuff like this but when I used to drive around I'd turn up somewhere
C	yeah
A	and you just assume you know money buys stuff
C	you do
A	no the the
C	you have to
B	pay on the net
C	you have to book it first don't you?
A	mm that's right if if you cross the bridge
C	well that how do you know you're gonna cross the bridge really
A	well if you planned your journey innit
B	yeah
A	but you can
C	I know but
A	you can phone up and do it on on your phone
B	can you?
A	yeah apparently it's all these sort of you know mobile phone numbers and you
B	yeah
A	phone em up before midnight
B	oh right
C	and cos erm
B	only on a smartphone though we haven't got a smartphone
A	dunno dunno I suppose
C	no when friends came at at Christmas time he had to rush off the next day to because he had to pay it before midday or something
B	yeah he had to go to Norwich or
C	otherwise there's a huge fine
A	mm
C	yeah
C	it isn't very nice is it?
A	but there is local places isn't there if you there's one in
C	is there?
A	yeah
C	it just seems
A	I can't remember where it is but it's on somewhere like erm er the newspaper shop
B	yeah
A	Ideal News or something like that
C	yeah pay zone or something
A	yeah
B	oh you can pay at the barber shop can't you? that's got pay zone
C	probably I don't know
A	up where?
B	in
A	yeah could well be
C	in that shop
C	it just seems a daft
A	but you you know if you're gonna do one or two journeys in a year you can sort of pay for five or six and it lasts a year
B	can you?
A	you know what I mean? you don't have to
C	oh I see
A	but then it's this thing that they're clocking your they're clocking your car and where you're going aren't they?
B	yeah
A	you know and you think
C	yeah
A	you know they you know people have become quite blasé towards this sort of constant sort of surveillance don't they?
B	they do yeah and I I saw Police Camera Action I don't know if you've ever seen that?
A	mm
B	they followed this car not by another car not by following em they followed em from London to Birmingham to I think Edinburgh in the end
A	all on camera
B	all on camera they followed this car because he he'd er they'd broken into somewhere and
A	yeah
B	and they they didn't want to catch him till they knew where he was going
A	mm
B	and er they actually followed him into his own garage
A	crikey I mean they've just put
C	mm
A	one of them cameras up outside
B	have they?
A	mm
C	oh
A	looking across the road into the
C	oh right
A	so everyone who goes into
C	oh why is it?
B	well that's
A	well the
C	yeah yeah
B	oh right
A	and there's always a load of trouble there
B	really
A	well not always
B	they're lovely places aren't they?
A	not always a load of trouble but more trouble than the average suburban street
B	yeah
A	and like there's all drug dealers and stuff getting down there
B	really
A	and er and also the the erm what do you call it the third bank
B	yeah
A	is in that
B	oh
A	right? so they're now clocking everyone who goes goes phone bank and
C	mm
A	and you think how you know it just suddenly appeared one day
B	yeah
A	and you think well where did the permission come for this?
B	yeah
A	and who did it and who is looking at who
B	yeah
A	and what about all the you know the private places in the
B	yeah
A	it's like where should they be
B	clocked all the time
A	clocked all the time
C	they might do won't they?
A	but the worst thing is it's at the food bank I mean it's bad enough stigma
B	to have to go
C	mm
A	they're really embarrassed having to go to
C	yeah
A	and you have to they have to get the ticket from social services and they're only allowed three visits I think to the food bank
C	it's four a year I think
A	four a year yeah four a year
C	like
B	ah anyhow
A	yeah but see a lot of people they're either paying
B	yeah do yeah yeah
C	mm yeah
A	and er if their income source is suddenly cut off
B	yeah
