A	in the nineteen twenties to produce a vehicle which was
B	mm
A	during the nineteen thirties Hitler got to hear about the project
B	oh yeah
A	and he desperately wanted to rival the Americans and be able to afford cars and erm they he they settles on an amount of money that the car would be built for which A was totally unrealistic
A	in the sense that they couldn't build it for that small amount and B was still way above the heads of most of the German population to buy
B	mm
A	so in fact the whole project was a disaster and it says that erm the only reason that Volkswagen succeeded was due to the corruption of the Nazi party
B	meaning what? they subsidised or?
A	presumably sold money to fund it
B	quite a history for the company isn't it? I don't think that many people associate with the Nazi party any more
A	and they
B	five marks a week
A	so they were supposed people were supposed to save five marks a week and eventually buy the car three hundred and thirty-six thousand people signed up to it but none of them
C	oh no
B	mm
A	did you know that Volkswagen the Beetle was designed by Porsche
B	was it?
A	Porsche a man called Porsche who of course famously started up the the Porsche make but erm he was responsible for the design and subsequently took a share of the Volkswagen company and now today he own Porsche the Porsche family owns fifty-one percent of Volkswagen
B	of Volkswagen? mm
A	which is the biggest
B	is it?
C	you can't believe they can have cheated like that
A	I was just saying to
A	a a there's a BBC and they've actually looked into the the history of the managing director who apparently two things first of all was desperate to get into the US market
C	mm
A	and he publiclysaid that the emissions that they the US demanded to to satisfy were too expensive to develop the technology for so he's quoted as saying that some time ago
B	America have stricter emissions laws that we do?
A	stricter emissions than Europe yeah
B	really?
C	no they well the they call buy a car
B	four by fours
C	so huge that it would cancel that out
A	well it's a little bit to do with diesel because Americans don't like diesels never have and of course they always had a reputation of being polluters
C	yes
A	whereas in Europe the diesel is a lot more popular
B	isn't it more efficient diesel?
C	it's a a a less polluting
B	I thought it was better yeah
C	in the modern diesels but now we're hearing that in fact the the thing that they used to measure pollutants against diesel now has a different one that is worse
B	oh cool
C	so erm sadly we went down that road and now fifty percent of the cars in Britain are diesel
B	because of Volkswagen lies or because of a general deception?
C	no because we the perception at that time was that certain things were the worst pollutants and diesel had less of those
B	oh
C	erm but now
A	that's true it's its CO two emissions whereas
B	measuring a different
C	yeah
A	diesel is apparently very bad because it it spews out particles little particles
C	and they didn't know about those at the time
B	I bet they did
A	which which are exactly very damaging to the lungs
B	so it creates smog doesn't it? diesel that's what I've heard
A	yeah so it's these particles which sort of are in the in the air that people breathe in
B	mm
A	which they think are really bad for you
B	mm thanks mum it's nice that bread
C	it's lovely bread isn't it?
B	mm
C	I I really quite like it chunky as well if you know if you have an if you have it like with some soup of something it feels
B	oh yeah I do as well but I don't enjoy the fact that I have to slice it before I eat it it's like one more step in the process
C	ah I must say I do usually have it sliced but sometimes I just can't be bothered to stand in the queue and wait for the little lady to notice my existence
C	and they don't have a erm
B	they should have like a self-service shouldn't they?
C	they don't have a bell or something you know they just er all you can do is wait
B	no that's true they should build a machine that normal folk can use just put it there
C	slice their hands off
B	it was quite hard to use I remember when I worked in the bakery in
C	it's getting it out the other end keeping it all together
B	yeah keeping the slices together
C	and lifting it onto the
B	and then it all gets a bit squished
C	mm
C	mm
B	have you ever had a Volkswagen then? no
C	I've driven one
B	Mini's are Volkswagen now aren't they?
A	sorry?
B	Mini's?
C	BMW
B	oh BMW
A	mm
B	cool
C	mm mm
B	one of the pictures was us in standing outside somewhere with this with the with the old really old BMW the white one
C	mm
A	the Granada was the best car wasn't it?
C	the Granada was cool at the beginning
B	the Granada oh you had a Mini and you had a
C	mm
B	what was that? was that a Ford?
A	Vauxhall
B	Vauxhall yeah
A	yeah
C	mm
B	got stolen
C	did he like the pictures of you when you were little
B	yeah
B	I don't know what it is he can't quite register it somehow
B	he's in the middle so
A	he had a complicated family didn't he?
B	yeah lots of mothers and fathers all over the shop
A	lots of step relationships going on
B	yeah the amazing part is how they all get together every Friday
C	mm
