A	yeah hundred and forty
B	that's
C	well
C	it doesn't matter does it?
A	yeah
B	help yourself to fruit well the bananas are looking a bit rank now aren't they?
A	yeah the pears
B	and the pears
A	it's all looking a little bit ropey
B	it is actually that's because you took them all out of the fridge the pears
A	no they were already a bit bruised yeah but they were hidden in the fridge no-one was gonna eat them
B	dad eats them he gets fruit and he keeps his but I don't eat much fruit to be honest
A	well that's selfish
B	apart from the bananas
C	he does he's quite good isn't he
B	he's always eating fruit but he he always keeps it in the fridge he prefers it
A	well I take it out
B	I think
C	like when in my pack up
B	oh yeah
C	pineapple and kiwi
B	I love mango
C	but we go to Lidl
B	mm
C	and erm
B	mm
C	not on the stick just on the thing and that Sharon fruit that's
B	oh
C	flesh in the
B	yeah
C	stones in
B	I like
C	expensive yeah
B	sometimes aren't they?
C	we do like Lidl though
B	mm
C	their
B	yeah
B	trouble is Lidl's in right in the middle of the town and it's kind of
A	awkward to get to
B	well it's not awkward it's just I suppose but when you're lazy it's just not as convenient as Tesco's which you drive right past
C	yeah
B	is it? we've got a small Aldi at Aldi? Aldi in erm
C	no I don't
B	I prefer Lidl's but I er occasionally if I go to
A	used to walk to the door
B	in Germany
A	with my
B	with a suitcase?
A	cos I worked out
B	didn't you feel silly taking your shopping off the thing and putting it in the suitcase?
A	well no cos then I thought well it's gonna save me a dead arm when I get home
B	mm
A	cos it's absolute horrible it's absolutely horrible
B	yeah
A	taking a
B	yeah I can see that
A	cos I used to do all my I used to just do like a hundred euros worth at once like as soon as I got paid and that would last me a few weeks
B	was that at
A	mm
B	mm
A	but then you got to together with
A	yeah
B	and never did anymore shopping
A	never did anymore
A	I haven't listened to that one yet so I don't know
B	it was only oh probably about ten seconds before
B	stupid cat
C	so are we gonna go to
B	yeah
A	well it's gonna be very windy isn't it?
B	what's at
A	dunno it's a I dunno I've only ever been to the beach there
C	nice little shops
A	let's look on the beaches and see if there's anything nice to do
B	and
A	we're not gonna go to your cousin's
B	well I'm just saying they're the only two places I've been to in
A	well let's look on Google if there's any like nice places inside any nice things to do there
C	Charles Dickens House
B	yeah
A	yeah yeah
B	yeah there's Charles Dickens House
A	oh yeah that sounds good
B	yeah that would be interesting
A	yeah
C	don't know if you can go in can you?
A	can you not? oh did they not open as a museum?
B	oh there's bound to be some sort of Charles Dickens museum isn't there?
C	oh yeah
B	erm
A	did he live in
B	oh he lived all over
C	he did well it was Rochester
B	he was born in London
C	yeah
B	lived in
C	well what about
B	yeah
C	we could go to all three if we want
B	I've been
A	oh I have actually I went to
C	I thought they were erm
A	to watch Scouting for Girls
C	I thought they do erm done it all up and invested loads of money in
B	I don't know I I haven't been to
C	oh
C	the looping star
C	my mum and dad hated
A	what's the looping star?
C	it's erm
A	oh okay
C	round and round and it went upside down
A	haven't been to a roller coaster for ages
B	they
A	Dickens House and museum
B	well it's
A	the cottage that was Charles Dicken's inspiration for the home of Betsy Trotwood and David Copperfield
B	mm
A	oh
B	oh it's closed
C	yeah that's the trouble isn't it?
B	don't open till Easter do they?
C	well saying that it's
B	yes
C	what did
B	she said well I've already told dad that we're coming to you she said so
A	has she had
B	no
A	oh
C	I must admit
B	mm well to be honest
C	because if you start lying to one person
B	well I wouldn't have lied
C	you have to
B	mm
C	or not lied that's the wrong word not telling the
B	yeah
C	whole
B	well I just wouldn't have mentioned it and then if she'd found out we could have said oh yeah you know well
A	yeah
B	a five year old who's going to
B	and so erm
C	and at the end of the day why can't you see your niece?
B	well yeah
C	her dad and his
B	no I mean she went you know they go and stay with her and they don't invite me and she comes and stays with them and they don't invite me you know there's it's just always it's just
C	why have they all of a sudden started falling out then or not being
B	well a
C	I suppose she's fed up this is your next mum
C	this is your new mum
B	she tried to
A	yeah yeah she is
B	and she flipped on Christmas day they picked
C	mm
B	because
A	yeah she was
B	they lived in
C	oh right
B	so they picked them both up
A	get stuff
B	get all you know the the dog and all her gear cos they were staying for a couple of nights and erm
A	yeah you never text you know like never to text now
A	yeah
B	and said
C	what time did you come in in the
B	yeah yeah so
C	and what time did he send that?
B	about midday
A	yeah cos we were already at the flat at that time
B	yeah
A	cos you
C	what time did you land?
A	I landed at ten
C	in the morning?
A	yeah
C	and what time did the daughter land nine?
A	well she landed at nine but she took so long to get through customs that she actually came out just before me so it worked out perfectly
B	yeah cos she's not
A	anyway
B	she I mean you said the
A	yeah
C	oh so
B	yeah
C	she had to go through oh right
B	yeah
C	yeah
A	they did stop me actually they said excuse me do you have any erm alcohol in that bag? and I said cos I had all those things presents didn't I?
B	oh yeah?
A	I said oh yeah I have a little bit
A	they obviously couldn't be bothered that day
C	cos I must admit you when you go through and you think oh I've got two hundred I've got
A	yeah I'm always yeah
C	twenty fags too many
B	yeah
C	cos you've got
B	yeah
C	a packet
B	mm
C	and there's nobody there
B	yeah
C	don't they? and they know what flights
B	anyway so so
A	yes
B	the rest of the story
C	and was she in a good mood?
A	she was in a really good mood and really happy we'd done all our stockings and everything and we erm yeah so everyone was in a good mood a nice mood and then
A	and she like
A	and she hadn't seen her for six months as well had she?
B	no
A	and she like screaming at
C	what and
A	yeah
B	well he asked what time to wake me up
A	but she didn't even listen to what
B	so I'd be up and all ready by the time they got here you know
A	but
C	you shouldn't what?
A	eat starch cos she'd been eating crisps beforehand
B	yeah she was quite
A	and then she flipped into into happy jolly mode again and we had
A	a happy jolly journey back
C	oh
A	it was all dad's fault we had a very uncomfortable
A	I was just sitting there while she was screaming at
C	well what does
B	he
A	he doesn't
B	he doesn't he just tries to placate her well er that's why
C	she don't like he does she?
B	no they're not really
C	I mean the trouble is that they're
B	I I'm sure she's slightly bipolar
A	this was a few years ago wasn't it
B	years ago it was after dad died I think it was the first Christmas the
A	so
B	yeah
A	cos he was only a baby
B	they went out
C	his family and his wife
B	you know his family upstairs and and
B	just sat on the porch with her suitcase
C	oh they went to Canada?
B	yeah this was in Canada
C	oh sorry I thought you meant France
B	yeah and erm they couldn't you know
C	does your mum get your mum gets on with her though doesn't she?
B	yeah
C	you wouldn't see them would you?
B	it would drive a wedge between
C	how did he meet her?
B	through work
C	in Canada or
B	he was working in Canada on something some and he met her there
C	never forgiven her for what? for like
B	well oh for that and
C	to be treated like that
B	and also on one occasion
A	used the wrong dishcloth or something
B	used the wrong
A	I don't know
B	utensil or kitchen utensil for something or other and
C	over a dishcloth?
B	oh it was something that
A	really small yeah
B	it was something in the kitchen
B	be civil to
C	mm
B	after that cos she said I never ever got an apology she said I did get an email erm
C	what are you looking for love?
B	about a year later
E	glasses
B	which referred to that Christmas and it wasn't an apology but it was and she thought well that's the best I'm gonna get
C	but the trouble is is
C	yeah because they
B	mm
C	like it's fun and upbeat if she's
B	mm yeah
C	in the right mood
B	but that's that that Christmassy thing and that thing where she just
A	yes she does she flips
B	you can't be slightly bipolar you're either bipolar
A	she flips
B	or you're not aren't you but
C	the trouble is
B	yeah
C	you've gotta remember alright she speaks English and everything but she comes from a different she comes from Canada
B	mm
C	they have different ideas they're
B	yeah
C	all very I don't know
B	yeah
C	their
B	yeah but surely all Canadians aren't crazy like that
C	no then most I mean she most probably has got some sort of
C	yeah
B	mm
C	cos like erm I didn't realise
B	mm
C	before he met
B	yeah
C	and erm she had a
B	oh right
C	mm I never knew this child existed and apparently he lives in erm
B	mm
C	and er he contacted
B	right
C	and he said I don't suppose you're my dad are you?
B	oh
C	he was born in
B	oh
C	erm his dad again and erm and it was
B	mm
C	so
C	and whatever
B	mm
C	and
B	mm
C	with loads of information just tell him that
B	mm
C	what you've done just a little résumé of your life and if you wanna know anything and apparently his first wife died
B	oh
C	and er
B	right
C	well
B	mm
C	and you can stay with us
B	yeah
C	and because he never made a thing of it
B	mm
C	that they presume that you're gonna invite them to stay they presume
B	mm
C	that you're
B	well what do mean though cos he didn't make a great big thing of it? cos he didn't say oh thank you very much and or or
A	oh my goodness
B	and all that?
C	yeah
B	oh
C	so he's not bothered with him anymore
B	he sounds like a complete dick
C	well he is sometimes
B	mm
C	he can be
B	yeah mm
A	has everyone had breakfast?
B	no I'm waiting for your dad I'm gonna start cooking in a minute
B	no once he smells it he'll get up
A	yeah
B	trouble is I'm so used to him cooking I sort of think oh I can't be bothered to sort of get it all together
A	yeah but mum
B	let him do
A	you've just cleaned the kitchen it's better that you do it
B	yeah it is
A	well I'll help you
A	I'll do bacon
B	what eggs have we had in this morning? oh oh we didn't get bloody eggs
A	we think we've got enough though I think we've got enough for this morning we've got well enough for tomorrow we have got enough for this morning
B	you
A	well
B	oh
A	that's okay if we do scrambled then we'll just have a little bit of scrambled
B	six eggs no I can nip up the I can nip up to thingy and get some
A	okay
C	we should have got some yesterday in the
B	yeah we were going to we were gonna go past
A	yeah we were weren't we?
B	mm
B	I'll whiz up to it'll take me about
A	oh are you leaving me with this? this smell?
B	you're so gross
A	oh
B	you're gross I'll just put my coat on and wear my jim jam trousers
A	that's disgusting
B	I'll get some I haven't got any on me at the moment
C	do you want some?
B	no
A	I haven't got any I'm afraid it's all in my pot that I can't open
B	you've never got any money ever
A	it's not I do but it's in my pot
B	never ever
A	but it's in my pot that I have to smash
B	yeah
A	I don't wanna smash it
