A	do you remember in wind band that time
A	and
B	yeah with the erm
A	and then
A	on the clarinet and er I thought she was gonna
A	be sick
B	and she cos she suddenly
A	was like
A	mm
A	and I was like
B	I just thought she started playing clarinet weirdly like
B	no one does
A	I thought she was gonna be
A	sick
B	when does wind band
A	yeah
B	mm
A	and I don't really like the
B	so do I I like erm
B	yeah
A	yeah I like that one
B	yeah
A	because
B	oh yeah
A	party
B	because they will like it no matter if you're good or bad
A	mm
B	what to clarinet one?
A	mm
B	well you'll be fine and I'll just not play and pretend I am and then you can just play for both of us
B	mm
B	I feel kind of feel kind of awkward for
A	mm
B	even though she'll only play like one note in a bar
B	like I
A	mm
B	I play half of it she plays like a quarter of it
A	mm
B	and you play all of it
A	well not all of it
B	yeah you do
A	yeah but it's only cos I remember them now but like the hard ones I what is it? three six six
B	mm
A	so
B	I still can't do English Folk Song Suite like I think
A	well I
A	no because I practised it I went home and I did the whole thing and I was like
A	mm
B	the E flats like I always
B	well I used to pretend I was playing it
A	mm
B	I never did the E flats now I
A	mm
B	like I'm trying to play it
A	mm
B	and I'll look at over at
B	wiggling around
B	yeah
A	because I think even he can tell
B	yeah
A	that
B	what grade is she now? five?
A	four
B	no four
A	no
B	I've only done grade two four and five so I was grade four when I started wind band
A	yeah
B	no was still grade two
B	and I did my grade four in year seven
A	mm
B	mm mm?
A	when I did grade five in the
B	you did it in spring I did it in the summer
A	mm but then
B	yeah cos I don't like doing grades
A	so you got behind I don't like doing grades either except I get less nervous like with every grade I do actually no I don't really
B	mm mm
B	you can finish it
A	I was really nervous because
A	and and he was like
B	yeah that's right
A	the pieces aren't very good and then it was just it was really horrible I was really scared so I failed and my dad got really annoyed cos he had to pay for it
B	mm I didn't want to do my grade five then
A	I thought I was gonna fail
B	but you still did it
A	yeah you got the same as me
B	yeah
B	yeah same
A	and
B	I
A	I used to know them really well
B	oh I never used I never know my scales I haven't done them all summer so I won't be able to do any
A	well I dunno what it was but something just like like flicked cos before I was so bad at scales I failed
B	I've always got around thirteen no what's the pass?
A	for scales?
B	yeah
A	fourteen
B	oh so I always just passed
A	mm
B	so I got like fifteen or
A	I just never passed and he always used to slay me for it he used to be like you do not know how to do your scales
A	can't do it without the sheet
B	oh
A	that's why I was saying I can't do it without the sheet
B	yeah yeah but the problem is scales is like gets you easy marks
A	mm
B	so you really should practise them I just never can be bothered to practise them because scales are so always the boring
A	yeah
B	bit of playing a clarinet
A	and aural I was
B	yeah
A	awful at aural
B	I always used to be really good at the aural cos then it was just the easy questions like
A	mm
B	sing back and clap back
A	yeah no but I was always
B	like clap in time
A	yeah
B	and it's
A	yeah but I I was always really nervous and so they'd be like sing and I would just be like oh
A	was the bit I could always rely on and I'd be like
B	yeah
